[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/02/2023 14:26:08
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	285,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	75.320
301.0	75.433
302.0	75.555
303.0	75.796
304.0	75.865
305.0	75.986
306.0	76.123
307.0	76.245
308.0	76.319
309.0	76.408
310.0	76.641
311.0	76.865
312.0	76.942
313.0	76.716
314.0	76.593
315.0	76.563
316.0	76.660
317.0	76.631
318.0	76.585
319.0	76.533
320.0	76.385
321.0	76.376
322.0	76.151
323.0	76.081
324.0	75.822
325.0	75.607
326.0	75.450
327.0	75.274
328.0	75.207
329.0	75.002
330.0	74.744
331.0	74.636
332.0	74.510
333.0	74.335
334.0	74.216
335.0	74.004
336.0	73.847
337.0	73.718
338.0	73.613
339.0	73.570
340.0	73.401
341.0	73.218
342.0	72.974
343.0	72.742
344.0	72.635
345.0	72.612
346.0	72.490
347.0	72.500
348.0	72.295
349.0	72.273
350.0	72.167
351.0	72.186
352.0	72.216
353.0	72.243
354.0	72.344
355.0	72.425
356.0	72.569
357.0	72.752
358.0	72.787
359.0	72.870
360.0	73.106
361.0	73.401
362.0	73.550
363.0	73.667
364.0	73.823
365.0	73.950
366.0	74.042
367.0	74.258
368.0	74.450
369.0	74.641
370.0	74.700
371.0	74.838
372.0	74.905
373.0	75.044
374.0	75.124
375.0	75.151
376.0	75.219
377.0	75.340
378.0	75.421
379.0	75.343
380.0	75.325
381.0	75.388
382.0	75.454
383.0	75.440
384.0	75.428
385.0	75.357
386.0	75.293
387.0	75.177
388.0	75.113
389.0	75.003
390.0	74.889
391.0	74.795
392.0	74.722
393.0	74.608
394.0	74.449
395.0	74.294
396.0	74.147
397.0	74.002
398.0	73.856
399.0	73.673
400.0	73.492
401.0	73.270
402.0	73.037
403.0	72.758
404.0	72.499
405.0	72.300
406.0	72.082
407.0	71.776
408.0	71.480
409.0	71.228
410.0	71.000
411.0	70.742
412.0	70.491
413.0	70.244
414.0	69.964
415.0	69.628
416.0	69.324
417.0	69.054
418.0	68.799
419.0	68.475
420.0	68.173
421.0	67.854
422.0	67.557
423.0	67.281
424.0	66.975
425.0	66.702
426.0	66.370
427.0	66.090
428.0	65.733
429.0	65.404
430.0	65.076
431.0	64.761
432.0	64.429
433.0	64.112
434.0	63.848
435.0	63.528
436.0	63.217
437.0	62.944
438.0	62.703
439.0	62.471
440.0	62.170
441.0	61.914
442.0	61.631
443.0	61.396
444.0	61.151
445.0	60.927
446.0	60.712
447.0	60.531
448.0	60.345
449.0	60.200
450.0	60.026
451.0	59.870
452.0	59.692
453.0	59.573
454.0	59.454
455.0	59.331
456.0	59.199
457.0	59.057
458.0	58.958
459.0	58.878
460.0	58.870
461.0	58.807
462.0	58.740
463.0	58.656
464.0	58.630
465.0	58.628
466.0	58.598
467.0	58.601
468.0	58.578
469.0	58.598
470.0	58.617
471.0	58.650
472.0	58.710
473.0	58.741
474.0	58.786
475.0	58.800
476.0	58.849
477.0	58.912
478.0	59.001
479.0	59.070
480.0	59.168
481.0	59.242
482.0	59.338
483.0	59.412
484.0	59.546
485.0	59.681
486.0	59.816
487.0	59.914
488.0	60.047
489.0	60.150
490.0	60.294
491.0	60.404
492.0	60.554
493.0	60.658
494.0	60.796
495.0	60.918
496.0	61.060
497.0	61.225
498.0	61.389
499.0	61.627
500.0	61.777
501.0	61.974
502.0	62.128
503.0	62.354
504.0	62.566
505.0	62.751
506.0	62.984
507.0	63.180
508.0	63.409
509.0	63.584
510.0	63.800
511.0	64.052
512.0	64.288
513.0	64.547
514.0	64.756
515.0	64.998
516.0	65.212
517.0	65.437
518.0	65.670
519.0	65.932
520.0	66.240
521.0	66.505
522.0	66.742
523.0	66.964
524.0	67.206
525.0	67.482
526.0	67.756
527.0	68.016
528.0	68.278
529.0	68.505
530.0	68.768
531.0	69.018
532.0	69.277
533.0	69.501
534.0	69.717
535.0	69.958
536.0	70.167
537.0	70.410
538.0	70.585
539.0	70.829
540.0	71.037
541.0	71.249
542.0	71.470
543.0	71.639
544.0	71.871
545.0	72.005
546.0	72.194
547.0	72.334
548.0	72.552
549.0	72.681
550.0	72.835
551.0	72.931
552.0	73.131
553.0	73.298
554.0	73.485
555.0	73.585
556.0	73.702
557.0	73.765
558.0	73.882
559.0	73.955
560.0	74.097
561.0	74.157
562.0	74.248
563.0	74.284
564.0	74.346
565.0	74.361
566.0	74.434
567.0	74.495
568.0	74.618
569.0	74.692
570.0	74.729
571.0	74.729
572.0	74.723
573.0	74.794
574.0	74.859
575.0	74.904
576.0	74.934
577.0	74.907
578.0	74.908
579.0	74.913
580.0	74.933
581.0	74.941
582.0	74.944
583.0	74.936
584.0	74.910
585.0	74.896
586.0	74.884
587.0	74.915
588.0	74.908
589.0	74.950
590.0	74.889
591.0	74.850
592.0	74.789
593.0	74.806
594.0	74.770
595.0	74.766
596.0	74.671
597.0	74.654
598.0	74.568
599.0	74.576
600.0	74.547
601.0	74.541
602.0	74.510
603.0	74.462
604.0	74.372
605.0	74.313
606.0	74.253
607.0	74.259
608.0	74.196
609.0	74.162
610.0	74.107
611.0	74.068
612.0	74.065
613.0	73.955
614.0	73.922
615.0	73.817
616.0	73.789
617.0	73.696
618.0	73.677
619.0	73.648
620.0	73.619
621.0	73.528
622.0	73.471
623.0	73.404
624.0	73.321
625.0	73.226
626.0	73.136
627.0	73.101
628.0	73.096
629.0	73.080
630.0	72.991
631.0	72.882
632.0	72.760
633.0	72.690
634.0	72.666
635.0	72.616
636.0	72.569
637.0	72.456
638.0	72.387
639.0	72.303
640.0	72.218
641.0	72.148
642.0	72.102
643.0	72.027
644.0	71.937
645.0	71.842
646.0	71.753
647.0	71.707
648.0	71.652
649.0	71.674
650.0	71.598
651.0	71.512
652.0	71.360
653.0	71.246
654.0	71.149
655.0	71.076
656.0	71.039
657.0	70.955
658.0	70.915
659.0	70.817
660.0	70.751
661.0	70.648
662.0	70.551
663.0	70.440
664.0	70.368
665.0	70.291
666.0	70.290
667.0	70.228
668.0	70.141
669.0	70.024
670.0	69.897
671.0	69.839
672.0	69.750
673.0	69.645
674.0	69.606
675.0	69.534
676.0	69.500
677.0	69.359
678.0	69.240
679.0	69.142
680.0	69.073
681.0	69.033
682.0	68.958
683.0	68.929
684.0	68.785
685.0	68.728
686.0	68.556
687.0	68.574
688.0	68.487
689.0	68.489
690.0	68.395
691.0	68.322
692.0	68.265
693.0	68.129
694.0	67.983
695.0	67.898
696.0	67.800
697.0	67.814
698.0	67.666
699.0	67.650
700.0	67.537
701.0	67.519
702.0	67.446
703.0	67.361
704.0	67.274
705.0	67.195
706.0	67.124
707.0	67.042
708.0	66.924
709.0	66.863
710.0	66.749
711.0	66.687
712.0	66.564
713.0	66.604
714.0	66.530
715.0	66.478
716.0	66.278
717.0	66.260
718.0	66.156
719.0	66.051
720.0	65.954
721.0	65.935
722.0	65.955
723.0	65.848
724.0	65.700
725.0	65.599
726.0	65.528
727.0	65.429
728.0	65.326
729.0	65.215
730.0	65.183
731.0	65.084
732.0	65.032
733.0	64.960
734.0	64.890
735.0	64.778
736.0	64.723
737.0	64.680
738.0	64.636
739.0	64.557
740.0	64.437
741.0	64.405
742.0	64.237
743.0	64.155
744.0	63.999
745.0	63.937
746.0	63.838
747.0	63.692
748.0	63.750
749.0	63.744
750.0	63.804
751.0	63.603
752.0	63.533
753.0	63.437
754.0	63.422
755.0	63.246
756.0	63.134
757.0	63.024
758.0	63.011
759.0	62.943
760.0	62.889
761.0	62.828
762.0	62.740
763.0	62.592
764.0	62.538
765.0	62.521
766.0	62.510
767.0	62.350
768.0	62.270
769.0	62.231
770.0	62.230
771.0	62.085
772.0	61.989
773.0	61.901
774.0	61.894
775.0	61.791
776.0	61.862
777.0	61.701
778.0	61.611
