[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/02/2023 18:32:06
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	42.913
286.0	43.616
287.0	44.759
288.0	45.707
289.0	46.585
290.0	47.212
291.0	47.953
292.0	48.846
293.0	49.779
294.0	50.572
295.0	51.282
296.0	52.017
297.0	52.783
298.0	53.500
299.0	54.099
300.0	54.810
301.0	55.389
302.0	56.087
303.0	56.517
304.0	57.094
305.0	57.607
306.0	58.187
307.0	58.683
308.0	58.992
309.0	59.274
310.0	59.469
311.0	59.742
312.0	59.918
313.0	60.028
314.0	60.198
315.0	60.270
316.0	60.432
317.0	60.428
318.0	60.490
319.0	60.423
320.0	60.513
321.0	60.598
322.0	60.618
323.0	60.455
324.0	60.156
325.0	59.866
326.0	59.596
327.0	59.392
328.0	59.260
329.0	59.138
330.0	58.913
331.0	58.693
332.0	58.389
333.0	58.253
334.0	57.895
335.0	57.647
336.0	57.279
337.0	57.116
338.0	56.822
339.0	56.511
340.0	56.186
341.0	55.934
342.0	55.733
343.0	55.360
344.0	54.899
345.0	54.447
346.0	54.116
347.0	53.703
348.0	53.322
349.0	52.946
350.0	52.559
351.0	52.046
352.0	51.514
353.0	51.071
354.0	50.661
355.0	50.135
356.0	49.478
357.0	48.793
358.0	48.257
359.0	47.795
360.0	47.282
361.0	46.643
362.0	46.006
363.0	45.448
364.0	44.946
365.0	44.412
366.0	43.838
367.0	43.308
368.0	42.779
369.0	42.245
370.0	41.712
371.0	41.256
372.0	40.873
373.0	40.503
374.0	40.193
375.0	39.924
376.0	39.667
377.0	39.451
378.0	39.271
379.0	39.123
380.0	39.016
381.0	38.891
382.0	38.892
383.0	38.937
384.0	39.023
385.0	39.072
386.0	39.126
387.0	39.277
388.0	39.398
389.0	39.558
390.0	39.690
391.0	39.894
392.0	40.090
393.0	40.268
394.0	40.409
395.0	40.563
396.0	40.708
397.0	40.863
398.0	41.011
399.0	41.137
400.0	41.269
401.0	41.356
402.0	41.454
403.0	41.513
404.0	41.593
405.0	41.674
406.0	41.739
407.0	41.808
408.0	41.832
409.0	41.919
410.0	41.951
411.0	42.028
412.0	42.066
413.0	42.105
414.0	42.181
415.0	42.240
416.0	42.340
417.0	42.377
418.0	42.434
419.0	42.478
420.0	42.531
421.0	42.582
422.0	42.675
423.0	42.761
424.0	42.846
425.0	42.830
426.0	42.836
427.0	42.783
428.0	42.752
429.0	42.679
430.0	42.614
431.0	42.497
432.0	42.344
433.0	42.209
434.0	42.048
435.0	41.866
436.0	41.645
437.0	41.457
438.0	41.292
439.0	41.122
440.0	40.878
441.0	40.647
442.0	40.372
443.0	40.165
444.0	39.922
445.0	39.689
446.0	39.451
447.0	39.220
448.0	39.001
449.0	38.776
450.0	38.564
451.0	38.378
452.0	38.224
453.0	38.071
454.0	37.900
455.0	37.756
456.0	37.616
457.0	37.517
458.0	37.421
459.0	37.329
460.0	37.241
461.0	37.178
462.0	37.140
463.0	37.118
464.0	37.098
465.0	37.101
466.0	37.092
467.0	37.086
468.0	37.088
469.0	37.105
470.0	37.130
471.0	37.159
472.0	37.234
473.0	37.306
474.0	37.389
475.0	37.452
476.0	37.563
477.0	37.685
478.0	37.805
479.0	37.889
480.0	38.004
481.0	38.142
482.0	38.318
483.0	38.478
484.0	38.649
485.0	38.812
486.0	38.977
487.0	39.155
488.0	39.333
489.0	39.542
490.0	39.745
491.0	39.982
492.0	40.198
493.0	40.464
494.0	40.686
495.0	40.932
496.0	41.141
497.0	41.402
498.0	41.681
499.0	41.960
500.0	42.248
501.0	42.549
502.0	42.893
503.0	43.222
504.0	43.559
505.0	43.879
506.0	44.201
507.0	44.515
508.0	44.881
509.0	45.254
510.0	45.614
511.0	45.948
512.0	46.285
513.0	46.607
514.0	46.948
515.0	47.303
516.0	47.707
517.0	48.088
518.0	48.427
519.0	48.770
520.0	49.101
521.0	49.482
522.0	49.851
523.0	50.217
524.0	50.547
525.0	50.833
526.0	51.149
527.0	51.466
528.0	51.827
529.0	52.163
530.0	52.474
531.0	52.771
532.0	53.056
533.0	53.346
534.0	53.605
535.0	53.833
536.0	54.120
537.0	54.383
538.0	54.640
539.0	54.823
540.0	54.994
541.0	55.216
542.0	55.413
543.0	55.620
544.0	55.782
545.0	55.929
546.0	56.077
547.0	56.203
548.0	56.359
549.0	56.461
550.0	56.559
551.0	56.649
552.0	56.728
553.0	56.812
554.0	56.867
555.0	56.942
556.0	56.965
557.0	57.002
558.0	57.044
559.0	57.094
560.0	57.093
561.0	57.085
562.0	57.074
563.0	57.051
564.0	57.032
565.0	57.000
566.0	57.001
567.0	56.976
568.0	56.916
569.0	56.880
570.0	56.823
571.0	56.798
572.0	56.713
573.0	56.628
574.0	56.531
575.0	56.437
576.0	56.362
577.0	56.261
578.0	56.175
579.0	56.063
580.0	55.954
581.0	55.831
582.0	55.721
583.0	55.599
584.0	55.485
585.0	55.356
586.0	55.267
587.0	55.162
588.0	55.034
589.0	54.906
590.0	54.800
591.0	54.679
592.0	54.530
593.0	54.351
594.0	54.194
595.0	54.080
596.0	53.952
597.0	53.798
598.0	53.612
599.0	53.443
600.0	53.290
601.0	53.135
602.0	52.949
603.0	52.791
604.0	52.655
605.0	52.503
606.0	52.328
607.0	52.127
608.0	51.958
609.0	51.816
610.0	51.661
611.0	51.532
612.0	51.360
613.0	51.182
614.0	50.989
615.0	50.810
616.0	50.675
617.0	50.503
618.0	50.336
619.0	50.135
620.0	49.951
621.0	49.776
622.0	49.613
623.0	49.428
624.0	49.230
625.0	49.025
626.0	48.869
627.0	48.719
628.0	48.563
629.0	48.374
630.0	48.196
631.0	48.008
632.0	47.801
633.0	47.660
634.0	47.520
635.0	47.363
636.0	47.187
637.0	47.008
638.0	46.862
639.0	46.652
640.0	46.464
641.0	46.323
642.0	46.170
643.0	45.996
644.0	45.832
645.0	45.672
646.0	45.505
647.0	45.294
648.0	45.132
649.0	44.965
650.0	44.843
651.0	44.663
652.0	44.519
653.0	44.337
654.0	44.186
655.0	44.037
656.0	43.878
657.0	43.746
658.0	43.566
659.0	43.426
660.0	43.250
661.0	43.125
662.0	43.008
663.0	42.898
664.0	42.763
665.0	42.609
666.0	42.446
667.0	42.293
668.0	42.131
669.0	41.999
670.0	41.894
671.0	41.765
672.0	41.647
673.0	41.533
674.0	41.398
675.0	41.241
676.0	41.068
677.0	40.964
678.0	40.848
679.0	40.730
680.0	40.617
681.0	40.550
682.0	40.462
683.0	40.394
684.0	40.245
685.0	40.145
686.0	40.010
687.0	39.925
688.0	39.852
689.0	39.793
690.0	39.730
691.0	39.610
692.0	39.506
693.0	39.362
694.0	39.319
695.0	39.207
696.0	39.164
697.0	39.022
698.0	38.954
699.0	38.872
700.0	38.833
701.0	38.751
702.0	38.687
703.0	38.589
704.0	38.492
705.0	38.420
706.0	38.360
707.0	38.316
708.0	38.211
709.0	38.172
710.0	38.103
711.0	38.066
712.0	37.931
713.0	37.846
714.0	37.743
715.0	37.671
716.0	37.597
717.0	37.549
718.0	37.478
719.0	37.399
720.0	37.297
721.0	37.264
722.0	37.206
723.0	37.136
724.0	37.042
725.0	36.918
726.0	36.880
727.0	36.796
728.0	36.792
729.0	36.721
730.0	36.634
731.0	36.522
732.0	36.402
733.0	36.337
734.0	36.298
735.0	36.213
736.0	36.200
737.0	36.136
738.0	36.051
739.0	35.917
740.0	35.762
741.0	35.706
742.0	35.613
743.0	35.504
744.0	35.420
745.0	35.371
746.0	35.331
747.0	35.282
748.0	35.179
749.0	35.133
750.0	34.994
751.0	34.914
752.0	34.834
753.0	34.744
754.0	34.671
755.0	34.536
756.0	34.481
757.0	34.418
758.0	34.386
759.0	34.329
760.0	34.306
761.0	34.235
762.0	34.190
763.0	34.110
