[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/02/2023 18:20:10
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	49.109
286.0	49.754
287.0	51.041
288.0	52.235
289.0	53.374
290.0	54.219
291.0	55.173
292.0	56.025
293.0	56.847
294.0	57.517
295.0	58.422
296.0	59.217
297.0	60.174
298.0	60.901
299.0	61.483
300.0	62.036
301.0	62.262
302.0	62.726
303.0	62.949
304.0	63.529
305.0	63.860
306.0	64.448
307.0	64.842
308.0	65.039
309.0	65.028
310.0	65.143
311.0	65.537
312.0	65.835
313.0	66.024
314.0	66.069
315.0	66.184
316.0	66.290
317.0	66.435
318.0	66.538
319.0	66.594
320.0	66.853
321.0	66.976
322.0	67.054
323.0	67.025
324.0	67.105
325.0	67.113
326.0	67.043
327.0	67.120
328.0	67.396
329.0	67.771
330.0	67.967
331.0	68.206
332.0	68.361
333.0	68.567
334.0	68.771
335.0	68.974
336.0	69.242
337.0	69.548
338.0	69.751
339.0	69.941
340.0	70.087
341.0	70.423
342.0	70.912
343.0	71.334
344.0	71.610
345.0	71.879
346.0	72.113
347.0	72.340
348.0	72.490
349.0	72.682
350.0	72.912
351.0	73.031
352.0	73.166
353.0	73.309
354.0	73.458
355.0	73.592
356.0	73.624
357.0	73.628
358.0	73.607
359.0	73.666
360.0	73.710
361.0	73.721
362.0	73.741
363.0	73.718
364.0	73.768
365.0	73.672
366.0	73.695
367.0	73.652
368.0	73.575
369.0	73.441
370.0	73.307
371.0	73.254
372.0	73.171
373.0	73.045
374.0	72.956
375.0	72.857
376.0	72.760
377.0	72.718
378.0	72.627
379.0	72.462
380.0	72.210
381.0	71.962
382.0	71.816
383.0	71.726
384.0	71.589
385.0	71.472
386.0	71.328
387.0	71.240
388.0	71.099
389.0	70.906
390.0	70.760
391.0	70.580
392.0	70.475
393.0	70.303
394.0	70.119
395.0	69.917
396.0	69.693
397.0	69.491
398.0	69.316
399.0	69.114
400.0	68.955
401.0	68.752
402.0	68.599
403.0	68.369
404.0	68.147
405.0	67.933
406.0	67.744
407.0	67.522
408.0	67.282
409.0	67.081
410.0	66.872
411.0	66.642
412.0	66.396
413.0	66.113
414.0	65.868
415.0	65.625
416.0	65.446
417.0	65.207
418.0	64.948
419.0	64.736
420.0	64.514
421.0	64.286
422.0	63.987
423.0	63.750
424.0	63.519
425.0	63.264
426.0	63.002
427.0	62.747
428.0	62.474
429.0	62.190
430.0	61.924
431.0	61.647
432.0	61.337
433.0	61.014
434.0	60.698
435.0	60.408
436.0	60.061
437.0	59.759
438.0	59.427
439.0	59.161
440.0	58.836
441.0	58.551
442.0	58.249
443.0	57.943
444.0	57.595
445.0	57.214
446.0	56.889
447.0	56.542
448.0	56.221
449.0	55.835
450.0	55.471
451.0	55.065
452.0	54.679
453.0	54.289
454.0	53.880
455.0	53.491
456.0	53.083
457.0	52.713
458.0	52.304
459.0	51.879
460.0	51.421
461.0	51.007
462.0	50.608
463.0	50.209
464.0	49.799
465.0	49.379
466.0	48.953
467.0	48.522
468.0	48.106
469.0	47.695
470.0	47.275
471.0	46.823
472.0	46.392
473.0	45.938
474.0	45.486
475.0	45.008
476.0	44.550
477.0	44.071
478.0	43.579
479.0	43.074
480.0	42.566
481.0	42.083
482.0	41.587
483.0	41.133
484.0	40.662
485.0	40.175
486.0	39.668
487.0	39.174
488.0	38.700
489.0	38.263
490.0	37.784
491.0	37.351
492.0	36.878
493.0	36.434
494.0	35.929
495.0	35.441
496.0	34.932
497.0	34.445
498.0	33.964
499.0	33.488
500.0	33.034
501.0	32.560
502.0	32.111
503.0	31.632
504.0	31.166
505.0	30.702
506.0	30.253
507.0	29.813
508.0	29.383
509.0	28.958
510.0	28.541
511.0	28.133
512.0	27.723
513.0	27.318
514.0	26.921
515.0	26.544
516.0	26.177
517.0	25.799
518.0	25.419
519.0	25.044
520.0	24.675
521.0	24.336
522.0	23.999
523.0	23.681
524.0	23.327
525.0	22.980
526.0	22.621
527.0	22.286
528.0	21.949
529.0	21.626
530.0	21.282
531.0	20.976
532.0	20.644
533.0	20.356
534.0	20.059
535.0	19.767
536.0	19.489
537.0	19.215
538.0	18.954
539.0	18.685
540.0	18.412
541.0	18.157
542.0	17.914
543.0	17.671
544.0	17.443
545.0	17.210
546.0	16.988
547.0	16.763
548.0	16.545
549.0	16.332
550.0	16.136
551.0	15.936
552.0	15.744
553.0	15.546
554.0	15.364
555.0	15.197
556.0	15.033
557.0	14.885
558.0	14.719
559.0	14.558
560.0	14.397
561.0	14.247
562.0	14.118
563.0	13.981
564.0	13.864
565.0	13.741
566.0	13.623
567.0	13.495
568.0	13.353
569.0	13.230
570.0	13.115
571.0	13.023
572.0	12.910
573.0	12.801
574.0	12.688
575.0	12.582
576.0	12.478
577.0	12.374
578.0	12.273
579.0	12.153
580.0	12.045
581.0	11.936
582.0	11.838
583.0	11.731
584.0	11.626
585.0	11.526
586.0	11.429
587.0	11.337
588.0	11.239
589.0	11.147
590.0	11.058
591.0	10.985
592.0	10.901
593.0	10.826
594.0	10.741
595.0	10.667
596.0	10.599
597.0	10.540
598.0	10.498
599.0	10.445
600.0	10.414
601.0	10.379
602.0	10.345
603.0	10.323
604.0	10.316
605.0	10.326
606.0	10.332
607.0	10.336
608.0	10.346
609.0	10.370
610.0	10.403
611.0	10.439
612.0	10.482
613.0	10.526
614.0	10.590
615.0	10.645
616.0	10.714
617.0	10.794
618.0	10.875
619.0	10.967
620.0	11.052
621.0	11.154
622.0	11.261
623.0	11.353
624.0	11.448
625.0	11.545
626.0	11.652
627.0	11.761
628.0	11.860
629.0	11.956
630.0	12.046
631.0	12.126
632.0	12.211
633.0	12.292
634.0	12.369
635.0	12.439
636.0	12.495
637.0	12.548
638.0	12.591
639.0	12.638
640.0	12.657
641.0	12.697
642.0	12.710
643.0	12.734
644.0	12.739
645.0	12.743
646.0	12.742
647.0	12.731
648.0	12.731
649.0	12.732
650.0	12.732
651.0	12.735
652.0	12.746
653.0	12.760
654.0	12.768
655.0	12.784
656.0	12.801
657.0	12.858
658.0	12.899
659.0	12.963
660.0	13.017
661.0	13.077
662.0	13.161
663.0	13.254
664.0	13.376
665.0	13.489
666.0	13.634
667.0	13.808
668.0	14.018
669.0	14.250
670.0	14.514
671.0	14.807
672.0	15.148
673.0	15.548
674.0	15.984
675.0	16.419
676.0	16.885
677.0	17.390
678.0	17.929
679.0	18.497
680.0	19.119
681.0	19.779
682.0	20.487
683.0	21.224
684.0	22.020
685.0	22.878
686.0	23.758
687.0	24.726
688.0	25.735
689.0	26.831
690.0	27.930
691.0	29.075
692.0	30.269
693.0	31.462
694.0	32.762
695.0	34.070
696.0	35.427
697.0	36.691
698.0	38.009
699.0	39.380
700.0	40.764
701.0	42.115
702.0	43.418
703.0	44.735
704.0	46.000
705.0	47.277
706.0	48.432
707.0	49.620
708.0	50.747
709.0	51.866
710.0	52.913
711.0	53.954
712.0	54.995
713.0	55.906
714.0	56.696
715.0	57.509
716.0	58.339
717.0	59.144
718.0	59.854
719.0	60.513
720.0	61.111
721.0	61.709
722.0	62.245
723.0	62.825
724.0	63.387
725.0	63.919
726.0	64.339
727.0	64.627
728.0	64.987
729.0	65.359
730.0	65.727
731.0	65.971
732.0	66.221
733.0	66.424
734.0	66.741
735.0	66.944
736.0	67.224
737.0	67.421
738.0	67.705
739.0	67.839
740.0	67.997
741.0	68.118
742.0	68.316
743.0	68.433
744.0	68.666
745.0	68.889
746.0	69.035
747.0	69.085
748.0	69.156
749.0	69.288
750.0	69.377
751.0	69.472
752.0	69.616
753.0	69.656
754.0	69.703
755.0	69.647
756.0	69.807
757.0	69.891
758.0	70.072
759.0	70.205
760.0	70.333
761.0	70.482
762.0	70.594
763.0	70.653
