[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/02/2023 18:50:58
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	5.567
286.0	5.590
287.0	5.623
288.0	5.649
289.0	5.637
290.0	5.719
291.0	5.711
292.0	5.728
293.0	5.647
294.0	5.685
295.0	5.713
296.0	5.758
297.0	5.788
298.0	5.821
299.0	5.808
300.0	5.792
301.0	5.813
302.0	5.796
303.0	5.825
304.0	5.761
305.0	5.736
306.0	5.689
307.0	5.675
308.0	5.687
309.0	5.709
310.0	5.704
311.0	5.692
312.0	5.621
313.0	5.589
314.0	5.586
315.0	5.540
316.0	5.525
317.0	5.449
318.0	5.461
319.0	5.404
320.0	5.360
321.0	5.308
322.0	5.283
323.0	5.274
324.0	5.255
325.0	5.259
326.0	5.215
327.0	5.172
328.0	5.141
329.0	5.151
330.0	5.129
331.0	5.103
332.0	5.109
333.0	5.113
334.0	5.109
335.0	5.083
336.0	5.084
337.0	5.051
338.0	5.057
339.0	5.066
340.0	5.071
341.0	5.068
342.0	5.077
343.0	5.111
344.0	5.097
345.0	5.089
346.0	5.078
347.0	5.102
348.0	5.147
349.0	5.179
350.0	5.226
351.0	5.255
352.0	5.301
353.0	5.325
354.0	5.357
355.0	5.391
356.0	5.434
357.0	5.451
358.0	5.487
359.0	5.514
360.0	5.556
361.0	5.577
362.0	5.602
363.0	5.636
364.0	5.666
365.0	5.673
366.0	5.675
367.0	5.691
368.0	5.710
369.0	5.713
370.0	5.702
371.0	5.713
372.0	5.710
373.0	5.700
374.0	5.686
375.0	5.659
376.0	5.653
377.0	5.633
378.0	5.626
379.0	5.602
380.0	5.576
381.0	5.536
382.0	5.506
383.0	5.473
384.0	5.455
385.0	5.425
386.0	5.394
387.0	5.360
388.0	5.321
389.0	5.289
390.0	5.264
391.0	5.238
392.0	5.206
393.0	5.180
394.0	5.164
395.0	5.139
396.0	5.107
397.0	5.076
398.0	5.045
399.0	5.015
400.0	4.987
401.0	4.971
402.0	4.947
403.0	4.917
404.0	4.893
405.0	4.875
406.0	4.850
407.0	4.831
408.0	4.820
409.0	4.812
410.0	4.800
411.0	4.793
412.0	4.800
413.0	4.794
414.0	4.787
415.0	4.776
416.0	4.791
417.0	4.803
418.0	4.820
419.0	4.827
420.0	4.844
421.0	4.866
422.0	4.895
423.0	4.919
424.0	4.953
425.0	4.976
426.0	4.999
427.0	5.025
428.0	5.068
429.0	5.112
430.0	5.159
431.0	5.200
432.0	5.248
433.0	5.279
434.0	5.313
435.0	5.362
436.0	5.412
437.0	5.470
438.0	5.521
439.0	5.580
440.0	5.633
441.0	5.684
442.0	5.733
443.0	5.788
444.0	5.834
445.0	5.889
446.0	5.940
447.0	5.992
448.0	6.031
449.0	6.077
450.0	6.123
451.0	6.185
452.0	6.236
453.0	6.296
454.0	6.346
455.0	6.400
456.0	6.448
457.0	6.488
458.0	6.531
459.0	6.576
460.0	6.626
461.0	6.664
462.0	6.701
463.0	6.747
464.0	6.793
465.0	6.827
466.0	6.858
467.0	6.890
468.0	6.934
469.0	6.963
470.0	6.998
471.0	7.028
472.0	7.068
473.0	7.106
474.0	7.150
475.0	7.192
476.0	7.224
477.0	7.258
478.0	7.286
479.0	7.329
480.0	7.353
481.0	7.385
482.0	7.398
483.0	7.434
484.0	7.462
485.0	7.492
486.0	7.510
487.0	7.527
488.0	7.546
489.0	7.562
490.0	7.586
491.0	7.607
492.0	7.634
493.0	7.648
494.0	7.672
495.0	7.681
496.0	7.700
497.0	7.699
498.0	7.719
499.0	7.728
500.0	7.744
501.0	7.745
502.0	7.750
503.0	7.757
504.0	7.775
505.0	7.779
506.0	7.795
507.0	7.803
508.0	7.816
509.0	7.816
510.0	7.808
511.0	7.797
512.0	7.781
513.0	7.777
514.0	7.775
515.0	7.776
516.0	7.767
517.0	7.769
518.0	7.766
519.0	7.758
520.0	7.750
521.0	7.745
522.0	7.742
523.0	7.736
524.0	7.714
525.0	7.685
526.0	7.663
527.0	7.658
528.0	7.650
529.0	7.624
530.0	7.588
531.0	7.561
532.0	7.539
533.0	7.522
534.0	7.503
535.0	7.482
536.0	7.453
537.0	7.419
538.0	7.384
539.0	7.368
540.0	7.348
541.0	7.328
542.0	7.301
543.0	7.279
544.0	7.249
545.0	7.223
546.0	7.190
547.0	7.172
548.0	7.150
549.0	7.122
550.0	7.089
551.0	7.065
552.0	7.047
553.0	7.026
554.0	6.993
555.0	6.972
556.0	6.951
557.0	6.919
558.0	6.897
559.0	6.870
560.0	6.852
561.0	6.826
562.0	6.800
563.0	6.782
564.0	6.759
565.0	6.751
566.0	6.734
567.0	6.711
568.0	6.695
569.0	6.670
570.0	6.652
571.0	6.626
572.0	6.615
573.0	6.597
574.0	6.569
575.0	6.550
576.0	6.537
577.0	6.530
578.0	6.512
579.0	6.491
580.0	6.473
581.0	6.461
582.0	6.457
583.0	6.465
584.0	6.457
585.0	6.443
586.0	6.428
587.0	6.418
588.0	6.410
589.0	6.399
590.0	6.400
591.0	6.393
592.0	6.391
593.0	6.385
594.0	6.386
595.0	6.378
596.0	6.373
597.0	6.369
598.0	6.362
599.0	6.363
600.0	6.364
601.0	6.369
602.0	6.362
603.0	6.362
604.0	6.360
605.0	6.365
606.0	6.354
607.0	6.366
608.0	6.357
609.0	6.365
610.0	6.356
611.0	6.366
612.0	6.365
613.0	6.371
614.0	6.367
615.0	6.371
616.0	6.371
617.0	6.380
618.0	6.386
619.0	6.393
620.0	6.400
621.0	6.404
622.0	6.413
623.0	6.424
624.0	6.432
625.0	6.433
626.0	6.426
627.0	6.438
628.0	6.440
629.0	6.456
630.0	6.453
631.0	6.479
632.0	6.480
633.0	6.482
634.0	6.482
635.0	6.487
636.0	6.512
637.0	6.517
638.0	6.541
639.0	6.545
640.0	6.557
641.0	6.566
642.0	6.576
643.0	6.581
644.0	6.602
645.0	6.615
646.0	6.635
647.0	6.630
648.0	6.648
649.0	6.660
650.0	6.675
651.0	6.685
652.0	6.698
653.0	6.719
654.0	6.728
655.0	6.741
656.0	6.744
657.0	6.758
658.0	6.773
659.0	6.791
660.0	6.808
661.0	6.805
662.0	6.815
663.0	6.827
664.0	6.847
665.0	6.860
666.0	6.882
667.0	6.905
668.0	6.928
669.0	6.956
670.0	6.989
671.0	7.022
672.0	7.044
673.0	7.066
674.0	7.072
675.0	7.087
676.0	7.095
677.0	7.123
678.0	7.133
679.0	7.154
680.0	7.176
681.0	7.209
682.0	7.228
683.0	7.243
684.0	7.276
685.0	7.312
686.0	7.340
687.0	7.345
688.0	7.355
689.0	7.349
690.0	7.369
691.0	7.392
692.0	7.450
693.0	7.460
694.0	7.479
695.0	7.493
696.0	7.534
697.0	7.558
698.0	7.583
699.0	7.614
700.0	7.634
701.0	7.665
702.0	7.675
703.0	7.713
704.0	7.722
705.0	7.726
706.0	7.752
707.0	7.767
708.0	7.800
709.0	7.811
710.0	7.847
711.0	7.879
712.0	7.901
713.0	7.926
714.0	7.964
715.0	8.003
716.0	8.026
717.0	8.041
718.0	8.075
719.0	8.103
720.0	8.141
721.0	8.147
722.0	8.172
723.0	8.182
724.0	8.234
725.0	8.254
726.0	8.286
727.0	8.276
728.0	8.306
729.0	8.356
730.0	8.395
731.0	8.418
732.0	8.426
733.0	8.451
734.0	8.470
735.0	8.484
736.0	8.492
737.0	8.507
738.0	8.531
739.0	8.562
740.0	8.614
741.0	8.635
742.0	8.671
743.0	8.704
744.0	8.745
745.0	8.780
746.0	8.797
747.0	8.826
748.0	8.847
749.0	8.855
750.0	8.860
751.0	8.895
752.0	8.914
753.0	8.952
754.0	8.975
755.0	9.009
756.0	9.024
757.0	9.047
758.0	9.080
759.0	9.129
760.0	9.166
761.0	9.245
762.0	9.253
763.0	9.259
