[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/02/2023 18:14:47
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	66.430
286.0	66.488
287.0	66.562
288.0	66.704
289.0	66.731
290.0	66.666
291.0	66.539
292.0	66.564
293.0	66.649
294.0	66.807
295.0	66.788
296.0	66.817
297.0	66.944
298.0	67.026
299.0	67.014
300.0	67.022
301.0	66.966
302.0	67.146
303.0	67.061
304.0	67.266
305.0	67.268
306.0	67.332
307.0	67.273
308.0	67.244
309.0	67.199
310.0	67.068
311.0	66.892
312.0	66.811
313.0	66.650
314.0	66.440
315.0	66.166
316.0	65.865
317.0	65.621
318.0	65.393
319.0	65.071
320.0	64.882
321.0	64.564
322.0	64.414
323.0	64.009
324.0	63.638
325.0	63.093
326.0	62.601
327.0	62.262
328.0	62.122
329.0	61.963
330.0	61.593
331.0	61.118
332.0	60.612
333.0	60.282
334.0	59.989
335.0	59.720
336.0	59.346
337.0	59.010
338.0	58.643
339.0	58.364
340.0	58.100
341.0	57.965
342.0	57.773
343.0	57.599
344.0	57.383
345.0	57.239
346.0	57.101
347.0	56.960
348.0	56.906
349.0	56.948
350.0	57.049
351.0	57.031
352.0	57.167
353.0	57.277
354.0	57.605
355.0	57.737
356.0	57.928
357.0	58.090
358.0	58.414
359.0	58.794
360.0	59.048
361.0	59.293
362.0	59.533
363.0	59.894
364.0	60.187
365.0	60.487
366.0	60.708
367.0	60.894
368.0	61.023
369.0	61.189
370.0	61.360
371.0	61.490
372.0	61.659
373.0	61.745
374.0	61.899
375.0	61.957
376.0	62.022
377.0	62.093
378.0	62.153
379.0	62.239
380.0	62.233
381.0	62.146
382.0	62.130
383.0	62.156
384.0	62.166
385.0	62.118
386.0	62.076
387.0	62.126
388.0	62.134
389.0	62.080
390.0	62.046
391.0	62.018
392.0	62.037
393.0	62.011
394.0	61.919
395.0	61.810
396.0	61.633
397.0	61.523
398.0	61.435
399.0	61.314
400.0	61.216
401.0	61.038
402.0	60.918
403.0	60.735
404.0	60.568
405.0	60.401
406.0	60.263
407.0	60.083
408.0	59.903
409.0	59.688
410.0	59.513
411.0	59.310
412.0	59.109
413.0	58.841
414.0	58.628
415.0	58.405
416.0	58.271
417.0	58.014
418.0	57.748
419.0	57.473
420.0	57.261
421.0	57.022
422.0	56.783
423.0	56.534
424.0	56.289
425.0	56.037
426.0	55.824
427.0	55.592
428.0	55.335
429.0	55.016
430.0	54.759
431.0	54.477
432.0	54.224
433.0	53.983
434.0	53.734
435.0	53.482
436.0	53.228
437.0	53.009
438.0	52.827
439.0	52.685
440.0	52.470
441.0	52.330
442.0	52.141
443.0	52.049
444.0	51.919
445.0	51.780
446.0	51.661
447.0	51.516
448.0	51.423
449.0	51.330
450.0	51.255
451.0	51.204
452.0	51.180
453.0	51.162
454.0	51.091
455.0	51.061
456.0	51.046
457.0	51.096
458.0	51.125
459.0	51.141
460.0	51.151
461.0	51.167
462.0	51.232
463.0	51.308
464.0	51.409
465.0	51.475
466.0	51.540
467.0	51.598
468.0	51.672
469.0	51.776
470.0	51.888
471.0	51.999
472.0	52.086
473.0	52.207
474.0	52.322
475.0	52.456
476.0	52.570
477.0	52.736
478.0	52.895
479.0	53.015
480.0	53.123
481.0	53.254
482.0	53.434
483.0	53.645
484.0	53.813
485.0	53.977
486.0	54.108
487.0	54.307
488.0	54.471
489.0	54.664
490.0	54.819
491.0	55.055
492.0	55.258
493.0	55.477
494.0	55.638
495.0	55.835
496.0	56.024
497.0	56.243
498.0	56.473
499.0	56.697
500.0	56.952
501.0	57.175
502.0	57.444
503.0	57.673
504.0	57.954
505.0	58.195
506.0	58.431
507.0	58.659
508.0	58.936
509.0	59.234
510.0	59.499
511.0	59.755
512.0	60.050
513.0	60.314
514.0	60.572
515.0	60.825
516.0	61.141
517.0	61.431
518.0	61.673
519.0	61.960
520.0	62.250
521.0	62.522
522.0	62.789
523.0	63.074
524.0	63.397
525.0	63.660
526.0	63.928
527.0	64.206
528.0	64.481
529.0	64.789
530.0	65.023
531.0	65.320
532.0	65.568
533.0	65.857
534.0	66.138
535.0	66.351
536.0	66.637
537.0	66.864
538.0	67.162
539.0	67.368
540.0	67.560
541.0	67.773
542.0	67.960
543.0	68.188
544.0	68.429
545.0	68.639
546.0	68.878
547.0	69.016
548.0	69.276
549.0	69.396
550.0	69.567
551.0	69.686
552.0	69.870
553.0	70.036
554.0	70.180
555.0	70.303
556.0	70.402
557.0	70.571
558.0	70.689
559.0	70.851
560.0	70.893
561.0	70.971
562.0	71.030
563.0	71.122
564.0	71.239
565.0	71.302
566.0	71.380
567.0	71.408
568.0	71.466
569.0	71.544
570.0	71.631
571.0	71.714
572.0	71.734
573.0	71.765
574.0	71.781
575.0	71.803
576.0	71.832
577.0	71.840
578.0	71.869
579.0	71.854
580.0	71.855
581.0	71.822
582.0	71.846
583.0	71.838
584.0	71.839
585.0	71.801
586.0	71.817
587.0	71.838
588.0	71.839
589.0	71.822
590.0	71.804
591.0	71.789
592.0	71.741
593.0	71.687
594.0	71.631
595.0	71.611
596.0	71.593
597.0	71.539
598.0	71.510
599.0	71.467
600.0	71.447
601.0	71.412
602.0	71.312
603.0	71.262
604.0	71.192
605.0	71.154
606.0	71.103
607.0	71.057
608.0	70.978
609.0	70.930
610.0	70.884
611.0	70.884
612.0	70.843
613.0	70.709
614.0	70.628
615.0	70.560
616.0	70.578
617.0	70.517
618.0	70.474
619.0	70.362
620.0	70.297
621.0	70.185
622.0	70.139
623.0	70.073
624.0	69.990
625.0	69.919
626.0	69.865
627.0	69.825
628.0	69.742
629.0	69.662
630.0	69.597
631.0	69.554
632.0	69.459
633.0	69.400
634.0	69.330
635.0	69.268
636.0	69.187
637.0	69.045
638.0	68.979
639.0	68.893
640.0	68.832
641.0	68.752
642.0	68.662
643.0	68.595
644.0	68.512
645.0	68.407
646.0	68.334
647.0	68.277
648.0	68.261
649.0	68.186
650.0	68.105
651.0	67.983
652.0	67.912
653.0	67.841
654.0	67.782
655.0	67.713
656.0	67.639
657.0	67.554
658.0	67.442
659.0	67.364
660.0	67.284
661.0	67.229
662.0	67.164
663.0	67.141
664.0	67.084
665.0	66.966
666.0	66.850
667.0	66.800
668.0	66.740
669.0	66.690
670.0	66.573
671.0	66.473
672.0	66.353
673.0	66.290
674.0	66.247
675.0	66.226
676.0	66.110
677.0	66.050
678.0	65.879
679.0	65.803
680.0	65.707
681.0	65.760
682.0	65.726
683.0	65.681
684.0	65.545
685.0	65.419
686.0	65.244
687.0	65.199
688.0	65.214
689.0	65.251
690.0	65.127
691.0	65.001
692.0	64.907
693.0	64.854
694.0	64.836
695.0	64.688
696.0	64.668
697.0	64.608
698.0	64.607
699.0	64.559
700.0	64.479
701.0	64.445
702.0	64.377
703.0	64.310
704.0	64.253
705.0	64.204
706.0	64.141
707.0	64.144
708.0	64.025
709.0	64.021
710.0	63.911
711.0	63.901
712.0	63.834
713.0	63.754
714.0	63.667
715.0	63.621
716.0	63.609
717.0	63.498
718.0	63.384
719.0	63.277
720.0	63.261
721.0	63.188
722.0	63.132
723.0	63.102
724.0	63.089
725.0	63.012
726.0	62.952
727.0	62.883
728.0	62.832
729.0	62.784
730.0	62.665
731.0	62.638
732.0	62.496
733.0	62.432
734.0	62.397
735.0	62.361
736.0	62.435
737.0	62.351
738.0	62.328
739.0	62.212
740.0	62.148
741.0	62.079
742.0	61.941
743.0	61.842
744.0	61.823
745.0	61.835
746.0	61.823
747.0	61.782
748.0	61.596
749.0	61.472
750.0	61.413
751.0	61.482
752.0	61.541
753.0	61.395
754.0	61.301
755.0	61.132
756.0	61.089
757.0	61.089
758.0	61.022
759.0	60.979
760.0	60.949
761.0	60.917
762.0	60.955
763.0	60.883
