[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	24/02/2023 12:58:07
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	47.164
286.0	47.680
287.0	48.631
288.0	49.554
289.0	50.646
290.0	51.355
291.0	52.391
292.0	53.029
293.0	53.797
294.0	54.414
295.0	55.175
296.0	56.006
297.0	56.648
298.0	57.328
299.0	57.983
300.0	58.660
301.0	59.330
302.0	60.021
303.0	60.424
304.0	60.981
305.0	61.364
306.0	61.906
307.0	62.372
308.0	62.857
309.0	62.958
310.0	63.246
311.0	63.447
312.0	63.902
313.0	63.975
314.0	64.068
315.0	64.189
316.0	64.220
317.0	64.159
318.0	64.111
319.0	64.031
320.0	63.980
321.0	63.880
322.0	63.843
323.0	63.814
324.0	63.716
325.0	63.682
326.0	63.441
327.0	63.244
328.0	63.050
329.0	62.922
330.0	62.817
331.0	62.643
332.0	62.434
333.0	62.205
334.0	61.981
335.0	61.877
336.0	61.759
337.0	61.565
338.0	61.418
339.0	61.163
340.0	60.887
341.0	60.652
342.0	60.520
343.0	60.403
344.0	60.178
345.0	59.828
346.0	59.531
347.0	59.218
348.0	59.024
349.0	58.794
350.0	58.629
351.0	58.357
352.0	58.108
353.0	57.882
354.0	57.799
355.0	57.661
356.0	57.514
357.0	57.299
358.0	57.144
359.0	56.942
360.0	56.745
361.0	56.580
362.0	56.416
363.0	56.385
364.0	56.247
365.0	56.196
366.0	56.029
367.0	55.884
368.0	55.669
369.0	55.437
370.0	55.273
371.0	55.126
372.0	54.927
373.0	54.702
374.0	54.514
375.0	54.336
376.0	54.194
377.0	54.046
378.0	53.948
379.0	53.847
380.0	53.700
381.0	53.645
382.0	53.604
383.0	53.660
384.0	53.687
385.0	53.652
386.0	53.665
387.0	53.699
388.0	53.795
389.0	53.835
390.0	53.845
391.0	53.851
392.0	53.893
393.0	53.921
394.0	53.900
395.0	53.859
396.0	53.838
397.0	53.834
398.0	53.766
399.0	53.677
400.0	53.639
401.0	53.536
402.0	53.387
403.0	53.224
404.0	53.124
405.0	53.031
406.0	52.881
407.0	52.711
408.0	52.568
409.0	52.405
410.0	52.253
411.0	52.113
412.0	52.072
413.0	52.018
414.0	51.924
415.0	51.802
416.0	51.701
417.0	51.674
418.0	51.601
419.0	51.538
420.0	51.433
421.0	51.385
422.0	51.360
423.0	51.302
424.0	51.232
425.0	51.091
426.0	50.995
427.0	50.871
428.0	50.754
429.0	50.603
430.0	50.429
431.0	50.271
432.0	50.059
433.0	49.825
434.0	49.561
435.0	49.324
436.0	49.064
437.0	48.773
438.0	48.520
439.0	48.234
440.0	47.950
441.0	47.626
442.0	47.379
443.0	47.146
444.0	46.875
445.0	46.567
446.0	46.281
447.0	46.036
448.0	45.796
449.0	45.540
450.0	45.255
451.0	44.997
452.0	44.763
453.0	44.567
454.0	44.371
455.0	44.171
456.0	44.031
457.0	43.867
458.0	43.721
459.0	43.582
460.0	43.483
461.0	43.386
462.0	43.276
463.0	43.174
464.0	43.123
465.0	43.073
466.0	43.043
467.0	43.027
468.0	43.000
469.0	42.998
470.0	42.970
471.0	42.988
472.0	42.999
473.0	43.040
474.0	43.071
475.0	43.124
476.0	43.166
477.0	43.226
478.0	43.275
479.0	43.360
480.0	43.443
481.0	43.545
482.0	43.635
483.0	43.744
484.0	43.890
485.0	44.016
486.0	44.129
487.0	44.236
488.0	44.390
489.0	44.559
490.0	44.710
491.0	44.875
492.0	45.030
493.0	45.208
494.0	45.390
495.0	45.584
496.0	45.781
497.0	45.994
498.0	46.234
499.0	46.473
500.0	46.700
501.0	46.935
502.0	47.191
503.0	47.437
504.0	47.686
505.0	47.969
506.0	48.269
507.0	48.571
508.0	48.847
509.0	49.116
510.0	49.436
511.0	49.744
512.0	50.067
513.0	50.370
514.0	50.682
515.0	51.001
516.0	51.289
517.0	51.590
518.0	51.913
519.0	52.242
520.0	52.574
521.0	52.890
522.0	53.194
523.0	53.509
524.0	53.800
525.0	54.134
526.0	54.492
527.0	54.830
528.0	55.148
529.0	55.433
530.0	55.780
531.0	56.049
532.0	56.318
533.0	56.561
534.0	56.840
535.0	57.093
536.0	57.327
537.0	57.536
538.0	57.786
539.0	58.028
540.0	58.272
541.0	58.430
542.0	58.617
543.0	58.805
544.0	59.038
545.0	59.193
546.0	59.365
547.0	59.503
548.0	59.688
549.0	59.822
550.0	59.969
551.0	60.059
552.0	60.167
553.0	60.254
554.0	60.357
555.0	60.445
556.0	60.499
557.0	60.568
558.0	60.660
559.0	60.731
560.0	60.774
561.0	60.759
562.0	60.769
563.0	60.776
564.0	60.819
565.0	60.828
566.0	60.864
567.0	60.866
568.0	60.858
569.0	60.826
570.0	60.795
571.0	60.788
572.0	60.773
573.0	60.786
574.0	60.788
575.0	60.753
576.0	60.691
577.0	60.659
578.0	60.616
579.0	60.575
580.0	60.510
581.0	60.419
582.0	60.356
583.0	60.285
584.0	60.227
585.0	60.149
586.0	60.073
587.0	59.984
588.0	59.906
589.0	59.832
590.0	59.774
591.0	59.629
592.0	59.491
593.0	59.361
594.0	59.296
595.0	59.189
596.0	59.095
597.0	59.019
598.0	58.946
599.0	58.857
600.0	58.714
601.0	58.590
602.0	58.462
603.0	58.317
604.0	58.159
605.0	58.008
606.0	57.897
607.0	57.813
608.0	57.704
609.0	57.586
610.0	57.428
611.0	57.304
612.0	57.158
613.0	57.058
614.0	56.903
615.0	56.789
616.0	56.653
617.0	56.522
618.0	56.371
619.0	56.218
620.0	56.104
621.0	55.961
622.0	55.796
623.0	55.637
624.0	55.544
625.0	55.418
626.0	55.298
627.0	55.134
628.0	54.995
629.0	54.813
630.0	54.634
631.0	54.488
632.0	54.376
633.0	54.239
634.0	54.098
635.0	53.935
636.0	53.759
637.0	53.584
638.0	53.439
639.0	53.331
640.0	53.218
641.0	53.051
642.0	52.884
643.0	52.718
644.0	52.543
645.0	52.389
646.0	52.232
647.0	52.129
648.0	51.970
649.0	51.783
650.0	51.603
651.0	51.433
652.0	51.302
653.0	51.135
654.0	50.999
655.0	50.822
656.0	50.685
657.0	50.528
658.0	50.391
659.0	50.263
660.0	50.131
661.0	49.990
662.0	49.822
663.0	49.721
664.0	49.612
665.0	49.498
666.0	49.336
667.0	49.180
668.0	49.049
669.0	48.875
670.0	48.703
671.0	48.522
672.0	48.401
673.0	48.296
674.0	48.194
675.0	48.033
676.0	47.885
677.0	47.729
678.0	47.628
679.0	47.531
680.0	47.382
681.0	47.268
682.0	47.096
683.0	46.975
684.0	46.851
685.0	46.788
686.0	46.705
687.0	46.594
688.0	46.435
689.0	46.265
690.0	46.104
691.0	46.001
692.0	45.877
693.0	45.765
694.0	45.654
695.0	45.578
696.0	45.447
697.0	45.331
698.0	45.211
699.0	45.103
700.0	44.968
701.0	44.886
702.0	44.793
703.0	44.652
704.0	44.490
705.0	44.409
706.0	44.350
707.0	44.253
708.0	44.176
709.0	44.042
710.0	43.945
711.0	43.760
712.0	43.752
713.0	43.686
714.0	43.605
715.0	43.459
716.0	43.329
717.0	43.238
718.0	43.089
719.0	42.982
720.0	42.849
721.0	42.756
722.0	42.683
723.0	42.618
724.0	42.539
725.0	42.418
726.0	42.308
727.0	42.235
728.0	42.139
729.0	42.047
730.0	41.910
731.0	41.838
732.0	41.732
733.0	41.645
734.0	41.468
735.0	41.312
736.0	41.208
737.0	41.125
738.0	41.065
739.0	40.952
740.0	40.881
741.0	40.742
742.0	40.607
743.0	40.513
744.0	40.408
745.0	40.276
746.0	40.133
747.0	40.100
748.0	40.057
749.0	40.001
750.0	39.846
751.0	39.728
752.0	39.650
753.0	39.527
754.0	39.467
755.0	39.332
756.0	39.240
757.0	39.105
758.0	38.952
759.0	38.922
760.0	38.828
761.0	38.818
762.0	38.706
763.0	38.636
