[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/03/2023 13:21:33
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 2000,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	870,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	4.783
286.0	4.816
287.0	4.873
288.0	4.916
289.0	4.998
290.0	5.021
291.0	5.070
292.0	5.075
293.0	5.144
294.0	5.187
295.0	5.238
296.0	5.237
297.0	5.208
298.0	5.196
299.0	5.238
300.0	5.242
301.0	5.220
302.0	5.196
303.0	5.240
304.0	5.269
305.0	5.260
306.0	5.237
307.0	5.259
308.0	5.278
309.0	5.277
310.0	5.240
311.0	5.254
312.0	5.266
313.0	5.265
314.0	5.247
315.0	5.239
316.0	5.245
317.0	5.220
318.0	5.231
319.0	5.250
320.0	5.276
321.0	5.273
322.0	5.231
323.0	5.193
324.0	5.188
325.0	5.215
326.0	5.235
327.0	5.201
328.0	5.203
329.0	5.198
330.0	5.229
331.0	5.244
332.0	5.280
333.0	5.302
334.0	5.309
335.0	5.294
336.0	5.290
337.0	5.276
338.0	5.291
339.0	5.297
340.0	5.319
341.0	5.327
342.0	5.336
343.0	5.336
344.0	5.330
345.0	5.334
346.0	5.326
347.0	5.322
348.0	5.293
349.0	5.280
350.0	5.264
351.0	5.277
352.0	5.283
353.0	5.293
354.0	5.297
355.0	5.284
356.0	5.246
357.0	5.214
358.0	5.196
359.0	5.192
360.0	5.160
361.0	5.142
362.0	5.123
363.0	5.110
364.0	5.085
365.0	5.058
366.0	5.023
367.0	4.988
368.0	4.972
369.0	4.935
370.0	4.907
371.0	4.880
372.0	4.880
373.0	4.849
374.0	4.811
375.0	4.777
376.0	4.763
377.0	4.732
378.0	4.695
379.0	4.648
380.0	4.628
381.0	4.611
382.0	4.595
383.0	4.564
384.0	4.526
385.0	4.503
386.0	4.470
387.0	4.439
388.0	4.394
389.0	4.354
390.0	4.320
391.0	4.288
392.0	4.263
393.0	4.241
394.0	4.214
395.0	4.183
396.0	4.152
397.0	4.120
398.0	4.096
399.0	4.070
400.0	4.045
401.0	4.006
402.0	3.973
403.0	3.942
404.0	3.920
405.0	3.878
406.0	3.847
407.0	3.821
408.0	3.803
409.0	3.782
410.0	3.749
411.0	3.713
412.0	3.678
413.0	3.656
414.0	3.647
415.0	3.633
416.0	3.610
417.0	3.584
418.0	3.560
419.0	3.547
420.0	3.534
421.0	3.517
422.0	3.495
423.0	3.474
424.0	3.461
425.0	3.455
426.0	3.440
427.0	3.423
428.0	3.411
429.0	3.401
430.0	3.399
431.0	3.398
432.0	3.392
433.0	3.393
434.0	3.384
435.0	3.389
436.0	3.390
437.0	3.386
438.0	3.389
439.0	3.393
440.0	3.393
441.0	3.397
442.0	3.403
443.0	3.421
444.0	3.434
445.0	3.439
446.0	3.450
447.0	3.469
448.0	3.495
449.0	3.520
450.0	3.532
451.0	3.548
452.0	3.566
453.0	3.587
454.0	3.614
455.0	3.639
456.0	3.666
457.0	3.695
458.0	3.724
459.0	3.755
460.0	3.783
461.0	3.818
462.0	3.850
463.0	3.885
464.0	3.914
465.0	3.953
466.0	3.985
467.0	4.022
468.0	4.059
469.0	4.100
470.0	4.142
471.0	4.183
472.0	4.234
473.0	4.289
474.0	4.341
475.0	4.390
476.0	4.445
477.0	4.515
478.0	4.572
479.0	4.623
480.0	4.669
481.0	4.729
482.0	4.796
483.0	4.860
484.0	4.928
485.0	4.988
486.0	5.045
487.0	5.100
488.0	5.166
489.0	5.237
490.0	5.304
491.0	5.364
492.0	5.432
493.0	5.502
494.0	5.571
495.0	5.637
496.0	5.715
497.0	5.800
498.0	5.882
499.0	5.967
500.0	6.049
501.0	6.133
502.0	6.213
503.0	6.301
504.0	6.401
505.0	6.494
506.0	6.581
507.0	6.663
508.0	6.751
509.0	6.852
510.0	6.943
511.0	7.026
512.0	7.106
513.0	7.191
514.0	7.291
515.0	7.385
516.0	7.470
517.0	7.557
518.0	7.654
519.0	7.758
520.0	7.856
521.0	7.954
522.0	8.043
523.0	8.142
524.0	8.243
525.0	8.344
526.0	8.440
527.0	8.535
528.0	8.643
529.0	8.736
530.0	8.839
531.0	8.949
532.0	9.068
533.0	9.171
534.0	9.273
535.0	9.382
536.0	9.478
537.0	9.576
538.0	9.673
539.0	9.781
540.0	9.893
541.0	9.982
542.0	10.083
543.0	10.165
544.0	10.270
545.0	10.372
546.0	10.474
547.0	10.577
548.0	10.669
549.0	10.764
550.0	10.859
551.0	10.951
552.0	11.040
553.0	11.133
554.0	11.230
555.0	11.314
556.0	11.398
557.0	11.474
558.0	11.557
559.0	11.633
560.0	11.711
561.0	11.790
562.0	11.866
563.0	11.941
564.0	12.018
565.0	12.076
566.0	12.146
567.0	12.205
568.0	12.285
569.0	12.351
570.0	12.429
571.0	12.500
572.0	12.562
573.0	12.625
574.0	12.689
575.0	12.770
576.0	12.828
577.0	12.904
578.0	12.976
579.0	13.064
580.0	13.146
581.0	13.228
582.0	13.318
583.0	13.395
584.0	13.482
585.0	13.558
586.0	13.651
587.0	13.733
588.0	13.808
589.0	13.889
590.0	13.955
591.0	14.050
592.0	14.132
593.0	14.230
594.0	14.321
595.0	14.400
596.0	14.475
597.0	14.541
598.0	14.624
599.0	14.712
600.0	14.786
601.0	14.853
602.0	14.919
603.0	15.000
604.0	15.069
605.0	15.133
606.0	15.183
607.0	15.221
608.0	15.254
609.0	15.291
610.0	15.340
611.0	15.376
612.0	15.409
613.0	15.423
614.0	15.456
615.0	15.491
616.0	15.539
617.0	15.576
618.0	15.588
619.0	15.595
620.0	15.582
621.0	15.585
622.0	15.579
623.0	15.582
624.0	15.572
625.0	15.575
626.0	15.573
627.0	15.584
628.0	15.592
629.0	15.600
630.0	15.588
631.0	15.569
632.0	15.542
633.0	15.540
634.0	15.535
635.0	15.542
636.0	15.538
637.0	15.547
638.0	15.560
639.0	15.570
640.0	15.596
641.0	15.632
642.0	15.641
643.0	15.657
644.0	15.663
645.0	15.727
646.0	15.769
647.0	15.827
648.0	15.877
649.0	15.947
650.0	16.005
651.0	16.070
652.0	16.137
653.0	16.225
654.0	16.293
655.0	16.364
656.0	16.438
657.0	16.522
658.0	16.601
659.0	16.666
660.0	16.720
661.0	16.792
662.0	16.853
663.0	16.941
664.0	17.013
665.0	17.107
666.0	17.191
667.0	17.265
668.0	17.362
669.0	17.452
670.0	17.549
671.0	17.603
672.0	17.664
673.0	17.715
674.0	17.789
675.0	17.826
676.0	17.867
677.0	17.892
678.0	17.942
679.0	17.965
680.0	17.979
681.0	17.974
682.0	18.000
683.0	17.989
684.0	17.995
685.0	17.969
686.0	17.957
687.0	17.918
688.0	17.895
689.0	17.874
690.0	17.820
691.0	17.751
692.0	17.676
693.0	17.651
694.0	17.608
695.0	17.571
696.0	17.500
697.0	17.426
698.0	17.363
699.0	17.322
700.0	17.305
701.0	17.234
702.0	17.199
703.0	17.172
704.0	17.183
705.0	17.172
706.0	17.148
707.0	17.153
708.0	17.150
709.0	17.174
710.0	17.205
711.0	17.259
712.0	17.344
713.0	17.451
714.0	17.587
715.0	17.691
716.0	17.811
717.0	17.934
718.0	18.101
719.0	18.284
720.0	18.460
721.0	18.605
722.0	18.734
723.0	18.857
724.0	19.000
725.0	19.135
726.0	19.251
727.0	19.383
728.0	19.446
729.0	19.569
730.0	19.647
731.0	19.731
732.0	19.797
733.0	19.855
734.0	19.930
735.0	19.966
736.0	20.005
737.0	20.056
738.0	20.053
739.0	20.082
740.0	20.082
741.0	20.086
742.0	20.027
743.0	19.991
744.0	19.978
745.0	19.929
746.0	19.859
747.0	19.807
748.0	19.783
749.0	19.750
750.0	19.645
751.0	19.577
752.0	19.495
753.0	19.450
754.0	19.368
755.0	19.293
756.0	19.226
757.0	19.122
758.0	19.013
759.0	18.884
760.0	18.816
761.0	18.709
762.0	18.639
763.0	18.532
764.0	18.442
765.0	18.303
766.0	18.207
