[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/03/2023 12:29:32
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 2000,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	870,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	44.577
286.0	45.186
287.0	46.029
288.0	46.970
289.0	47.874
290.0	48.757
291.0	49.601
292.0	50.265
293.0	50.990
294.0	51.434
295.0	52.015
296.0	52.497
297.0	53.145
298.0	53.750
299.0	54.241
300.0	54.947
301.0	55.314
302.0	55.799
303.0	55.998
304.0	56.487
305.0	56.886
306.0	57.123
307.0	57.283
308.0	57.350
309.0	57.632
310.0	57.924
311.0	58.108
312.0	58.183
313.0	58.128
314.0	58.169
315.0	57.999
316.0	58.043
317.0	57.971
318.0	58.141
319.0	57.869
320.0	57.723
321.0	57.401
322.0	57.206
323.0	56.899
324.0	56.486
325.0	56.226
326.0	56.018
327.0	55.785
328.0	55.410
329.0	54.967
330.0	54.614
331.0	54.416
332.0	54.104
333.0	53.789
334.0	53.429
335.0	53.150
336.0	52.850
337.0	52.442
338.0	52.128
339.0	51.652
340.0	51.221
341.0	50.667
342.0	50.157
343.0	49.668
344.0	49.211
345.0	48.788
346.0	48.204
347.0	47.726
348.0	47.301
349.0	46.838
350.0	46.261
351.0	45.613
352.0	45.049
353.0	44.493
354.0	43.960
355.0	43.409
356.0	42.831
357.0	42.299
358.0	41.820
359.0	41.374
360.0	40.884
361.0	40.364
362.0	39.875
363.0	39.404
364.0	38.926
365.0	38.477
366.0	38.065
367.0	37.659
368.0	37.231
369.0	36.804
370.0	36.447
371.0	36.105
372.0	35.792
373.0	35.499
374.0	35.224
375.0	35.033
376.0	34.922
377.0	34.837
378.0	34.759
379.0	34.654
380.0	34.624
381.0	34.621
382.0	34.717
383.0	34.837
384.0	35.014
385.0	35.210
386.0	35.453
387.0	35.717
388.0	35.999
389.0	36.307
390.0	36.658
391.0	36.983
392.0	37.317
393.0	37.623
394.0	38.000
395.0	38.362
396.0	38.735
397.0	39.082
398.0	39.449
399.0	39.776
400.0	40.115
401.0	40.404
402.0	40.673
403.0	40.909
404.0	41.150
405.0	41.375
406.0	41.573
407.0	41.769
408.0	41.950
409.0	42.118
410.0	42.268
411.0	42.470
412.0	42.655
413.0	42.857
414.0	43.086
415.0	43.360
416.0	43.636
417.0	43.909
418.0	44.218
419.0	44.591
420.0	44.947
421.0	45.326
422.0	45.708
423.0	46.114
424.0	46.526
425.0	46.926
426.0	47.392
427.0	47.835
428.0	48.306
429.0	48.704
430.0	49.128
431.0	49.456
432.0	49.801
433.0	50.036
434.0	50.263
435.0	50.458
436.0	50.646
437.0	50.803
438.0	50.861
439.0	50.894
440.0	50.898
441.0	50.895
442.0	50.819
443.0	50.720
444.0	50.574
445.0	50.459
446.0	50.323
447.0	50.185
448.0	50.037
449.0	49.899
450.0	49.750
451.0	49.589
452.0	49.387
453.0	49.193
454.0	49.013
455.0	48.815
456.0	48.617
457.0	48.399
458.0	48.234
459.0	48.046
460.0	47.871
461.0	47.694
462.0	47.561
463.0	47.404
464.0	47.281
465.0	47.123
466.0	47.015
467.0	46.870
468.0	46.781
469.0	46.688
470.0	46.584
471.0	46.499
472.0	46.412
473.0	46.360
474.0	46.276
475.0	46.230
476.0	46.183
477.0	46.127
478.0	46.057
479.0	46.015
480.0	46.021
481.0	46.011
482.0	46.010
483.0	46.007
484.0	45.988
485.0	46.025
486.0	46.061
487.0	46.124
488.0	46.164
489.0	46.210
490.0	46.283
491.0	46.344
492.0	46.411
493.0	46.495
494.0	46.569
495.0	46.680
496.0	46.793
497.0	46.894
498.0	46.971
499.0	47.066
500.0	47.228
501.0	47.411
502.0	47.578
503.0	47.738
504.0	47.889
505.0	48.069
506.0	48.247
507.0	48.424
508.0	48.584
509.0	48.742
510.0	48.897
511.0	49.079
512.0	49.284
513.0	49.475
514.0	49.680
515.0	49.850
516.0	50.062
517.0	50.223
518.0	50.413
519.0	50.576
520.0	50.790
521.0	50.986
522.0	51.190
523.0	51.332
524.0	51.468
525.0	51.615
526.0	51.802
527.0	51.951
528.0	52.128
529.0	52.265
530.0	52.404
531.0	52.464
532.0	52.590
533.0	52.698
534.0	52.848
535.0	52.913
536.0	53.009
537.0	53.103
538.0	53.177
539.0	53.263
540.0	53.283
541.0	53.345
542.0	53.384
543.0	53.407
544.0	53.408
545.0	53.396
546.0	53.453
547.0	53.464
548.0	53.494
549.0	53.461
550.0	53.488
551.0	53.461
552.0	53.432
553.0	53.378
554.0	53.321
555.0	53.294
556.0	53.222
557.0	53.171
558.0	53.082
559.0	53.022
560.0	52.963
561.0	52.915
562.0	52.849
563.0	52.750
564.0	52.649
565.0	52.559
566.0	52.460
567.0	52.376
568.0	52.259
569.0	52.151
570.0	52.021
571.0	51.887
572.0	51.777
573.0	51.629
574.0	51.506
575.0	51.359
576.0	51.219
577.0	51.058
578.0	50.903
579.0	50.757
580.0	50.615
581.0	50.454
582.0	50.296
583.0	50.141
584.0	49.986
585.0	49.829
586.0	49.665
587.0	49.512
588.0	49.357
589.0	49.190
590.0	49.027
591.0	48.827
592.0	48.657
593.0	48.460
594.0	48.295
595.0	48.104
596.0	47.905
597.0	47.708
598.0	47.502
599.0	47.308
600.0	47.116
601.0	46.932
602.0	46.751
603.0	46.543
604.0	46.357
605.0	46.149
606.0	45.953
607.0	45.709
608.0	45.507
609.0	45.302
610.0	45.121
611.0	44.912
612.0	44.709
613.0	44.526
614.0	44.333
615.0	44.132
616.0	43.898
617.0	43.649
618.0	43.429
619.0	43.211
620.0	43.046
621.0	42.852
622.0	42.694
623.0	42.478
624.0	42.265
625.0	42.016
626.0	41.802
627.0	41.585
628.0	41.398
629.0	41.186
630.0	40.967
631.0	40.761
632.0	40.554
633.0	40.400
634.0	40.197
635.0	39.998
636.0	39.750
637.0	39.560
638.0	39.364
639.0	39.200
640.0	39.008
641.0	38.841
642.0	38.646
643.0	38.469
644.0	38.281
645.0	38.101
646.0	37.907
647.0	37.727
648.0	37.534
649.0	37.334
650.0	37.170
651.0	37.021
652.0	36.876
653.0	36.681
654.0	36.493
655.0	36.279
656.0	36.105
657.0	35.908
658.0	35.735
659.0	35.548
660.0	35.407
661.0	35.278
662.0	35.154
663.0	35.024
664.0	34.875
665.0	34.728
666.0	34.578
667.0	34.427
668.0	34.257
669.0	34.087
670.0	33.943
671.0	33.818
672.0	33.659
673.0	33.544
674.0	33.423
675.0	33.352
676.0	33.171
677.0	33.008
678.0	32.864
679.0	32.772
680.0	32.684
681.0	32.598
682.0	32.519
683.0	32.437
684.0	32.291
685.0	32.208
686.0	32.085
687.0	32.000
688.0	31.855
689.0	31.751
690.0	31.640
691.0	31.567
692.0	31.480
693.0	31.419
694.0	31.334
695.0	31.276
696.0	31.218
697.0	31.131
698.0	31.047
699.0	30.943
700.0	30.856
701.0	30.789
702.0	30.762
703.0	30.745
704.0	30.683
705.0	30.584
706.0	30.511
707.0	30.439
708.0	30.374
709.0	30.315
710.0	30.236
711.0	30.194
712.0	30.088
713.0	30.052
714.0	29.986
715.0	29.952
716.0	29.882
717.0	29.816
718.0	29.750
719.0	29.646
720.0	29.555
721.0	29.483
722.0	29.435
723.0	29.400
724.0	29.328
725.0	29.292
726.0	29.183
727.0	29.096
728.0	29.010
729.0	28.966
730.0	28.902
731.0	28.831
732.0	28.734
733.0	28.693
734.0	28.659
735.0	28.618
736.0	28.551
737.0	28.426
738.0	28.293
739.0	28.166
740.0	28.107
741.0	28.075
742.0	28.020
743.0	27.939
744.0	27.844
745.0	27.775
746.0	27.691
747.0	27.577
748.0	27.515
749.0	27.418
750.0	27.419
751.0	27.298
752.0	27.244
753.0	27.135
754.0	27.082
755.0	27.022
756.0	26.939
757.0	26.848
758.0	26.723
759.0	26.649
760.0	26.602
761.0	26.574
762.0	26.542
763.0	26.516
764.0	26.456
765.0	26.351
766.0	26.286
