[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	20/03/2023 13:43:09
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 2000,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	870,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	5.665
286.0	5.660
287.0	5.644
288.0	5.650
289.0	5.667
290.0	5.685
291.0	5.709
292.0	5.725
293.0	5.766
294.0	5.814
295.0	5.847
296.0	5.884
297.0	5.888
298.0	5.935
299.0	5.972
300.0	6.026
301.0	6.030
302.0	6.073
303.0	6.079
304.0	6.036
305.0	5.958
306.0	5.946
307.0	5.987
308.0	6.031
309.0	6.008
310.0	5.962
311.0	5.949
312.0	5.969
313.0	5.986
314.0	5.924
315.0	5.841
316.0	5.795
317.0	5.750
318.0	5.732
319.0	5.674
320.0	5.636
321.0	5.595
322.0	5.592
323.0	5.566
324.0	5.512
325.0	5.442
326.0	5.359
327.0	5.281
328.0	5.215
329.0	5.181
330.0	5.161
331.0	5.115
332.0	5.068
333.0	5.022
334.0	4.966
335.0	4.931
336.0	4.848
337.0	4.808
338.0	4.717
339.0	4.689
340.0	4.655
341.0	4.614
342.0	4.562
343.0	4.512
344.0	4.482
345.0	4.435
346.0	4.393
347.0	4.358
348.0	4.323
349.0	4.276
350.0	4.264
351.0	4.253
352.0	4.227
353.0	4.181
354.0	4.156
355.0	4.131
356.0	4.099
357.0	4.072
358.0	4.071
359.0	4.062
360.0	4.038
361.0	4.015
362.0	4.004
363.0	3.994
364.0	3.994
365.0	4.001
366.0	3.998
367.0	3.981
368.0	3.967
369.0	3.968
370.0	3.974
371.0	3.991
372.0	3.999
373.0	4.020
374.0	4.045
375.0	4.077
376.0	4.089
377.0	4.104
378.0	4.124
379.0	4.160
380.0	4.189
381.0	4.207
382.0	4.233
383.0	4.259
384.0	4.288
385.0	4.303
386.0	4.336
387.0	4.367
388.0	4.406
389.0	4.423
390.0	4.449
391.0	4.479
392.0	4.506
393.0	4.535
394.0	4.553
395.0	4.578
396.0	4.588
397.0	4.603
398.0	4.615
399.0	4.637
400.0	4.658
401.0	4.667
402.0	4.680
403.0	4.687
404.0	4.698
405.0	4.711
406.0	4.713
407.0	4.735
408.0	4.745
409.0	4.767
410.0	4.773
411.0	4.789
412.0	4.791
413.0	4.810
414.0	4.808
415.0	4.835
416.0	4.839
417.0	4.849
418.0	4.848
419.0	4.853
420.0	4.862
421.0	4.871
422.0	4.882
423.0	4.889
424.0	4.880
425.0	4.882
426.0	4.871
427.0	4.873
428.0	4.869
429.0	4.884
430.0	4.895
431.0	4.896
432.0	4.902
433.0	4.901
434.0	4.903
435.0	4.911
436.0	4.930
437.0	4.962
438.0	4.976
439.0	4.985
440.0	4.993
441.0	5.017
442.0	5.046
443.0	5.074
444.0	5.101
445.0	5.139
446.0	5.171
447.0	5.197
448.0	5.219
449.0	5.249
450.0	5.286
451.0	5.328
452.0	5.368
453.0	5.405
454.0	5.442
455.0	5.477
456.0	5.514
457.0	5.540
458.0	5.576
459.0	5.607
460.0	5.653
461.0	5.684
462.0	5.724
463.0	5.750
464.0	5.786
465.0	5.809
466.0	5.839
467.0	5.862
468.0	5.897
469.0	5.924
470.0	5.966
471.0	6.000
472.0	6.034
473.0	6.063
474.0	6.097
475.0	6.132
476.0	6.162
477.0	6.194
478.0	6.222
479.0	6.251
480.0	6.279
481.0	6.312
482.0	6.332
483.0	6.356
484.0	6.377
485.0	6.406
486.0	6.431
487.0	6.464
488.0	6.489
489.0	6.504
490.0	6.512
491.0	6.524
492.0	6.546
493.0	6.557
494.0	6.579
495.0	6.598
496.0	6.621
497.0	6.621
498.0	6.624
499.0	6.645
500.0	6.677
501.0	6.682
502.0	6.678
503.0	6.675
504.0	6.688
505.0	6.687
506.0	6.696
507.0	6.704
508.0	6.719
509.0	6.715
510.0	6.718
511.0	6.717
512.0	6.721
513.0	6.715
514.0	6.710
515.0	6.697
516.0	6.693
517.0	6.681
518.0	6.683
519.0	6.671
520.0	6.662
521.0	6.644
522.0	6.630
523.0	6.617
524.0	6.598
525.0	6.582
526.0	6.569
527.0	6.546
528.0	6.532
529.0	6.500
530.0	6.480
531.0	6.444
532.0	6.415
533.0	6.390
534.0	6.371
535.0	6.355
536.0	6.335
537.0	6.311
538.0	6.293
539.0	6.265
540.0	6.239
541.0	6.213
542.0	6.200
543.0	6.180
544.0	6.155
545.0	6.135
546.0	6.120
547.0	6.099
548.0	6.065
549.0	6.043
550.0	6.026
551.0	6.015
552.0	5.991
553.0	5.976
554.0	5.956
555.0	5.943
556.0	5.925
557.0	5.909
558.0	5.895
559.0	5.871
560.0	5.856
561.0	5.845
562.0	5.840
563.0	5.829
564.0	5.806
565.0	5.799
566.0	5.796
567.0	5.790
568.0	5.774
569.0	5.759
570.0	5.754
571.0	5.738
572.0	5.723
573.0	5.703
574.0	5.696
575.0	5.687
576.0	5.685
577.0	5.685
578.0	5.689
579.0	5.688
580.0	5.681
581.0	5.675
582.0	5.671
583.0	5.673
584.0	5.674
585.0	5.680
586.0	5.676
587.0	5.673
588.0	5.672
589.0	5.682
590.0	5.689
591.0	5.695
592.0	5.699
593.0	5.705
594.0	5.698
595.0	5.704
596.0	5.716
597.0	5.732
598.0	5.743
599.0	5.749
600.0	5.774
601.0	5.776
602.0	5.789
603.0	5.792
604.0	5.808
605.0	5.815
606.0	5.832
607.0	5.847
608.0	5.866
609.0	5.878
610.0	5.892
611.0	5.904
612.0	5.926
613.0	5.946
614.0	5.959
615.0	5.972
616.0	5.987
617.0	6.012
618.0	6.020
619.0	6.030
620.0	6.047
621.0	6.075
622.0	6.095
623.0	6.111
624.0	6.134
625.0	6.154
626.0	6.186
627.0	6.209
628.0	6.238
629.0	6.250
630.0	6.273
631.0	6.295
632.0	6.317
633.0	6.334
634.0	6.358
635.0	6.387
636.0	6.406
637.0	6.434
638.0	6.454
639.0	6.483
640.0	6.498
641.0	6.523
642.0	6.559
643.0	6.581
644.0	6.605
645.0	6.619
646.0	6.644
647.0	6.676
648.0	6.695
649.0	6.733
650.0	6.754
651.0	6.792
652.0	6.813
653.0	6.834
654.0	6.870
655.0	6.893
656.0	6.931
657.0	6.944
658.0	6.973
659.0	7.003
660.0	7.032
661.0	7.047
662.0	7.057
663.0	7.076
664.0	7.109
665.0	7.143
666.0	7.169
667.0	7.184
668.0	7.204
669.0	7.240
670.0	7.286
671.0	7.330
672.0	7.354
673.0	7.396
674.0	7.421
675.0	7.454
676.0	7.469
677.0	7.505
678.0	7.559
679.0	7.604
680.0	7.623
681.0	7.638
682.0	7.648
683.0	7.688
684.0	7.709
685.0	7.739
686.0	7.754
687.0	7.785
688.0	7.802
689.0	7.829
690.0	7.858
691.0	7.896
692.0	7.945
693.0	7.954
694.0	7.973
695.0	7.982
696.0	7.995
697.0	8.041
698.0	8.067
699.0	8.104
700.0	8.123
701.0	8.129
702.0	8.151
703.0	8.172
704.0	8.218
705.0	8.260
706.0	8.270
707.0	8.276
708.0	8.299
709.0	8.334
710.0	8.378
711.0	8.378
712.0	8.400
713.0	8.430
714.0	8.455
715.0	8.471
716.0	8.485
717.0	8.524
718.0	8.565
719.0	8.598
720.0	8.614
721.0	8.624
722.0	8.636
723.0	8.667
724.0	8.695
725.0	8.735
726.0	8.754
727.0	8.774
728.0	8.789
729.0	8.812
730.0	8.851
731.0	8.858
732.0	8.896
733.0	8.916
734.0	8.962
735.0	8.975
736.0	8.990
737.0	9.006
738.0	9.030
739.0	9.087
740.0	9.116
741.0	9.160
742.0	9.183
743.0	9.220
744.0	9.247
745.0	9.242
746.0	9.264
747.0	9.277
748.0	9.310
749.0	9.346
750.0	9.393
751.0	9.433
752.0	9.462
753.0	9.457
754.0	9.482
755.0	9.470
756.0	9.524
757.0	9.560
758.0	9.626
759.0	9.641
760.0	9.664
761.0	9.695
762.0	9.696
763.0	9.719
764.0	9.749
765.0	9.819
766.0	9.847
