[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/04/2023 12:07:19
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	R_robot_16-100-P1_optical_pads.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	5.525
286.0	5.457
287.0	5.409
288.0	5.465
289.0	5.461
290.0	5.455
291.0	5.430
292.0	5.459
293.0	5.491
294.0	5.506
295.0	5.501
296.0	5.489
297.0	5.494
298.0	5.516
299.0	5.545
300.0	5.583
301.0	5.590
302.0	5.603
303.0	5.540
304.0	5.506
305.0	5.461
306.0	5.492
307.0	5.483
308.0	5.465
309.0	5.428
310.0	5.430
311.0	5.403
312.0	5.366
313.0	5.332
314.0	5.293
315.0	5.251
316.0	5.172
317.0	5.146
318.0	5.123
319.0	5.093
320.0	5.039
321.0	4.984
322.0	4.937
323.0	4.879
324.0	4.821
325.0	4.810
326.0	4.770
327.0	4.753
328.0	4.682
329.0	4.638
330.0	4.573
331.0	4.526
332.0	4.489
333.0	4.463
334.0	4.439
335.0	4.406
336.0	4.360
337.0	4.319
338.0	4.277
339.0	4.262
340.0	4.244
341.0	4.236
342.0	4.205
343.0	4.196
344.0	4.185
345.0	4.187
346.0	4.179
347.0	4.173
348.0	4.193
349.0	4.196
350.0	4.204
351.0	4.208
352.0	4.219
353.0	4.249
354.0	4.275
355.0	4.311
356.0	4.343
357.0	4.373
358.0	4.399
359.0	4.419
360.0	4.433
361.0	4.468
362.0	4.487
363.0	4.513
364.0	4.526
365.0	4.549
366.0	4.557
367.0	4.564
368.0	4.557
369.0	4.556
370.0	4.558
371.0	4.581
372.0	4.582
373.0	4.574
374.0	4.544
375.0	4.531
376.0	4.521
377.0	4.514
378.0	4.512
379.0	4.502
380.0	4.498
381.0	4.476
382.0	4.453
383.0	4.435
384.0	4.418
385.0	4.413
386.0	4.388
387.0	4.377
388.0	4.343
389.0	4.333
390.0	4.302
391.0	4.294
392.0	4.264
393.0	4.249
394.0	4.233
395.0	4.219
396.0	4.203
397.0	4.193
398.0	4.181
399.0	4.165
400.0	4.144
401.0	4.131
402.0	4.119
403.0	4.104
404.0	4.092
405.0	4.078
406.0	4.060
407.0	4.053
408.0	4.051
409.0	4.059
410.0	4.059
411.0	4.055
412.0	4.054
413.0	4.049
414.0	4.062
415.0	4.075
416.0	4.087
417.0	4.093
418.0	4.098
419.0	4.110
420.0	4.121
421.0	4.131
422.0	4.146
423.0	4.168
424.0	4.196
425.0	4.224
426.0	4.244
427.0	4.258
428.0	4.275
429.0	4.287
430.0	4.309
431.0	4.335
432.0	4.377
433.0	4.415
434.0	4.447
435.0	4.477
436.0	4.508
437.0	4.551
438.0	4.586
439.0	4.626
440.0	4.660
441.0	4.709
442.0	4.755
443.0	4.801
444.0	4.836
445.0	4.879
446.0	4.926
447.0	4.979
448.0	5.021
449.0	5.057
450.0	5.100
451.0	5.149
452.0	5.210
453.0	5.262
454.0	5.311
455.0	5.357
456.0	5.397
457.0	5.444
458.0	5.489
459.0	5.540
460.0	5.582
461.0	5.615
462.0	5.657
463.0	5.700
464.0	5.747
465.0	5.778
466.0	5.819
467.0	5.856
468.0	5.900
469.0	5.940
470.0	5.981
471.0	6.022
472.0	6.058
473.0	6.094
474.0	6.131
475.0	6.165
476.0	6.211
477.0	6.256
478.0	6.294
479.0	6.326
480.0	6.348
481.0	6.391
482.0	6.422
483.0	6.467
484.0	6.496
485.0	6.528
486.0	6.552
487.0	6.579
488.0	6.608
489.0	6.629
490.0	6.657
491.0	6.681
492.0	6.708
493.0	6.725
494.0	6.746
495.0	6.776
496.0	6.804
497.0	6.834
498.0	6.854
499.0	6.878
500.0	6.900
501.0	6.925
502.0	6.940
503.0	6.953
504.0	6.967
505.0	6.986
506.0	7.002
507.0	7.018
508.0	7.028
509.0	7.029
510.0	7.043
511.0	7.050
512.0	7.063
513.0	7.056
514.0	7.062
515.0	7.067
516.0	7.076
517.0	7.071
518.0	7.064
519.0	7.062
520.0	7.065
521.0	7.078
522.0	7.075
523.0	7.071
524.0	7.055
525.0	7.047
526.0	7.044
527.0	7.042
528.0	7.026
529.0	7.005
530.0	6.985
531.0	6.977
532.0	6.963
533.0	6.950
534.0	6.922
535.0	6.905
536.0	6.883
537.0	6.870
538.0	6.843
539.0	6.832
540.0	6.814
541.0	6.785
542.0	6.751
543.0	6.715
544.0	6.706
545.0	6.691
546.0	6.684
547.0	6.650
548.0	6.622
549.0	6.591
550.0	6.575
551.0	6.552
552.0	6.530
553.0	6.506
554.0	6.481
555.0	6.467
556.0	6.452
557.0	6.439
558.0	6.403
559.0	6.376
560.0	6.349
561.0	6.333
562.0	6.311
563.0	6.289
564.0	6.277
565.0	6.259
566.0	6.239
567.0	6.209
568.0	6.180
569.0	6.164
570.0	6.142
571.0	6.127
572.0	6.098
573.0	6.079
574.0	6.054
575.0	6.037
576.0	6.024
577.0	6.009
578.0	5.993
579.0	5.963
580.0	5.951
581.0	5.939
582.0	5.931
583.0	5.917
584.0	5.903
585.0	5.891
586.0	5.878
587.0	5.860
588.0	5.847
589.0	5.833
590.0	5.823
591.0	5.824
592.0	5.820
593.0	5.818
594.0	5.814
595.0	5.809
596.0	5.805
597.0	5.801
598.0	5.801
599.0	5.801
600.0	5.799
601.0	5.797
602.0	5.797
603.0	5.788
604.0	5.784
605.0	5.767
606.0	5.763
607.0	5.762
608.0	5.780
609.0	5.781
610.0	5.789
611.0	5.790
612.0	5.794
613.0	5.789
614.0	5.789
615.0	5.796
616.0	5.794
617.0	5.802
618.0	5.808
619.0	5.817
620.0	5.829
621.0	5.828
622.0	5.834
623.0	5.825
624.0	5.833
625.0	5.851
626.0	5.862
627.0	5.865
628.0	5.876
629.0	5.880
630.0	5.896
631.0	5.899
632.0	5.915
633.0	5.919
634.0	5.934
635.0	5.938
636.0	5.956
637.0	5.970
638.0	5.994
639.0	6.003
640.0	6.010
641.0	6.016
642.0	6.032
643.0	6.038
644.0	6.044
645.0	6.062
646.0	6.085
647.0	6.107
648.0	6.112
649.0	6.133
650.0	6.144
651.0	6.164
652.0	6.175
653.0	6.197
654.0	6.212
655.0	6.216
656.0	6.226
657.0	6.238
658.0	6.255
659.0	6.261
660.0	6.278
661.0	6.296
662.0	6.318
663.0	6.335
664.0	6.350
665.0	6.365
666.0	6.382
667.0	6.408
668.0	6.437
669.0	6.468
670.0	6.502
671.0	6.534
672.0	6.567
673.0	6.580
674.0	6.604
675.0	6.620
676.0	6.648
677.0	6.670
678.0	6.692
679.0	6.724
680.0	6.751
681.0	6.774
682.0	6.785
683.0	6.797
684.0	6.817
685.0	6.836
686.0	6.861
687.0	6.882
688.0	6.892
689.0	6.918
690.0	6.951
691.0	6.988
692.0	7.002
693.0	7.021
694.0	7.059
695.0	7.087
696.0	7.116
697.0	7.129
698.0	7.154
699.0	7.175
700.0	7.199
701.0	7.218
702.0	7.241
703.0	7.268
704.0	7.290
705.0	7.305
706.0	7.332
707.0	7.370
708.0	7.402
709.0	7.418
710.0	7.425
711.0	7.441
712.0	7.468
713.0	7.493
714.0	7.518
715.0	7.537
716.0	7.572
717.0	7.594
718.0	7.626
719.0	7.668
720.0	7.711
721.0	7.728
722.0	7.734
723.0	7.750
724.0	7.773
725.0	7.790
726.0	7.830
727.0	7.860
728.0	7.897
729.0	7.910
730.0	7.949
731.0	7.974
732.0	8.006
733.0	8.008
734.0	8.043
735.0	8.081
736.0	8.117
737.0	8.134
738.0	8.149
739.0	8.192
740.0	8.230
741.0	8.242
742.0	8.269
743.0	8.272
744.0	8.305
745.0	8.333
746.0	8.386
747.0	8.419
748.0	8.420
749.0	8.444
750.0	8.477
751.0	8.539
752.0	8.543
753.0	8.583
754.0	8.564
755.0	8.620
756.0	8.616
757.0	8.675
758.0	8.695
759.0	8.739
760.0	8.757
761.0	8.795
