[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/04/2023 11:55:16
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	R_robot_16-100-P1_optical_pads.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	6.698
286.0	6.653
287.0	6.659
288.0	6.697
289.0	6.752
290.0	6.770
291.0	6.819
292.0	6.832
293.0	6.813
294.0	6.823
295.0	6.788
296.0	6.825
297.0	6.772
298.0	6.802
299.0	6.755
300.0	6.774
301.0	6.766
302.0	6.748
303.0	6.742
304.0	6.736
305.0	6.736
306.0	6.738
307.0	6.699
308.0	6.692
309.0	6.673
310.0	6.652
311.0	6.670
312.0	6.644
313.0	6.632
314.0	6.600
315.0	6.591
316.0	6.570
317.0	6.554
318.0	6.541
319.0	6.564
320.0	6.565
321.0	6.560
322.0	6.547
323.0	6.526
324.0	6.529
325.0	6.545
326.0	6.563
327.0	6.567
328.0	6.561
329.0	6.510
330.0	6.511
331.0	6.489
332.0	6.502
333.0	6.488
334.0	6.470
335.0	6.454
336.0	6.446
337.0	6.437
338.0	6.443
339.0	6.448
340.0	6.453
341.0	6.443
342.0	6.425
343.0	6.410
344.0	6.398
345.0	6.393
346.0	6.392
347.0	6.371
348.0	6.324
349.0	6.289
350.0	6.274
351.0	6.273
352.0	6.228
353.0	6.203
354.0	6.178
355.0	6.176
356.0	6.159
357.0	6.122
358.0	6.110
359.0	6.079
360.0	6.050
361.0	6.002
362.0	5.970
363.0	5.939
364.0	5.910
365.0	5.906
366.0	5.893
367.0	5.883
368.0	5.835
369.0	5.793
370.0	5.759
371.0	5.740
372.0	5.730
373.0	5.713
374.0	5.695
375.0	5.674
376.0	5.652
377.0	5.627
378.0	5.599
379.0	5.577
380.0	5.537
381.0	5.529
382.0	5.510
383.0	5.486
384.0	5.452
385.0	5.425
386.0	5.426
387.0	5.428
388.0	5.416
389.0	5.395
390.0	5.375
391.0	5.362
392.0	5.345
393.0	5.327
394.0	5.319
395.0	5.311
396.0	5.299
397.0	5.289
398.0	5.289
399.0	5.286
400.0	5.279
401.0	5.265
402.0	5.255
403.0	5.251
404.0	5.233
405.0	5.223
406.0	5.205
407.0	5.199
408.0	5.179
409.0	5.167
410.0	5.163
411.0	5.159
412.0	5.151
413.0	5.138
414.0	5.138
415.0	5.140
416.0	5.144
417.0	5.154
418.0	5.152
419.0	5.154
420.0	5.151
421.0	5.154
422.0	5.146
423.0	5.140
424.0	5.136
425.0	5.140
426.0	5.138
427.0	5.147
428.0	5.150
429.0	5.154
430.0	5.156
431.0	5.162
432.0	5.171
433.0	5.177
434.0	5.189
435.0	5.207
436.0	5.222
437.0	5.233
438.0	5.232
439.0	5.258
440.0	5.277
441.0	5.296
442.0	5.299
443.0	5.309
444.0	5.322
445.0	5.350
446.0	5.380
447.0	5.417
448.0	5.440
449.0	5.459
450.0	5.492
451.0	5.511
452.0	5.549
453.0	5.567
454.0	5.604
455.0	5.635
456.0	5.679
457.0	5.722
458.0	5.761
459.0	5.804
460.0	5.843
461.0	5.879
462.0	5.917
463.0	5.952
464.0	5.996
465.0	6.039
466.0	6.096
467.0	6.140
468.0	6.186
469.0	6.235
470.0	6.291
471.0	6.350
472.0	6.409
473.0	6.468
474.0	6.534
475.0	6.603
476.0	6.665
477.0	6.727
478.0	6.800
479.0	6.887
480.0	6.969
481.0	7.039
482.0	7.107
483.0	7.184
484.0	7.261
485.0	7.350
486.0	7.423
487.0	7.505
488.0	7.584
489.0	7.668
490.0	7.755
491.0	7.833
492.0	7.928
493.0	8.012
494.0	8.099
495.0	8.188
496.0	8.282
497.0	8.379
498.0	8.479
499.0	8.576
500.0	8.677
501.0	8.760
502.0	8.864
503.0	8.961
504.0	9.077
505.0	9.162
506.0	9.266
507.0	9.370
508.0	9.491
509.0	9.596
510.0	9.696
511.0	9.790
512.0	9.909
513.0	10.011
514.0	10.119
515.0	10.209
516.0	10.318
517.0	10.429
518.0	10.530
519.0	10.644
520.0	10.747
521.0	10.861
522.0	10.960
523.0	11.080
524.0	11.193
525.0	11.316
526.0	11.420
527.0	11.532
528.0	11.643
529.0	11.769
530.0	11.891
531.0	12.008
532.0	12.117
533.0	12.229
534.0	12.330
535.0	12.432
536.0	12.542
537.0	12.654
538.0	12.779
539.0	12.885
540.0	13.000
541.0	13.109
542.0	13.209
543.0	13.319
544.0	13.420
545.0	13.538
546.0	13.650
547.0	13.768
548.0	13.879
549.0	13.979
550.0	14.068
551.0	14.168
552.0	14.266
553.0	14.365
554.0	14.468
555.0	14.582
556.0	14.699
557.0	14.793
558.0	14.891
559.0	14.976
560.0	15.075
561.0	15.165
562.0	15.258
563.0	15.361
564.0	15.453
565.0	15.554
566.0	15.637
567.0	15.726
568.0	15.810
569.0	15.899
570.0	15.990
571.0	16.084
572.0	16.160
573.0	16.241
574.0	16.318
575.0	16.417
576.0	16.507
577.0	16.613
578.0	16.714
579.0	16.816
580.0	16.903
581.0	16.987
582.0	17.085
583.0	17.190
584.0	17.296
585.0	17.378
586.0	17.476
587.0	17.559
588.0	17.655
589.0	17.732
590.0	17.824
591.0	17.927
592.0	18.009
593.0	18.098
594.0	18.178
595.0	18.277
596.0	18.363
597.0	18.439
598.0	18.513
599.0	18.597
600.0	18.684
601.0	18.774
602.0	18.841
603.0	18.929
604.0	18.996
605.0	19.049
606.0	19.116
607.0	19.157
608.0	19.239
609.0	19.278
610.0	19.363
611.0	19.423
612.0	19.495
613.0	19.561
614.0	19.623
615.0	19.673
616.0	19.713
617.0	19.747
618.0	19.784
619.0	19.838
620.0	19.892
621.0	19.938
622.0	19.971
623.0	20.021
624.0	20.061
625.0	20.100
626.0	20.124
627.0	20.172
628.0	20.234
629.0	20.286
630.0	20.339
631.0	20.355
632.0	20.424
633.0	20.476
634.0	20.545
635.0	20.582
636.0	20.625
637.0	20.651
638.0	20.699
639.0	20.746
640.0	20.821
641.0	20.882
642.0	20.945
643.0	21.013
644.0	21.089
645.0	21.170
646.0	21.247
647.0	21.324
648.0	21.417
649.0	21.498
650.0	21.571
651.0	21.652
652.0	21.739
653.0	21.843
654.0	21.909
655.0	22.002
656.0	22.070
657.0	22.176
658.0	22.251
659.0	22.331
660.0	22.415
661.0	22.488
662.0	22.564
663.0	22.626
664.0	22.696
665.0	22.780
666.0	22.860
667.0	22.940
668.0	23.042
669.0	23.140
670.0	23.235
671.0	23.317
672.0	23.391
673.0	23.476
674.0	23.523
675.0	23.583
676.0	23.638
677.0	23.693
678.0	23.742
679.0	23.804
680.0	23.853
681.0	23.882
682.0	23.887
683.0	23.913
684.0	23.925
685.0	23.918
686.0	23.906
687.0	23.908
688.0	23.907
689.0	23.881
690.0	23.849
691.0	23.773
692.0	23.735
693.0	23.677
694.0	23.664
695.0	23.569
696.0	23.493
697.0	23.382
698.0	23.279
699.0	23.185
700.0	23.117
701.0	23.069
702.0	22.962
703.0	22.846
704.0	22.709
705.0	22.583
706.0	22.465
707.0	22.363
708.0	22.258
709.0	22.122
710.0	21.976
711.0	21.862
712.0	21.745
713.0	21.629
714.0	21.504
715.0	21.362
716.0	21.222
717.0	21.057
718.0	20.948
719.0	20.819
720.0	20.705
721.0	20.510
722.0	20.380
723.0	20.259
724.0	20.200
725.0	20.072
726.0	19.926
727.0	19.804
728.0	19.712
729.0	19.630
730.0	19.512
731.0	19.379
732.0	19.236
733.0	19.130
734.0	18.990
735.0	18.877
736.0	18.800
737.0	18.708
738.0	18.611
739.0	18.491
740.0	18.410
741.0	18.352
742.0	18.221
743.0	18.158
744.0	18.051
745.0	17.999
746.0	17.932
747.0	17.861
748.0	17.796
749.0	17.698
750.0	17.593
751.0	17.502
752.0	17.432
753.0	17.428
754.0	17.344
755.0	17.283
756.0	17.197
757.0	17.153
758.0	17.079
759.0	17.015
760.0	16.967
761.0	16.974
