[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/04/2023 11:30:19
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	R_robot_16-100-P1_optical_pads.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	62.415
286.0	62.466
287.0	62.659
288.0	62.507
289.0	62.487
290.0	62.156
291.0	62.454
292.0	62.284
293.0	62.478
294.0	62.443
295.0	62.741
296.0	62.735
297.0	62.839
298.0	62.790
299.0	62.960
300.0	62.941
301.0	62.919
302.0	62.701
303.0	62.612
304.0	62.832
305.0	62.860
306.0	62.851
307.0	62.413
308.0	62.235
309.0	62.123
310.0	62.036
311.0	61.898
312.0	61.704
313.0	61.467
314.0	61.049
315.0	60.731
316.0	60.398
317.0	60.225
318.0	59.788
319.0	59.450
320.0	59.074
321.0	58.801
322.0	58.438
323.0	58.070
324.0	57.771
325.0	57.442
326.0	57.026
327.0	56.576
328.0	56.130
329.0	55.776
330.0	55.482
331.0	55.086
332.0	54.785
333.0	54.392
334.0	54.098
335.0	53.742
336.0	53.328
337.0	52.947
338.0	52.572
339.0	52.269
340.0	51.929
341.0	51.718
342.0	51.421
343.0	51.191
344.0	50.759
345.0	50.494
346.0	50.316
347.0	50.270
348.0	50.135
349.0	49.985
350.0	49.946
351.0	49.980
352.0	50.012
353.0	50.004
354.0	50.122
355.0	50.360
356.0	50.604
357.0	50.896
358.0	51.207
359.0	51.532
360.0	51.888
361.0	52.165
362.0	52.556
363.0	52.950
364.0	53.371
365.0	53.689
366.0	53.993
367.0	54.355
368.0	54.680
369.0	54.975
370.0	55.286
371.0	55.622
372.0	55.976
373.0	56.191
374.0	56.439
375.0	56.642
376.0	56.883
377.0	57.125
378.0	57.264
379.0	57.455
380.0	57.571
381.0	57.776
382.0	57.963
383.0	58.153
384.0	58.245
385.0	58.292
386.0	58.341
387.0	58.411
388.0	58.511
389.0	58.570
390.0	58.656
391.0	58.594
392.0	58.550
393.0	58.443
394.0	58.480
395.0	58.419
396.0	58.324
397.0	58.206
398.0	58.105
399.0	57.989
400.0	57.761
401.0	57.541
402.0	57.366
403.0	57.178
404.0	56.997
405.0	56.711
406.0	56.445
407.0	56.167
408.0	55.900
409.0	55.661
410.0	55.348
411.0	55.087
412.0	54.782
413.0	54.489
414.0	54.206
415.0	53.875
416.0	53.557
417.0	53.240
418.0	52.915
419.0	52.660
420.0	52.311
421.0	52.024
422.0	51.648
423.0	51.342
424.0	50.981
425.0	50.699
426.0	50.364
427.0	50.054
428.0	49.733
429.0	49.461
430.0	49.196
431.0	48.906
432.0	48.595
433.0	48.347
434.0	48.097
435.0	47.852
436.0	47.611
437.0	47.427
438.0	47.293
439.0	47.126
440.0	46.960
441.0	46.800
442.0	46.736
443.0	46.690
444.0	46.623
445.0	46.554
446.0	46.498
447.0	46.507
448.0	46.512
449.0	46.517
450.0	46.537
451.0	46.560
452.0	46.653
453.0	46.728
454.0	46.813
455.0	46.885
456.0	46.982
457.0	47.065
458.0	47.120
459.0	47.215
460.0	47.356
461.0	47.514
462.0	47.635
463.0	47.733
464.0	47.835
465.0	47.942
466.0	48.052
467.0	48.191
468.0	48.315
469.0	48.450
470.0	48.561
471.0	48.696
472.0	48.832
473.0	48.994
474.0	49.163
475.0	49.361
476.0	49.538
477.0	49.745
478.0	49.915
479.0	50.088
480.0	50.279
481.0	50.453
482.0	50.661
483.0	50.879
484.0	51.107
485.0	51.334
486.0	51.475
487.0	51.654
488.0	51.855
489.0	52.101
490.0	52.348
491.0	52.539
492.0	52.732
493.0	52.958
494.0	53.223
495.0	53.518
496.0	53.735
497.0	53.947
498.0	54.159
499.0	54.414
500.0	54.687
501.0	54.954
502.0	55.233
503.0	55.512
504.0	55.778
505.0	56.045
506.0	56.307
507.0	56.602
508.0	56.917
509.0	57.220
510.0	57.529
511.0	57.829
512.0	58.086
513.0	58.373
514.0	58.642
515.0	59.017
516.0	59.329
517.0	59.648
518.0	59.913
519.0	60.269
520.0	60.578
521.0	60.894
522.0	61.155
523.0	61.450
524.0	61.756
525.0	62.094
526.0	62.398
527.0	62.736
528.0	63.019
529.0	63.344
530.0	63.610
531.0	63.887
532.0	64.183
533.0	64.489
534.0	64.807
535.0	65.098
536.0	65.386
537.0	65.650
538.0	65.900
539.0	66.168
540.0	66.415
541.0	66.662
542.0	66.878
543.0	67.110
544.0	67.329
545.0	67.573
546.0	67.777
547.0	67.996
548.0	68.196
549.0	68.389
550.0	68.610
551.0	68.824
552.0	69.025
553.0	69.226
554.0	69.404
555.0	69.617
556.0	69.771
557.0	69.907
558.0	70.039
559.0	70.158
560.0	70.277
561.0	70.376
562.0	70.494
563.0	70.616
564.0	70.740
565.0	70.858
566.0	70.948
567.0	71.044
568.0	71.122
569.0	71.221
570.0	71.280
571.0	71.347
572.0	71.426
573.0	71.495
574.0	71.571
575.0	71.562
576.0	71.636
577.0	71.699
578.0	71.775
579.0	71.792
580.0	71.747
581.0	71.818
582.0	71.846
583.0	71.904
584.0	71.890
585.0	71.937
586.0	71.956
587.0	71.976
588.0	71.918
589.0	71.913
590.0	71.926
591.0	72.003
592.0	71.995
593.0	71.933
594.0	71.856
595.0	71.817
596.0	71.804
597.0	71.780
598.0	71.790
599.0	71.779
600.0	71.784
601.0	71.770
602.0	71.769
603.0	71.693
604.0	71.620
605.0	71.552
606.0	71.541
607.0	71.511
608.0	71.493
609.0	71.455
610.0	71.423
611.0	71.382
612.0	71.361
613.0	71.293
614.0	71.247
615.0	71.145
616.0	71.145
617.0	71.061
618.0	71.069
619.0	70.985
620.0	70.936
621.0	70.876
622.0	70.843
623.0	70.792
624.0	70.706
625.0	70.650
626.0	70.627
627.0	70.572
628.0	70.525
629.0	70.428
630.0	70.398
631.0	70.321
632.0	70.262
633.0	70.182
634.0	70.133
635.0	70.096
636.0	70.060
637.0	69.996
638.0	69.919
639.0	69.888
640.0	69.797
641.0	69.756
642.0	69.644
643.0	69.572
644.0	69.493
645.0	69.413
646.0	69.313
647.0	69.274
648.0	69.193
649.0	69.125
650.0	69.009
651.0	68.942
652.0	68.867
653.0	68.781
654.0	68.706
655.0	68.699
656.0	68.644
657.0	68.573
658.0	68.462
659.0	68.354
660.0	68.281
661.0	68.216
662.0	68.186
663.0	68.101
664.0	68.025
665.0	67.962
666.0	67.898
667.0	67.843
668.0	67.737
669.0	67.698
670.0	67.595
671.0	67.502
672.0	67.405
673.0	67.315
674.0	67.267
675.0	67.182
676.0	67.133
677.0	67.036
678.0	66.977
679.0	66.935
680.0	66.929
681.0	66.806
682.0	66.659
683.0	66.542
684.0	66.516
685.0	66.534
686.0	66.447
687.0	66.412
688.0	66.323
689.0	66.305
690.0	66.180
691.0	66.065
692.0	65.897
693.0	65.857
694.0	65.821
695.0	65.856
696.0	65.772
697.0	65.737
698.0	65.646
699.0	65.548
700.0	65.417
701.0	65.351
702.0	65.284
703.0	65.247
704.0	65.161
705.0	65.131
706.0	64.955
707.0	64.888
708.0	64.792
709.0	64.777
710.0	64.681
711.0	64.617
712.0	64.583
713.0	64.521
714.0	64.427
715.0	64.274
716.0	64.216
717.0	64.219
718.0	64.208
719.0	64.160
720.0	64.020
721.0	63.961
722.0	63.923
723.0	63.839
724.0	63.809
725.0	63.696
726.0	63.623
727.0	63.530
728.0	63.411
729.0	63.418
730.0	63.246
731.0	63.223
732.0	63.072
733.0	63.119
734.0	63.024
735.0	62.992
736.0	62.875
737.0	62.832
738.0	62.702
739.0	62.565
740.0	62.477
741.0	62.450
742.0	62.477
743.0	62.320
744.0	62.217
745.0	62.105
746.0	62.100
747.0	61.966
748.0	61.866
749.0	61.779
750.0	61.694
751.0	61.632
752.0	61.587
753.0	61.584
754.0	61.506
755.0	61.416
756.0	61.359
757.0	61.348
758.0	61.252
759.0	61.149
760.0	61.094
761.0	60.994
