[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/04/2023 11:12:13
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	R_robot_16-100-P1_optical_pads.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	77.300
286.0	77.537
287.0	77.761
288.0	77.687
289.0	77.800
290.0	77.617
291.0	78.127
292.0	78.007
293.0	78.281
294.0	78.128
295.0	78.441
296.0	78.622
297.0	78.918
298.0	78.824
299.0	79.093
300.0	78.992
301.0	79.127
302.0	78.800
303.0	78.729
304.0	78.842
305.0	79.095
306.0	79.171
307.0	79.075
308.0	78.930
309.0	78.929
310.0	78.918
311.0	79.146
312.0	79.192
313.0	79.357
314.0	79.099
315.0	79.067
316.0	78.905
317.0	78.958
318.0	78.950
319.0	78.987
320.0	79.051
321.0	79.084
322.0	79.098
323.0	79.087
324.0	79.159
325.0	79.100
326.0	79.032
327.0	79.019
328.0	79.025
329.0	79.118
330.0	79.343
331.0	79.365
332.0	79.490
333.0	79.382
334.0	79.581
335.0	79.623
336.0	79.634
337.0	79.584
338.0	79.628
339.0	79.704
340.0	79.864
341.0	80.068
342.0	80.153
343.0	80.279
344.0	80.207
345.0	80.312
346.0	80.386
347.0	80.565
348.0	80.570
349.0	80.666
350.0	80.702
351.0	80.870
352.0	80.814
353.0	80.771
354.0	80.875
355.0	80.919
356.0	80.981
357.0	80.980
358.0	81.083
359.0	81.064
360.0	81.030
361.0	80.876
362.0	80.924
363.0	80.894
364.0	81.048
365.0	81.025
366.0	80.982
367.0	80.875
368.0	80.795
369.0	80.843
370.0	80.820
371.0	80.839
372.0	80.817
373.0	80.776
374.0	80.740
375.0	80.663
376.0	80.698
377.0	80.690
378.0	80.660
379.0	80.574
380.0	80.477
381.0	80.358
382.0	80.271
383.0	80.231
384.0	80.180
385.0	80.102
386.0	80.009
387.0	79.993
388.0	79.970
389.0	79.925
390.0	79.874
391.0	79.713
392.0	79.563
393.0	79.366
394.0	79.318
395.0	79.245
396.0	79.171
397.0	79.127
398.0	79.036
399.0	78.971
400.0	78.811
401.0	78.712
402.0	78.633
403.0	78.527
404.0	78.378
405.0	78.178
406.0	78.048
407.0	77.916
408.0	77.789
409.0	77.649
410.0	77.485
411.0	77.364
412.0	77.231
413.0	77.105
414.0	76.972
415.0	76.813
416.0	76.660
417.0	76.534
418.0	76.334
419.0	76.209
420.0	76.012
421.0	75.889
422.0	75.727
423.0	75.579
424.0	75.412
425.0	75.237
426.0	75.018
427.0	74.801
428.0	74.653
429.0	74.490
430.0	74.328
431.0	74.172
432.0	73.932
433.0	73.735
434.0	73.477
435.0	73.302
436.0	73.097
437.0	72.874
438.0	72.671
439.0	72.445
440.0	72.179
441.0	71.941
442.0	71.740
443.0	71.630
444.0	71.411
445.0	71.179
446.0	70.884
447.0	70.637
448.0	70.395
449.0	70.138
450.0	69.910
451.0	69.642
452.0	69.409
453.0	69.144
454.0	68.883
455.0	68.612
456.0	68.341
457.0	68.057
458.0	67.774
459.0	67.510
460.0	67.235
461.0	66.962
462.0	66.684
463.0	66.409
464.0	66.102
465.0	65.784
466.0	65.476
467.0	65.230
468.0	64.978
469.0	64.729
470.0	64.433
471.0	64.116
472.0	63.810
473.0	63.503
474.0	63.203
475.0	62.875
476.0	62.553
477.0	62.244
478.0	61.915
479.0	61.564
480.0	61.217
481.0	60.861
482.0	60.533
483.0	60.174
484.0	59.818
485.0	59.492
486.0	59.143
487.0	58.811
488.0	58.439
489.0	58.133
490.0	57.832
491.0	57.495
492.0	57.135
493.0	56.793
494.0	56.479
495.0	56.164
496.0	55.786
497.0	55.403
498.0	55.035
499.0	54.706
500.0	54.362
501.0	54.001
502.0	53.633
503.0	53.291
504.0	52.947
505.0	52.595
506.0	52.262
507.0	51.940
508.0	51.575
509.0	51.217
510.0	50.860
511.0	50.582
512.0	50.224
513.0	49.889
514.0	49.506
515.0	49.174
516.0	48.824
517.0	48.518
518.0	48.206
519.0	47.903
520.0	47.568
521.0	47.261
522.0	46.954
523.0	46.659
524.0	46.339
525.0	46.021
526.0	45.693
527.0	45.400
528.0	45.072
529.0	44.774
530.0	44.449
531.0	44.145
532.0	43.792
533.0	43.517
534.0	43.223
535.0	42.980
536.0	42.675
537.0	42.398
538.0	42.122
539.0	41.850
540.0	41.577
541.0	41.310
542.0	41.011
543.0	40.763
544.0	40.499
545.0	40.272
546.0	40.025
547.0	39.771
548.0	39.537
549.0	39.268
550.0	39.032
551.0	38.792
552.0	38.561
553.0	38.375
554.0	38.176
555.0	37.992
556.0	37.798
557.0	37.594
558.0	37.408
559.0	37.199
560.0	37.016
561.0	36.833
562.0	36.678
563.0	36.542
564.0	36.380
565.0	36.183
566.0	35.995
567.0	35.839
568.0	35.709
569.0	35.542
570.0	35.372
571.0	35.203
572.0	35.067
573.0	34.916
574.0	34.770
575.0	34.588
576.0	34.418
577.0	34.254
578.0	34.105
579.0	33.964
580.0	33.797
581.0	33.660
582.0	33.540
583.0	33.441
584.0	33.326
585.0	33.212
586.0	33.096
587.0	32.988
588.0	32.878
589.0	32.771
590.0	32.679
591.0	32.599
592.0	32.520
593.0	32.445
594.0	32.355
595.0	32.280
596.0	32.194
597.0	32.143
598.0	32.073
599.0	32.033
600.0	31.966
601.0	31.947
602.0	31.912
603.0	31.919
604.0	31.873
605.0	31.869
606.0	31.843
607.0	31.872
608.0	31.881
609.0	31.888
610.0	31.916
611.0	31.923
612.0	31.959
613.0	31.972
614.0	32.039
615.0	32.063
616.0	32.115
617.0	32.150
618.0	32.227
619.0	32.317
620.0	32.356
621.0	32.411
622.0	32.448
623.0	32.532
624.0	32.612
625.0	32.664
626.0	32.752
627.0	32.823
628.0	32.917
629.0	32.974
630.0	33.031
631.0	33.081
632.0	33.129
633.0	33.181
634.0	33.239
635.0	33.315
636.0	33.360
637.0	33.407
638.0	33.459
639.0	33.521
640.0	33.538
641.0	33.547
642.0	33.572
643.0	33.611
644.0	33.645
645.0	33.692
646.0	33.760
647.0	33.820
648.0	33.842
649.0	33.866
650.0	33.921
651.0	33.974
652.0	34.048
653.0	34.081
654.0	34.163
655.0	34.255
656.0	34.355
657.0	34.466
658.0	34.564
659.0	34.662
660.0	34.768
661.0	34.891
662.0	35.027
663.0	35.139
664.0	35.264
665.0	35.437
666.0	35.635
667.0	35.846
668.0	36.074
669.0	36.328
670.0	36.624
671.0	36.902
672.0	37.253
673.0	37.563
674.0	37.890
675.0	38.219
676.0	38.614
677.0	39.018
678.0	39.403
679.0	39.810
680.0	40.243
681.0	40.652
682.0	41.032
683.0	41.439
684.0	41.932
685.0	42.454
686.0	42.956
687.0	43.429
688.0	43.928
689.0	44.476
690.0	44.997
691.0	45.481
692.0	45.973
693.0	46.501
694.0	47.070
695.0	47.632
696.0	48.164
697.0	48.671
698.0	49.146
699.0	49.652
700.0	50.156
701.0	50.675
702.0	51.174
703.0	51.618
704.0	52.062
705.0	52.507
706.0	52.899
707.0	53.370
708.0	53.741
709.0	54.192
710.0	54.561
711.0	55.016
712.0	55.468
713.0	55.834
714.0	56.158
715.0	56.490
716.0	56.888
717.0	57.292
718.0	57.660
719.0	57.956
720.0	58.240
721.0	58.553
722.0	58.869
723.0	59.206
724.0	59.439
725.0	59.754
726.0	59.918
727.0	60.136
728.0	60.255
729.0	60.512
730.0	60.580
731.0	60.780
732.0	60.932
733.0	61.292
734.0	61.414
735.0	61.624
736.0	61.740
737.0	61.930
738.0	62.014
739.0	62.185
740.0	62.451
741.0	62.625
742.0	62.770
743.0	62.799
744.0	62.900
745.0	62.964
746.0	63.091
747.0	63.123
748.0	63.250
749.0	63.345
750.0	63.463
751.0	63.594
752.0	63.735
753.0	63.927
754.0	64.015
755.0	64.089
756.0	64.280
757.0	64.335
758.0	64.415
759.0	64.346
760.0	64.495
761.0	64.578
