[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/04/2023 12:24:45
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	R_robot_16-100-P1_optical_pads.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	5.388
286.0	5.471
287.0	5.541
288.0	5.579
289.0	5.645
290.0	5.734
291.0	5.781
292.0	5.796
293.0	5.820
294.0	5.881
295.0	5.913
296.0	5.970
297.0	6.020
298.0	6.053
299.0	6.093
300.0	6.128
301.0	6.198
302.0	6.204
303.0	6.231
304.0	6.219
305.0	6.259
306.0	6.234
307.0	6.261
308.0	6.262
309.0	6.284
310.0	6.263
311.0	6.257
312.0	6.264
313.0	6.282
314.0	6.222
315.0	6.192
316.0	6.161
317.0	6.148
318.0	6.128
319.0	6.067
320.0	6.054
321.0	5.975
322.0	5.939
323.0	5.877
324.0	5.877
325.0	5.862
326.0	5.812
327.0	5.722
328.0	5.613
329.0	5.555
330.0	5.520
331.0	5.525
332.0	5.496
333.0	5.453
334.0	5.397
335.0	5.320
336.0	5.275
337.0	5.211
338.0	5.180
339.0	5.125
340.0	5.089
341.0	5.050
342.0	5.030
343.0	4.974
344.0	4.948
345.0	4.898
346.0	4.885
347.0	4.830
348.0	4.788
349.0	4.761
350.0	4.737
351.0	4.724
352.0	4.700
353.0	4.691
354.0	4.681
355.0	4.648
356.0	4.637
357.0	4.621
358.0	4.624
359.0	4.624
360.0	4.609
361.0	4.605
362.0	4.564
363.0	4.545
364.0	4.508
365.0	4.517
366.0	4.507
367.0	4.533
368.0	4.519
369.0	4.522
370.0	4.483
371.0	4.462
372.0	4.441
373.0	4.433
374.0	4.435
375.0	4.424
376.0	4.417
377.0	4.407
378.0	4.395
379.0	4.387
380.0	4.365
381.0	4.357
382.0	4.351
383.0	4.357
384.0	4.349
385.0	4.346
386.0	4.342
387.0	4.353
388.0	4.350
389.0	4.341
390.0	4.335
391.0	4.322
392.0	4.320
393.0	4.310
394.0	4.317
395.0	4.307
396.0	4.300
397.0	4.296
398.0	4.282
399.0	4.270
400.0	4.239
401.0	4.232
402.0	4.215
403.0	4.209
404.0	4.205
405.0	4.198
406.0	4.193
407.0	4.176
408.0	4.168
409.0	4.159
410.0	4.159
411.0	4.152
412.0	4.156
413.0	4.145
414.0	4.147
415.0	4.136
416.0	4.139
417.0	4.138
418.0	4.142
419.0	4.141
420.0	4.135
421.0	4.122
422.0	4.120
423.0	4.123
424.0	4.128
425.0	4.116
426.0	4.104
427.0	4.108
428.0	4.117
429.0	4.117
430.0	4.097
431.0	4.094
432.0	4.098
433.0	4.112
434.0	4.114
435.0	4.126
436.0	4.137
437.0	4.150
438.0	4.152
439.0	4.156
440.0	4.169
441.0	4.176
442.0	4.190
443.0	4.202
444.0	4.223
445.0	4.240
446.0	4.262
447.0	4.289
448.0	4.315
449.0	4.336
450.0	4.361
451.0	4.390
452.0	4.423
453.0	4.449
454.0	4.473
455.0	4.498
456.0	4.521
457.0	4.553
458.0	4.587
459.0	4.625
460.0	4.662
461.0	4.692
462.0	4.723
463.0	4.744
464.0	4.770
465.0	4.794
466.0	4.819
467.0	4.843
468.0	4.880
469.0	4.918
470.0	4.948
471.0	4.977
472.0	5.006
473.0	5.040
474.0	5.069
475.0	5.101
476.0	5.134
477.0	5.167
478.0	5.199
479.0	5.228
480.0	5.245
481.0	5.269
482.0	5.292
483.0	5.334
484.0	5.367
485.0	5.398
486.0	5.421
487.0	5.437
488.0	5.461
489.0	5.477
490.0	5.498
491.0	5.516
492.0	5.541
493.0	5.565
494.0	5.594
495.0	5.612
496.0	5.634
497.0	5.645
498.0	5.669
499.0	5.682
500.0	5.706
501.0	5.716
502.0	5.742
503.0	5.761
504.0	5.787
505.0	5.799
506.0	5.810
507.0	5.821
508.0	5.831
509.0	5.856
510.0	5.868
511.0	5.880
512.0	5.889
513.0	5.894
514.0	5.903
515.0	5.906
516.0	5.919
517.0	5.923
518.0	5.920
519.0	5.919
520.0	5.909
521.0	5.905
522.0	5.901
523.0	5.910
524.0	5.911
525.0	5.914
526.0	5.915
527.0	5.919
528.0	5.915
529.0	5.912
530.0	5.901
531.0	5.890
532.0	5.875
533.0	5.869
534.0	5.847
535.0	5.843
536.0	5.837
537.0	5.831
538.0	5.812
539.0	5.786
540.0	5.786
541.0	5.768
542.0	5.752
543.0	5.719
544.0	5.706
545.0	5.688
546.0	5.660
547.0	5.642
548.0	5.628
549.0	5.630
550.0	5.621
551.0	5.602
552.0	5.583
553.0	5.560
554.0	5.543
555.0	5.527
556.0	5.511
557.0	5.498
558.0	5.475
559.0	5.461
560.0	5.446
561.0	5.426
562.0	5.403
563.0	5.385
564.0	5.375
565.0	5.371
566.0	5.350
567.0	5.340
568.0	5.325
569.0	5.312
570.0	5.297
571.0	5.279
572.0	5.278
573.0	5.265
574.0	5.252
575.0	5.239
576.0	5.233
577.0	5.226
578.0	5.221
579.0	5.221
580.0	5.216
581.0	5.210
582.0	5.200
583.0	5.196
584.0	5.195
585.0	5.194
586.0	5.198
587.0	5.196
588.0	5.198
589.0	5.192
590.0	5.191
591.0	5.191
592.0	5.189
593.0	5.185
594.0	5.192
595.0	5.203
596.0	5.210
597.0	5.206
598.0	5.204
599.0	5.217
600.0	5.223
601.0	5.236
602.0	5.239
603.0	5.252
604.0	5.256
605.0	5.258
606.0	5.265
607.0	5.261
608.0	5.274
609.0	5.278
610.0	5.291
611.0	5.301
612.0	5.318
613.0	5.332
614.0	5.348
615.0	5.359
616.0	5.376
617.0	5.388
618.0	5.398
619.0	5.411
620.0	5.428
621.0	5.443
622.0	5.462
623.0	5.477
624.0	5.498
625.0	5.521
626.0	5.538
627.0	5.556
628.0	5.569
629.0	5.575
630.0	5.589
631.0	5.603
632.0	5.626
633.0	5.642
634.0	5.671
635.0	5.691
636.0	5.721
637.0	5.736
638.0	5.774
639.0	5.794
640.0	5.808
641.0	5.822
642.0	5.845
643.0	5.877
644.0	5.896
645.0	5.908
646.0	5.925
647.0	5.955
648.0	5.999
649.0	6.037
650.0	6.059
651.0	6.073
652.0	6.079
653.0	6.108
654.0	6.136
655.0	6.178
656.0	6.196
657.0	6.225
658.0	6.253
659.0	6.275
660.0	6.289
661.0	6.301
662.0	6.327
663.0	6.355
664.0	6.375
665.0	6.398
666.0	6.426
667.0	6.461
668.0	6.498
669.0	6.534
670.0	6.571
671.0	6.619
672.0	6.643
673.0	6.662
674.0	6.680
675.0	6.725
676.0	6.771
677.0	6.797
678.0	6.808
679.0	6.844
680.0	6.894
681.0	6.945
682.0	6.966
683.0	6.985
684.0	7.009
685.0	7.045
686.0	7.078
687.0	7.114
688.0	7.132
689.0	7.144
690.0	7.166
691.0	7.191
692.0	7.228
693.0	7.246
694.0	7.285
695.0	7.312
696.0	7.354
697.0	7.392
698.0	7.435
699.0	7.474
700.0	7.490
701.0	7.514
702.0	7.531
703.0	7.560
704.0	7.595
705.0	7.638
706.0	7.685
707.0	7.710
708.0	7.738
709.0	7.771
710.0	7.797
711.0	7.819
712.0	7.823
713.0	7.867
714.0	7.898
715.0	7.953
716.0	7.976
717.0	7.994
718.0	8.025
719.0	8.035
720.0	8.078
721.0	8.090
722.0	8.128
723.0	8.159
724.0	8.208
725.0	8.249
726.0	8.283
727.0	8.298
728.0	8.334
729.0	8.368
730.0	8.398
731.0	8.434
732.0	8.460
733.0	8.502
734.0	8.498
735.0	8.513
736.0	8.530
737.0	8.589
738.0	8.665
739.0	8.710
740.0	8.727
741.0	8.754
742.0	8.812
743.0	8.865
744.0	8.870
745.0	8.898
746.0	8.932
747.0	8.992
748.0	9.004
749.0	9.028
750.0	9.060
751.0	9.111
752.0	9.140
753.0	9.156
754.0	9.147
755.0	9.181
756.0	9.231
757.0	9.265
758.0	9.304
759.0	9.330
760.0	9.390
761.0	9.433
