[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/02/2023 14:55:36
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	285,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	5.638
301.0	5.648
302.0	5.644
303.0	5.679
304.0	5.707
305.0	5.682
306.0	5.651
307.0	5.614
308.0	5.668
309.0	5.631
310.0	5.640
311.0	5.600
312.0	5.588
313.0	5.545
314.0	5.525
315.0	5.518
316.0	5.484
317.0	5.454
318.0	5.416
319.0	5.379
320.0	5.359
321.0	5.327
322.0	5.308
323.0	5.254
324.0	5.245
325.0	5.221
326.0	5.212
327.0	5.165
328.0	5.155
329.0	5.126
330.0	5.102
331.0	5.041
332.0	5.036
333.0	5.046
334.0	5.052
335.0	5.037
336.0	5.000
337.0	4.985
338.0	4.949
339.0	4.962
340.0	4.956
341.0	4.968
342.0	4.971
343.0	4.983
344.0	4.960
345.0	4.936
346.0	4.937
347.0	4.966
348.0	4.973
349.0	4.978
350.0	5.006
351.0	5.020
352.0	5.033
353.0	5.028
354.0	5.062
355.0	5.083
356.0	5.101
357.0	5.114
358.0	5.128
359.0	5.142
360.0	5.135
361.0	5.146
362.0	5.139
363.0	5.146
364.0	5.143
365.0	5.159
366.0	5.161
367.0	5.159
368.0	5.124
369.0	5.109
370.0	5.077
371.0	5.097
372.0	5.076
373.0	5.064
374.0	5.018
375.0	4.999
376.0	4.975
377.0	4.940
378.0	4.899
379.0	4.867
380.0	4.843
381.0	4.817
382.0	4.775
383.0	4.740
384.0	4.709
385.0	4.691
386.0	4.663
387.0	4.624
388.0	4.589
389.0	4.561
390.0	4.533
391.0	4.500
392.0	4.480
393.0	4.466
394.0	4.439
395.0	4.406
396.0	4.366
397.0	4.352
398.0	4.332
399.0	4.330
400.0	4.319
401.0	4.299
402.0	4.274
403.0	4.255
404.0	4.255
405.0	4.251
406.0	4.239
407.0	4.233
408.0	4.228
409.0	4.231
410.0	4.232
411.0	4.245
412.0	4.266
413.0	4.286
414.0	4.303
415.0	4.312
416.0	4.333
417.0	4.363
418.0	4.403
419.0	4.439
420.0	4.473
421.0	4.507
422.0	4.542
423.0	4.582
424.0	4.631
425.0	4.680
426.0	4.730
427.0	4.773
428.0	4.829
429.0	4.892
430.0	4.957
431.0	5.014
432.0	5.073
433.0	5.136
434.0	5.199
435.0	5.253
436.0	5.309
437.0	5.365
438.0	5.441
439.0	5.507
440.0	5.573
441.0	5.634
442.0	5.690
443.0	5.755
444.0	5.820
445.0	5.886
446.0	5.950
447.0	6.007
448.0	6.073
449.0	6.126
450.0	6.186
451.0	6.241
452.0	6.312
453.0	6.370
454.0	6.440
455.0	6.492
456.0	6.551
457.0	6.602
458.0	6.663
459.0	6.712
460.0	6.765
461.0	6.808
462.0	6.863
463.0	6.904
464.0	6.953
465.0	6.997
466.0	7.050
467.0	7.092
468.0	7.133
469.0	7.175
470.0	7.217
471.0	7.259
472.0	7.292
473.0	7.330
474.0	7.362
475.0	7.400
476.0	7.449
477.0	7.489
478.0	7.533
479.0	7.558
480.0	7.594
481.0	7.615
482.0	7.646
483.0	7.675
484.0	7.711
485.0	7.742
486.0	7.765
487.0	7.788
488.0	7.811
489.0	7.841
490.0	7.872
491.0	7.897
492.0	7.925
493.0	7.938
494.0	7.965
495.0	7.986
496.0	8.004
497.0	8.017
498.0	8.029
499.0	8.041
500.0	8.049
501.0	8.072
502.0	8.093
503.0	8.126
504.0	8.138
505.0	8.150
506.0	8.151
507.0	8.152
508.0	8.161
509.0	8.173
510.0	8.174
511.0	8.181
512.0	8.168
513.0	8.180
514.0	8.181
515.0	8.186
516.0	8.174
517.0	8.168
518.0	8.173
519.0	8.171
520.0	8.162
521.0	8.155
522.0	8.151
523.0	8.142
524.0	8.120
525.0	8.094
526.0	8.078
527.0	8.054
528.0	8.037
529.0	8.011
530.0	8.000
531.0	7.987
532.0	7.973
533.0	7.954
534.0	7.926
535.0	7.901
536.0	7.871
537.0	7.843
538.0	7.815
539.0	7.782
540.0	7.755
541.0	7.731
542.0	7.699
543.0	7.669
544.0	7.628
545.0	7.594
546.0	7.570
547.0	7.536
548.0	7.506
549.0	7.469
550.0	7.448
551.0	7.430
552.0	7.404
553.0	7.366
554.0	7.328
555.0	7.287
556.0	7.255
557.0	7.223
558.0	7.196
559.0	7.174
560.0	7.140
561.0	7.108
562.0	7.078
563.0	7.055
564.0	7.029
565.0	7.006
566.0	6.977
567.0	6.953
568.0	6.915
569.0	6.894
570.0	6.863
571.0	6.838
572.0	6.808
573.0	6.793
574.0	6.765
575.0	6.738
576.0	6.709
577.0	6.688
578.0	6.674
579.0	6.656
580.0	6.645
581.0	6.620
582.0	6.593
583.0	6.575
584.0	6.564
585.0	6.559
586.0	6.542
587.0	6.522
588.0	6.507
589.0	6.493
590.0	6.490
591.0	6.476
592.0	6.466
593.0	6.449
594.0	6.441
595.0	6.441
596.0	6.437
597.0	6.430
598.0	6.414
599.0	6.406
600.0	6.404
601.0	6.397
602.0	6.394
603.0	6.379
604.0	6.374
605.0	6.368
606.0	6.374
607.0	6.366
608.0	6.362
609.0	6.362
610.0	6.363
611.0	6.349
612.0	6.343
613.0	6.344
614.0	6.349
615.0	6.337
616.0	6.332
617.0	6.329
618.0	6.339
619.0	6.344
620.0	6.344
621.0	6.332
622.0	6.332
623.0	6.346
624.0	6.363
625.0	6.371
626.0	6.365
627.0	6.363
628.0	6.361
629.0	6.367
630.0	6.369
631.0	6.377
632.0	6.392
633.0	6.402
634.0	6.406
635.0	6.406
636.0	6.408
637.0	6.413
638.0	6.430
639.0	6.431
640.0	6.438
641.0	6.434
642.0	6.455
643.0	6.477
644.0	6.482
645.0	6.490
646.0	6.486
647.0	6.511
648.0	6.512
649.0	6.525
650.0	6.536
651.0	6.559
652.0	6.563
653.0	6.553
654.0	6.567
655.0	6.583
656.0	6.603
657.0	6.614
658.0	6.626
659.0	6.638
660.0	6.635
661.0	6.655
662.0	6.670
663.0	6.684
664.0	6.688
665.0	6.704
666.0	6.713
667.0	6.727
668.0	6.740
669.0	6.760
670.0	6.783
671.0	6.805
672.0	6.832
673.0	6.856
674.0	6.866
675.0	6.883
676.0	6.892
677.0	6.909
678.0	6.942
679.0	6.960
680.0	6.998
681.0	7.005
682.0	7.027
683.0	7.021
684.0	7.036
685.0	7.053
686.0	7.064
687.0	7.058
688.0	7.073
689.0	7.108
690.0	7.157
691.0	7.181
692.0	7.193
693.0	7.208
694.0	7.253
695.0	7.270
696.0	7.275
697.0	7.268
698.0	7.294
699.0	7.318
700.0	7.328
701.0	7.345
702.0	7.363
703.0	7.389
704.0	7.408
705.0	7.437
706.0	7.453
707.0	7.481
708.0	7.508
709.0	7.546
710.0	7.591
711.0	7.604
712.0	7.623
713.0	7.622
714.0	7.645
715.0	7.669
716.0	7.695
717.0	7.721
718.0	7.730
719.0	7.743
720.0	7.762
721.0	7.803
722.0	7.828
723.0	7.851
724.0	7.852
725.0	7.897
726.0	7.913
727.0	7.943
728.0	7.939
729.0	7.972
730.0	8.011
731.0	8.048
732.0	8.059
733.0	8.068
734.0	8.111
735.0	8.132
736.0	8.136
737.0	8.127
738.0	8.161
739.0	8.210
740.0	8.225
741.0	8.276
742.0	8.298
743.0	8.345
744.0	8.332
745.0	8.361
746.0	8.355
747.0	8.403
748.0	8.401
749.0	8.450
750.0	8.443
751.0	8.485
752.0	8.507
753.0	8.552
754.0	8.562
755.0	8.569
756.0	8.578
757.0	8.610
758.0	8.636
759.0	8.658
760.0	8.672
761.0	8.695
762.0	8.728
763.0	8.758
764.0	8.779
765.0	8.813
766.0	8.812
767.0	8.837
768.0	8.838
769.0	8.898
770.0	8.929
771.0	8.961
772.0	8.965
773.0	8.972
774.0	8.976
775.0	9.009
776.0	9.048
777.0	9.101
778.0	9.134
