[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/02/2023 14:31:23
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	285,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	73.966
301.0	74.226
302.0	74.416
303.0	74.618
304.0	74.754
305.0	74.979
306.0	75.232
307.0	75.429
308.0	75.633
309.0	75.655
310.0	75.742
311.0	75.886
312.0	75.919
313.0	75.906
314.0	75.898
315.0	75.882
316.0	75.870
317.0	75.662
318.0	75.604
319.0	75.534
320.0	75.394
321.0	75.304
322.0	75.030
323.0	75.096
324.0	74.824
325.0	74.619
326.0	74.428
327.0	74.347
328.0	74.244
329.0	73.868
330.0	73.639
331.0	73.454
332.0	73.311
333.0	73.102
334.0	73.030
335.0	72.872
336.0	72.793
337.0	72.660
338.0	72.613
339.0	72.527
340.0	72.397
341.0	72.205
342.0	72.089
343.0	72.001
344.0	71.799
345.0	71.727
346.0	71.574
347.0	71.693
348.0	71.506
349.0	71.456
350.0	71.539
351.0	71.730
352.0	71.891
353.0	71.951
354.0	72.033
355.0	72.236
356.0	72.424
357.0	72.613
358.0	72.809
359.0	72.949
360.0	73.250
361.0	73.444
362.0	73.680
363.0	73.843
364.0	74.020
365.0	74.201
366.0	74.352
367.0	74.530
368.0	74.735
369.0	74.940
370.0	75.085
371.0	75.255
372.0	75.366
373.0	75.605
374.0	75.670
375.0	75.689
376.0	75.703
377.0	75.781
378.0	75.856
379.0	75.843
380.0	75.880
381.0	75.866
382.0	75.819
383.0	75.694
384.0	75.649
385.0	75.546
386.0	75.466
387.0	75.417
388.0	75.305
389.0	75.227
390.0	75.025
391.0	74.881
392.0	74.681
393.0	74.557
394.0	74.393
395.0	74.192
396.0	73.910
397.0	73.697
398.0	73.451
399.0	73.221
400.0	72.923
401.0	72.665
402.0	72.354
403.0	72.053
404.0	71.675
405.0	71.341
406.0	70.961
407.0	70.585
408.0	70.212
409.0	69.863
410.0	69.494
411.0	69.119
412.0	68.708
413.0	68.326
414.0	67.925
415.0	67.520
416.0	67.151
417.0	66.762
418.0	66.389
419.0	65.933
420.0	65.517
421.0	65.078
422.0	64.687
423.0	64.312
424.0	63.955
425.0	63.566
426.0	63.131
427.0	62.752
428.0	62.388
429.0	62.063
430.0	61.679
431.0	61.269
432.0	60.879
433.0	60.509
434.0	60.214
435.0	59.839
436.0	59.521
437.0	59.237
438.0	58.988
439.0	58.763
440.0	58.517
441.0	58.234
442.0	57.961
443.0	57.677
444.0	57.472
445.0	57.262
446.0	57.130
447.0	56.996
448.0	56.843
449.0	56.666
450.0	56.483
451.0	56.313
452.0	56.179
453.0	56.089
454.0	55.998
455.0	55.924
456.0	55.821
457.0	55.729
458.0	55.627
459.0	55.556
460.0	55.531
461.0	55.504
462.0	55.506
463.0	55.467
464.0	55.446
465.0	55.436
466.0	55.465
467.0	55.488
468.0	55.528
469.0	55.568
470.0	55.628
471.0	55.650
472.0	55.727
473.0	55.773
474.0	55.836
475.0	55.871
476.0	55.946
477.0	56.052
478.0	56.171
479.0	56.276
480.0	56.363
481.0	56.438
482.0	56.583
483.0	56.752
484.0	56.887
485.0	56.972
486.0	57.068
487.0	57.187
488.0	57.328
489.0	57.468
490.0	57.630
491.0	57.790
492.0	57.936
493.0	58.121
494.0	58.290
495.0	58.455
496.0	58.567
497.0	58.718
498.0	58.905
499.0	59.111
500.0	59.302
501.0	59.516
502.0	59.752
503.0	60.012
504.0	60.198
505.0	60.398
506.0	60.612
507.0	60.840
508.0	61.056
509.0	61.284
510.0	61.548
511.0	61.830
512.0	62.081
513.0	62.325
514.0	62.550
515.0	62.790
516.0	63.018
517.0	63.264
518.0	63.515
519.0	63.766
520.0	64.076
521.0	64.367
522.0	64.647
523.0	64.883
524.0	65.127
525.0	65.412
526.0	65.712
527.0	66.031
528.0	66.329
529.0	66.578
530.0	66.844
531.0	67.130
532.0	67.421
533.0	67.704
534.0	67.958
535.0	68.247
536.0	68.489
537.0	68.790
538.0	69.022
539.0	69.271
540.0	69.458
541.0	69.735
542.0	69.972
543.0	70.242
544.0	70.440
545.0	70.644
546.0	70.846
547.0	71.059
548.0	71.312
549.0	71.499
550.0	71.664
551.0	71.837
552.0	72.030
553.0	72.216
554.0	72.379
555.0	72.545
556.0	72.725
557.0	72.858
558.0	73.010
559.0	73.151
560.0	73.322
561.0	73.431
562.0	73.532
563.0	73.603
564.0	73.736
565.0	73.797
566.0	73.947
567.0	73.990
568.0	74.144
569.0	74.183
570.0	74.306
571.0	74.348
572.0	74.403
573.0	74.439
574.0	74.539
575.0	74.594
576.0	74.684
577.0	74.688
578.0	74.719
579.0	74.722
580.0	74.758
581.0	74.794
582.0	74.843
583.0	74.861
584.0	74.919
585.0	74.926
586.0	74.932
587.0	74.931
588.0	74.960
589.0	74.988
590.0	74.984
591.0	74.974
592.0	74.986
593.0	74.991
594.0	74.986
595.0	74.992
596.0	74.955
597.0	74.923
598.0	74.871
599.0	74.890
600.0	74.907
601.0	74.940
602.0	74.929
603.0	74.905
604.0	74.848
605.0	74.828
606.0	74.772
607.0	74.766
608.0	74.686
609.0	74.675
610.0	74.633
611.0	74.631
612.0	74.588
613.0	74.523
614.0	74.506
615.0	74.467
616.0	74.435
617.0	74.343
618.0	74.313
619.0	74.300
620.0	74.313
621.0	74.282
622.0	74.218
623.0	74.117
624.0	74.003
625.0	73.927
626.0	73.903
627.0	73.932
628.0	73.931
629.0	73.917
630.0	73.818
631.0	73.739
632.0	73.600
633.0	73.598
634.0	73.586
635.0	73.561
636.0	73.479
637.0	73.408
638.0	73.352
639.0	73.302
640.0	73.245
641.0	73.214
642.0	73.156
643.0	73.055
644.0	72.952
645.0	72.861
646.0	72.826
647.0	72.822
648.0	72.790
649.0	72.736
650.0	72.638
651.0	72.544
652.0	72.433
653.0	72.402
654.0	72.336
655.0	72.309
656.0	72.233
657.0	72.145
658.0	72.071
659.0	71.991
660.0	71.942
661.0	71.883
662.0	71.827
663.0	71.793
664.0	71.762
665.0	71.674
666.0	71.625
667.0	71.544
668.0	71.526
669.0	71.421
670.0	71.314
671.0	71.221
672.0	71.186
673.0	71.114
674.0	71.093
675.0	70.969
676.0	70.918
677.0	70.748
678.0	70.699
679.0	70.631
680.0	70.598
681.0	70.511
682.0	70.442
683.0	70.409
684.0	70.285
685.0	70.212
686.0	70.136
687.0	70.179
688.0	70.076
689.0	69.959
690.0	69.845
691.0	69.844
692.0	69.851
693.0	69.758
694.0	69.626
695.0	69.467
696.0	69.409
697.0	69.326
698.0	69.260
699.0	69.178
700.0	69.136
701.0	69.102
702.0	69.051
703.0	68.927
704.0	68.835
705.0	68.772
706.0	68.798
707.0	68.773
708.0	68.660
709.0	68.543
710.0	68.354
711.0	68.328
712.0	68.222
713.0	68.242
714.0	68.129
715.0	68.131
716.0	68.048
717.0	67.990
718.0	67.826
719.0	67.667
720.0	67.633
721.0	67.654
722.0	67.617
723.0	67.542
724.0	67.372
725.0	67.352
726.0	67.238
727.0	67.171
728.0	67.076
729.0	67.034
730.0	66.932
731.0	66.746
732.0	66.652
733.0	66.632
734.0	66.671
735.0	66.607
736.0	66.538
737.0	66.481
738.0	66.414
739.0	66.372
740.0	66.296
741.0	66.148
742.0	65.995
743.0	65.805
744.0	65.841
745.0	65.776
746.0	65.731
747.0	65.602
748.0	65.602
749.0	65.611
750.0	65.591
751.0	65.452
752.0	65.336
753.0	65.291
754.0	65.320
755.0	65.269
756.0	65.067
757.0	64.977
758.0	64.929
759.0	64.930
760.0	64.867
761.0	64.816
762.0	64.707
763.0	64.555
764.0	64.439
765.0	64.349
766.0	64.352
767.0	64.243
768.0	64.204
769.0	64.091
770.0	64.102
771.0	64.089
772.0	64.050
773.0	63.928
774.0	63.787
775.0	63.722
776.0	63.817
777.0	63.772
778.0	63.628
