[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/01/2023 20:56:54
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	(32)
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	T robot_6x6 lesker_non-B-samples_SENO-101.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	11.075
302.0	10.980
304.0	10.878
306.0	10.764
308.0	10.644
310.0	10.481
312.0	10.300
314.0	10.134
316.0	9.985
318.0	9.851
320.0	9.696
322.0	9.519
324.0	9.352
326.0	9.221
328.0	9.084
330.0	8.977
332.0	8.850
334.0	8.732
336.0	8.604
338.0	8.477
340.0	8.381
342.0	8.296
344.0	8.235
346.0	8.191
348.0	8.160
350.0	8.132
352.0	8.103
354.0	8.056
356.0	8.045
358.0	8.020
360.0	8.035
362.0	8.037
364.0	8.048
366.0	8.074
368.0	8.096
370.0	8.133
372.0	8.162
374.0	8.193
376.0	8.243
378.0	8.298
380.0	8.352
382.0	8.401
384.0	8.460
386.0	8.532
388.0	8.618
390.0	8.686
392.0	8.761
394.0	8.837
396.0	8.919
398.0	8.993
400.0	9.064
402.0	9.155
404.0	9.248
406.0	9.335
408.0	9.412
410.0	9.489
412.0	9.559
414.0	9.627
416.0	9.694
418.0	9.764
420.0	9.827
422.0	9.880
424.0	9.938
426.0	10.006
428.0	10.069
430.0	10.124
432.0	10.174
434.0	10.230
436.0	10.295
438.0	10.350
440.0	10.407
442.0	10.449
444.0	10.494
446.0	10.534
448.0	10.578
450.0	10.617
452.0	10.662
454.0	10.708
456.0	10.750
458.0	10.789
460.0	10.820
462.0	10.854
464.0	10.881
466.0	10.911
468.0	10.942
470.0	10.970
472.0	10.996
474.0	11.033
476.0	11.068
478.0	11.113
480.0	11.143
482.0	11.173
484.0	11.198
486.0	11.228
488.0	11.258
490.0	11.273
492.0	11.285
494.0	11.311
496.0	11.332
498.0	11.356
500.0	11.367
502.0	11.387
504.0	11.404
506.0	11.420
508.0	11.441
510.0	11.447
512.0	11.456
514.0	11.457
516.0	11.467
518.0	11.474
520.0	11.482
522.0	11.486
524.0	11.497
526.0	11.503
528.0	11.518
530.0	11.526
532.0	11.529
534.0	11.538
536.0	11.532
538.0	11.532
540.0	11.530
542.0	11.534
544.0	11.543
546.0	11.538
548.0	11.536
550.0	11.537
552.0	11.537
554.0	11.544
556.0	11.542
558.0	11.546
560.0	11.534
562.0	11.521
564.0	11.495
566.0	11.487
568.0	11.479
570.0	11.476
572.0	11.461
574.0	11.446
576.0	11.441
578.0	11.437
580.0	11.428
582.0	11.415
584.0	11.410
586.0	11.407
588.0	11.394
590.0	11.384
592.0	11.370
594.0	11.363
596.0	11.356
598.0	11.353
600.0	11.335
602.0	11.314
604.0	11.288
606.0	11.290
608.0	11.275
610.0	11.266
612.0	11.248
614.0	11.242
616.0	11.224
618.0	11.210
620.0	11.195
622.0	11.193
624.0	11.174
626.0	11.158
628.0	11.142
630.0	11.137
632.0	11.133
634.0	11.113
636.0	11.088
638.0	11.071
640.0	11.064
642.0	11.058
644.0	11.036
646.0	11.017
648.0	11.013
650.0	11.001
652.0	10.995
654.0	10.961
656.0	10.932
658.0	10.891
660.0	10.859
662.0	10.831
664.0	10.804
666.0	10.786
668.0	10.773
670.0	10.773
672.0	10.773
674.0	10.777
676.0	10.752
678.0	10.740
680.0	10.711
682.0	10.701
684.0	10.670
686.0	10.655
688.0	10.641
690.0	10.629
692.0	10.611
694.0	10.588
696.0	10.567
698.0	10.560
700.0	10.550
702.0	10.520
704.0	10.499
706.0	10.477
708.0	10.470
710.0	10.447
712.0	10.422
714.0	10.415
716.0	10.380
718.0	10.368
720.0	10.335
722.0	10.321
724.0	10.304
726.0	10.288
728.0	10.273
730.0	10.240
732.0	10.229
734.0	10.191
736.0	10.186
738.0	10.150
740.0	10.154
742.0	10.119
744.0	10.105
746.0	10.090
748.0	10.082
750.0	10.072
752.0	10.045
754.0	10.017
756.0	9.981
758.0	9.960
760.0	9.956
762.0	9.949
764.0	9.939
766.0	9.915
768.0	9.908
770.0	9.889
772.0	9.885
774.0	9.855
776.0	9.828
778.0	9.779
780.0	9.751
782.0	9.741
784.0	9.743
786.0	9.731
788.0	9.698
790.0	9.644
792.0	9.621
794.0	9.595
796.0	9.593
798.0	9.582
800.0	9.567
802.0	9.550
804.0	9.522
806.0	9.500
808.0	9.492
810.0	9.504
812.0	9.501
814.0	9.464
816.0	9.411
818.0	9.375
820.0	9.366
822.0	9.334
824.0	9.303
826.0	9.309
828.0	9.316
830.0	9.294
832.0	9.228
834.0	9.208
836.0	9.189
838.0	9.155
840.0	9.129
842.0	9.108
844.0	9.089
846.0	9.070
848.0	9.049
850.0	9.032
852.0	9.011
854.0	8.990
856.0	8.971
858.0	8.946
860.0	8.922
862.0	8.896
864.0	8.873
866.0	8.852
868.0	8.829
870.0	8.811
872.0	8.784
874.0	8.760
876.0	8.738
878.0	8.715
880.0	8.697
882.0	8.684
884.0	8.664
886.0	8.646
888.0	8.623
890.0	8.596
892.0	8.577
894.0	8.579
896.0	8.588
898.0	8.589
900.0	8.584
902.0	8.586
904.0	8.587
906.0	8.587
908.0	8.601
910.0	8.606
912.0	8.589
914.0	8.570
916.0	8.553
918.0	8.537
920.0	8.521
922.0	8.505
924.0	8.492
926.0	8.477
928.0	8.461
930.0	8.446
932.0	8.430
934.0	8.414
936.0	8.402
938.0	8.386
940.0	8.372
942.0	8.361
944.0	8.349
946.0	8.334
948.0	8.322
950.0	8.313
952.0	8.301
954.0	8.287
956.0	8.277
958.0	8.265
960.0	8.253
962.0	8.239
964.0	8.229
966.0	8.216
968.0	8.200
970.0	8.187
972.0	8.175
974.0	8.162
976.0	8.150
978.0	8.134
980.0	8.120
982.0	8.107
984.0	8.095
986.0	8.084
988.0	8.071
990.0	8.061
992.0	8.049
994.0	8.037
996.0	8.024
998.0	8.013
1000.0	8.001
1002.0	7.989
1004.0	7.977
1006.0	7.965
1008.0	7.954
1010.0	7.943
1012.0	7.931
1014.0	7.920
1016.0	7.910
1018.0	7.900
1020.0	7.888
1022.0	7.879
1024.0	7.870
1026.0	7.860
1028.0	7.848
1030.0	7.839
1032.0	7.830
1034.0	7.820
1036.0	7.811
1038.0	7.803
1040.0	7.792
1042.0	7.783
1044.0	7.774
1046.0	7.766
1048.0	7.757
1050.0	7.748
1052.0	7.740
1054.0	7.732
1056.0	7.724
1058.0	7.716
1060.0	7.709
1062.0	7.699
1064.0	7.691
1066.0	7.684
1068.0	7.676
1070.0	7.668
1072.0	7.661
1074.0	7.654
1076.0	7.647
1078.0	7.639
1080.0	7.633
1082.0	7.626
1084.0	7.619
1086.0	7.613
1088.0	7.608
1090.0	7.600
1092.0	7.595
1094.0	7.590
1096.0	7.583
1098.0	7.578
1100.0	7.573
1102.0	7.569
1104.0	7.564
1106.0	7.559
1108.0	7.555
1110.0	7.549
1112.0	7.545
1114.0	7.542
1116.0	7.539
1118.0	7.535
1120.0	7.533
1122.0	7.530
1124.0	7.527
1126.0	7.525
1128.0	7.523
1130.0	7.520
1132.0	7.518
1134.0	7.515
1136.0	7.513
1138.0	7.512
1140.0	7.510
1142.0	7.510
1144.0	7.509
1146.0	7.509
1148.0	7.509
1150.0	7.508
1152.0	7.508
1154.0	7.509
1156.0	7.509
1158.0	7.510
1160.0	7.509
1162.0	7.508
1164.0	7.507
1166.0	7.506
1168.0	7.506
1170.0	7.506
1172.0	7.505
1174.0	7.503
1176.0	7.503
1178.0	7.503
1180.0	7.503
1182.0	7.504
1184.0	7.504
1186.0	7.504
1188.0	7.503
1190.0	7.503
1192.0	7.502
1194.0	7.502
1196.0	7.501
1198.0	7.500
1200.0	7.500
1202.0	7.499
1204.0	7.499
1206.0	7.501
1208.0	7.501
1210.0	7.502
1212.0	7.501
1214.0	7.502
1216.0	7.503
1218.0	7.503
1220.0	7.504
1222.0	7.505
1224.0	7.506
