[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/01/2023 20:52:06
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	(32)
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	T robot_6x6 lesker_non-B-samples_SENO-101.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	7.269
302.0	7.284
304.0	7.363
306.0	7.400
308.0	7.455
310.0	7.457
312.0	7.449
314.0	7.477
316.0	7.487
318.0	7.508
320.0	7.493
322.0	7.484
324.0	7.480
326.0	7.481
328.0	7.464
330.0	7.444
332.0	7.428
334.0	7.422
336.0	7.427
338.0	7.426
340.0	7.422
342.0	7.370
344.0	7.360
346.0	7.351
348.0	7.380
350.0	7.367
352.0	7.349
354.0	7.313
356.0	7.299
358.0	7.306
360.0	7.308
362.0	7.310
364.0	7.288
366.0	7.287
368.0	7.268
370.0	7.280
372.0	7.286
374.0	7.295
376.0	7.286
378.0	7.279
380.0	7.279
382.0	7.282
384.0	7.281
386.0	7.280
388.0	7.283
390.0	7.299
392.0	7.313
394.0	7.342
396.0	7.352
398.0	7.366
400.0	7.374
402.0	7.399
404.0	7.417
406.0	7.415
408.0	7.416
410.0	7.407
412.0	7.414
414.0	7.415
416.0	7.430
418.0	7.431
420.0	7.431
422.0	7.427
424.0	7.432
426.0	7.433
428.0	7.423
430.0	7.419
432.0	7.410
434.0	7.420
436.0	7.419
438.0	7.419
440.0	7.413
442.0	7.411
444.0	7.416
446.0	7.410
448.0	7.406
450.0	7.406
452.0	7.406
454.0	7.410
456.0	7.401
458.0	7.407
460.0	7.406
462.0	7.409
464.0	7.403
466.0	7.407
468.0	7.413
470.0	7.421
472.0	7.419
474.0	7.427
476.0	7.438
478.0	7.450
480.0	7.457
482.0	7.459
484.0	7.465
486.0	7.473
488.0	7.479
490.0	7.486
492.0	7.492
494.0	7.499
496.0	7.504
498.0	7.510
500.0	7.521
502.0	7.540
504.0	7.551
506.0	7.559
508.0	7.561
510.0	7.574
512.0	7.585
514.0	7.600
516.0	7.610
518.0	7.628
520.0	7.643
522.0	7.656
524.0	7.663
526.0	7.670
528.0	7.679
530.0	7.680
532.0	7.687
534.0	7.690
536.0	7.704
538.0	7.713
540.0	7.727
542.0	7.743
544.0	7.758
546.0	7.765
548.0	7.764
550.0	7.773
552.0	7.781
554.0	7.801
556.0	7.810
558.0	7.815
560.0	7.822
562.0	7.823
564.0	7.834
566.0	7.833
568.0	7.836
570.0	7.841
572.0	7.846
574.0	7.852
576.0	7.855
578.0	7.858
580.0	7.864
582.0	7.868
584.0	7.878
586.0	7.883
588.0	7.889
590.0	7.899
592.0	7.905
594.0	7.910
596.0	7.906
598.0	7.912
600.0	7.917
602.0	7.924
604.0	7.931
606.0	7.937
608.0	7.938
610.0	7.941
612.0	7.940
614.0	7.941
616.0	7.939
618.0	7.946
620.0	7.955
622.0	7.947
624.0	7.948
626.0	7.947
628.0	7.959
630.0	7.961
632.0	7.962
634.0	7.967
636.0	7.963
638.0	7.965
640.0	7.960
642.0	7.964
644.0	7.970
646.0	7.974
648.0	7.984
650.0	7.975
652.0	7.974
654.0	7.966
656.0	7.960
658.0	7.965
660.0	7.964
662.0	7.967
664.0	7.958
666.0	7.960
668.0	7.969
670.0	7.981
672.0	7.995
674.0	8.009
676.0	8.032
678.0	8.035
680.0	8.039
682.0	8.024
684.0	8.016
686.0	8.033
688.0	8.050
690.0	8.079
692.0	8.067
694.0	8.064
696.0	8.068
698.0	8.083
700.0	8.101
702.0	8.103
704.0	8.105
706.0	8.111
708.0	8.121
710.0	8.138
712.0	8.142
714.0	8.147
716.0	8.155
718.0	8.168
720.0	8.170
722.0	8.179
724.0	8.195
726.0	8.210
728.0	8.206
730.0	8.206
732.0	8.213
734.0	8.230
736.0	8.250
738.0	8.261
740.0	8.275
742.0	8.278
744.0	8.290
746.0	8.295
748.0	8.298
750.0	8.306
752.0	8.332
754.0	8.341
756.0	8.336
758.0	8.324
760.0	8.331
762.0	8.359
764.0	8.380
766.0	8.407
768.0	8.419
770.0	8.418
772.0	8.435
774.0	8.442
776.0	8.453
778.0	8.444
780.0	8.439
782.0	8.446
784.0	8.443
786.0	8.454
788.0	8.462
790.0	8.469
792.0	8.483
794.0	8.502
796.0	8.538
798.0	8.558
800.0	8.547
802.0	8.544
804.0	8.578
806.0	8.592
808.0	8.591
810.0	8.574
812.0	8.616
814.0	8.646
816.0	8.645
818.0	8.636
820.0	8.628
822.0	8.639
824.0	8.665
826.0	8.696
828.0	8.692
830.0	8.672
832.0	8.668
834.0	8.672
836.0	8.667
838.0	8.662
840.0	8.668
842.0	8.670
844.0	8.672
846.0	8.675
848.0	8.676
850.0	8.676
852.0	8.676
854.0	8.677
856.0	8.678
858.0	8.677
860.0	8.679
862.0	8.679
864.0	8.683
866.0	8.686
868.0	8.691
870.0	8.695
872.0	8.693
874.0	8.694
876.0	8.694
878.0	8.697
880.0	8.698
882.0	8.703
884.0	8.700
886.0	8.707
888.0	8.713
890.0	8.710
892.0	8.714
894.0	8.767
896.0	8.812
898.0	8.865
900.0	8.910
902.0	8.963
904.0	9.007
906.0	9.050
908.0	9.110
910.0	9.159
912.0	9.160
914.0	9.164
916.0	9.165
918.0	9.167
920.0	9.170
922.0	9.171
924.0	9.174
926.0	9.174
928.0	9.175
930.0	9.176
932.0	9.180
934.0	9.181
936.0	9.183
938.0	9.186
940.0	9.187
942.0	9.187
944.0	9.186
946.0	9.186
948.0	9.187
950.0	9.189
952.0	9.189
954.0	9.190
956.0	9.189
958.0	9.191
960.0	9.190
962.0	9.190
964.0	9.188
966.0	9.183
968.0	9.179
970.0	9.179
972.0	9.177
974.0	9.173
976.0	9.168
978.0	9.165
980.0	9.163
982.0	9.163
984.0	9.161
986.0	9.156
988.0	9.150
990.0	9.143
992.0	9.137
994.0	9.133
996.0	9.127
998.0	9.120
1000.0	9.110
1002.0	9.104
1004.0	9.097
1006.0	9.090
1008.0	9.083
1010.0	9.074
1012.0	9.066
1014.0	9.059
1016.0	9.050
1018.0	9.041
1020.0	9.031
1022.0	9.022
1024.0	9.013
1026.0	9.005
1028.0	8.997
1030.0	8.987
1032.0	8.975
1034.0	8.967
1036.0	8.957
1038.0	8.946
1040.0	8.935
1042.0	8.923
1044.0	8.912
1046.0	8.900
1048.0	8.888
1050.0	8.877
1052.0	8.866
1054.0	8.853
1056.0	8.842
1058.0	8.831
1060.0	8.819
1062.0	8.806
1064.0	8.795
1066.0	8.784
1068.0	8.771
1070.0	8.760
1072.0	8.748
1074.0	8.735
1076.0	8.723
1078.0	8.711
1080.0	8.699
1082.0	8.685
1084.0	8.673
1086.0	8.661
1088.0	8.646
1090.0	8.633
1092.0	8.621
1094.0	8.607
1096.0	8.593
1098.0	8.580
1100.0	8.566
1102.0	8.552
1104.0	8.537
1106.0	8.525
1108.0	8.512
1110.0	8.499
1112.0	8.487
1114.0	8.476
1116.0	8.464
1118.0	8.453
1120.0	8.441
1122.0	8.430
1124.0	8.418
1126.0	8.407
1128.0	8.396
1130.0	8.386
1132.0	8.375
1134.0	8.364
1136.0	8.354
1138.0	8.344
1140.0	8.335
1142.0	8.327
1144.0	8.317
1146.0	8.308
1148.0	8.299
1150.0	8.290
1152.0	8.281
1154.0	8.272
1156.0	8.263
1158.0	8.254
1160.0	8.244
1162.0	8.235
1164.0	8.225
1166.0	8.216
1168.0	8.207
1170.0	8.198
1172.0	8.189
1174.0	8.181
1176.0	8.171
1178.0	8.161
1180.0	8.151
1182.0	8.141
1184.0	8.132
1186.0	8.124
1188.0	8.114
1190.0	8.105
1192.0	8.097
1194.0	8.089
1196.0	8.081
1198.0	8.073
1200.0	8.067
1202.0	8.058
1204.0	8.050
1206.0	8.042
1208.0	8.034
1210.0	8.026
1212.0	8.018
1214.0	8.012
1216.0	8.005
1218.0	7.996
1220.0	7.990
1222.0	7.983
1224.0	7.976
