[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	04/01/2023 15:28:43
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 900,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	32.856
301.0	33.486
302.0	34.521
303.0	35.585
304.0	36.692
305.0	37.734
306.0	38.857
307.0	39.851
308.0	40.878
309.0	41.813
310.0	42.923
311.0	43.962
312.0	45.103
313.0	46.157
314.0	47.120
315.0	47.941
316.0	48.807
317.0	49.719
318.0	50.663
319.0	51.575
320.0	52.391
321.0	53.140
322.0	53.664
323.0	54.311
324.0	55.012
325.0	55.769
326.0	56.486
327.0	57.046
328.0	57.780
329.0	58.466
330.0	59.109
331.0	59.814
332.0	60.351
333.0	61.024
334.0	61.314
335.0	61.840
336.0	62.410
337.0	63.066
338.0	63.500
339.0	63.756
340.0	64.039
341.0	64.306
342.0	64.654
343.0	65.023
344.0	65.419
345.0	65.683
346.0	65.928
347.0	66.188
348.0	66.507
349.0	66.759
350.0	67.016
351.0	67.300
352.0	67.602
353.0	67.933
354.0	68.169
355.0	68.408
356.0	68.674
357.0	69.004
358.0	69.407
359.0	69.749
360.0	70.111
361.0	70.496
362.0	70.936
363.0	71.417
364.0	71.908
365.0	72.402
366.0	72.791
367.0	73.179
368.0	73.664
369.0	74.111
370.0	74.617
371.0	75.126
372.0	75.664
373.0	76.134
374.0	76.497
375.0	76.897
376.0	77.297
377.0	77.640
378.0	78.020
379.0	78.433
380.0	78.868
381.0	79.275
382.0	79.525
383.0	79.900
384.0	80.221
385.0	80.571
386.0	80.768
387.0	80.993
388.0	81.275
389.0	81.591
390.0	81.832
391.0	82.031
392.0	82.230
393.0	82.459
394.0	82.638
395.0	82.803
396.0	82.969
397.0	83.202
398.0	83.303
399.0	83.432
400.0	83.524
401.0	83.686
402.0	83.760
403.0	83.809
404.0	83.899
405.0	84.006
406.0	84.075
407.0	84.042
408.0	84.090
409.0	84.125
410.0	84.196
411.0	84.247
412.0	84.287
413.0	84.409
414.0	84.436
415.0	84.488
416.0	84.461
417.0	84.483
418.0	84.534
419.0	84.596
420.0	84.610
421.0	84.582
422.0	84.623
423.0	84.634
424.0	84.709
425.0	84.641
426.0	84.647
427.0	84.590
428.0	84.627
429.0	84.588
430.0	84.598
431.0	84.601
432.0	84.615
433.0	84.630
434.0	84.592
435.0	84.586
436.0	84.522
437.0	84.521
438.0	84.534
439.0	84.547
440.0	84.512
441.0	84.469
442.0	84.491
443.0	84.557
444.0	84.602
445.0	84.496
446.0	84.421
447.0	84.424
448.0	84.449
449.0	84.474
450.0	84.404
451.0	84.376
452.0	84.298
453.0	84.261
454.0	84.274
455.0	84.268
456.0	84.234
457.0	84.178
458.0	84.150
459.0	84.114
460.0	84.086
461.0	84.044
462.0	84.020
463.0	84.033
464.0	84.032
465.0	84.008
466.0	83.988
467.0	83.940
468.0	83.923
469.0	83.855
470.0	83.849
471.0	83.799
472.0	83.767
473.0	83.688
474.0	83.679
475.0	83.664
476.0	83.714
477.0	83.656
478.0	83.628
479.0	83.538
480.0	83.559
481.0	83.529
482.0	83.548
483.0	83.526
484.0	83.464
485.0	83.391
486.0	83.342
487.0	83.349
488.0	83.333
489.0	83.294
490.0	83.282
491.0	83.261
492.0	83.236
493.0	83.177
494.0	83.146
495.0	83.129
496.0	83.111
497.0	83.102
498.0	83.063
499.0	83.019
500.0	82.984
501.0	82.931
502.0	82.920
503.0	82.880
504.0	82.870
505.0	82.840
506.0	82.828
507.0	82.811
508.0	82.793
509.0	82.740
510.0	82.722
511.0	82.680
512.0	82.659
513.0	82.610
514.0	82.590
515.0	82.566
516.0	82.536
517.0	82.456
518.0	82.472
519.0	82.428
520.0	82.420
521.0	82.318
522.0	82.289
523.0	82.245
524.0	82.261
525.0	82.254
526.0	82.271
527.0	82.265
528.0	82.230
529.0	82.177
530.0	82.114
531.0	82.125
532.0	82.135
533.0	82.116
534.0	82.080
535.0	82.058
536.0	82.030
537.0	82.004
538.0	81.988
539.0	82.002
540.0	82.011
541.0	81.990
542.0	81.914
543.0	81.882
544.0	81.870
545.0	81.871
546.0	81.820
547.0	81.796
548.0	81.791
549.0	81.799
550.0	81.774
551.0	81.735
552.0	81.708
553.0	81.683
554.0	81.672
555.0	81.680
556.0	81.656
557.0	81.632
558.0	81.559
559.0	81.567
560.0	81.515
561.0	81.534
562.0	81.452
563.0	81.474
564.0	81.436
565.0	81.453
566.0	81.395
567.0	81.386
568.0	81.367
569.0	81.326
570.0	81.296
571.0	81.312
572.0	81.334
573.0	81.267
574.0	81.221
575.0	81.205
576.0	81.240
577.0	81.225
578.0	81.229
579.0	81.223
580.0	81.198
581.0	81.125
582.0	81.063
583.0	81.042
584.0	81.074
585.0	81.085
586.0	81.059
587.0	81.026
588.0	81.012
589.0	80.998
590.0	80.986
591.0	80.942
592.0	80.896
593.0	80.884
594.0	80.884
595.0	80.886
596.0	80.865
597.0	80.842
598.0	80.833
599.0	80.746
600.0	80.729
601.0	80.708
602.0	80.682
603.0	80.632
604.0	80.628
605.0	80.642
606.0	80.664
607.0	80.636
608.0	80.650
609.0	80.573
610.0	80.499
611.0	80.477
612.0	80.477
613.0	80.536
614.0	80.485
615.0	80.429
616.0	80.319
617.0	80.289
618.0	80.259
619.0	80.234
620.0	80.169
621.0	80.181
622.0	80.191
623.0	80.208
624.0	80.170
625.0	80.066
626.0	80.047
627.0	80.021
628.0	80.034
629.0	80.003
630.0	79.945
631.0	79.932
632.0	79.864
633.0	79.885
634.0	79.826
635.0	79.782
636.0	79.716
637.0	79.698
638.0	79.710
639.0	79.627
640.0	79.570
641.0	79.523
642.0	79.489
643.0	79.426
644.0	79.379
645.0	79.376
646.0	79.455
647.0	79.391
648.0	79.411
649.0	79.300
650.0	79.313
651.0	79.212
652.0	79.185
653.0	79.134
654.0	79.157
655.0	79.118
656.0	79.135
657.0	79.066
658.0	79.016
659.0	78.891
660.0	78.828
661.0	78.812
662.0	78.764
663.0	78.763
664.0	78.750
665.0	78.744
666.0	78.670
667.0	78.593
668.0	78.537
669.0	78.516
670.0	78.523
671.0	78.539
672.0	78.475
673.0	78.452
674.0	78.426
675.0	78.415
676.0	78.310
677.0	78.242
678.0	78.190
679.0	78.125
680.0	78.049
681.0	77.953
682.0	77.891
683.0	77.857
684.0	77.893
685.0	77.893
686.0	77.889
687.0	77.747
688.0	77.711
689.0	77.626
690.0	77.591
691.0	77.539
692.0	77.452
693.0	77.433
694.0	77.357
695.0	77.332
696.0	77.284
697.0	77.284
698.0	77.259
699.0	77.176
700.0	77.057
701.0	76.996
702.0	77.034
703.0	76.986
704.0	76.937
705.0	76.861
706.0	76.868
707.0	76.844
708.0	76.824
709.0	76.809
710.0	76.740
711.0	76.656
712.0	76.629
713.0	76.622
714.0	76.611
715.0	76.483
716.0	76.437
717.0	76.382
718.0	76.456
719.0	76.397
720.0	76.283
721.0	76.162
722.0	75.986
723.0	75.946
724.0	75.937
725.0	75.979
726.0	76.003
727.0	75.932
728.0	75.932
729.0	75.904
730.0	75.818
731.0	75.705
732.0	75.566
733.0	75.546
734.0	75.511
735.0	75.477
736.0	75.435
737.0	75.443
738.0	75.430
739.0	75.289
740.0	75.125
741.0	74.946
742.0	74.952
743.0	74.988
744.0	75.052
745.0	74.938
746.0	74.850
747.0	74.814
748.0	74.786
749.0	74.712
750.0	74.537
751.0	74.542
752.0	74.475
753.0	74.624
754.0	74.679
755.0	74.673
756.0	74.577
757.0	74.464
758.0	74.413
759.0	74.345
760.0	74.158
761.0	74.084
762.0	74.058
763.0	74.148
764.0	74.178
765.0	74.043
766.0	73.821
767.0	73.675
768.0	73.680
769.0	73.711
770.0	73.645
771.0	73.601
772.0	73.590
773.0	73.639
774.0	73.638
775.0	73.581
776.0	73.475
777.0	73.302
778.0	73.199
779.0	73.193
780.0	73.150
781.0	73.166
