[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	04/01/2023 15:21:32
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 900,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	39.054
301.0	39.643
302.0	40.517
303.0	41.277
304.0	42.111
305.0	43.030
306.0	44.110
307.0	45.001
308.0	45.779
309.0	46.484
310.0	47.354
311.0	48.245
312.0	49.063
313.0	49.872
314.0	50.634
315.0	51.458
316.0	52.302
317.0	53.121
318.0	53.910
319.0	54.606
320.0	55.248
321.0	55.954
322.0	56.529
323.0	57.144
324.0	57.580
325.0	58.196
326.0	58.721
327.0	59.303
328.0	59.904
329.0	60.590
330.0	61.162
331.0	61.764
332.0	62.330
333.0	62.926
334.0	63.334
335.0	63.744
336.0	64.266
337.0	64.608
338.0	64.953
339.0	65.197
340.0	65.641
341.0	65.984
342.0	66.390
343.0	66.688
344.0	67.075
345.0	67.322
346.0	67.621
347.0	67.892
348.0	68.243
349.0	68.651
350.0	68.957
351.0	69.322
352.0	69.543
353.0	69.941
354.0	70.215
355.0	70.637
356.0	70.937
357.0	71.269
358.0	71.566
359.0	71.857
360.0	72.148
361.0	72.434
362.0	72.737
363.0	73.026
364.0	73.378
365.0	73.756
366.0	73.955
367.0	74.122
368.0	74.310
369.0	74.613
370.0	74.916
371.0	75.225
372.0	75.403
373.0	75.594
374.0	75.720
375.0	75.957
376.0	76.031
377.0	76.142
378.0	76.222
379.0	76.482
380.0	76.621
381.0	76.720
382.0	76.716
383.0	76.808
384.0	76.883
385.0	76.922
386.0	76.947
387.0	77.022
388.0	77.119
389.0	77.130
390.0	77.211
391.0	77.159
392.0	77.248
393.0	77.210
394.0	77.293
395.0	77.200
396.0	77.181
397.0	77.163
398.0	77.221
399.0	77.217
400.0	77.258
401.0	77.233
402.0	77.190
403.0	77.103
404.0	77.033
405.0	77.040
406.0	76.993
407.0	76.886
408.0	76.845
409.0	76.751
410.0	76.712
411.0	76.607
412.0	76.587
413.0	76.563
414.0	76.536
415.0	76.474
416.0	76.450
417.0	76.392
418.0	76.299
419.0	76.192
420.0	76.123
421.0	76.096
422.0	76.116
423.0	76.029
424.0	75.957
425.0	75.808
426.0	75.773
427.0	75.687
428.0	75.624
429.0	75.509
430.0	75.445
431.0	75.364
432.0	75.276
433.0	75.192
434.0	75.114
435.0	75.091
436.0	75.006
437.0	74.935
438.0	74.837
439.0	74.808
440.0	74.718
441.0	74.689
442.0	74.644
443.0	74.684
444.0	74.619
445.0	74.536
446.0	74.474
447.0	74.457
448.0	74.477
449.0	74.456
450.0	74.439
451.0	74.402
452.0	74.400
453.0	74.366
454.0	74.330
455.0	74.280
456.0	74.282
457.0	74.309
458.0	74.306
459.0	74.278
460.0	74.276
461.0	74.284
462.0	74.332
463.0	74.296
464.0	74.290
465.0	74.260
466.0	74.343
467.0	74.407
468.0	74.500
469.0	74.532
470.0	74.628
471.0	74.686
472.0	74.760
473.0	74.789
474.0	74.863
475.0	74.922
476.0	74.989
477.0	75.061
478.0	75.084
479.0	75.099
480.0	75.116
481.0	75.170
482.0	75.242
483.0	75.301
484.0	75.328
485.0	75.375
486.0	75.404
487.0	75.501
488.0	75.532
489.0	75.577
490.0	75.606
491.0	75.691
492.0	75.763
493.0	75.864
494.0	75.912
495.0	76.052
496.0	76.073
497.0	76.186
498.0	76.189
499.0	76.333
500.0	76.386
501.0	76.457
502.0	76.504
503.0	76.617
504.0	76.783
505.0	76.904
506.0	77.035
507.0	77.100
508.0	77.207
509.0	77.242
510.0	77.356
511.0	77.453
512.0	77.571
513.0	77.630
514.0	77.729
515.0	77.862
516.0	78.002
517.0	78.103
518.0	78.213
519.0	78.302
520.0	78.423
521.0	78.528
522.0	78.671
523.0	78.783
524.0	78.875
525.0	78.940
526.0	79.029
527.0	79.145
528.0	79.290
529.0	79.397
530.0	79.506
531.0	79.604
532.0	79.709
533.0	79.814
534.0	79.884
535.0	79.965
536.0	80.037
537.0	80.119
538.0	80.230
539.0	80.355
540.0	80.446
541.0	80.537
542.0	80.555
543.0	80.643
544.0	80.703
545.0	80.764
546.0	80.832
547.0	80.873
548.0	80.972
549.0	81.069
550.0	81.150
551.0	81.168
552.0	81.199
553.0	81.261
554.0	81.305
555.0	81.355
556.0	81.362
557.0	81.438
558.0	81.472
559.0	81.544
560.0	81.594
561.0	81.626
562.0	81.659
563.0	81.682
564.0	81.705
565.0	81.725
566.0	81.752
567.0	81.782
568.0	81.772
569.0	81.776
570.0	81.783
571.0	81.844
572.0	81.864
573.0	81.811
574.0	81.794
575.0	81.733
576.0	81.774
577.0	81.787
578.0	81.828
579.0	81.856
580.0	81.819
581.0	81.776
582.0	81.712
583.0	81.686
584.0	81.747
585.0	81.754
586.0	81.752
587.0	81.721
588.0	81.751
589.0	81.773
590.0	81.740
591.0	81.709
592.0	81.626
593.0	81.649
594.0	81.634
595.0	81.672
596.0	81.652
597.0	81.607
598.0	81.601
599.0	81.526
600.0	81.531
601.0	81.489
602.0	81.466
603.0	81.430
604.0	81.414
605.0	81.426
606.0	81.432
607.0	81.394
608.0	81.354
609.0	81.322
610.0	81.316
611.0	81.316
612.0	81.279
613.0	81.255
614.0	81.221
615.0	81.191
616.0	81.189
617.0	81.192
618.0	81.194
619.0	81.118
620.0	81.091
621.0	81.072
622.0	81.050
623.0	81.039
624.0	81.021
625.0	80.995
626.0	80.979
627.0	80.940
628.0	80.979
629.0	80.914
630.0	80.908
631.0	80.905
632.0	80.898
633.0	80.888
634.0	80.824
635.0	80.835
636.0	80.795
637.0	80.731
638.0	80.724
639.0	80.708
640.0	80.717
641.0	80.676
642.0	80.613
643.0	80.583
644.0	80.545
645.0	80.507
646.0	80.543
647.0	80.513
648.0	80.610
649.0	80.555
650.0	80.583
651.0	80.493
652.0	80.477
653.0	80.447
654.0	80.474
655.0	80.433
656.0	80.414
657.0	80.385
658.0	80.405
659.0	80.338
660.0	80.290
661.0	80.304
662.0	80.312
663.0	80.351
664.0	80.367
665.0	80.449
666.0	80.461
667.0	80.456
668.0	80.396
669.0	80.381
670.0	80.403
671.0	80.456
672.0	80.427
673.0	80.329
674.0	80.283
675.0	80.260
676.0	80.251
677.0	80.171
678.0	80.108
679.0	80.049
680.0	80.021
681.0	79.979
682.0	79.939
683.0	79.855
684.0	79.879
685.0	79.887
686.0	79.943
687.0	79.828
688.0	79.769
689.0	79.753
690.0	79.748
691.0	79.740
692.0	79.627
693.0	79.654
694.0	79.668
695.0	79.673
696.0	79.623
697.0	79.578
698.0	79.589
699.0	79.539
700.0	79.499
701.0	79.463
702.0	79.513
703.0	79.502
704.0	79.514
705.0	79.450
706.0	79.402
707.0	79.417
708.0	79.493
709.0	79.503
710.0	79.394
711.0	79.240
712.0	79.241
713.0	79.244
714.0	79.290
715.0	79.341
716.0	79.340
717.0	79.312
718.0	79.182
719.0	79.113
720.0	79.054
721.0	79.059
722.0	78.973
723.0	78.984
724.0	79.004
725.0	79.135
726.0	79.212
727.0	79.163
728.0	79.156
729.0	79.117
730.0	79.080
731.0	78.973
732.0	78.887
733.0	78.791
734.0	78.784
735.0	78.688
736.0	78.916
737.0	78.928
738.0	78.944
739.0	78.667
740.0	78.590
741.0	78.551
742.0	78.582
743.0	78.573
744.0	78.627
745.0	78.682
746.0	78.660
747.0	78.648
748.0	78.516
749.0	78.454
750.0	78.403
751.0	78.384
752.0	78.373
753.0	78.357
754.0	78.480
755.0	78.512
756.0	78.393
757.0	78.300
758.0	78.238
759.0	78.314
760.0	78.280
761.0	78.183
762.0	78.119
763.0	78.150
764.0	78.364
765.0	78.368
766.0	78.190
767.0	78.036
768.0	78.065
769.0	78.107
770.0	78.129
771.0	78.061
772.0	78.098
773.0	78.076
774.0	78.023
775.0	78.023
776.0	78.005
777.0	78.006
778.0	77.954
779.0	77.963
780.0	77.959
781.0	78.012
