[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	04/01/2023 15:25:14
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 900,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	28.404
301.0	29.232
302.0	30.359
303.0	31.529
304.0	32.618
305.0	33.751
306.0	35.007
307.0	36.145
308.0	37.263
309.0	38.358
310.0	39.550
311.0	40.686
312.0	41.779
313.0	42.925
314.0	44.114
315.0	45.235
316.0	46.232
317.0	47.203
318.0	48.288
319.0	49.340
320.0	50.365
321.0	51.207
322.0	52.067
323.0	52.892
324.0	53.735
325.0	54.539
326.0	55.491
327.0	56.347
328.0	57.172
329.0	58.005
330.0	58.939
331.0	59.894
332.0	60.661
333.0	61.393
334.0	62.019
335.0	62.665
336.0	63.407
337.0	64.057
338.0	64.691
339.0	65.212
340.0	65.686
341.0	66.156
342.0	66.593
343.0	67.181
344.0	67.731
345.0	68.173
346.0	68.562
347.0	69.051
348.0	69.521
349.0	69.965
350.0	70.275
351.0	70.679
352.0	70.967
353.0	71.404
354.0	71.705
355.0	72.197
356.0	72.564
357.0	72.920
358.0	73.200
359.0	73.377
360.0	73.697
361.0	73.934
362.0	74.275
363.0	74.476
364.0	74.778
365.0	75.020
366.0	75.234
367.0	75.381
368.0	75.614
369.0	75.798
370.0	76.148
371.0	76.330
372.0	76.531
373.0	76.661
374.0	76.820
375.0	76.980
376.0	77.045
377.0	77.133
378.0	77.170
379.0	77.330
380.0	77.397
381.0	77.607
382.0	77.671
383.0	77.840
384.0	77.867
385.0	77.887
386.0	77.885
387.0	77.945
388.0	78.084
389.0	78.148
390.0	78.261
391.0	78.251
392.0	78.370
393.0	78.412
394.0	78.503
395.0	78.488
396.0	78.469
397.0	78.503
398.0	78.516
399.0	78.612
400.0	78.711
401.0	78.813
402.0	78.797
403.0	78.726
404.0	78.744
405.0	78.798
406.0	78.773
407.0	78.694
408.0	78.715
409.0	78.765
410.0	78.776
411.0	78.767
412.0	78.762
413.0	78.778
414.0	78.720
415.0	78.697
416.0	78.665
417.0	78.662
418.0	78.600
419.0	78.522
420.0	78.519
421.0	78.486
422.0	78.525
423.0	78.390
424.0	78.429
425.0	78.387
426.0	78.413
427.0	78.302
428.0	78.263
429.0	78.197
430.0	78.236
431.0	78.258
432.0	78.306
433.0	78.344
434.0	78.391
435.0	78.486
436.0	78.497
437.0	78.532
438.0	78.549
439.0	78.609
440.0	78.655
441.0	78.779
442.0	78.942
443.0	79.100
444.0	79.200
445.0	79.275
446.0	79.394
447.0	79.546
448.0	79.732
449.0	79.850
450.0	79.974
451.0	80.033
452.0	80.197
453.0	80.353
454.0	80.552
455.0	80.651
456.0	80.767
457.0	80.909
458.0	81.049
459.0	81.125
460.0	81.207
461.0	81.309
462.0	81.458
463.0	81.564
464.0	81.655
465.0	81.710
466.0	81.823
467.0	81.937
468.0	82.050
469.0	82.103
470.0	82.184
471.0	82.262
472.0	82.348
473.0	82.415
474.0	82.516
475.0	82.613
476.0	82.726
477.0	82.815
478.0	82.896
479.0	82.952
480.0	83.034
481.0	83.150
482.0	83.286
483.0	83.407
484.0	83.416
485.0	83.432
486.0	83.501
487.0	83.645
488.0	83.764
489.0	83.806
490.0	83.852
491.0	83.972
492.0	84.049
493.0	84.118
494.0	84.152
495.0	84.253
496.0	84.302
497.0	84.403
498.0	84.438
499.0	84.558
500.0	84.659
501.0	84.742
502.0	84.841
503.0	84.862
504.0	84.978
505.0	85.031
506.0	85.166
507.0	85.219
508.0	85.301
509.0	85.325
510.0	85.368
511.0	85.454
512.0	85.519
513.0	85.587
514.0	85.613
515.0	85.682
516.0	85.786
517.0	85.828
518.0	85.889
519.0	85.914
520.0	86.031
521.0	86.112
522.0	86.234
523.0	86.265
524.0	86.326
525.0	86.366
526.0	86.429
527.0	86.469
528.0	86.557
529.0	86.603
530.0	86.635
531.0	86.663
532.0	86.798
533.0	86.883
534.0	86.924
535.0	86.934
536.0	86.975
537.0	87.033
538.0	87.090
539.0	87.194
540.0	87.280
541.0	87.299
542.0	87.291
543.0	87.288
544.0	87.353
545.0	87.373
546.0	87.442
547.0	87.467
548.0	87.517
549.0	87.553
550.0	87.640
551.0	87.680
552.0	87.690
553.0	87.660
554.0	87.649
555.0	87.680
556.0	87.712
557.0	87.792
558.0	87.803
559.0	87.854
560.0	87.882
561.0	87.945
562.0	87.966
563.0	88.040
564.0	88.070
565.0	88.088
566.0	88.088
567.0	88.119
568.0	88.163
569.0	88.164
570.0	88.155
571.0	88.192
572.0	88.205
573.0	88.171
574.0	88.173
575.0	88.117
576.0	88.182
577.0	88.174
578.0	88.209
579.0	88.161
580.0	88.124
581.0	88.112
582.0	88.120
583.0	88.108
584.0	88.175
585.0	88.216
586.0	88.307
587.0	88.312
588.0	88.359
589.0	88.386
590.0	88.391
591.0	88.378
592.0	88.333
593.0	88.373
594.0	88.384
595.0	88.431
596.0	88.467
597.0	88.515
598.0	88.561
599.0	88.528
600.0	88.482
601.0	88.505
602.0	88.482
603.0	88.514
604.0	88.455
605.0	88.484
606.0	88.498
607.0	88.509
608.0	88.528
609.0	88.564
610.0	88.602
611.0	88.607
612.0	88.612
613.0	88.623
614.0	88.575
615.0	88.557
616.0	88.485
617.0	88.519
618.0	88.474
619.0	88.491
620.0	88.485
621.0	88.529
622.0	88.545
623.0	88.619
624.0	88.625
625.0	88.581
626.0	88.555
627.0	88.514
628.0	88.550
629.0	88.508
630.0	88.553
631.0	88.603
632.0	88.641
633.0	88.635
634.0	88.603
635.0	88.575
636.0	88.551
637.0	88.516
638.0	88.531
639.0	88.515
640.0	88.571
641.0	88.595
642.0	88.585
643.0	88.523
644.0	88.506
645.0	88.540
646.0	88.668
647.0	88.607
648.0	88.651
649.0	88.587
650.0	88.660
651.0	88.619
652.0	88.605
653.0	88.596
654.0	88.641
655.0	88.614
656.0	88.662
657.0	88.627
658.0	88.643
659.0	88.575
660.0	88.561
661.0	88.553
662.0	88.534
663.0	88.536
664.0	88.553
665.0	88.566
666.0	88.532
667.0	88.486
668.0	88.432
669.0	88.481
670.0	88.535
671.0	88.571
672.0	88.564
673.0	88.581
674.0	88.629
675.0	88.662
676.0	88.605
677.0	88.614
678.0	88.562
679.0	88.614
680.0	88.573
681.0	88.514
682.0	88.461
683.0	88.490
684.0	88.589
685.0	88.559
686.0	88.621
687.0	88.477
688.0	88.523
689.0	88.470
690.0	88.581
691.0	88.566
692.0	88.524
693.0	88.466
694.0	88.445
695.0	88.404
696.0	88.453
697.0	88.501
698.0	88.530
699.0	88.435
700.0	88.365
701.0	88.276
702.0	88.406
703.0	88.408
704.0	88.483
705.0	88.487
706.0	88.533
707.0	88.528
708.0	88.493
709.0	88.474
710.0	88.443
711.0	88.422
712.0	88.350
713.0	88.416
714.0	88.442
715.0	88.506
716.0	88.482
717.0	88.514
718.0	88.569
719.0	88.591
720.0	88.478
721.0	88.465
722.0	88.393
723.0	88.403
724.0	88.362
725.0	88.423
726.0	88.497
727.0	88.508
728.0	88.550
729.0	88.589
730.0	88.621
731.0	88.540
732.0	88.460
733.0	88.381
734.0	88.475
735.0	88.438
736.0	88.495
737.0	88.426
738.0	88.444
739.0	88.356
740.0	88.347
741.0	88.255
742.0	88.203
743.0	88.193
744.0	88.302
745.0	88.430
746.0	88.407
747.0	88.366
748.0	88.321
749.0	88.338
750.0	88.364
751.0	88.370
752.0	88.375
753.0	88.390
754.0	88.465
755.0	88.389
756.0	88.404
757.0	88.400
758.0	88.416
759.0	88.405
760.0	88.298
761.0	88.318
762.0	88.310
763.0	88.444
764.0	88.473
765.0	88.363
766.0	88.182
767.0	88.127
768.0	88.271
769.0	88.370
770.0	88.445
771.0	88.411
772.0	88.393
773.0	88.447
774.0	88.409
775.0	88.372
776.0	88.277
777.0	88.190
778.0	88.164
779.0	88.122
780.0	88.186
781.0	88.244
