[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	04/01/2023 15:32:11
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 900,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	19.437
301.0	19.973
302.0	20.796
303.0	21.579
304.0	22.369
305.0	23.150
306.0	24.047
307.0	24.790
308.0	25.536
309.0	26.278
310.0	27.131
311.0	27.970
312.0	28.718
313.0	29.456
314.0	30.088
315.0	30.765
316.0	31.496
317.0	32.234
318.0	33.003
319.0	33.675
320.0	34.383
321.0	35.033
322.0	35.661
323.0	36.269
324.0	36.850
325.0	37.455
326.0	38.136
327.0	38.840
328.0	39.633
329.0	40.367
330.0	41.089
331.0	41.800
332.0	42.543
333.0	43.366
334.0	44.039
335.0	44.773
336.0	45.457
337.0	46.202
338.0	46.890
339.0	47.500
340.0	48.226
341.0	48.883
342.0	49.606
343.0	50.221
344.0	50.898
345.0	51.489
346.0	52.147
347.0	52.771
348.0	53.367
349.0	53.796
350.0	54.224
351.0	54.675
352.0	55.121
353.0	55.523
354.0	55.933
355.0	56.341
356.0	56.758
357.0	57.008
358.0	57.306
359.0	57.453
360.0	57.681
361.0	57.824
362.0	57.988
363.0	58.106
364.0	58.153
365.0	58.257
366.0	58.287
367.0	58.344
368.0	58.355
369.0	58.375
370.0	58.422
371.0	58.501
372.0	58.498
373.0	58.478
374.0	58.383
375.0	58.308
376.0	58.188
377.0	58.038
378.0	57.918
379.0	57.902
380.0	57.824
381.0	57.727
382.0	57.543
383.0	57.415
384.0	57.275
385.0	57.047
386.0	56.848
387.0	56.627
388.0	56.478
389.0	56.304
390.0	56.191
391.0	55.994
392.0	55.754
393.0	55.488
394.0	55.273
395.0	55.006
396.0	54.767
397.0	54.559
398.0	54.337
399.0	54.093
400.0	53.842
401.0	53.628
402.0	53.346
403.0	53.025
404.0	52.715
405.0	52.486
406.0	52.216
407.0	51.910
408.0	51.595
409.0	51.299
410.0	51.018
411.0	50.737
412.0	50.440
413.0	50.181
414.0	49.864
415.0	49.544
416.0	49.207
417.0	48.877
418.0	48.584
419.0	48.246
420.0	47.927
421.0	47.554
422.0	47.250
423.0	46.871
424.0	46.555
425.0	46.186
426.0	45.886
427.0	45.549
428.0	45.197
429.0	44.830
430.0	44.468
431.0	44.107
432.0	43.727
433.0	43.317
434.0	42.932
435.0	42.562
436.0	42.197
437.0	41.819
438.0	41.442
439.0	41.074
440.0	40.686
441.0	40.303
442.0	39.905
443.0	39.531
444.0	39.142
445.0	38.725
446.0	38.335
447.0	37.915
448.0	37.524
449.0	37.097
450.0	36.683
451.0	36.219
452.0	35.777
453.0	35.321
454.0	34.923
455.0	34.486
456.0	34.043
457.0	33.607
458.0	33.148
459.0	32.711
460.0	32.246
461.0	31.799
462.0	31.352
463.0	30.912
464.0	30.483
465.0	30.066
466.0	29.665
467.0	29.256
468.0	28.843
469.0	28.436
470.0	28.046
471.0	27.629
472.0	27.191
473.0	26.738
474.0	26.302
475.0	25.863
476.0	25.406
477.0	24.932
478.0	24.454
479.0	23.978
480.0	23.508
481.0	23.028
482.0	22.564
483.0	22.131
484.0	21.687
485.0	21.258
486.0	20.813
487.0	20.412
488.0	19.998
489.0	19.590
490.0	19.176
491.0	18.776
492.0	18.375
493.0	17.984
494.0	17.592
495.0	17.218
496.0	16.842
497.0	16.459
498.0	16.079
499.0	15.706
500.0	15.342
501.0	14.979
502.0	14.611
503.0	14.260
504.0	13.908
505.0	13.573
506.0	13.249
507.0	12.940
508.0	12.635
509.0	12.328
510.0	12.027
511.0	11.745
512.0	11.465
513.0	11.198
514.0	10.931
515.0	10.679
516.0	10.422
517.0	10.183
518.0	9.949
519.0	9.713
520.0	9.477
521.0	9.248
522.0	9.039
523.0	8.828
524.0	8.629
525.0	8.424
526.0	8.218
527.0	8.020
528.0	7.824
529.0	7.641
530.0	7.441
531.0	7.260
532.0	7.084
533.0	6.918
534.0	6.751
535.0	6.591
536.0	6.447
537.0	6.304
538.0	6.168
539.0	6.026
540.0	5.889
541.0	5.755
542.0	5.629
543.0	5.507
544.0	5.387
545.0	5.276
546.0	5.164
547.0	5.053
548.0	4.944
549.0	4.846
550.0	4.754
551.0	4.661
552.0	4.571
553.0	4.473
554.0	4.389
555.0	4.312
556.0	4.247
557.0	4.178
558.0	4.108
559.0	4.041
560.0	3.981
561.0	3.924
562.0	3.872
563.0	3.822
564.0	3.771
565.0	3.721
566.0	3.667
567.0	3.618
568.0	3.574
569.0	3.528
570.0	3.485
571.0	3.445
572.0	3.402
573.0	3.356
574.0	3.308
575.0	3.260
576.0	3.215
577.0	3.171
578.0	3.130
579.0	3.087
580.0	3.042
581.0	3.000
582.0	2.965
583.0	2.935
584.0	2.905
585.0	2.875
586.0	2.845
587.0	2.817
588.0	2.784
589.0	2.754
590.0	2.724
591.0	2.697
592.0	2.666
593.0	2.643
594.0	2.621
595.0	2.604
596.0	2.585
597.0	2.563
598.0	2.540
599.0	2.525
600.0	2.518
601.0	2.513
602.0	2.506
603.0	2.500
604.0	2.501
605.0	2.500
606.0	2.507
607.0	2.510
608.0	2.520
609.0	2.527
610.0	2.542
611.0	2.556
612.0	2.576
613.0	2.592
614.0	2.619
615.0	2.649
616.0	2.678
617.0	2.706
618.0	2.738
619.0	2.777
620.0	2.815
621.0	2.855
622.0	2.895
623.0	2.937
624.0	2.983
625.0	3.030
626.0	3.072
627.0	3.124
628.0	3.172
629.0	3.226
630.0	3.262
631.0	3.310
632.0	3.354
633.0	3.400
634.0	3.438
635.0	3.481
636.0	3.521
637.0	3.560
638.0	3.590
639.0	3.622
640.0	3.650
641.0	3.676
642.0	3.695
643.0	3.715
644.0	3.737
645.0	3.752
646.0	3.771
647.0	3.775
648.0	3.795
649.0	3.808
650.0	3.831
651.0	3.845
652.0	3.852
653.0	3.863
654.0	3.878
655.0	3.907
656.0	3.939
657.0	3.968
658.0	3.994
659.0	4.026
660.0	4.067
661.0	4.113
662.0	4.161
663.0	4.217
664.0	4.291
665.0	4.359
666.0	4.441
667.0	4.526
668.0	4.640
669.0	4.762
670.0	4.909
671.0	5.064
672.0	5.243
673.0	5.437
674.0	5.661
675.0	5.892
676.0	6.142
677.0	6.409
678.0	6.702
679.0	7.021
680.0	7.371
681.0	7.740
682.0	8.146
683.0	8.578
684.0	9.057
685.0	9.556
686.0	10.088
687.0	10.657
688.0	11.276
689.0	11.959
690.0	12.691
691.0	13.447
692.0	14.252
693.0	15.083
694.0	15.970
695.0	16.890
696.0	17.826
697.0	18.824
698.0	19.837
699.0	20.863
700.0	21.877
701.0	22.955
702.0	24.089
703.0	25.208
704.0	26.296
705.0	27.415
706.0	28.577
707.0	29.685
708.0	30.822
709.0	31.934
710.0	33.069
711.0	34.166
712.0	35.269
713.0	36.384
714.0	37.467
715.0	38.554
716.0	39.642
717.0	40.723
718.0	41.767
719.0	42.729
720.0	43.635
721.0	44.587
722.0	45.464
723.0	46.346
724.0	47.212
725.0	48.025
726.0	48.841
727.0	49.456
728.0	50.145
729.0	50.811
730.0	51.444
731.0	52.044
732.0	52.547
733.0	53.121
734.0	53.658
735.0	54.190
736.0	54.682
737.0	55.130
738.0	55.575
739.0	55.983
740.0	56.426
741.0	56.710
742.0	57.047
743.0	57.391
744.0	57.877
745.0	58.275
746.0	58.515
747.0	58.766
748.0	59.018
749.0	59.336
750.0	59.492
751.0	59.727
752.0	59.933
753.0	60.250
754.0	60.487
755.0	60.716
756.0	60.850
757.0	61.035
758.0	61.159
759.0	61.406
760.0	61.492
761.0	61.663
762.0	61.826
763.0	62.002
764.0	62.130
765.0	62.154
766.0	62.212
767.0	62.386
768.0	62.669
769.0	62.828
770.0	63.022
771.0	63.121
772.0	63.323
773.0	63.398
774.0	63.442
775.0	63.591
776.0	63.688
777.0	63.727
778.0	63.664
779.0	63.750
780.0	63.799
781.0	63.885
