[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/01/2023 18:09:56
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	5,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	10.288
305.0	10.017
310.0	9.673
315.0	9.357
320.0	8.982
325.0	8.634
330.0	8.367
335.0	8.115
340.0	7.937
345.0	7.852
350.0	7.737
355.0	7.709
360.0	7.726
365.0	7.732
370.0	7.791
375.0	7.837
380.0	7.949
385.0	8.064
390.0	8.192
395.0	8.353
400.0	8.563
405.0	8.725
410.0	8.888
415.0	9.087
420.0	9.258
425.0	9.427
430.0	9.545
435.0	9.721
440.0	9.823
445.0	9.981
450.0	10.091
455.0	10.179
460.0	10.283
465.0	10.360
470.0	10.452
475.0	10.558
480.0	10.630
485.0	10.684
490.0	10.745
495.0	10.784
500.0	10.831
505.0	10.842
510.0	10.853
515.0	10.851
520.0	10.858
525.0	10.856
530.0	10.841
535.0	10.822
540.0	10.829
545.0	10.795
550.0	10.782
555.0	10.765
560.0	10.726
565.0	10.697
570.0	10.667
575.0	10.647
580.0	10.662
585.0	10.649
590.0	10.639
595.0	10.603
600.0	10.581
605.0	10.537
610.0	10.506
615.0	10.504
620.0	10.501
625.0	10.471
630.0	10.422
635.0	10.427
640.0	10.425
645.0	10.393
650.0	10.351
655.0	10.302
660.0	10.277
665.0	10.272
670.0	10.285
675.0	10.263
680.0	10.245
685.0	10.231
690.0	10.163
695.0	10.142
700.0	10.105
705.0	10.114
710.0	10.069
715.0	10.067
720.0	10.038
725.0	10.002
730.0	9.982
735.0	9.967
740.0	9.965
745.0	9.940
750.0	9.925
755.0	9.907
760.0	9.831
765.0	9.851
770.0	9.848
775.0	9.751
780.0	9.752
785.0	9.698
790.0	9.729
795.0	9.674
800.0	9.635
805.0	9.821
810.0	9.785
815.0	9.705
820.0	9.682
825.0	9.672
830.0	9.593
835.0	9.569
840.0	9.498
845.0	9.469
850.0	9.380
855.0	9.327
860.0	9.341
865.0	9.265
870.0	9.148
875.0	9.283
880.0	9.279
885.0	9.200
890.0	9.000
895.0	9.179
900.0	8.998
905.0	9.362
910.0	9.270
915.0	9.273
920.0	9.275
925.0	9.237
930.0	9.155
935.0	9.153
940.0	9.075
945.0	9.105
950.0	9.125
955.0	9.041
960.0	8.990
965.0	9.022
970.0	9.005
975.0	8.950
980.0	8.944
985.0	8.920
990.0	8.887
995.0	8.866
1000.0	8.849
1005.0	8.808
1010.0	8.784
1015.0	8.766
1020.0	8.727
1025.0	8.719
1030.0	8.666
1035.0	8.654
1040.0	8.647
1045.0	8.647
1050.0	8.597
1055.0	8.590
1060.0	8.572
1065.0	8.562
1070.0	8.551
1075.0	8.516
1080.0	8.496
1085.0	8.509
1090.0	8.513
1095.0	8.495
1100.0	8.482
1105.0	8.461
1110.0	8.471
1115.0	8.448
1120.0	8.450
1125.0	8.449
1130.0	8.454
1135.0	8.441
1140.0	8.459
1145.0	8.469
1150.0	8.495
1155.0	8.499
1160.0	8.489
1165.0	8.516
1170.0	8.528
1175.0	8.523
1180.0	8.541
1185.0	8.542
1190.0	8.569
1195.0	8.566
1200.0	8.598
1205.0	8.595
1210.0	8.614
1215.0	8.651
1220.0	8.647
1225.0	8.657
1230.0	8.687
1235.0	8.713
1240.0	8.737
1245.0	8.732
1250.0	8.766
1255.0	8.780
1260.0	8.800
1265.0	8.852
1270.0	8.859
1275.0	8.871
1280.0	8.892
1285.0	8.934
1290.0	8.980
1295.0	8.988
1300.0	9.041
1305.0	9.069
1310.0	9.129
1315.0	9.128
1320.0	9.177
1325.0	9.204
1330.0	9.266
1335.0	9.290
1340.0	9.355
1345.0	9.411
1350.0	9.436
1355.0	9.457
1360.0	9.502
1365.0	9.510
1370.0	9.556
1375.0	9.627
1380.0	9.682
1385.0	9.748
1390.0	9.834
1395.0	9.869
1400.0	9.996
