[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/01/2023 18:06:42
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	5,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	9.723
305.0	9.660
310.0	9.492
315.0	9.226
320.0	9.031
325.0	8.740
330.0	8.582
335.0	8.404
340.0	8.230
345.0	8.132
350.0	8.012
355.0	8.008
360.0	7.978
365.0	8.056
370.0	8.105
375.0	8.265
380.0	8.421
385.0	8.590
390.0	8.741
395.0	8.892
400.0	9.101
405.0	9.218
410.0	9.383
415.0	9.445
420.0	9.563
425.0	9.562
430.0	9.598
435.0	9.609
440.0	9.661
445.0	9.659
450.0	9.676
455.0	9.733
460.0	9.734
465.0	9.773
470.0	9.833
475.0	9.881
480.0	9.906
485.0	9.947
490.0	9.956
495.0	9.957
500.0	10.007
505.0	10.026
510.0	10.031
515.0	10.019
520.0	10.005
525.0	10.021
530.0	10.009
535.0	9.986
540.0	9.974
545.0	9.960
550.0	9.930
555.0	9.941
560.0	9.945
565.0	9.907
570.0	9.884
575.0	9.853
580.0	9.867
585.0	9.876
590.0	9.870
595.0	9.883
600.0	9.873
605.0	9.864
610.0	9.863
615.0	9.870
620.0	9.893
625.0	9.858
630.0	9.875
635.0	9.857
640.0	9.894
645.0	9.873
650.0	9.850
655.0	9.857
660.0	9.871
665.0	9.853
670.0	9.881
675.0	9.904
680.0	9.905
685.0	9.876
690.0	9.863
695.0	9.864
700.0	9.883
705.0	9.856
710.0	9.855
715.0	9.818
720.0	9.786
725.0	9.822
730.0	9.813
735.0	9.706
740.0	9.767
745.0	9.746
750.0	9.752
755.0	9.731
760.0	9.709
765.0	9.747
770.0	9.693
775.0	9.644
780.0	9.635
785.0	9.616
790.0	9.595
795.0	9.571
800.0	9.503
805.0	9.811
810.0	9.759
815.0	9.745
820.0	9.724
825.0	9.718
830.0	9.715
835.0	9.697
840.0	9.645
845.0	9.610
850.0	9.571
855.0	9.578
860.0	9.474
865.0	9.404
870.0	9.517
875.0	9.511
880.0	9.534
885.0	9.471
890.0	9.230
895.0	9.087
900.0	9.504
905.0	9.594
910.0	9.600
915.0	9.574
920.0	9.539
925.0	9.502
930.0	9.425
935.0	9.428
940.0	9.388
945.0	9.368
950.0	9.385
955.0	9.327
960.0	9.249
965.0	9.226
970.0	9.213
975.0	9.195
980.0	9.182
985.0	9.137
990.0	9.079
995.0	9.075
1000.0	9.013
1005.0	9.029
1010.0	8.986
1015.0	8.934
1020.0	8.905
1025.0	8.901
1030.0	8.858
1035.0	8.809
1040.0	8.817
1045.0	8.813
1050.0	8.755
1055.0	8.752
1060.0	8.719
1065.0	8.707
1070.0	8.712
1075.0	8.690
1080.0	8.667
1085.0	8.653
1090.0	8.651
1095.0	8.629
1100.0	8.631
1105.0	8.631
1110.0	8.604
1115.0	8.623
1120.0	8.596
1125.0	8.601
1130.0	8.613
1135.0	8.619
1140.0	8.657
1145.0	8.648
1150.0	8.654
1155.0	8.673
1160.0	8.704
1165.0	8.700
1170.0	8.724
1175.0	8.729
1180.0	8.754
1185.0	8.751
1190.0	8.791
1195.0	8.793
1200.0	8.805
1205.0	8.847
1210.0	8.848
1215.0	8.856
1220.0	8.915
1225.0	8.936
1230.0	8.940
1235.0	8.968
1240.0	8.996
1245.0	9.046
1250.0	9.073
1255.0	9.099
1260.0	9.137
1265.0	9.168
1270.0	9.173
1275.0	9.216
1280.0	9.257
1285.0	9.283
1290.0	9.320
1295.0	9.374
1300.0	9.396
1305.0	9.440
1310.0	9.500
1315.0	9.553
1320.0	9.578
1325.0	9.635
1330.0	9.664
1335.0	9.727
1340.0	9.773
1345.0	9.831
1350.0	9.859
1355.0	9.918
1360.0	9.942
1365.0	9.974
1370.0	10.077
1375.0	10.136
1380.0	10.193
1385.0	10.310
1390.0	10.354
1395.0	10.430
1400.0	10.553
