[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/01/2023 17:54:16
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	5,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	8.498
305.0	8.612
310.0	8.846
315.0	8.833
320.0	8.775
325.0	8.749
330.0	8.662
335.0	8.549
340.0	8.402
345.0	8.164
350.0	8.007
355.0	7.908
360.0	7.765
365.0	7.649
370.0	7.564
375.0	7.504
380.0	7.507
385.0	7.509
390.0	7.573
395.0	7.622
400.0	7.760
405.0	7.870
410.0	7.994
415.0	8.168
420.0	8.314
425.0	8.454
430.0	8.600
435.0	8.753
440.0	8.949
445.0	9.068
450.0	9.285
455.0	9.462
460.0	9.631
465.0	9.818
470.0	9.978
475.0	10.185
480.0	10.394
485.0	10.603
490.0	10.783
495.0	10.964
500.0	11.177
505.0	11.375
510.0	11.538
515.0	11.767
520.0	11.931
525.0	12.117
530.0	12.252
535.0	12.452
540.0	12.620
545.0	12.779
550.0	12.924
555.0	13.067
560.0	13.231
565.0	13.367
570.0	13.450
575.0	13.508
580.0	13.609
585.0	13.684
590.0	13.777
595.0	13.851
600.0	13.896
605.0	13.964
610.0	13.949
615.0	13.985
620.0	14.000
625.0	14.011
630.0	14.022
635.0	13.995
640.0	13.958
645.0	13.892
650.0	13.809
655.0	13.750
660.0	13.634
665.0	13.486
670.0	13.373
675.0	13.240
680.0	13.128
685.0	13.001
690.0	12.854
695.0	12.764
700.0	12.679
705.0	12.615
710.0	12.517
715.0	12.453
720.0	12.423
725.0	12.356
730.0	12.297
735.0	12.307
740.0	12.211
745.0	12.191
750.0	12.190
755.0	12.145
760.0	12.045
765.0	12.156
770.0	12.095
775.0	12.067
780.0	12.014
785.0	11.999
790.0	11.895
795.0	11.955
800.0	11.918
805.0	11.873
810.0	11.857
815.0	11.783
820.0	11.762
825.0	11.730
830.0	11.665
835.0	11.703
840.0	11.599
845.0	11.572
850.0	11.519
855.0	11.509
860.0	11.374
865.0	11.463
870.0	11.401
875.0	11.333
880.0	11.180
885.0	11.360
890.0	11.250
895.0	10.823
900.0	11.401
905.0	11.420
910.0	11.519
915.0	11.356
920.0	11.421
925.0	11.256
930.0	11.274
935.0	11.275
940.0	11.215
945.0	11.119
950.0	11.069
955.0	11.049
960.0	10.988
965.0	10.962
970.0	10.908
975.0	10.865
980.0	10.804
985.0	10.790
990.0	10.651
995.0	10.571
1000.0	10.534
1005.0	10.467
1010.0	10.415
1015.0	10.308
1020.0	10.244
1025.0	10.177
1030.0	10.119
1035.0	10.008
1040.0	9.968
1045.0	9.872
1050.0	9.823
1055.0	9.745
1060.0	9.708
1065.0	9.608
1070.0	9.564
1075.0	9.484
1080.0	9.432
1085.0	9.343
1090.0	9.280
1095.0	9.245
1100.0	9.115
1105.0	9.095
1110.0	9.023
1115.0	8.978
1120.0	8.909
1125.0	8.863
1130.0	8.830
1135.0	8.750
1140.0	8.714
1145.0	8.684
1150.0	8.634
1155.0	8.600
1160.0	8.565
1165.0	8.531
1170.0	8.491
1175.0	8.451
1180.0	8.426
1185.0	8.390
1190.0	8.342
1195.0	8.343
1200.0	8.300
1205.0	8.266
1210.0	8.238
1215.0	8.218
1220.0	8.193
1225.0	8.170
1230.0	8.159
1235.0	8.166
1240.0	8.146
1245.0	8.127
1250.0	8.112
1255.0	8.099
1260.0	8.094
1265.0	8.104
1270.0	8.116
1275.0	8.099
1280.0	8.118
1285.0	8.119
1290.0	8.122
1295.0	8.134
1300.0	8.154
1305.0	8.167
1310.0	8.190
1315.0	8.210
1320.0	8.233
1325.0	8.230
1330.0	8.260
1335.0	8.321
1340.0	8.354
1345.0	8.330
1350.0	8.388
1355.0	8.386
1360.0	8.403
1365.0	8.435
1370.0	8.519
1375.0	8.550
1380.0	8.581
1385.0	8.640
1390.0	8.683
1395.0	8.729
1400.0	8.824
