[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/01/2023 17:57:18
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	5,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	7.041
305.0	7.321
310.0	7.632
315.0	7.826
320.0	8.015
325.0	8.125
330.0	8.192
335.0	8.156
340.0	8.131
345.0	8.069
350.0	7.911
355.0	7.868
360.0	7.737
365.0	7.608
370.0	7.501
375.0	7.460
380.0	7.441
385.0	7.443
390.0	7.444
395.0	7.458
400.0	7.585
405.0	7.666
410.0	7.750
415.0	7.876
420.0	7.983
425.0	8.091
430.0	8.221
435.0	8.378
440.0	8.493
445.0	8.645
450.0	8.799
455.0	8.965
460.0	9.107
465.0	9.292
470.0	9.427
475.0	9.609
480.0	9.816
485.0	10.018
490.0	10.186
495.0	10.348
500.0	10.542
505.0	10.704
510.0	10.892
515.0	11.056
520.0	11.205
525.0	11.360
530.0	11.519
535.0	11.680
540.0	11.807
545.0	11.972
550.0	12.098
555.0	12.218
560.0	12.340
565.0	12.395
570.0	12.476
575.0	12.582
580.0	12.657
585.0	12.714
590.0	12.788
595.0	12.850
600.0	12.905
605.0	12.931
610.0	12.927
615.0	12.987
620.0	12.967
625.0	13.002
630.0	13.007
635.0	12.974
640.0	12.911
645.0	12.919
650.0	12.861
655.0	12.832
660.0	12.688
665.0	12.656
670.0	12.607
675.0	12.544
680.0	12.499
685.0	12.441
690.0	12.367
695.0	12.328
700.0	12.257
705.0	12.234
710.0	12.164
715.0	12.177
720.0	12.136
725.0	12.158
730.0	12.111
735.0	12.078
740.0	12.041
745.0	12.057
750.0	12.096
755.0	12.095
760.0	12.046
765.0	12.059
770.0	12.008
775.0	11.941
780.0	11.861
785.0	11.919
790.0	11.876
795.0	11.890
800.0	11.834
805.0	11.599
810.0	11.559
815.0	11.533
820.0	11.523
825.0	11.512
830.0	11.453
835.0	11.451
840.0	11.427
845.0	11.396
850.0	11.350
855.0	11.282
860.0	11.218
865.0	11.175
870.0	11.192
875.0	11.119
880.0	11.253
885.0	11.250
890.0	11.141
895.0	10.961
900.0	11.243
905.0	11.291
910.0	11.339
915.0	11.263
920.0	11.357
925.0	11.317
930.0	11.235
935.0	11.169
940.0	11.106
945.0	11.085
950.0	11.120
955.0	11.010
960.0	10.988
965.0	10.957
970.0	10.916
975.0	10.899
980.0	10.815
985.0	10.775
990.0	10.733
995.0	10.647
1000.0	10.628
1005.0	10.518
1010.0	10.469
1015.0	10.419
1020.0	10.318
1025.0	10.268
1030.0	10.207
1035.0	10.171
1040.0	10.089
1045.0	10.050
1050.0	9.954
1055.0	9.903
1060.0	9.841
1065.0	9.757
1070.0	9.710
1075.0	9.664
1080.0	9.580
1085.0	9.512
1090.0	9.440
1095.0	9.407
1100.0	9.350
1105.0	9.292
1110.0	9.231
1115.0	9.168
1120.0	9.103
1125.0	9.055
1130.0	9.030
1135.0	8.993
1140.0	8.945
1145.0	8.926
1150.0	8.862
1155.0	8.837
1160.0	8.792
1165.0	8.766
1170.0	8.758
1175.0	8.686
1180.0	8.663
1185.0	8.626
1190.0	8.602
1195.0	8.565
1200.0	8.534
1205.0	8.517
1210.0	8.479
1215.0	8.452
1220.0	8.439
1225.0	8.408
1230.0	8.400
1235.0	8.369
1240.0	8.353
1245.0	8.348
1250.0	8.342
1255.0	8.336
1260.0	8.322
1265.0	8.305
1270.0	8.302
1275.0	8.333
1280.0	8.331
1285.0	8.330
1290.0	8.326
1295.0	8.323
1300.0	8.325
1305.0	8.347
1310.0	8.364
1315.0	8.364
1320.0	8.389
1325.0	8.407
1330.0	8.433
1335.0	8.456
1340.0	8.497
1345.0	8.494
1350.0	8.513
1355.0	8.539
1360.0	8.535
1365.0	8.539
1370.0	8.602
1375.0	8.657
1380.0	8.690
1385.0	8.753
1390.0	8.795
1395.0	8.824
1400.0	8.883
