[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/01/2023 17:39:57
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	5,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	25.122
305.0	30.623
310.0	36.177
315.0	41.980
320.0	46.960
325.0	51.741
330.0	56.346
335.0	60.059
340.0	63.033
345.0	65.118
350.0	66.701
355.0	67.672
360.0	68.078
365.0	68.075
370.0	68.095
375.0	67.963
380.0	68.228
385.0	68.837
390.0	69.535
395.0	70.483
400.0	71.497
405.0	72.457
410.0	73.243
415.0	74.018
420.0	74.856
425.0	75.821
430.0	76.710
435.0	77.413
440.0	77.536
445.0	77.535
450.0	77.277
455.0	77.064
460.0	76.780
465.0	76.565
470.0	76.400
475.0	76.356
480.0	76.394
485.0	76.430
490.0	76.464
495.0	76.642
500.0	76.932
505.0	77.147
510.0	77.537
515.0	77.870
520.0	78.068
525.0	78.500
530.0	78.743
535.0	78.894
540.0	78.956
545.0	78.929
550.0	78.883
555.0	78.811
560.0	78.691
565.0	78.479
570.0	78.267
575.0	78.058
580.0	77.918
585.0	77.462
590.0	77.135
595.0	76.815
600.0	76.485
605.0	76.170
610.0	75.794
615.0	75.426
620.0	75.076
625.0	74.722
630.0	74.359
635.0	74.188
640.0	73.815
645.0	73.453
650.0	73.232
655.0	72.896
660.0	72.599
665.0	72.372
670.0	72.278
675.0	72.083
680.0	71.909
685.0	71.701
690.0	71.529
695.0	71.472
700.0	71.309
705.0	71.344
710.0	71.347
715.0	70.979
720.0	71.068
725.0	70.919
730.0	70.855
735.0	70.783
740.0	70.689
745.0	70.596
750.0	70.539
755.0	70.412
760.0	70.272
765.0	70.324
770.0	70.012
775.0	70.071
780.0	70.016
785.0	70.048
790.0	69.886
795.0	69.766
800.0	69.981
805.0	70.650
810.0	70.510
815.0	70.344
820.0	70.192
825.0	70.283
830.0	69.999
835.0	69.874
840.0	69.684
845.0	69.693
850.0	69.399
855.0	69.255
860.0	69.750
865.0	69.072
870.0	69.042
875.0	68.689
880.0	69.379
885.0	68.801
890.0	67.570
895.0	69.211
900.0	69.255
905.0	69.175
910.0	69.447
915.0	69.456
920.0	69.487
925.0	69.502
930.0	69.672
935.0	69.748
940.0	69.863
945.0	69.855
950.0	69.990
955.0	70.019
960.0	70.136
965.0	70.226
970.0	70.315
975.0	70.429
980.0	70.502
985.0	70.507
990.0	70.651
995.0	70.715
1000.0	70.771
1005.0	70.855
1010.0	70.958
1015.0	71.036
1020.0	71.053
1025.0	71.156
1030.0	71.230
1035.0	71.305
1040.0	71.360
1045.0	71.492
1050.0	71.535
1055.0	71.616
1060.0	71.655
1065.0	71.768
1070.0	71.792
1075.0	71.857
1080.0	71.931
1085.0	72.047
1090.0	72.061
1095.0	72.131
1100.0	72.238
1105.0	72.276
1110.0	72.337
1115.0	72.390
1120.0	72.474
1125.0	72.539
1130.0	72.559
1135.0	72.634
1140.0	72.635
1145.0	72.690
1150.0	72.698
1155.0	72.775
1160.0	72.784
1165.0	72.837
1170.0	72.794
1175.0	72.901
1180.0	72.858
1185.0	72.881
1190.0	72.884
1195.0	72.902
1200.0	72.822
1205.0	72.817
1210.0	72.830
1215.0	72.806
1220.0	72.761
1225.0	72.760
1230.0	72.730
1235.0	72.711
1240.0	72.611
1245.0	72.557
1250.0	72.512
1255.0	72.466
1260.0	72.409
1265.0	72.363
1270.0	72.351
1275.0	72.266
1280.0	72.189
1285.0	72.140
1290.0	72.091
1295.0	72.023
1300.0	71.961
1305.0	71.855
1310.0	71.765
1315.0	71.707
1320.0	71.627
1325.0	71.549
1330.0	71.502
1335.0	71.412
1340.0	71.309
1345.0	71.152
1350.0	71.054
1355.0	70.929
1360.0	70.840
1365.0	70.708
1370.0	70.598
1375.0	70.503
1380.0	70.325
1385.0	70.188
1390.0	70.075
1395.0	69.921
1400.0	69.776
