[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/01/2023 17:36:42
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	5,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	8,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	25.461
305.0	30.906
310.0	36.650
315.0	42.498
320.0	48.046
325.0	53.385
330.0	58.896
335.0	63.610
340.0	67.658
345.0	71.140
350.0	74.035
355.0	76.600
360.0	78.429
365.0	79.921
370.0	81.231
375.0	82.173
380.0	82.639
385.0	83.302
390.0	83.434
395.0	83.750
400.0	83.720
405.0	83.806
410.0	83.618
415.0	83.408
420.0	83.130
425.0	82.904
430.0	82.514
435.0	82.112
440.0	81.691
445.0	81.282
450.0	80.661
455.0	80.407
460.0	79.748
465.0	79.367
470.0	78.847
475.0	78.385
480.0	77.924
485.0	77.476
490.0	76.886
495.0	76.382
500.0	75.940
505.0	75.408
510.0	74.967
515.0	74.553
520.0	74.016
525.0	73.608
530.0	73.236
535.0	72.940
540.0	72.479
545.0	72.133
550.0	71.873
555.0	71.589
560.0	71.275
565.0	71.112
570.0	70.861
575.0	70.758
580.0	70.651
585.0	70.440
590.0	70.307
595.0	70.222
600.0	70.280
605.0	70.267
610.0	70.393
615.0	70.418
620.0	70.496
625.0	70.656
630.0	70.730
635.0	70.995
640.0	71.197
645.0	71.445
650.0	71.788
655.0	71.996
660.0	72.305
665.0	72.495
670.0	72.746
675.0	73.108
680.0	73.351
685.0	73.586
690.0	73.675
695.0	73.939
700.0	74.062
705.0	74.254
710.0	74.384
715.0	74.203
720.0	74.598
725.0	74.451
730.0	74.564
735.0	74.654
740.0	74.730
745.0	74.497
750.0	74.739
755.0	74.891
760.0	74.815
765.0	74.730
770.0	74.708
775.0	74.701
780.0	74.658
785.0	74.902
790.0	74.775
795.0	74.621
800.0	74.662
805.0	75.619
810.0	75.654
815.0	75.618
820.0	75.607
825.0	75.646
830.0	75.539
835.0	75.642
840.0	75.468
845.0	75.397
850.0	75.556
855.0	75.539
860.0	75.775
865.0	75.881
870.0	75.224
875.0	75.554
880.0	75.854
885.0	75.564
890.0	74.871
895.0	75.544
900.0	75.781
905.0	76.014
910.0	76.274
915.0	76.049
920.0	76.259
925.0	76.201
930.0	76.355
935.0	76.442
940.0	76.479
945.0	76.529
950.0	76.568
955.0	76.689
960.0	76.789
965.0	76.950
970.0	77.050
975.0	77.155
980.0	77.241
985.0	77.329
990.0	77.532
995.0	77.560
1000.0	77.708
1005.0	77.866
1010.0	77.995
1015.0	78.140
1020.0	78.251
1025.0	78.417
1030.0	78.524
1035.0	78.671
1040.0	78.821
1045.0	79.013
1050.0	79.115
1055.0	79.291
1060.0	79.401
1065.0	79.594
1070.0	79.676
1075.0	79.830
1080.0	79.977
1085.0	80.181
1090.0	80.228
1095.0	80.374
1100.0	80.531
1105.0	80.638
1110.0	80.703
1115.0	80.865
1120.0	80.981
1125.0	81.045
1130.0	81.172
1135.0	81.265
1140.0	81.333
1145.0	81.381
1150.0	81.493
1155.0	81.587
1160.0	81.620
1165.0	81.684
1170.0	81.746
1175.0	81.833
1180.0	81.825
1185.0	81.892
1190.0	81.951
1195.0	81.976
1200.0	81.953
1205.0	81.988
1210.0	82.063
1215.0	82.048
1220.0	82.025
1225.0	82.033
1230.0	82.011
1235.0	82.006
1240.0	81.993
1245.0	81.979
1250.0	81.932
1255.0	81.854
1260.0	81.840
1265.0	81.852
1270.0	81.810
1275.0	81.725
1280.0	81.692
1285.0	81.693
1290.0	81.622
1295.0	81.553
1300.0	81.513
1305.0	81.388
1310.0	81.296
1315.0	81.241
1320.0	81.205
1325.0	81.096
1330.0	81.072
1335.0	80.956
1340.0	80.821
1345.0	80.701
1350.0	80.604
1355.0	80.460
1360.0	80.392
1365.0	80.264
1370.0	80.115
1375.0	80.028
1380.0	79.794
1385.0	79.625
1390.0	79.566
1395.0	79.301
1400.0	79.210
