[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/01/2023 18:40:36
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 980,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	7.157
301.0	7.193
302.0	7.194
303.0	7.224
304.0	7.210
305.0	7.245
306.0	7.311
307.0	7.357
308.0	7.421
309.0	7.431
310.0	7.465
311.0	7.478
312.0	7.453
313.0	7.428
314.0	7.404
315.0	7.398
316.0	7.408
317.0	7.406
318.0	7.427
319.0	7.421
320.0	7.444
321.0	7.477
322.0	7.498
323.0	7.482
324.0	7.458
325.0	7.440
326.0	7.442
327.0	7.455
328.0	7.475
329.0	7.463
330.0	7.440
331.0	7.437
332.0	7.469
333.0	7.465
334.0	7.430
335.0	7.394
336.0	7.377
337.0	7.416
338.0	7.441
339.0	7.448
340.0	7.439
341.0	7.434
342.0	7.457
343.0	7.442
344.0	7.420
345.0	7.418
346.0	7.418
347.0	7.419
348.0	7.396
349.0	7.382
350.0	7.390
351.0	7.411
352.0	7.446
353.0	7.459
354.0	7.458
355.0	7.434
356.0	7.415
357.0	7.407
358.0	7.390
359.0	7.386
360.0	7.394
361.0	7.409
362.0	7.408
363.0	7.405
364.0	7.414
365.0	7.413
366.0	7.396
367.0	7.384
368.0	7.402
369.0	7.404
370.0	7.391
371.0	7.379
372.0	7.385
373.0	7.382
374.0	7.365
375.0	7.357
376.0	7.372
377.0	7.373
378.0	7.369
379.0	7.369
380.0	7.367
381.0	7.354
382.0	7.368
383.0	7.369
384.0	7.384
385.0	7.355
386.0	7.343
387.0	7.343
388.0	7.366
389.0	7.390
390.0	7.406
391.0	7.402
392.0	7.393
393.0	7.385
394.0	7.399
395.0	7.409
396.0	7.420
397.0	7.424
398.0	7.437
399.0	7.439
400.0	7.438
401.0	7.445
402.0	7.465
403.0	7.478
404.0	7.468
405.0	7.458
406.0	7.459
407.0	7.462
408.0	7.461
409.0	7.454
410.0	7.461
411.0	7.471
412.0	7.478
413.0	7.472
414.0	7.472
415.0	7.476
416.0	7.485
417.0	7.484
418.0	7.495
419.0	7.487
420.0	7.481
421.0	7.473
422.0	7.485
423.0	7.494
424.0	7.491
425.0	7.489
426.0	7.487
427.0	7.494
428.0	7.492
429.0	7.502
430.0	7.497
431.0	7.501
432.0	7.491
433.0	7.495
434.0	7.497
435.0	7.500
436.0	7.509
437.0	7.508
438.0	7.499
439.0	7.487
440.0	7.485
441.0	7.489
442.0	7.482
443.0	7.479
444.0	7.486
445.0	7.495
446.0	7.499
447.0	7.498
448.0	7.491
449.0	7.489
450.0	7.488
451.0	7.496
452.0	7.501
453.0	7.506
454.0	7.510
455.0	7.523
456.0	7.523
457.0	7.517
458.0	7.503
459.0	7.496
460.0	7.502
461.0	7.506
462.0	7.508
463.0	7.504
464.0	7.502
465.0	7.503
466.0	7.502
467.0	7.503
468.0	7.505
469.0	7.510
470.0	7.509
471.0	7.521
472.0	7.520
473.0	7.528
474.0	7.519
475.0	7.531
476.0	7.529
477.0	7.545
478.0	7.547
479.0	7.552
480.0	7.546
481.0	7.544
482.0	7.547
483.0	7.538
484.0	7.537
485.0	7.540
486.0	7.549
487.0	7.554
488.0	7.557
489.0	7.559
490.0	7.555
491.0	7.540
492.0	7.543
493.0	7.550
494.0	7.562
495.0	7.561
496.0	7.560
497.0	7.556
498.0	7.558
499.0	7.573
500.0	7.573
501.0	7.567
502.0	7.557
503.0	7.567
504.0	7.574
505.0	7.577
506.0	7.573
507.0	7.567
508.0	7.557
509.0	7.553
510.0	7.556
511.0	7.560
512.0	7.560
513.0	7.557
514.0	7.552
515.0	7.558
516.0	7.556
517.0	7.566
518.0	7.556
519.0	7.553
520.0	7.547
521.0	7.552
522.0	7.549
523.0	7.545
524.0	7.535
525.0	7.536
526.0	7.537
527.0	7.534
528.0	7.534
529.0	7.531
530.0	7.532
531.0	7.530
532.0	7.529
533.0	7.526
534.0	7.531
535.0	7.527
536.0	7.546
537.0	7.538
538.0	7.543
539.0	7.522
540.0	7.524
541.0	7.525
542.0	7.530
543.0	7.527
544.0	7.514
545.0	7.520
546.0	7.523
547.0	7.538
548.0	7.528
549.0	7.527
550.0	7.515
551.0	7.518
552.0	7.519
553.0	7.523
554.0	7.517
555.0	7.512
556.0	7.508
557.0	7.515
558.0	7.517
559.0	7.519
560.0	7.519
561.0	7.501
562.0	7.503
563.0	7.496
564.0	7.506
565.0	7.508
566.0	7.511
567.0	7.510
568.0	7.501
569.0	7.507
570.0	7.512
571.0	7.511
572.0	7.508
573.0	7.501
574.0	7.504
575.0	7.500
576.0	7.502
577.0	7.497
578.0	7.502
579.0	7.507
580.0	7.498
581.0	7.499
582.0	7.491
583.0	7.496
584.0	7.486
585.0	7.482
586.0	7.487
587.0	7.496
588.0	7.507
589.0	7.505
590.0	7.511
591.0	7.513
592.0	7.512
593.0	7.511
594.0	7.515
595.0	7.515
596.0	7.513
597.0	7.504
598.0	7.511
599.0	7.507
600.0	7.513
601.0	7.517
602.0	7.516
603.0	7.520
604.0	7.514
605.0	7.530
606.0	7.533
607.0	7.539
608.0	7.539
609.0	7.538
610.0	7.534
611.0	7.524
612.0	7.528
613.0	7.540
614.0	7.547
615.0	7.543
616.0	7.544
617.0	7.540
618.0	7.550
619.0	7.540
620.0	7.541
621.0	7.528
622.0	7.533
623.0	7.542
624.0	7.550
625.0	7.546
626.0	7.549
627.0	7.558
628.0	7.567
629.0	7.558
630.0	7.554
631.0	7.548
632.0	7.556
633.0	7.552
634.0	7.550
635.0	7.548
636.0	7.544
637.0	7.543
638.0	7.535
639.0	7.543
640.0	7.551
641.0	7.553
642.0	7.561
643.0	7.560
644.0	7.561
645.0	7.554
646.0	7.554
647.0	7.568
648.0	7.571
649.0	7.579
650.0	7.576
651.0	7.578
652.0	7.577
653.0	7.572
654.0	7.577
655.0	7.579
656.0	7.579
657.0	7.574
658.0	7.555
659.0	7.551
660.0	7.539
661.0	7.555
662.0	7.573
663.0	7.583
664.0	7.574
665.0	7.557
666.0	7.558
667.0	7.571
668.0	7.601
669.0	7.605
670.0	7.613
671.0	7.616
672.0	7.621
673.0	7.633
674.0	7.619
675.0	7.627
676.0	7.644
677.0	7.668
678.0	7.687
679.0	7.676
680.0	7.662
681.0	7.659
682.0	7.656
683.0	7.657
684.0	7.653
685.0	7.651
686.0	7.665
687.0	7.664
688.0	7.675
689.0	7.674
690.0	7.678
691.0	7.688
692.0	7.697
693.0	7.698
694.0	7.704
695.0	7.721
696.0	7.725
697.0	7.732
698.0	7.725
699.0	7.753
700.0	7.738
701.0	7.738
702.0	7.726
703.0	7.744
704.0	7.742
705.0	7.736
706.0	7.730
707.0	7.740
708.0	7.758
709.0	7.755
710.0	7.757
711.0	7.750
712.0	7.767
713.0	7.773
714.0	7.783
715.0	7.774
716.0	7.783
717.0	7.776
718.0	7.773
719.0	7.767
720.0	7.763
721.0	7.778
722.0	7.795
723.0	7.811
724.0	7.808
725.0	7.787
726.0	7.784
727.0	7.792
728.0	7.772
729.0	7.780
730.0	7.784
731.0	7.829
732.0	7.833
733.0	7.842
734.0	7.861
735.0	7.871
736.0	7.860
737.0	7.830
738.0	7.835
739.0	7.844
740.0	7.882
741.0	7.879
742.0	7.896
743.0	7.882
744.0	7.874
745.0	7.883
746.0	7.871
747.0	7.865
748.0	7.854
749.0	7.870
750.0	7.919
751.0	7.931
752.0	7.947
753.0	7.923
754.0	7.926
755.0	7.900
756.0	7.902
757.0	7.914
758.0	7.942
759.0	7.959
760.0	7.958
761.0	7.955
762.0	7.952
763.0	7.961
764.0	7.938
765.0	7.944
766.0	7.943
767.0	7.981
768.0	7.965
769.0	7.965
770.0	7.958
771.0	7.992
772.0	7.983
773.0	7.996
774.0	7.974
775.0	7.993
776.0	7.974
777.0	7.976
778.0	7.990
779.0	8.002
780.0	8.018
