[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/01/2023 18:30:56
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	757,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	850,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
757.0	6.099
758.0	6.081
759.0	6.092
760.0	6.088
761.0	6.085
762.0	6.071
763.0	6.060
764.0	6.078
765.0	6.092
766.0	6.098
767.0	6.117
768.0	6.112
769.0	6.101
770.0	6.083
771.0	6.097
772.0	6.080
773.0	6.100
774.0	6.094
775.0	6.117
776.0	6.100
777.0	6.071
778.0	6.056
779.0	6.069
780.0	6.078
781.0	6.089
782.0	6.075
783.0	6.081
784.0	6.094
785.0	6.076
786.0	6.066
787.0	6.057
788.0	6.058
789.0	6.062
790.0	6.050
791.0	6.065
792.0	6.062
793.0	6.047
794.0	6.022
795.0	6.039
796.0	6.051
797.0	6.071
798.0	6.049
799.0	6.088
800.0	6.102
801.0	6.143
802.0	6.105
803.0	6.097
804.0	6.086
805.0	6.129
806.0	6.132
807.0	6.108
808.0	6.083
809.0	6.101
810.0	6.114
811.0	6.112
812.0	6.065
813.0	6.054
814.0	6.062
815.0	6.081
816.0	6.080
817.0	6.065
818.0	6.058
819.0	6.069
820.0	6.087
821.0	6.096
822.0	6.078
823.0	6.041
824.0	6.063
825.0	6.084
826.0	6.111
827.0	6.075
828.0	6.062
829.0	6.029
830.0	6.068
831.0	6.071
832.0	6.083
833.0	6.068
834.0	6.057
835.0	6.107
836.0	6.065
837.0	6.072
838.0	6.055
839.0	6.096
840.0	6.039
841.0	6.012
842.0	6.036
843.0	6.057
844.0	6.010
845.0	5.982
846.0	6.036
847.0	6.140
848.0	6.104
849.0	6.033
850.0	6.276
851.0	6.561
852.0	6.912
853.0	6.957
854.0	7.030
855.0	7.042
856.0	6.990
857.0	7.007
858.0	6.963
859.0	6.968
860.0	6.954
861.0	6.995
862.0	6.918
863.0	6.900
864.0	6.912
865.0	7.040
866.0	7.066
867.0	7.078
868.0	6.945
869.0	6.831
870.0	6.757
871.0	6.861
872.0	6.960
873.0	6.943
874.0	6.917
875.0	6.897
876.0	6.978
877.0	6.904
878.0	6.930
879.0	7.314
880.0	7.293
881.0	7.326
882.0	6.834
883.0	7.293
884.0	7.364
885.0	7.452
886.0	7.240
887.0	7.270
888.0	7.273
889.0	7.158
890.0	6.913
891.0	7.207
892.0	7.243
893.0	7.616
894.0	7.659
895.0	7.591
896.0	7.504
897.0	7.492
898.0	7.704
899.0	7.676
900.0	7.240
901.0	7.091
902.0	7.025
903.0	7.090
904.0	7.230
905.0	7.024
906.0	6.950
907.0	6.855
908.0	6.923
909.0	6.971
910.0	6.861
911.0	6.877
912.0	7.035
913.0	7.148
914.0	7.237
915.0	7.199
916.0	7.150
917.0	7.192
918.0	7.183
919.0	7.213
920.0	7.032
921.0	6.924
922.0	6.938
923.0	7.118
924.0	7.219
925.0	7.040
926.0	7.053
927.0	7.055
928.0	7.045
929.0	6.920
930.0	6.886
931.0	6.981
932.0	6.977
933.0	6.955
934.0	6.906
935.0	6.985
936.0	6.948
937.0	6.971
938.0	6.881
939.0	6.801
940.0	6.903
941.0	7.022
942.0	7.185
943.0	6.996
944.0	6.884
945.0	6.814
946.0	6.868
947.0	6.880
948.0	6.936
949.0	7.023
950.0	7.063
951.0	7.042
952.0	7.010
953.0	6.934
954.0	6.921
955.0	6.915
956.0	7.004
957.0	7.023
958.0	7.084
959.0	7.032
960.0	7.024
961.0	7.024
962.0	7.047
963.0	7.054
964.0	6.945
965.0	6.918
966.0	6.908
967.0	7.027
968.0	7.010
969.0	7.030
970.0	6.953
971.0	7.005
972.0	7.000
973.0	7.001
974.0	6.982
975.0	6.990
976.0	7.034
977.0	7.021
978.0	7.047
979.0	6.832
980.0	6.624
981.0	6.399
982.0	6.360
983.0	6.349
984.0	6.328
985.0	6.362
986.0	6.354
987.0	6.378
988.0	6.384
989.0	6.404
990.0	6.378
991.0	6.377
992.0	6.387
993.0	6.417
994.0	6.418
995.0	6.392
996.0	6.406
997.0	6.401
998.0	6.409
999.0	6.368
1000.0	6.388
1001.0	6.409
1002.0	6.432
1003.0	6.411
1004.0	6.407
1005.0	6.412
1006.0	6.423
1007.0	6.426
1008.0	6.416
1009.0	6.403
1010.0	6.392
1011.0	6.386
1012.0	6.387
1013.0	6.414
1014.0	6.448
1015.0	6.442
1016.0	6.434
1017.0	6.403
1018.0	6.397
1019.0	6.399
1020.0	6.406
1021.0	6.384
1022.0	6.371
1023.0	6.375
1024.0	6.404
1025.0	6.434
1026.0	6.435
1027.0	6.466
1028.0	6.450
1029.0	6.468
1030.0	6.471
1031.0	6.448
1032.0	6.430
1033.0	6.422
1034.0	6.447
1035.0	6.461
1036.0	6.459
1037.0	6.438
1038.0	6.425
1039.0	6.428
1040.0	6.424
1041.0	6.438
1042.0	6.460
1043.0	6.480
1044.0	6.477
1045.0	6.461
1046.0	6.492
1047.0	6.495
1048.0	6.497
1049.0	6.485
1050.0	6.492
1051.0	6.489
1052.0	6.482
1053.0	6.476
1054.0	6.480
1055.0	6.479
1056.0	6.506
1057.0	6.504
1058.0	6.518
1059.0	6.492
1060.0	6.470
1061.0	6.474
1062.0	6.489
1063.0	6.495
1064.0	6.468
1065.0	6.466
1066.0	6.463
1067.0	6.477
1068.0	6.484
1069.0	6.501
1070.0	6.518
1071.0	6.516
1072.0	6.524
1073.0	6.510
1074.0	6.501
1075.0	6.490
1076.0	6.484
1077.0	6.498
1078.0	6.521
1079.0	6.541
1080.0	6.532
1081.0	6.519
1082.0	6.502
1083.0	6.474
1084.0	6.477
1085.0	6.496
1086.0	6.543
1087.0	6.555
1088.0	6.543
1089.0	6.521
1090.0	6.522
1091.0	6.546
1092.0	6.566
1093.0	6.567
1094.0	6.556
1095.0	6.562
1096.0	6.554
1097.0	6.558
1098.0	6.536
1099.0	6.550
1100.0	6.544
1101.0	6.545
1102.0	6.546
1103.0	6.541
1104.0	6.542
1105.0	6.534
1106.0	6.526
1107.0	6.537
1108.0	6.522
1109.0	6.541
1110.0	6.553
1111.0	6.560
1112.0	6.539
1113.0	6.533
1114.0	6.537
1115.0	6.551
1116.0	6.542
1117.0	6.537
1118.0	6.535
1119.0	6.553
1120.0	6.571
1121.0	6.572
1122.0	6.576
1123.0	6.573
1124.0	6.584
1125.0	6.564
1126.0	6.562
1127.0	6.559
1128.0	6.567
1129.0	6.577
1130.0	6.568
1131.0	6.568
1132.0	6.563
1133.0	6.571
1134.0	6.591
1135.0	6.597
1136.0	6.612
1137.0	6.615
1138.0	6.616
1139.0	6.617
1140.0	6.616
1141.0	6.622
1142.0	6.623
1143.0	6.601
1144.0	6.589
1145.0	6.598
1146.0	6.617
1147.0	6.636
1148.0	6.637
1149.0	6.619
1150.0	6.601
1151.0	6.605
1152.0	6.624
1153.0	6.627
1154.0	6.603
1155.0	6.597
1156.0	6.617
1157.0	6.633
1158.0	6.621
1159.0	6.627
1160.0	6.631
1161.0	6.640
1162.0	6.635
1163.0	6.623
1164.0	6.624
1165.0	6.619
1166.0	6.642
1167.0	6.653
1168.0	6.640
1169.0	6.627
1170.0	6.634
1171.0	6.664
1172.0	6.678
1173.0	6.664
1174.0	6.650
1175.0	6.621
1176.0	6.629
1177.0	6.621
1178.0	6.653
1179.0	6.646
1180.0	6.657
1181.0	6.643
1182.0	6.641
1183.0	6.642
1184.0	6.647
1185.0	6.644
1186.0	6.635
1187.0	6.632
1188.0	6.643
1189.0	6.650
1190.0	6.644
1191.0	6.645
1192.0	6.653
1193.0	6.651
1194.0	6.643
1195.0	6.639
1196.0	6.651
1197.0	6.644
1198.0	6.635
1199.0	6.633
1200.0	6.642
1201.0	6.657
1202.0	6.658
1203.0	6.661
1204.0	6.631
1205.0	6.619
1206.0	6.607
1207.0	6.651
1208.0	6.664
1209.0	6.672
1210.0	6.649
1211.0	6.633
