[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/01/2023 19:00:18
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 980,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	81.447
301.0	82.132
302.0	82.650
303.0	83.286
304.0	83.355
305.0	83.727
306.0	84.179
307.0	84.724
308.0	85.163
309.0	85.445
310.0	85.746
311.0	85.997
312.0	86.114
313.0	86.306
314.0	86.579
315.0	86.811
316.0	86.928
317.0	87.198
318.0	87.411
319.0	87.609
320.0	87.767
321.0	87.844
322.0	87.880
323.0	88.068
324.0	88.374
325.0	88.542
326.0	88.471
327.0	88.460
328.0	88.578
329.0	88.576
330.0	88.622
331.0	88.579
332.0	88.754
333.0	88.733
334.0	88.863
335.0	88.826
336.0	89.043
337.0	89.140
338.0	89.141
339.0	89.076
340.0	89.040
341.0	89.105
342.0	88.837
343.0	88.794
344.0	88.761
345.0	88.979
346.0	89.073
347.0	89.136
348.0	89.081
349.0	89.035
350.0	89.054
351.0	89.178
352.0	89.245
353.0	89.164
354.0	89.076
355.0	88.982
356.0	89.016
357.0	89.198
358.0	89.193
359.0	89.208
360.0	89.056
361.0	89.069
362.0	89.219
363.0	89.240
364.0	89.329
365.0	89.260
366.0	89.352
367.0	89.447
368.0	89.412
369.0	89.441
370.0	89.342
371.0	89.285
372.0	89.293
373.0	89.349
374.0	89.414
375.0	89.409
376.0	89.439
377.0	89.541
378.0	89.505
379.0	89.512
380.0	89.497
381.0	89.574
382.0	89.565
383.0	89.598
384.0	89.662
385.0	89.697
386.0	89.696
387.0	89.661
388.0	89.663
389.0	89.618
390.0	89.634
391.0	89.631
392.0	89.658
393.0	89.618
394.0	89.684
395.0	89.714
396.0	89.745
397.0	89.675
398.0	89.704
399.0	89.744
400.0	89.750
401.0	89.772
402.0	89.729
403.0	89.764
404.0	89.767
405.0	89.734
406.0	89.730
407.0	89.653
408.0	89.684
409.0	89.661
410.0	89.668
411.0	89.659
412.0	89.594
413.0	89.560
414.0	89.495
415.0	89.511
416.0	89.492
417.0	89.484
418.0	89.562
419.0	89.553
420.0	89.550
421.0	89.406
422.0	89.340
423.0	89.254
424.0	89.237
425.0	89.206
426.0	89.253
427.0	89.223
428.0	89.208
429.0	89.095
430.0	89.096
431.0	89.033
432.0	89.044
433.0	88.989
434.0	88.928
435.0	88.882
436.0	88.801
437.0	88.786
438.0	88.729
439.0	88.666
440.0	88.627
441.0	88.550
442.0	88.578
443.0	88.524
444.0	88.497
445.0	88.439
446.0	88.437
447.0	88.440
448.0	88.391
449.0	88.332
450.0	88.262
451.0	88.221
452.0	88.150
453.0	88.076
454.0	88.069
455.0	88.049
456.0	88.044
457.0	87.960
458.0	87.952
459.0	87.936
460.0	87.927
461.0	87.856
462.0	87.846
463.0	87.797
464.0	87.827
465.0	87.787
466.0	87.752
467.0	87.669
468.0	87.624
469.0	87.666
470.0	87.659
471.0	87.654
472.0	87.550
473.0	87.533
474.0	87.479
475.0	87.454
476.0	87.425
477.0	87.449
478.0	87.444
479.0	87.510
480.0	87.465
481.0	87.459
482.0	87.378
483.0	87.387
484.0	87.426
485.0	87.417
486.0	87.423
487.0	87.374
488.0	87.377
489.0	87.336
490.0	87.336
491.0	87.317
492.0	87.355
493.0	87.358
494.0	87.336
495.0	87.299
496.0	87.272
497.0	87.358
498.0	87.349
499.0	87.372
500.0	87.270
501.0	87.314
502.0	87.324
503.0	87.390
504.0	87.387
505.0	87.345
506.0	87.373
507.0	87.355
508.0	87.378
509.0	87.380
510.0	87.414
511.0	87.437
512.0	87.439
513.0	87.410
514.0	87.446
515.0	87.430
516.0	87.429
517.0	87.465
518.0	87.514
519.0	87.562
520.0	87.592
521.0	87.560
522.0	87.593
523.0	87.597
524.0	87.629
525.0	87.638
526.0	87.644
527.0	87.637
528.0	87.640
529.0	87.662
530.0	87.695
531.0	87.762
532.0	87.717
533.0	87.770
534.0	87.685
535.0	87.738
536.0	87.683
537.0	87.681
538.0	87.666
539.0	87.674
540.0	87.709
541.0	87.702
542.0	87.738
543.0	87.774
544.0	87.811
545.0	87.838
546.0	87.805
547.0	87.769
548.0	87.743
549.0	87.783
550.0	87.794
551.0	87.828
552.0	87.756
553.0	87.753
554.0	87.706
555.0	87.778
556.0	87.810
557.0	87.888
558.0	87.866
559.0	87.872
560.0	87.801
561.0	87.853
562.0	87.806
563.0	87.840
564.0	87.748
565.0	87.773
566.0	87.737
567.0	87.757
568.0	87.741
569.0	87.749
570.0	87.705
571.0	87.688
572.0	87.681
573.0	87.745
574.0	87.751
575.0	87.783
576.0	87.795
577.0	87.816
578.0	87.765
579.0	87.719
580.0	87.709
581.0	87.708
582.0	87.698
583.0	87.699
584.0	87.695
585.0	87.712
586.0	87.631
587.0	87.638
588.0	87.617
589.0	87.733
590.0	87.711
591.0	87.746
592.0	87.720
593.0	87.696
594.0	87.670
595.0	87.638
596.0	87.695
597.0	87.692
598.0	87.674
599.0	87.649
600.0	87.657
601.0	87.666
602.0	87.647
603.0	87.603
604.0	87.648
605.0	87.678
606.0	87.687
607.0	87.602
608.0	87.529
609.0	87.578
610.0	87.556
611.0	87.611
612.0	87.548
613.0	87.601
614.0	87.570
615.0	87.573
616.0	87.510
617.0	87.531
618.0	87.588
619.0	87.616
620.0	87.629
621.0	87.529
622.0	87.555
623.0	87.488
624.0	87.503
625.0	87.497
626.0	87.531
627.0	87.557
628.0	87.514
629.0	87.462
630.0	87.469
631.0	87.486
632.0	87.476
633.0	87.451
634.0	87.486
635.0	87.500
636.0	87.517
637.0	87.465
638.0	87.476
639.0	87.434
640.0	87.389
641.0	87.349
642.0	87.321
643.0	87.370
644.0	87.389
645.0	87.389
646.0	87.370
647.0	87.348
648.0	87.327
649.0	87.269
650.0	87.267
651.0	87.299
652.0	87.326
653.0	87.328
654.0	87.289
655.0	87.299
656.0	87.288
657.0	87.306
658.0	87.222
659.0	87.209
660.0	87.104
661.0	87.132
662.0	87.124
663.0	87.190
664.0	87.210
665.0	87.179
666.0	87.132
667.0	87.147
668.0	87.109
669.0	87.118
670.0	87.043
671.0	87.063
672.0	87.048
673.0	87.023
674.0	87.087
675.0	87.070
676.0	87.031
677.0	86.956
678.0	86.945
679.0	86.959
680.0	86.980
681.0	86.978
682.0	86.973
683.0	86.898
684.0	86.886
685.0	86.797
686.0	86.742
687.0	86.703
688.0	86.770
689.0	86.743
690.0	86.703
691.0	86.720
692.0	86.752
693.0	86.813
694.0	86.757
695.0	86.692
696.0	86.645
697.0	86.634
698.0	86.629
699.0	86.621
700.0	86.626
701.0	86.677
702.0	86.568
703.0	86.540
704.0	86.507
705.0	86.511
706.0	86.491
707.0	86.423
708.0	86.388
709.0	86.336
710.0	86.383
711.0	86.380
712.0	86.428
713.0	86.455
714.0	86.531
715.0	86.454
716.0	86.332
717.0	86.308
718.0	86.316
719.0	86.249
720.0	86.225
721.0	86.093
722.0	86.168
723.0	85.992
724.0	86.071
725.0	86.065
726.0	86.264
727.0	86.134
728.0	86.062
729.0	85.920
730.0	85.950
731.0	85.987
732.0	85.990
733.0	86.086
734.0	85.986
735.0	85.968
736.0	85.904
737.0	85.972
738.0	85.898
739.0	85.891
740.0	85.745
741.0	85.762
742.0	85.743
743.0	85.727
744.0	85.659
745.0	85.532
746.0	85.621
747.0	85.661
748.0	85.787
749.0	85.804
750.0	85.800
751.0	85.702
752.0	85.647
753.0	85.613
754.0	85.574
755.0	85.485
756.0	85.374
757.0	85.523
758.0	85.568
759.0	85.686
760.0	85.480
761.0	85.406
762.0	85.298
763.0	85.501
764.0	85.405
765.0	85.431
766.0	85.309
767.0	85.299
768.0	85.291
769.0	85.123
770.0	85.267
771.0	85.251
772.0	85.391
773.0	85.349
774.0	85.416
775.0	85.253
776.0	85.084
777.0	84.891
778.0	84.994
779.0	85.002
780.0	85.039
781.0	85.095
