[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	10/02/2023 19:29:01
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	285,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	7.108
301.0	7.028
302.0	6.978
303.0	6.911
304.0	6.940
305.0	6.926
306.0	6.937
307.0	6.913
308.0	6.905
309.0	6.921
310.0	6.896
311.0	6.868
312.0	6.838
313.0	6.831
314.0	6.844
315.0	6.841
316.0	6.842
317.0	6.806
318.0	6.770
319.0	6.781
320.0	6.793
321.0	6.794
322.0	6.753
323.0	6.732
324.0	6.733
325.0	6.721
326.0	6.718
327.0	6.711
328.0	6.721
329.0	6.697
330.0	6.680
331.0	6.648
332.0	6.650
333.0	6.653
334.0	6.639
335.0	6.619
336.0	6.587
337.0	6.594
338.0	6.586
339.0	6.563
340.0	6.534
341.0	6.523
342.0	6.513
343.0	6.526
344.0	6.514
345.0	6.520
346.0	6.491
347.0	6.461
348.0	6.417
349.0	6.392
350.0	6.377
351.0	6.373
352.0	6.357
353.0	6.340
354.0	6.331
355.0	6.319
356.0	6.322
357.0	6.295
358.0	6.293
359.0	6.261
360.0	6.250
361.0	6.212
362.0	6.196
363.0	6.179
364.0	6.180
365.0	6.149
366.0	6.131
367.0	6.096
368.0	6.087
369.0	6.087
370.0	6.084
371.0	6.066
372.0	6.037
373.0	6.007
374.0	6.010
375.0	5.987
376.0	5.983
377.0	5.955
378.0	5.956
379.0	5.944
380.0	5.924
381.0	5.896
382.0	5.879
383.0	5.875
384.0	5.878
385.0	5.854
386.0	5.844
387.0	5.818
388.0	5.821
389.0	5.808
390.0	5.807
391.0	5.802
392.0	5.786
393.0	5.794
394.0	5.782
395.0	5.779
396.0	5.751
397.0	5.757
398.0	5.762
399.0	5.770
400.0	5.760
401.0	5.751
402.0	5.746
403.0	5.743
404.0	5.739
405.0	5.727
406.0	5.719
407.0	5.708
408.0	5.706
409.0	5.700
410.0	5.713
411.0	5.703
412.0	5.691
413.0	5.678
414.0	5.678
415.0	5.683
416.0	5.698
417.0	5.693
418.0	5.690
419.0	5.674
420.0	5.679
421.0	5.684
422.0	5.688
423.0	5.679
424.0	5.675
425.0	5.680
426.0	5.677
427.0	5.686
428.0	5.684
429.0	5.695
430.0	5.693
431.0	5.690
432.0	5.701
433.0	5.701
434.0	5.720
435.0	5.714
436.0	5.721
437.0	5.721
438.0	5.741
439.0	5.752
440.0	5.760
441.0	5.768
442.0	5.774
443.0	5.788
444.0	5.795
445.0	5.801
446.0	5.816
447.0	5.833
448.0	5.860
449.0	5.873
450.0	5.882
451.0	5.892
452.0	5.912
453.0	5.935
454.0	5.963
455.0	5.982
456.0	6.003
457.0	6.022
458.0	6.038
459.0	6.065
460.0	6.086
461.0	6.117
462.0	6.131
463.0	6.159
464.0	6.184
465.0	6.213
466.0	6.235
467.0	6.261
468.0	6.286
469.0	6.320
470.0	6.344
471.0	6.380
472.0	6.411
473.0	6.447
474.0	6.474
475.0	6.516
476.0	6.557
477.0	6.606
478.0	6.654
479.0	6.695
480.0	6.736
481.0	6.765
482.0	6.804
483.0	6.844
484.0	6.889
485.0	6.941
486.0	6.985
487.0	7.022
488.0	7.060
489.0	7.099
490.0	7.148
491.0	7.194
492.0	7.249
493.0	7.305
494.0	7.354
495.0	7.394
496.0	7.442
497.0	7.490
498.0	7.543
499.0	7.593
500.0	7.655
501.0	7.715
502.0	7.771
503.0	7.820
504.0	7.878
505.0	7.932
506.0	7.989
507.0	8.048
508.0	8.107
509.0	8.171
510.0	8.227
511.0	8.275
512.0	8.324
513.0	8.380
514.0	8.441
515.0	8.508
516.0	8.569
517.0	8.634
518.0	8.683
519.0	8.736
520.0	8.789
521.0	8.860
522.0	8.930
523.0	9.014
524.0	9.072
525.0	9.122
526.0	9.170
527.0	9.233
528.0	9.311
529.0	9.375
530.0	9.441
531.0	9.506
532.0	9.581
533.0	9.642
534.0	9.699
535.0	9.747
536.0	9.819
537.0	9.884
538.0	9.955
539.0	10.003
540.0	10.067
541.0	10.132
542.0	10.202
543.0	10.265
544.0	10.323
545.0	10.384
546.0	10.434
547.0	10.495
548.0	10.560
549.0	10.639
550.0	10.702
551.0	10.778
552.0	10.832
553.0	10.894
554.0	10.945
555.0	11.013
556.0	11.070
557.0	11.125
558.0	11.190
559.0	11.245
560.0	11.311
561.0	11.362
562.0	11.428
563.0	11.476
564.0	11.525
565.0	11.574
566.0	11.639
567.0	11.702
568.0	11.759
569.0	11.809
570.0	11.852
571.0	11.904
572.0	11.953
573.0	12.000
574.0	12.050
575.0	12.108
576.0	12.177
577.0	12.223
578.0	12.261
579.0	12.306
580.0	12.369
581.0	12.431
582.0	12.488
583.0	12.543
584.0	12.579
585.0	12.623
586.0	12.657
587.0	12.723
588.0	12.766
589.0	12.820
590.0	12.851
591.0	12.887
592.0	12.922
593.0	12.963
594.0	13.005
595.0	13.056
596.0	13.096
597.0	13.154
598.0	13.205
599.0	13.242
600.0	13.272
601.0	13.278
602.0	13.334
603.0	13.357
604.0	13.395
605.0	13.416
606.0	13.464
607.0	13.499
608.0	13.516
609.0	13.543
610.0	13.573
611.0	13.608
612.0	13.633
613.0	13.674
614.0	13.702
615.0	13.740
616.0	13.762
617.0	13.791
618.0	13.795
619.0	13.814
620.0	13.840
621.0	13.880
622.0	13.911
623.0	13.917
624.0	13.931
625.0	13.947
626.0	13.978
627.0	14.019
628.0	14.046
629.0	14.071
630.0	14.084
631.0	14.109
632.0	14.122
633.0	14.153
634.0	14.167
635.0	14.209
636.0	14.213
637.0	14.241
638.0	14.245
639.0	14.270
640.0	14.278
641.0	14.291
642.0	14.288
643.0	14.295
644.0	14.306
645.0	14.318
646.0	14.338
647.0	14.348
648.0	14.358
649.0	14.339
650.0	14.337
651.0	14.342
652.0	14.351
653.0	14.367
654.0	14.356
655.0	14.344
656.0	14.318
657.0	14.303
658.0	14.279
659.0	14.267
660.0	14.250
661.0	14.239
662.0	14.221
663.0	14.207
664.0	14.199
665.0	14.185
666.0	14.184
667.0	14.172
668.0	14.144
669.0	14.109
670.0	14.093
671.0	14.090
672.0	14.073
673.0	14.050
674.0	13.998
675.0	13.959
676.0	13.912
677.0	13.888
678.0	13.841
679.0	13.797
680.0	13.761
681.0	13.746
682.0	13.711
683.0	13.646
684.0	13.590
685.0	13.557
686.0	13.539
687.0	13.500
688.0	13.465
689.0	13.415
690.0	13.379
691.0	13.333
692.0	13.301
693.0	13.282
694.0	13.240
695.0	13.208
696.0	13.118
697.0	13.091
698.0	13.049
699.0	13.035
700.0	12.992
701.0	12.960
702.0	12.951
703.0	12.907
704.0	12.881
705.0	12.856
706.0	12.852
707.0	12.821
708.0	12.783
709.0	12.764
710.0	12.754
711.0	12.719
712.0	12.659
713.0	12.601
714.0	12.568
715.0	12.553
716.0	12.540
717.0	12.565
718.0	12.548
719.0	12.553
720.0	12.516
721.0	12.503
722.0	12.468
723.0	12.448
724.0	12.455
725.0	12.449
726.0	12.444
727.0	12.397
728.0	12.389
729.0	12.385
730.0	12.416
731.0	12.411
732.0	12.365
733.0	12.341
734.0	12.334
735.0	12.348
736.0	12.327
737.0	12.309
738.0	12.303
739.0	12.305
740.0	12.319
741.0	12.286
742.0	12.288
743.0	12.270
744.0	12.289
745.0	12.300
746.0	12.297
747.0	12.305
748.0	12.277
749.0	12.274
750.0	12.270
751.0	12.260
752.0	12.252
753.0	12.269
754.0	12.253
755.0	12.267
756.0	12.236
757.0	12.257
758.0	12.280
759.0	12.299
760.0	12.298
761.0	12.294
762.0	12.321
763.0	12.350
764.0	12.327
765.0	12.326
766.0	12.341
767.0	12.375
768.0	12.364
769.0	12.319
770.0	12.305
771.0	12.311
772.0	12.349
773.0	12.351
774.0	12.308
775.0	12.298
776.0	12.289
777.0	12.299
778.0	12.304
