[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	10/02/2023 20:12:25
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	285,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	69.536
301.0	69.653
302.0	69.737
303.0	69.592
304.0	69.482
305.0	69.432
306.0	69.312
307.0	69.325
308.0	69.204
309.0	68.948
310.0	68.550
311.0	68.239
312.0	68.252
313.0	68.134
314.0	67.986
315.0	67.440
316.0	67.160
317.0	66.897
318.0	66.578
319.0	66.157
320.0	65.656
321.0	65.386
322.0	65.077
323.0	64.634
324.0	64.202
325.0	63.648
326.0	63.215
327.0	62.693
328.0	62.114
329.0	61.463
330.0	60.871
331.0	60.324
332.0	59.837
333.0	59.094
334.0	58.527
335.0	57.878
336.0	57.348
337.0	56.700
338.0	56.162
339.0	55.712
340.0	55.274
341.0	54.757
342.0	54.272
343.0	53.812
344.0	53.293
345.0	52.859
346.0	52.324
347.0	51.957
348.0	51.449
349.0	51.121
350.0	50.722
351.0	50.452
352.0	50.157
353.0	49.898
354.0	49.629
355.0	49.264
356.0	48.929
357.0	48.608
358.0	48.337
359.0	48.052
360.0	47.711
361.0	47.426
362.0	47.162
363.0	46.905
364.0	46.617
365.0	46.346
366.0	46.122
367.0	45.948
368.0	45.825
369.0	45.638
370.0	45.530
371.0	45.318
372.0	45.220
373.0	45.077
374.0	45.002
375.0	44.936
376.0	44.846
377.0	44.798
378.0	44.767
379.0	44.777
380.0	44.797
381.0	44.747
382.0	44.780
383.0	44.831
384.0	44.899
385.0	44.925
386.0	44.948
387.0	45.024
388.0	45.120
389.0	45.268
390.0	45.350
391.0	45.443
392.0	45.522
393.0	45.698
394.0	45.880
395.0	46.074
396.0	46.299
397.0	46.529
398.0	46.773
399.0	47.020
400.0	47.311
401.0	47.597
402.0	47.907
403.0	48.209
404.0	48.594
405.0	48.954
406.0	49.306
407.0	49.614
408.0	49.953
409.0	50.319
410.0	50.670
411.0	51.018
412.0	51.343
413.0	51.675
414.0	52.020
415.0	52.376
416.0	52.724
417.0	53.068
418.0	53.416
419.0	53.735
420.0	54.089
421.0	54.346
422.0	54.688
423.0	54.933
424.0	55.273
425.0	55.507
426.0	55.735
427.0	55.946
428.0	56.133
429.0	56.285
430.0	56.442
431.0	56.581
432.0	56.731
433.0	56.804
434.0	56.889
435.0	56.972
436.0	57.024
437.0	57.056
438.0	57.082
439.0	57.130
440.0	57.181
441.0	57.176
442.0	57.212
443.0	57.208
444.0	57.275
445.0	57.280
446.0	57.322
447.0	57.334
448.0	57.374
449.0	57.371
450.0	57.441
451.0	57.446
452.0	57.495
453.0	57.497
454.0	57.535
455.0	57.591
456.0	57.627
457.0	57.702
458.0	57.783
459.0	57.853
460.0	57.928
461.0	57.988
462.0	58.060
463.0	58.133
464.0	58.195
465.0	58.299
466.0	58.368
467.0	58.473
468.0	58.517
469.0	58.590
470.0	58.681
471.0	58.802
472.0	58.917
473.0	58.982
474.0	59.065
475.0	59.170
476.0	59.325
477.0	59.460
478.0	59.598
479.0	59.706
480.0	59.831
481.0	59.942
482.0	60.067
483.0	60.187
484.0	60.353
485.0	60.519
486.0	60.688
487.0	60.854
488.0	61.067
489.0	61.236
490.0	61.366
491.0	61.474
492.0	61.654
493.0	61.832
494.0	62.016
495.0	62.154
496.0	62.349
497.0	62.549
498.0	62.777
499.0	62.990
500.0	63.183
501.0	63.362
502.0	63.566
503.0	63.774
504.0	64.027
505.0	64.250
506.0	64.459
507.0	64.694
508.0	64.920
509.0	65.158
510.0	65.378
511.0	65.612
512.0	65.860
513.0	66.015
514.0	66.239
515.0	66.417
516.0	66.712
517.0	66.871
518.0	67.107
519.0	67.291
520.0	67.534
521.0	67.766
522.0	67.962
523.0	68.172
524.0	68.361
525.0	68.603
526.0	68.786
527.0	68.965
528.0	69.064
529.0	69.284
530.0	69.461
531.0	69.697
532.0	69.844
533.0	69.976
534.0	70.101
535.0	70.221
536.0	70.390
537.0	70.551
538.0	70.701
539.0	70.858
540.0	70.953
541.0	71.037
542.0	71.076
543.0	71.174
544.0	71.307
545.0	71.431
546.0	71.514
547.0	71.557
548.0	71.621
549.0	71.727
550.0	71.774
551.0	71.798
552.0	71.805
553.0	71.907
554.0	71.972
555.0	72.010
556.0	71.972
557.0	72.003
558.0	72.003
559.0	72.008
560.0	71.963
561.0	71.973
562.0	72.011
563.0	72.016
564.0	72.015
565.0	71.952
566.0	71.942
567.0	71.896
568.0	71.900
569.0	71.893
570.0	71.893
571.0	71.879
572.0	71.828
573.0	71.760
574.0	71.714
575.0	71.652
576.0	71.592
577.0	71.470
578.0	71.419
579.0	71.365
580.0	71.368
581.0	71.303
582.0	71.219
583.0	71.117
584.0	71.021
585.0	70.937
586.0	70.838
587.0	70.783
588.0	70.707
589.0	70.655
590.0	70.539
591.0	70.458
592.0	70.360
593.0	70.301
594.0	70.200
595.0	70.131
596.0	70.030
597.0	69.925
598.0	69.784
599.0	69.693
600.0	69.657
601.0	69.569
602.0	69.430
603.0	69.311
604.0	69.189
605.0	69.089
606.0	68.971
607.0	68.905
608.0	68.783
609.0	68.659
610.0	68.574
611.0	68.508
612.0	68.372
613.0	68.256
614.0	68.153
615.0	68.067
616.0	67.968
617.0	67.834
618.0	67.718
619.0	67.577
620.0	67.489
621.0	67.406
622.0	67.271
623.0	67.148
624.0	67.023
625.0	66.955
626.0	66.846
627.0	66.710
628.0	66.544
629.0	66.464
630.0	66.349
631.0	66.262
632.0	66.124
633.0	66.074
634.0	65.958
635.0	65.842
636.0	65.727
637.0	65.601
638.0	65.538
639.0	65.404
640.0	65.290
641.0	65.092
642.0	65.017
643.0	64.924
644.0	64.890
645.0	64.760
646.0	64.671
647.0	64.531
648.0	64.437
649.0	64.338
650.0	64.215
651.0	64.151
652.0	64.073
653.0	63.996
654.0	63.857
655.0	63.726
656.0	63.639
657.0	63.515
658.0	63.442
659.0	63.345
660.0	63.276
661.0	63.158
662.0	63.088
663.0	63.013
664.0	62.951
665.0	62.859
666.0	62.811
667.0	62.758
668.0	62.685
669.0	62.558
670.0	62.439
671.0	62.323
672.0	62.188
673.0	62.079
674.0	61.955
675.0	61.939
676.0	61.917
677.0	61.849
678.0	61.764
679.0	61.642
680.0	61.634
681.0	61.525
682.0	61.457
683.0	61.355
684.0	61.260
685.0	61.176
686.0	61.145
687.0	61.158
688.0	61.120
689.0	61.041
690.0	60.964
691.0	60.952
692.0	60.894
693.0	60.881
694.0	60.792
695.0	60.737
696.0	60.674
697.0	60.613
698.0	60.611
699.0	60.603
700.0	60.509
701.0	60.400
702.0	60.322
703.0	60.343
704.0	60.315
705.0	60.228
706.0	60.177
707.0	60.165
708.0	60.128
709.0	60.096
710.0	60.081
711.0	60.068
712.0	60.022
713.0	59.903
714.0	59.891
715.0	59.838
716.0	59.804
717.0	59.756
718.0	59.761
719.0	59.744
720.0	59.699
721.0	59.634
722.0	59.648
723.0	59.569
724.0	59.547
725.0	59.446
726.0	59.459
727.0	59.411
728.0	59.407
729.0	59.300
730.0	59.185
731.0	59.112
732.0	59.117
733.0	59.142
734.0	59.176
735.0	59.063
736.0	59.075
737.0	59.055
738.0	59.055
739.0	58.963
740.0	58.883
741.0	58.842
742.0	58.808
743.0	58.674
744.0	58.631
745.0	58.631
746.0	58.662
747.0	58.542
748.0	58.473
749.0	58.394
750.0	58.388
751.0	58.368
752.0	58.359
753.0	58.283
754.0	58.238
755.0	58.141
756.0	58.168
757.0	58.114
758.0	58.160
759.0	58.084
760.0	58.033
761.0	58.021
762.0	58.051
763.0	57.990
764.0	57.924
765.0	57.969
766.0	57.912
767.0	57.816
768.0	57.567
769.0	57.534
770.0	57.401
771.0	57.380
772.0	57.378
773.0	57.422
774.0	57.447
775.0	57.364
776.0	57.309
777.0	57.270
778.0	57.204
