[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	10/02/2023 19:45:53
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	285,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	7.436
301.0	7.421
302.0	7.413
303.0	7.467
304.0	7.480
305.0	7.472
306.0	7.447
307.0	7.373
308.0	7.375
309.0	7.348
310.0	7.412
311.0	7.358
312.0	7.288
313.0	7.198
314.0	7.124
315.0	7.073
316.0	6.997
317.0	6.944
318.0	6.874
319.0	6.766
320.0	6.675
321.0	6.624
322.0	6.550
323.0	6.486
324.0	6.375
325.0	6.313
326.0	6.220
327.0	6.142
328.0	6.079
329.0	5.984
330.0	5.912
331.0	5.789
332.0	5.716
333.0	5.633
334.0	5.592
335.0	5.548
336.0	5.508
337.0	5.425
338.0	5.336
339.0	5.285
340.0	5.248
341.0	5.216
342.0	5.176
343.0	5.147
344.0	5.145
345.0	5.108
346.0	5.083
347.0	5.040
348.0	5.025
349.0	5.023
350.0	4.998
351.0	4.974
352.0	4.981
353.0	4.999
354.0	5.008
355.0	4.997
356.0	5.009
357.0	5.042
358.0	5.051
359.0	5.036
360.0	5.037
361.0	5.039
362.0	5.066
363.0	5.076
364.0	5.104
365.0	5.117
366.0	5.144
367.0	5.175
368.0	5.228
369.0	5.272
370.0	5.326
371.0	5.373
372.0	5.400
373.0	5.452
374.0	5.494
375.0	5.551
376.0	5.588
377.0	5.619
378.0	5.680
379.0	5.719
380.0	5.775
381.0	5.807
382.0	5.859
383.0	5.903
384.0	5.977
385.0	6.029
386.0	6.094
387.0	6.117
388.0	6.163
389.0	6.199
390.0	6.251
391.0	6.297
392.0	6.356
393.0	6.420
394.0	6.475
395.0	6.510
396.0	6.550
397.0	6.583
398.0	6.629
399.0	6.680
400.0	6.717
401.0	6.760
402.0	6.776
403.0	6.818
404.0	6.848
405.0	6.888
406.0	6.909
407.0	6.933
408.0	6.957
409.0	6.990
410.0	7.019
411.0	7.050
412.0	7.084
413.0	7.138
414.0	7.185
415.0	7.229
416.0	7.259
417.0	7.282
418.0	7.316
419.0	7.349
420.0	7.380
421.0	7.411
422.0	7.425
423.0	7.440
424.0	7.447
425.0	7.466
426.0	7.479
427.0	7.475
428.0	7.478
429.0	7.479
430.0	7.494
431.0	7.485
432.0	7.472
433.0	7.448
434.0	7.425
435.0	7.401
436.0	7.398
437.0	7.389
438.0	7.383
439.0	7.350
440.0	7.331
441.0	7.300
442.0	7.286
443.0	7.268
444.0	7.264
445.0	7.246
446.0	7.224
447.0	7.200
448.0	7.186
449.0	7.174
450.0	7.164
451.0	7.162
452.0	7.156
453.0	7.140
454.0	7.131
455.0	7.126
456.0	7.134
457.0	7.140
458.0	7.147
459.0	7.154
460.0	7.155
461.0	7.157
462.0	7.170
463.0	7.177
464.0	7.187
465.0	7.192
466.0	7.207
467.0	7.222
468.0	7.234
469.0	7.246
470.0	7.257
471.0	7.268
472.0	7.284
473.0	7.303
474.0	7.317
475.0	7.332
476.0	7.349
477.0	7.371
478.0	7.375
479.0	7.380
480.0	7.383
481.0	7.398
482.0	7.410
483.0	7.419
484.0	7.431
485.0	7.427
486.0	7.436
487.0	7.436
488.0	7.445
489.0	7.454
490.0	7.462
491.0	7.469
492.0	7.456
493.0	7.458
494.0	7.458
495.0	7.464
496.0	7.465
497.0	7.465
498.0	7.475
499.0	7.471
500.0	7.461
501.0	7.456
502.0	7.451
503.0	7.456
504.0	7.437
505.0	7.444
506.0	7.446
507.0	7.462
508.0	7.455
509.0	7.440
510.0	7.425
511.0	7.408
512.0	7.399
513.0	7.390
514.0	7.382
515.0	7.377
516.0	7.365
517.0	7.350
518.0	7.329
519.0	7.315
520.0	7.314
521.0	7.305
522.0	7.284
523.0	7.264
524.0	7.244
525.0	7.229
526.0	7.197
527.0	7.179
528.0	7.164
529.0	7.148
530.0	7.127
531.0	7.097
532.0	7.082
533.0	7.066
534.0	7.056
535.0	7.040
536.0	7.012
537.0	6.990
538.0	6.951
539.0	6.935
540.0	6.912
541.0	6.914
542.0	6.902
543.0	6.881
544.0	6.855
545.0	6.837
546.0	6.813
547.0	6.790
548.0	6.772
549.0	6.759
550.0	6.737
551.0	6.711
552.0	6.686
553.0	6.679
554.0	6.673
555.0	6.670
556.0	6.649
557.0	6.626
558.0	6.606
559.0	6.595
560.0	6.587
561.0	6.580
562.0	6.564
563.0	6.550
564.0	6.530
565.0	6.525
566.0	6.520
567.0	6.516
568.0	6.508
569.0	6.496
570.0	6.482
571.0	6.475
572.0	6.472
573.0	6.462
574.0	6.455
575.0	6.443
576.0	6.449
577.0	6.440
578.0	6.437
579.0	6.434
580.0	6.438
581.0	6.435
582.0	6.433
583.0	6.436
584.0	6.442
585.0	6.442
586.0	6.445
587.0	6.456
588.0	6.467
589.0	6.460
590.0	6.455
591.0	6.449
592.0	6.460
593.0	6.470
594.0	6.473
595.0	6.478
596.0	6.480
597.0	6.499
598.0	6.502
599.0	6.518
600.0	6.517
601.0	6.530
602.0	6.535
603.0	6.553
604.0	6.572
605.0	6.591
606.0	6.600
607.0	6.606
608.0	6.610
609.0	6.618
610.0	6.624
611.0	6.635
612.0	6.650
613.0	6.673
614.0	6.688
615.0	6.703
616.0	6.709
617.0	6.727
618.0	6.747
619.0	6.758
620.0	6.771
621.0	6.784
622.0	6.805
623.0	6.820
624.0	6.843
625.0	6.866
626.0	6.888
627.0	6.909
628.0	6.929
629.0	6.938
630.0	6.957
631.0	6.977
632.0	6.996
633.0	7.000
634.0	7.010
635.0	7.041
636.0	7.077
637.0	7.093
638.0	7.121
639.0	7.142
640.0	7.167
641.0	7.175
642.0	7.190
643.0	7.201
644.0	7.203
645.0	7.213
646.0	7.241
647.0	7.288
648.0	7.307
649.0	7.334
650.0	7.344
651.0	7.376
652.0	7.396
653.0	7.420
654.0	7.446
655.0	7.462
656.0	7.477
657.0	7.483
658.0	7.496
659.0	7.511
660.0	7.533
661.0	7.557
662.0	7.580
663.0	7.596
664.0	7.618
665.0	7.642
666.0	7.673
667.0	7.699
668.0	7.718
669.0	7.730
670.0	7.756
671.0	7.779
672.0	7.815
673.0	7.848
674.0	7.883
675.0	7.908
676.0	7.931
677.0	7.953
678.0	7.966
679.0	7.969
680.0	7.985
681.0	8.019
682.0	8.036
683.0	8.043
684.0	8.054
685.0	8.077
686.0	8.105
687.0	8.114
688.0	8.133
689.0	8.147
690.0	8.154
691.0	8.180
692.0	8.205
693.0	8.240
694.0	8.250
695.0	8.255
696.0	8.264
697.0	8.291
698.0	8.303
699.0	8.305
700.0	8.322
701.0	8.348
702.0	8.399
703.0	8.392
704.0	8.404
705.0	8.409
706.0	8.423
707.0	8.444
708.0	8.461
709.0	8.497
710.0	8.526
711.0	8.533
712.0	8.532
713.0	8.528
714.0	8.548
715.0	8.563
716.0	8.568
717.0	8.585
718.0	8.607
719.0	8.642
720.0	8.651
721.0	8.661
722.0	8.673
723.0	8.670
724.0	8.697
725.0	8.689
726.0	8.730
727.0	8.749
728.0	8.787
729.0	8.804
730.0	8.817
731.0	8.831
732.0	8.823
733.0	8.833
734.0	8.844
735.0	8.871
736.0	8.868
737.0	8.882
738.0	8.896
739.0	8.915
740.0	8.936
741.0	8.944
742.0	8.973
743.0	8.956
744.0	8.952
745.0	8.973
746.0	9.018
747.0	9.071
748.0	9.080
749.0	9.071
750.0	9.092
751.0	9.085
752.0	9.134
753.0	9.126
754.0	9.137
755.0	9.140
756.0	9.173
757.0	9.180
758.0	9.205
759.0	9.191
760.0	9.257
761.0	9.253
762.0	9.281
763.0	9.289
764.0	9.328
765.0	9.350
766.0	9.367
767.0	9.387
768.0	9.421
769.0	9.401
770.0	9.399
771.0	9.405
772.0	9.438
773.0	9.419
774.0	9.416
775.0	9.438
776.0	9.480
777.0	9.476
778.0	9.469
