[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/02/2023 14:45:18
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	285,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	7.034
301.0	7.025
302.0	7.012
303.0	6.984
304.0	6.953
305.0	6.934
306.0	6.952
307.0	6.963
308.0	6.956
309.0	6.886
310.0	6.915
311.0	6.885
312.0	6.918
313.0	6.895
314.0	6.920
315.0	6.906
316.0	6.869
317.0	6.852
318.0	6.848
319.0	6.837
320.0	6.784
321.0	6.755
322.0	6.738
323.0	6.764
324.0	6.762
325.0	6.742
326.0	6.741
327.0	6.702
328.0	6.697
329.0	6.673
330.0	6.683
331.0	6.680
332.0	6.689
333.0	6.688
334.0	6.654
335.0	6.632
336.0	6.591
337.0	6.583
338.0	6.553
339.0	6.581
340.0	6.575
341.0	6.599
342.0	6.581
343.0	6.578
344.0	6.539
345.0	6.504
346.0	6.498
347.0	6.476
348.0	6.448
349.0	6.413
350.0	6.385
351.0	6.378
352.0	6.354
353.0	6.358
354.0	6.357
355.0	6.336
356.0	6.326
357.0	6.322
358.0	6.327
359.0	6.323
360.0	6.299
361.0	6.279
362.0	6.233
363.0	6.214
364.0	6.203
365.0	6.209
366.0	6.188
367.0	6.178
368.0	6.158
369.0	6.156
370.0	6.140
371.0	6.120
372.0	6.116
373.0	6.111
374.0	6.103
375.0	6.070
376.0	6.045
377.0	6.034
378.0	6.036
379.0	6.017
380.0	5.995
381.0	5.980
382.0	5.981
383.0	5.975
384.0	5.953
385.0	5.931
386.0	5.914
387.0	5.904
388.0	5.891
389.0	5.885
390.0	5.880
391.0	5.882
392.0	5.894
393.0	5.887
394.0	5.879
395.0	5.863
396.0	5.857
397.0	5.857
398.0	5.848
399.0	5.840
400.0	5.838
401.0	5.823
402.0	5.814
403.0	5.804
404.0	5.800
405.0	5.804
406.0	5.798
407.0	5.793
408.0	5.794
409.0	5.782
410.0	5.781
411.0	5.763
412.0	5.757
413.0	5.742
414.0	5.736
415.0	5.729
416.0	5.729
417.0	5.731
418.0	5.725
419.0	5.721
420.0	5.718
421.0	5.710
422.0	5.703
423.0	5.706
424.0	5.717
425.0	5.712
426.0	5.689
427.0	5.680
428.0	5.680
429.0	5.685
430.0	5.682
431.0	5.689
432.0	5.689
433.0	5.692
434.0	5.687
435.0	5.687
436.0	5.686
437.0	5.685
438.0	5.684
439.0	5.695
440.0	5.709
441.0	5.715
442.0	5.713
443.0	5.712
444.0	5.727
445.0	5.739
446.0	5.747
447.0	5.751
448.0	5.758
449.0	5.760
450.0	5.775
451.0	5.785
452.0	5.807
453.0	5.820
454.0	5.831
455.0	5.839
456.0	5.841
457.0	5.856
458.0	5.877
459.0	5.888
460.0	5.905
461.0	5.916
462.0	5.943
463.0	5.958
464.0	5.983
465.0	6.004
466.0	6.032
467.0	6.053
468.0	6.071
469.0	6.085
470.0	6.096
471.0	6.120
472.0	6.149
473.0	6.175
474.0	6.199
475.0	6.229
476.0	6.263
477.0	6.298
478.0	6.318
479.0	6.350
480.0	6.369
481.0	6.406
482.0	6.428
483.0	6.464
484.0	6.490
485.0	6.520
486.0	6.558
487.0	6.603
488.0	6.644
489.0	6.675
490.0	6.704
491.0	6.735
492.0	6.763
493.0	6.803
494.0	6.839
495.0	6.880
496.0	6.916
497.0	6.963
498.0	7.010
499.0	7.049
500.0	7.084
501.0	7.114
502.0	7.157
503.0	7.193
504.0	7.238
505.0	7.284
506.0	7.326
507.0	7.369
508.0	7.408
509.0	7.458
510.0	7.503
511.0	7.548
512.0	7.599
513.0	7.646
514.0	7.688
515.0	7.733
516.0	7.779
517.0	7.824
518.0	7.863
519.0	7.907
520.0	7.964
521.0	8.024
522.0	8.067
523.0	8.113
524.0	8.158
525.0	8.209
526.0	8.252
527.0	8.293
528.0	8.341
529.0	8.396
530.0	8.445
531.0	8.506
532.0	8.556
533.0	8.615
534.0	8.662
535.0	8.710
536.0	8.758
537.0	8.811
538.0	8.859
539.0	8.906
540.0	8.957
541.0	9.010
542.0	9.063
543.0	9.119
544.0	9.166
545.0	9.218
546.0	9.256
547.0	9.301
548.0	9.348
549.0	9.399
550.0	9.449
551.0	9.504
552.0	9.561
553.0	9.603
554.0	9.640
555.0	9.671
556.0	9.732
557.0	9.788
558.0	9.845
559.0	9.883
560.0	9.925
561.0	9.978
562.0	10.025
563.0	10.061
564.0	10.108
565.0	10.151
566.0	10.202
567.0	10.236
568.0	10.279
569.0	10.310
570.0	10.345
571.0	10.391
572.0	10.445
573.0	10.487
574.0	10.523
575.0	10.562
576.0	10.600
577.0	10.632
578.0	10.669
579.0	10.705
580.0	10.761
581.0	10.815
582.0	10.858
583.0	10.899
584.0	10.925
585.0	10.966
586.0	10.983
587.0	11.015
588.0	11.054
589.0	11.104
590.0	11.154
591.0	11.187
592.0	11.220
593.0	11.241
594.0	11.277
595.0	11.299
596.0	11.348
597.0	11.373
598.0	11.416
599.0	11.431
600.0	11.458
601.0	11.482
602.0	11.515
603.0	11.547
604.0	11.569
605.0	11.593
606.0	11.626
607.0	11.662
608.0	11.686
609.0	11.714
610.0	11.737
611.0	11.762
612.0	11.767
613.0	11.785
614.0	11.794
615.0	11.828
616.0	11.844
617.0	11.882
618.0	11.895
619.0	11.919
620.0	11.940
621.0	11.954
622.0	11.970
623.0	11.987
624.0	12.012
625.0	12.017
626.0	12.028
627.0	12.045
628.0	12.080
629.0	12.084
630.0	12.100
631.0	12.119
632.0	12.139
633.0	12.147
634.0	12.160
635.0	12.174
636.0	12.190
637.0	12.181
638.0	12.201
639.0	12.208
640.0	12.231
641.0	12.234
642.0	12.236
643.0	12.235
644.0	12.236
645.0	12.254
646.0	12.267
647.0	12.269
648.0	12.252
649.0	12.241
650.0	12.247
651.0	12.243
652.0	12.231
653.0	12.222
654.0	12.213
655.0	12.209
656.0	12.201
657.0	12.197
658.0	12.185
659.0	12.164
660.0	12.160
661.0	12.162
662.0	12.163
663.0	12.148
664.0	12.126
665.0	12.116
666.0	12.109
667.0	12.113
668.0	12.101
669.0	12.085
670.0	12.063
671.0	12.045
672.0	12.026
673.0	12.020
674.0	11.995
675.0	12.011
676.0	12.002
677.0	12.001
678.0	11.974
679.0	11.961
680.0	11.946
681.0	11.944
682.0	11.928
683.0	11.914
684.0	11.879
685.0	11.845
686.0	11.827
687.0	11.804
688.0	11.786
689.0	11.785
690.0	11.776
691.0	11.791
692.0	11.776
693.0	11.780
694.0	11.767
695.0	11.768
696.0	11.745
697.0	11.741
698.0	11.716
699.0	11.711
700.0	11.697
701.0	11.701
702.0	11.690
703.0	11.698
704.0	11.682
705.0	11.683
706.0	11.668
707.0	11.687
708.0	11.694
709.0	11.691
710.0	11.661
711.0	11.643
712.0	11.651
713.0	11.678
714.0	11.686
715.0	11.677
716.0	11.646
717.0	11.649
718.0	11.631
719.0	11.651
720.0	11.652
721.0	11.662
722.0	11.682
723.0	11.686
724.0	11.689
725.0	11.670
726.0	11.656
727.0	11.680
728.0	11.686
729.0	11.732
730.0	11.741
731.0	11.752
732.0	11.734
733.0	11.732
734.0	11.733
735.0	11.729
736.0	11.727
737.0	11.717
738.0	11.774
739.0	11.804
740.0	11.819
741.0	11.810
742.0	11.808
743.0	11.845
744.0	11.828
745.0	11.820
746.0	11.800
747.0	11.813
748.0	11.823
749.0	11.825
750.0	11.808
751.0	11.833
752.0	11.815
753.0	11.845
754.0	11.833
755.0	11.892
756.0	11.913
757.0	11.952
758.0	11.958
759.0	11.975
760.0	11.991
761.0	11.998
762.0	11.974
763.0	11.945
764.0	11.946
765.0	11.982
766.0	11.996
767.0	12.029
768.0	12.020
769.0	12.031
770.0	12.013
771.0	12.052
772.0	12.046
773.0	12.054
774.0	12.032
775.0	12.049
776.0	12.072
777.0	12.084
778.0	12.135
