[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/02/2023 19:01:29
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	5.819
286.0	5.828
287.0	5.905
288.0	6.007
289.0	6.163
290.0	6.235
291.0	6.308
292.0	6.384
293.0	6.467
294.0	6.559
295.0	6.613
296.0	6.667
297.0	6.699
298.0	6.738
299.0	6.816
300.0	6.874
301.0	6.940
302.0	6.962
303.0	7.014
304.0	6.986
305.0	7.029
306.0	7.014
307.0	7.053
308.0	7.034
309.0	7.026
310.0	7.001
311.0	6.985
312.0	6.938
313.0	6.904
314.0	6.863
315.0	6.833
316.0	6.774
317.0	6.703
318.0	6.661
319.0	6.620
320.0	6.576
321.0	6.545
322.0	6.484
323.0	6.427
324.0	6.348
325.0	6.327
326.0	6.278
327.0	6.222
328.0	6.153
329.0	6.090
330.0	6.060
331.0	6.033
332.0	6.014
333.0	5.970
334.0	5.919
335.0	5.872
336.0	5.835
337.0	5.798
338.0	5.771
339.0	5.746
340.0	5.729
341.0	5.726
342.0	5.715
343.0	5.705
344.0	5.678
345.0	5.671
346.0	5.653
347.0	5.662
348.0	5.664
349.0	5.674
350.0	5.684
351.0	5.697
352.0	5.722
353.0	5.745
354.0	5.751
355.0	5.750
356.0	5.747
357.0	5.775
358.0	5.788
359.0	5.804
360.0	5.796
361.0	5.805
362.0	5.806
363.0	5.840
364.0	5.856
365.0	5.870
366.0	5.848
367.0	5.833
368.0	5.823
369.0	5.823
370.0	5.816
371.0	5.807
372.0	5.782
373.0	5.776
374.0	5.746
375.0	5.742
376.0	5.721
377.0	5.712
378.0	5.703
379.0	5.701
380.0	5.702
381.0	5.678
382.0	5.662
383.0	5.635
384.0	5.628
385.0	5.609
386.0	5.595
387.0	5.574
388.0	5.558
389.0	5.547
390.0	5.545
391.0	5.533
392.0	5.528
393.0	5.520
394.0	5.508
395.0	5.487
396.0	5.472
397.0	5.457
398.0	5.444
399.0	5.408
400.0	5.393
401.0	5.361
402.0	5.356
403.0	5.331
404.0	5.308
405.0	5.281
406.0	5.275
407.0	5.276
408.0	5.271
409.0	5.258
410.0	5.255
411.0	5.257
412.0	5.255
413.0	5.259
414.0	5.262
415.0	5.280
416.0	5.316
417.0	5.337
418.0	5.348
419.0	5.354
420.0	5.377
421.0	5.415
422.0	5.445
423.0	5.469
424.0	5.493
425.0	5.507
426.0	5.523
427.0	5.537
428.0	5.557
429.0	5.585
430.0	5.621
431.0	5.648
432.0	5.670
433.0	5.685
434.0	5.713
435.0	5.735
436.0	5.774
437.0	5.797
438.0	5.826
439.0	5.838
440.0	5.867
441.0	5.888
442.0	5.913
443.0	5.930
444.0	5.959
445.0	5.975
446.0	6.010
447.0	6.045
448.0	6.077
449.0	6.105
450.0	6.133
451.0	6.183
452.0	6.213
453.0	6.244
454.0	6.275
455.0	6.320
456.0	6.358
457.0	6.396
458.0	6.428
459.0	6.472
460.0	6.509
461.0	6.547
462.0	6.581
463.0	6.617
464.0	6.652
465.0	6.684
466.0	6.712
467.0	6.743
468.0	6.780
469.0	6.815
470.0	6.849
471.0	6.883
472.0	6.916
473.0	6.954
474.0	6.988
475.0	7.025
476.0	7.061
477.0	7.092
478.0	7.126
479.0	7.159
480.0	7.192
481.0	7.221
482.0	7.245
483.0	7.266
484.0	7.286
485.0	7.297
486.0	7.324
487.0	7.345
488.0	7.376
489.0	7.396
490.0	7.417
491.0	7.440
492.0	7.461
493.0	7.483
494.0	7.507
495.0	7.523
496.0	7.536
497.0	7.549
498.0	7.580
499.0	7.606
500.0	7.621
501.0	7.624
502.0	7.637
503.0	7.654
504.0	7.663
505.0	7.672
506.0	7.680
507.0	7.702
508.0	7.724
509.0	7.745
510.0	7.748
511.0	7.750
512.0	7.760
513.0	7.771
514.0	7.778
515.0	7.778
516.0	7.779
517.0	7.782
518.0	7.776
519.0	7.775
520.0	7.769
521.0	7.780
522.0	7.786
523.0	7.783
524.0	7.776
525.0	7.768
526.0	7.762
527.0	7.760
528.0	7.744
529.0	7.728
530.0	7.720
531.0	7.705
532.0	7.705
533.0	7.683
534.0	7.674
535.0	7.659
536.0	7.643
537.0	7.631
538.0	7.616
539.0	7.604
540.0	7.596
541.0	7.574
542.0	7.553
543.0	7.528
544.0	7.514
545.0	7.490
546.0	7.475
547.0	7.444
548.0	7.414
549.0	7.386
550.0	7.365
551.0	7.354
552.0	7.334
553.0	7.318
554.0	7.307
555.0	7.279
556.0	7.255
557.0	7.223
558.0	7.212
559.0	7.182
560.0	7.160
561.0	7.132
562.0	7.117
563.0	7.088
564.0	7.067
565.0	7.051
566.0	7.039
567.0	7.016
568.0	6.995
569.0	6.971
570.0	6.951
571.0	6.931
572.0	6.914
573.0	6.887
574.0	6.870
575.0	6.845
576.0	6.836
577.0	6.813
578.0	6.803
579.0	6.786
580.0	6.771
581.0	6.751
582.0	6.744
583.0	6.730
584.0	6.731
585.0	6.715
586.0	6.708
587.0	6.686
588.0	6.676
589.0	6.672
590.0	6.666
591.0	6.661
592.0	6.640
593.0	6.628
594.0	6.619
595.0	6.613
596.0	6.612
597.0	6.595
598.0	6.588
599.0	6.579
600.0	6.580
601.0	6.580
602.0	6.579
603.0	6.576
604.0	6.573
605.0	6.561
606.0	6.556
607.0	6.558
608.0	6.563
609.0	6.571
610.0	6.557
611.0	6.568
612.0	6.569
613.0	6.580
614.0	6.567
615.0	6.566
616.0	6.566
617.0	6.569
618.0	6.562
619.0	6.560
620.0	6.557
621.0	6.559
622.0	6.563
623.0	6.581
624.0	6.587
625.0	6.590
626.0	6.592
627.0	6.600
628.0	6.612
629.0	6.617
630.0	6.622
631.0	6.622
632.0	6.636
633.0	6.648
634.0	6.655
635.0	6.655
636.0	6.658
637.0	6.670
638.0	6.685
639.0	6.688
640.0	6.694
641.0	6.688
642.0	6.703
643.0	6.713
644.0	6.728
645.0	6.721
646.0	6.729
647.0	6.743
648.0	6.765
649.0	6.784
650.0	6.788
651.0	6.794
652.0	6.796
653.0	6.809
654.0	6.826
655.0	6.833
656.0	6.835
657.0	6.851
658.0	6.864
659.0	6.884
660.0	6.880
661.0	6.887
662.0	6.899
663.0	6.907
664.0	6.916
665.0	6.919
666.0	6.939
667.0	6.959
668.0	6.977
669.0	6.990
670.0	7.001
671.0	7.027
672.0	7.059
673.0	7.105
674.0	7.113
675.0	7.129
676.0	7.119
677.0	7.134
678.0	7.152
679.0	7.167
680.0	7.181
681.0	7.179
682.0	7.194
683.0	7.209
684.0	7.228
685.0	7.256
686.0	7.272
687.0	7.286
688.0	7.293
689.0	7.310
690.0	7.329
691.0	7.335
692.0	7.351
693.0	7.357
694.0	7.375
695.0	7.395
696.0	7.421
697.0	7.440
698.0	7.444
699.0	7.446
700.0	7.444
701.0	7.455
702.0	7.470
703.0	7.505
704.0	7.512
705.0	7.536
706.0	7.531
707.0	7.548
708.0	7.556
709.0	7.589
710.0	7.631
711.0	7.643
712.0	7.672
713.0	7.668
714.0	7.689
715.0	7.679
716.0	7.696
717.0	7.725
718.0	7.744
719.0	7.759
720.0	7.786
721.0	7.808
722.0	7.819
723.0	7.819
724.0	7.825
725.0	7.851
726.0	7.881
727.0	7.905
728.0	7.929
729.0	7.933
730.0	7.949
731.0	7.951
732.0	7.978
733.0	7.990
734.0	8.005
735.0	7.999
736.0	8.031
737.0	8.055
738.0	8.080
739.0	8.074
740.0	8.100
741.0	8.101
742.0	8.120
743.0	8.138
744.0	8.179
745.0	8.234
746.0	8.256
747.0	8.250
748.0	8.251
749.0	8.255
750.0	8.287
751.0	8.288
752.0	8.316
753.0	8.332
754.0	8.372
755.0	8.400
756.0	8.417
757.0	8.410
758.0	8.422
759.0	8.441
760.0	8.477
761.0	8.461
762.0	8.493
763.0	8.520
