[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/02/2023 19:12:08
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	5.161
286.0	5.238
287.0	5.349
288.0	5.383
289.0	5.477
290.0	5.516
291.0	5.576
292.0	5.548
293.0	5.572
294.0	5.632
295.0	5.673
296.0	5.680
297.0	5.702
298.0	5.758
299.0	5.836
300.0	5.884
301.0	5.888
302.0	5.835
303.0	5.818
304.0	5.806
305.0	5.861
306.0	5.910
307.0	5.911
308.0	5.884
309.0	5.848
310.0	5.845
311.0	5.841
312.0	5.851
313.0	5.872
314.0	5.871
315.0	5.876
316.0	5.853
317.0	5.861
318.0	5.815
319.0	5.831
320.0	5.798
321.0	5.816
322.0	5.770
323.0	5.777
324.0	5.744
325.0	5.768
326.0	5.740
327.0	5.747
328.0	5.707
329.0	5.694
330.0	5.637
331.0	5.631
332.0	5.618
333.0	5.624
334.0	5.606
335.0	5.577
336.0	5.566
337.0	5.523
338.0	5.504
339.0	5.479
340.0	5.456
341.0	5.432
342.0	5.398
343.0	5.368
344.0	5.346
345.0	5.310
346.0	5.284
347.0	5.251
348.0	5.219
349.0	5.204
350.0	5.185
351.0	5.172
352.0	5.135
353.0	5.093
354.0	5.052
355.0	5.016
356.0	4.989
357.0	4.956
358.0	4.911
359.0	4.880
360.0	4.835
361.0	4.791
362.0	4.750
363.0	4.735
364.0	4.713
365.0	4.684
366.0	4.629
367.0	4.595
368.0	4.554
369.0	4.522
370.0	4.495
371.0	4.474
372.0	4.447
373.0	4.416
374.0	4.390
375.0	4.380
376.0	4.378
377.0	4.358
378.0	4.340
379.0	4.337
380.0	4.345
381.0	4.344
382.0	4.332
383.0	4.315
384.0	4.309
385.0	4.311
386.0	4.316
387.0	4.325
388.0	4.306
389.0	4.299
390.0	4.297
391.0	4.296
392.0	4.296
393.0	4.287
394.0	4.284
395.0	4.275
396.0	4.268
397.0	4.258
398.0	4.238
399.0	4.220
400.0	4.204
401.0	4.189
402.0	4.178
403.0	4.156
404.0	4.135
405.0	4.102
406.0	4.085
407.0	4.073
408.0	4.064
409.0	4.056
410.0	4.038
411.0	4.016
412.0	4.003
413.0	3.991
414.0	3.985
415.0	3.963
416.0	3.948
417.0	3.930
418.0	3.929
419.0	3.910
420.0	3.900
421.0	3.877
422.0	3.863
423.0	3.839
424.0	3.813
425.0	3.795
426.0	3.776
427.0	3.757
428.0	3.722
429.0	3.694
430.0	3.663
431.0	3.643
432.0	3.615
433.0	3.587
434.0	3.558
435.0	3.529
436.0	3.501
437.0	3.469
438.0	3.446
439.0	3.428
440.0	3.416
441.0	3.400
442.0	3.387
443.0	3.369
444.0	3.358
445.0	3.333
446.0	3.317
447.0	3.310
448.0	3.307
449.0	3.311
450.0	3.312
451.0	3.318
452.0	3.319
453.0	3.322
454.0	3.329
455.0	3.345
456.0	3.349
457.0	3.358
458.0	3.362
459.0	3.374
460.0	3.387
461.0	3.396
462.0	3.408
463.0	3.419
464.0	3.432
465.0	3.446
466.0	3.464
467.0	3.480
468.0	3.502
469.0	3.511
470.0	3.524
471.0	3.538
472.0	3.566
473.0	3.592
474.0	3.604
475.0	3.613
476.0	3.624
477.0	3.643
478.0	3.664
479.0	3.689
480.0	3.706
481.0	3.721
482.0	3.735
483.0	3.753
484.0	3.764
485.0	3.779
486.0	3.792
487.0	3.810
488.0	3.824
489.0	3.840
490.0	3.856
491.0	3.869
492.0	3.891
493.0	3.901
494.0	3.911
495.0	3.910
496.0	3.925
497.0	3.949
498.0	3.973
499.0	3.987
500.0	3.994
501.0	4.005
502.0	4.013
503.0	4.027
504.0	4.038
505.0	4.054
506.0	4.066
507.0	4.080
508.0	4.087
509.0	4.096
510.0	4.096
511.0	4.105
512.0	4.104
513.0	4.114
514.0	4.121
515.0	4.133
516.0	4.134
517.0	4.132
518.0	4.130
519.0	4.127
520.0	4.129
521.0	4.132
522.0	4.132
523.0	4.128
524.0	4.121
525.0	4.114
526.0	4.112
527.0	4.108
528.0	4.117
529.0	4.110
530.0	4.101
531.0	4.091
532.0	4.080
533.0	4.068
534.0	4.048
535.0	4.037
536.0	4.029
537.0	4.016
538.0	4.004
539.0	3.991
540.0	3.981
541.0	3.964
542.0	3.952
543.0	3.930
544.0	3.915
545.0	3.892
546.0	3.867
547.0	3.849
548.0	3.826
549.0	3.823
550.0	3.805
551.0	3.794
552.0	3.771
553.0	3.751
554.0	3.732
555.0	3.705
556.0	3.685
557.0	3.658
558.0	3.645
559.0	3.622
560.0	3.608
561.0	3.580
562.0	3.557
563.0	3.530
564.0	3.518
565.0	3.507
566.0	3.493
567.0	3.473
568.0	3.454
569.0	3.438
570.0	3.419
571.0	3.405
572.0	3.380
573.0	3.369
574.0	3.346
575.0	3.333
576.0	3.320
577.0	3.309
578.0	3.301
579.0	3.282
580.0	3.270
581.0	3.253
582.0	3.245
583.0	3.242
584.0	3.241
585.0	3.231
586.0	3.218
587.0	3.211
588.0	3.214
589.0	3.215
590.0	3.206
591.0	3.198
592.0	3.191
593.0	3.194
594.0	3.188
595.0	3.186
596.0	3.182
597.0	3.183
598.0	3.185
599.0	3.183
600.0	3.188
601.0	3.197
602.0	3.202
603.0	3.205
604.0	3.207
605.0	3.219
606.0	3.231
607.0	3.238
608.0	3.244
609.0	3.249
610.0	3.261
611.0	3.272
612.0	3.284
613.0	3.299
614.0	3.315
615.0	3.329
616.0	3.335
617.0	3.354
618.0	3.368
619.0	3.387
620.0	3.394
621.0	3.415
622.0	3.434
623.0	3.452
624.0	3.474
625.0	3.490
626.0	3.515
627.0	3.536
628.0	3.559
629.0	3.586
630.0	3.617
631.0	3.650
632.0	3.679
633.0	3.699
634.0	3.727
635.0	3.751
636.0	3.783
637.0	3.806
638.0	3.831
639.0	3.857
640.0	3.883
641.0	3.915
642.0	3.949
643.0	3.985
644.0	4.013
645.0	4.031
646.0	4.064
647.0	4.100
648.0	4.143
649.0	4.180
650.0	4.215
651.0	4.245
652.0	4.274
653.0	4.311
654.0	4.358
655.0	4.397
656.0	4.432
657.0	4.461
658.0	4.493
659.0	4.526
660.0	4.553
661.0	4.588
662.0	4.617
663.0	4.663
664.0	4.699
665.0	4.734
666.0	4.771
667.0	4.813
668.0	4.861
669.0	4.910
670.0	4.957
671.0	5.003
672.0	5.041
673.0	5.082
674.0	5.124
675.0	5.179
676.0	5.230
677.0	5.288
678.0	5.326
679.0	5.368
680.0	5.404
681.0	5.435
682.0	5.482
683.0	5.526
684.0	5.577
685.0	5.615
686.0	5.657
687.0	5.702
688.0	5.755
689.0	5.796
690.0	5.849
691.0	5.859
692.0	5.892
693.0	5.899
694.0	5.962
695.0	6.010
696.0	6.080
697.0	6.137
698.0	6.176
699.0	6.205
700.0	6.231
701.0	6.275
702.0	6.331
703.0	6.388
704.0	6.436
705.0	6.468
706.0	6.508
707.0	6.538
708.0	6.590
709.0	6.634
710.0	6.678
711.0	6.714
712.0	6.752
713.0	6.815
714.0	6.849
715.0	6.880
716.0	6.914
717.0	6.969
718.0	7.029
719.0	7.073
720.0	7.139
721.0	7.177
722.0	7.220
723.0	7.250
724.0	7.310
725.0	7.353
726.0	7.406
727.0	7.436
728.0	7.496
729.0	7.540
730.0	7.586
731.0	7.624
732.0	7.673
733.0	7.732
734.0	7.763
735.0	7.792
736.0	7.825
737.0	7.901
738.0	7.960
739.0	8.022
740.0	8.054
741.0	8.090
742.0	8.148
743.0	8.206
744.0	8.280
745.0	8.313
746.0	8.355
747.0	8.376
748.0	8.419
749.0	8.475
750.0	8.552
751.0	8.622
752.0	8.666
753.0	8.720
754.0	8.757
755.0	8.791
756.0	8.811
757.0	8.844
758.0	8.902
759.0	8.950
760.0	9.013
761.0	9.043
762.0	9.066
763.0	9.094
