[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	24/02/2023 12:29:04
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	6.055
286.0	6.069
287.0	6.108
288.0	6.122
289.0	6.170
290.0	6.207
291.0	6.335
292.0	6.346
293.0	6.352
294.0	6.286
295.0	6.307
296.0	6.342
297.0	6.407
298.0	6.429
299.0	6.438
300.0	6.424
301.0	6.385
302.0	6.414
303.0	6.403
304.0	6.454
305.0	6.431
306.0	6.420
307.0	6.433
308.0	6.408
309.0	6.401
310.0	6.336
311.0	6.328
312.0	6.334
313.0	6.362
314.0	6.361
315.0	6.348
316.0	6.303
317.0	6.285
318.0	6.260
319.0	6.267
320.0	6.272
321.0	6.284
322.0	6.277
323.0	6.271
324.0	6.240
325.0	6.223
326.0	6.201
327.0	6.202
328.0	6.202
329.0	6.200
330.0	6.134
331.0	6.131
332.0	6.130
333.0	6.177
334.0	6.190
335.0	6.184
336.0	6.174
337.0	6.153
338.0	6.137
339.0	6.137
340.0	6.127
341.0	6.118
342.0	6.102
343.0	6.085
344.0	6.102
345.0	6.115
346.0	6.128
347.0	6.109
348.0	6.074
349.0	6.071
350.0	6.057
351.0	6.063
352.0	6.054
353.0	6.035
354.0	6.026
355.0	6.002
356.0	6.002
357.0	5.972
358.0	5.941
359.0	5.918
360.0	5.896
361.0	5.888
362.0	5.868
363.0	5.853
364.0	5.843
365.0	5.801
366.0	5.783
367.0	5.725
368.0	5.702
369.0	5.665
370.0	5.635
371.0	5.605
372.0	5.586
373.0	5.567
374.0	5.544
375.0	5.498
376.0	5.486
377.0	5.444
378.0	5.423
379.0	5.376
380.0	5.341
381.0	5.290
382.0	5.255
383.0	5.219
384.0	5.192
385.0	5.167
386.0	5.145
387.0	5.109
388.0	5.073
389.0	5.030
390.0	4.992
391.0	4.955
392.0	4.926
393.0	4.910
394.0	4.875
395.0	4.836
396.0	4.789
397.0	4.749
398.0	4.721
399.0	4.672
400.0	4.638
401.0	4.598
402.0	4.572
403.0	4.533
404.0	4.487
405.0	4.440
406.0	4.396
407.0	4.359
408.0	4.325
409.0	4.281
410.0	4.235
411.0	4.188
412.0	4.145
413.0	4.110
414.0	4.070
415.0	4.032
416.0	3.988
417.0	3.955
418.0	3.913
419.0	3.860
420.0	3.814
421.0	3.772
422.0	3.733
423.0	3.688
424.0	3.649
425.0	3.611
426.0	3.569
427.0	3.534
428.0	3.497
429.0	3.464
430.0	3.419
431.0	3.378
432.0	3.340
433.0	3.297
434.0	3.270
435.0	3.219
436.0	3.194
437.0	3.157
438.0	3.142
439.0	3.107
440.0	3.083
441.0	3.056
442.0	3.035
443.0	3.009
444.0	2.982
445.0	2.956
446.0	2.932
447.0	2.911
448.0	2.893
449.0	2.880
450.0	2.867
451.0	2.854
452.0	2.841
453.0	2.828
454.0	2.823
455.0	2.821
456.0	2.822
457.0	2.820
458.0	2.819
459.0	2.816
460.0	2.822
461.0	2.834
462.0	2.850
463.0	2.864
464.0	2.875
465.0	2.902
466.0	2.921
467.0	2.947
468.0	2.972
469.0	3.007
470.0	3.041
471.0	3.075
472.0	3.114
473.0	3.161
474.0	3.212
475.0	3.261
476.0	3.316
477.0	3.372
478.0	3.436
479.0	3.499
480.0	3.570
481.0	3.638
482.0	3.711
483.0	3.780
484.0	3.858
485.0	3.942
486.0	4.033
487.0	4.125
488.0	4.216
489.0	4.302
490.0	4.394
491.0	4.497
492.0	4.611
493.0	4.723
494.0	4.829
495.0	4.944
496.0	5.058
497.0	5.179
498.0	5.290
499.0	5.423
500.0	5.552
501.0	5.692
502.0	5.821
503.0	5.965
504.0	6.100
505.0	6.240
506.0	6.372
507.0	6.515
508.0	6.655
509.0	6.800
510.0	6.945
511.0	7.089
512.0	7.231
513.0	7.377
514.0	7.524
515.0	7.668
516.0	7.810
517.0	7.946
518.0	8.083
519.0	8.232
520.0	8.387
521.0	8.543
522.0	8.682
523.0	8.821
524.0	8.985
525.0	9.142
526.0	9.310
527.0	9.460
528.0	9.621
529.0	9.772
530.0	9.925
531.0	10.075
532.0	10.237
533.0	10.389
534.0	10.546
535.0	10.694
536.0	10.838
537.0	10.989
538.0	11.135
539.0	11.290
540.0	11.430
541.0	11.564
542.0	11.703
543.0	11.837
544.0	11.980
545.0	12.122
546.0	12.255
547.0	12.388
548.0	12.512
549.0	12.653
550.0	12.787
551.0	12.913
552.0	13.031
553.0	13.153
554.0	13.263
555.0	13.380
556.0	13.489
557.0	13.612
558.0	13.727
559.0	13.842
560.0	13.927
561.0	14.026
562.0	14.117
563.0	14.235
564.0	14.329
565.0	14.419
566.0	14.508
567.0	14.593
568.0	14.688
569.0	14.788
570.0	14.888
571.0	14.971
572.0	15.042
573.0	15.129
574.0	15.235
575.0	15.336
576.0	15.419
577.0	15.506
578.0	15.598
579.0	15.689
580.0	15.788
581.0	15.883
582.0	16.011
583.0	16.107
584.0	16.203
585.0	16.278
586.0	16.362
587.0	16.461
588.0	16.554
589.0	16.652
590.0	16.735
591.0	16.822
592.0	16.905
593.0	16.987
594.0	17.069
595.0	17.171
596.0	17.259
597.0	17.329
598.0	17.388
599.0	17.449
600.0	17.517
601.0	17.580
602.0	17.632
603.0	17.688
604.0	17.710
605.0	17.745
606.0	17.775
607.0	17.804
608.0	17.830
609.0	17.842
610.0	17.866
611.0	17.887
612.0	17.902
613.0	17.905
614.0	17.897
615.0	17.898
616.0	17.912
617.0	17.924
618.0	17.909
619.0	17.886
620.0	17.851
621.0	17.838
622.0	17.816
623.0	17.800
624.0	17.758
625.0	17.737
626.0	17.732
627.0	17.734
628.0	17.743
629.0	17.736
630.0	17.734
631.0	17.719
632.0	17.707
633.0	17.692
634.0	17.704
635.0	17.705
636.0	17.727
637.0	17.725
638.0	17.764
639.0	17.795
640.0	17.835
641.0	17.839
642.0	17.875
643.0	17.899
644.0	17.958
645.0	17.986
646.0	18.036
647.0	18.083
648.0	18.143
649.0	18.196
650.0	18.248
651.0	18.286
652.0	18.334
653.0	18.378
654.0	18.419
655.0	18.477
656.0	18.514
657.0	18.576
658.0	18.598
659.0	18.651
660.0	18.705
661.0	18.727
662.0	18.749
663.0	18.742
664.0	18.764
665.0	18.775
666.0	18.799
667.0	18.826
668.0	18.817
669.0	18.795
670.0	18.779
671.0	18.771
672.0	18.758
673.0	18.707
674.0	18.649
675.0	18.584
676.0	18.520
677.0	18.447
678.0	18.344
679.0	18.269
680.0	18.204
681.0	18.125
682.0	18.000
683.0	17.881
684.0	17.799
685.0	17.725
686.0	17.616
687.0	17.495
688.0	17.378
689.0	17.265
690.0	17.160
691.0	17.085
692.0	17.035
693.0	16.993
694.0	16.960
695.0	16.920
696.0	16.925
697.0	16.906
698.0	16.928
699.0	16.948
700.0	17.044
701.0	17.115
702.0	17.226
703.0	17.299
704.0	17.435
705.0	17.565
706.0	17.727
707.0	17.880
708.0	18.030
709.0	18.184
710.0	18.344
711.0	18.543
712.0	18.733
713.0	18.932
714.0	19.083
715.0	19.274
716.0	19.455
717.0	19.666
718.0	19.841
719.0	20.009
720.0	20.165
721.0	20.324
722.0	20.457
723.0	20.618
724.0	20.767
725.0	20.943
726.0	21.019
727.0	21.130
728.0	21.190
729.0	21.311
730.0	21.381
731.0	21.501
732.0	21.532
733.0	21.597
734.0	21.627
735.0	21.709
736.0	21.780
737.0	21.829
738.0	21.863
739.0	21.836
740.0	21.862
741.0	21.892
742.0	21.939
743.0	21.962
744.0	21.964
745.0	22.005
746.0	21.996
747.0	21.966
748.0	21.938
749.0	21.965
750.0	21.999
751.0	22.013
752.0	21.995
753.0	22.035
754.0	22.048
755.0	22.029
756.0	22.005
757.0	22.003
758.0	22.012
759.0	21.961
760.0	21.876
761.0	21.835
762.0	21.814
763.0	21.842
