[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/03/2023 12:38:03
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 2000,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	870,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	48.896
286.0	49.454
287.0	50.556
288.0	51.455
289.0	52.505
290.0	53.190
291.0	54.155
292.0	54.984
293.0	55.680
294.0	56.188
295.0	56.848
296.0	57.459
297.0	58.098
298.0	58.798
299.0	59.481
300.0	60.043
301.0	60.291
302.0	60.772
303.0	60.983
304.0	61.471
305.0	61.811
306.0	62.227
307.0	62.322
308.0	62.412
309.0	62.647
310.0	63.123
311.0	63.421
312.0	63.527
313.0	63.361
314.0	63.260
315.0	63.268
316.0	63.308
317.0	63.327
318.0	63.296
319.0	63.119
320.0	63.074
321.0	62.845
322.0	62.669
323.0	62.451
324.0	62.364
325.0	62.188
326.0	61.959
327.0	61.643
328.0	61.351
329.0	61.016
330.0	60.786
331.0	60.583
332.0	60.324
333.0	59.999
334.0	59.717
335.0	59.413
336.0	59.104
337.0	58.826
338.0	58.628
339.0	58.296
340.0	57.943
341.0	57.531
342.0	57.198
343.0	56.789
344.0	56.447
345.0	56.080
346.0	55.760
347.0	55.362
348.0	55.069
349.0	54.616
350.0	54.240
351.0	53.689
352.0	53.232
353.0	52.700
354.0	52.332
355.0	51.984
356.0	51.633
357.0	51.184
358.0	50.848
359.0	50.449
360.0	50.088
361.0	49.580
362.0	49.241
363.0	48.843
364.0	48.468
365.0	48.034
366.0	47.778
367.0	47.514
368.0	47.224
369.0	46.842
370.0	46.529
371.0	46.245
372.0	46.011
373.0	45.798
374.0	45.597
375.0	45.413
376.0	45.271
377.0	45.214
378.0	45.181
379.0	45.156
380.0	45.096
381.0	45.119
382.0	45.248
383.0	45.389
384.0	45.572
385.0	45.736
386.0	46.019
387.0	46.250
388.0	46.515
389.0	46.818
390.0	47.122
391.0	47.464
392.0	47.759
393.0	48.083
394.0	48.393
395.0	48.690
396.0	49.030
397.0	49.322
398.0	49.714
399.0	50.003
400.0	50.341
401.0	50.542
402.0	50.796
403.0	51.022
404.0	51.223
405.0	51.388
406.0	51.525
407.0	51.658
408.0	51.822
409.0	51.980
410.0	52.149
411.0	52.291
412.0	52.409
413.0	52.573
414.0	52.787
415.0	53.001
416.0	53.261
417.0	53.490
418.0	53.772
419.0	54.075
420.0	54.368
421.0	54.741
422.0	55.079
423.0	55.452
424.0	55.776
425.0	56.148
426.0	56.535
427.0	56.931
428.0	57.334
429.0	57.722
430.0	58.043
431.0	58.294
432.0	58.530
433.0	58.740
434.0	58.946
435.0	59.119
436.0	59.285
437.0	59.391
438.0	59.449
439.0	59.479
440.0	59.489
441.0	59.505
442.0	59.487
443.0	59.434
444.0	59.296
445.0	59.156
446.0	59.003
447.0	58.910
448.0	58.800
449.0	58.710
450.0	58.571
451.0	58.400
452.0	58.226
453.0	58.042
454.0	57.887
455.0	57.728
456.0	57.548
457.0	57.375
458.0	57.200
459.0	57.045
460.0	56.879
461.0	56.713
462.0	56.577
463.0	56.439
464.0	56.339
465.0	56.207
466.0	56.116
467.0	55.973
468.0	55.877
469.0	55.781
470.0	55.673
471.0	55.584
472.0	55.493
473.0	55.460
474.0	55.405
475.0	55.326
476.0	55.289
477.0	55.232
478.0	55.213
479.0	55.149
480.0	55.146
481.0	55.112
482.0	55.094
483.0	55.081
484.0	55.058
485.0	55.100
486.0	55.127
487.0	55.173
488.0	55.193
489.0	55.210
490.0	55.266
491.0	55.336
492.0	55.410
493.0	55.483
494.0	55.520
495.0	55.593
496.0	55.687
497.0	55.763
498.0	55.849
499.0	55.938
500.0	56.061
501.0	56.194
502.0	56.333
503.0	56.448
504.0	56.550
505.0	56.679
506.0	56.850
507.0	57.027
508.0	57.164
509.0	57.307
510.0	57.430
511.0	57.582
512.0	57.713
513.0	57.867
514.0	58.015
515.0	58.189
516.0	58.377
517.0	58.546
518.0	58.682
519.0	58.814
520.0	58.952
521.0	59.097
522.0	59.265
523.0	59.443
524.0	59.619
525.0	59.721
526.0	59.861
527.0	59.968
528.0	60.147
529.0	60.254
530.0	60.387
531.0	60.443
532.0	60.552
533.0	60.638
534.0	60.726
535.0	60.784
536.0	60.836
537.0	60.938
538.0	61.004
539.0	61.089
540.0	61.106
541.0	61.150
542.0	61.191
543.0	61.221
544.0	61.245
545.0	61.264
546.0	61.345
547.0	61.375
548.0	61.396
549.0	61.364
550.0	61.368
551.0	61.303
552.0	61.269
553.0	61.221
554.0	61.233
555.0	61.214
556.0	61.135
557.0	61.067
558.0	61.002
559.0	60.959
560.0	60.936
561.0	60.878
562.0	60.810
563.0	60.725
564.0	60.659
565.0	60.629
566.0	60.510
567.0	60.416
568.0	60.298
569.0	60.219
570.0	60.110
571.0	59.998
572.0	59.924
573.0	59.816
574.0	59.723
575.0	59.588
576.0	59.470
577.0	59.367
578.0	59.269
579.0	59.156
580.0	59.003
581.0	58.838
582.0	58.714
583.0	58.604
584.0	58.506
585.0	58.350
586.0	58.207
587.0	58.069
588.0	57.934
589.0	57.803
590.0	57.648
591.0	57.531
592.0	57.373
593.0	57.211
594.0	57.057
595.0	56.914
596.0	56.766
597.0	56.578
598.0	56.385
599.0	56.207
600.0	56.086
601.0	55.927
602.0	55.771
603.0	55.541
604.0	55.396
605.0	55.236
606.0	55.084
607.0	54.855
608.0	54.701
609.0	54.554
610.0	54.421
611.0	54.226
612.0	54.033
613.0	53.830
614.0	53.656
615.0	53.491
616.0	53.320
617.0	53.129
618.0	52.954
619.0	52.790
620.0	52.623
621.0	52.417
622.0	52.246
623.0	52.061
624.0	51.882
625.0	51.668
626.0	51.466
627.0	51.312
628.0	51.165
629.0	50.978
630.0	50.739
631.0	50.555
632.0	50.417
633.0	50.311
634.0	50.127
635.0	49.924
636.0	49.692
637.0	49.523
638.0	49.316
639.0	49.160
640.0	48.957
641.0	48.821
642.0	48.646
643.0	48.486
644.0	48.293
645.0	48.111
646.0	47.928
647.0	47.775
648.0	47.613
649.0	47.451
650.0	47.303
651.0	47.144
652.0	46.991
653.0	46.770
654.0	46.593
655.0	46.402
656.0	46.220
657.0	46.041
658.0	45.858
659.0	45.721
660.0	45.569
661.0	45.438
662.0	45.306
663.0	45.177
664.0	45.053
665.0	44.933
666.0	44.805
667.0	44.678
668.0	44.526
669.0	44.388
670.0	44.225
671.0	44.073
672.0	43.936
673.0	43.779
674.0	43.664
675.0	43.528
676.0	43.411
677.0	43.261
678.0	43.142
679.0	43.048
680.0	42.930
681.0	42.835
682.0	42.727
683.0	42.687
684.0	42.551
685.0	42.462
686.0	42.294
687.0	42.190
688.0	42.060
689.0	41.993
690.0	41.911
691.0	41.820
692.0	41.703
693.0	41.597
694.0	41.518
695.0	41.472
696.0	41.408
697.0	41.280
698.0	41.155
699.0	41.070
700.0	41.062
701.0	40.971
702.0	40.927
703.0	40.846
704.0	40.821
705.0	40.771
706.0	40.689
707.0	40.605
708.0	40.464
709.0	40.416
710.0	40.372
711.0	40.328
712.0	40.195
713.0	40.070
714.0	39.963
715.0	39.955
716.0	39.879
717.0	39.799
718.0	39.685
719.0	39.601
720.0	39.491
721.0	39.396
722.0	39.345
723.0	39.337
724.0	39.299
725.0	39.213
726.0	39.120
727.0	39.001
728.0	38.934
729.0	38.870
730.0	38.802
731.0	38.732
732.0	38.586
733.0	38.523
734.0	38.451
735.0	38.422
736.0	38.327
737.0	38.187
738.0	38.076
739.0	37.984
740.0	37.964
741.0	37.908
742.0	37.779
743.0	37.640
744.0	37.527
745.0	37.503
746.0	37.441
747.0	37.330
748.0	37.214
749.0	37.082
750.0	37.040
751.0	36.966
752.0	36.936
753.0	36.854
754.0	36.775
755.0	36.707
756.0	36.614
757.0	36.542
758.0	36.414
759.0	36.320
760.0	36.237
761.0	36.243
762.0	36.163
763.0	36.114
764.0	36.039
765.0	35.986
766.0	35.950
