[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	06/03/2023 13:04:39
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 2000,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	870,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	35.477
286.0	35.900
287.0	36.680
288.0	37.373
289.0	38.270
290.0	39.153
291.0	40.228
292.0	41.058
293.0	41.739
294.0	42.195
295.0	42.819
296.0	43.397
297.0	44.004
298.0	44.582
299.0	45.180
300.0	45.810
301.0	46.119
302.0	46.402
303.0	46.495
304.0	46.911
305.0	47.113
306.0	47.467
307.0	47.528
308.0	47.760
309.0	47.828
310.0	48.087
311.0	48.193
312.0	48.208
313.0	48.217
314.0	48.164
315.0	48.240
316.0	48.246
317.0	48.301
318.0	48.367
319.0	48.290
320.0	48.241
321.0	48.140
322.0	48.076
323.0	48.118
324.0	48.150
325.0	48.225
326.0	48.366
327.0	48.517
328.0	48.633
329.0	48.651
330.0	48.765
331.0	49.017
332.0	49.277
333.0	49.452
334.0	49.739
335.0	49.987
336.0	50.365
337.0	50.722
338.0	51.208
339.0	51.558
340.0	51.906
341.0	52.245
342.0	52.616
343.0	53.001
344.0	53.384
345.0	53.850
346.0	54.120
347.0	54.477
348.0	54.858
349.0	55.197
350.0	55.448
351.0	55.614
352.0	55.829
353.0	56.035
354.0	56.165
355.0	56.288
356.0	56.292
357.0	56.321
358.0	56.383
359.0	56.370
360.0	56.417
361.0	56.369
362.0	56.362
363.0	56.230
364.0	56.085
365.0	55.981
366.0	55.926
367.0	55.912
368.0	55.828
369.0	55.673
370.0	55.498
371.0	55.284
372.0	55.073
373.0	54.880
374.0	54.735
375.0	54.612
376.0	54.408
377.0	54.222
378.0	54.019
379.0	53.822
380.0	53.566
381.0	53.293
382.0	53.041
383.0	52.781
384.0	52.574
385.0	52.354
386.0	52.146
387.0	51.875
388.0	51.602
389.0	51.363
390.0	51.090
391.0	50.815
392.0	50.533
393.0	50.267
394.0	49.992
395.0	49.661
396.0	49.350
397.0	49.032
398.0	48.780
399.0	48.481
400.0	48.218
401.0	47.913
402.0	47.602
403.0	47.293
404.0	46.952
405.0	46.655
406.0	46.284
407.0	45.949
408.0	45.608
409.0	45.278
410.0	44.956
411.0	44.624
412.0	44.313
413.0	43.994
414.0	43.667
415.0	43.314
416.0	42.950
417.0	42.589
418.0	42.251
419.0	41.947
420.0	41.607
421.0	41.289
422.0	40.955
423.0	40.642
424.0	40.281
425.0	39.911
426.0	39.547
427.0	39.208
428.0	38.866
429.0	38.535
430.0	38.190
431.0	37.792
432.0	37.379
433.0	36.994
434.0	36.625
435.0	36.277
436.0	35.912
437.0	35.552
438.0	35.150
439.0	34.785
440.0	34.436
441.0	34.099
442.0	33.717
443.0	33.342
444.0	32.954
445.0	32.561
446.0	32.152
447.0	31.768
448.0	31.395
449.0	31.036
450.0	30.666
451.0	30.274
452.0	29.880
453.0	29.484
454.0	29.089
455.0	28.668
456.0	28.233
457.0	27.816
458.0	27.414
459.0	27.039
460.0	26.648
461.0	26.242
462.0	25.854
463.0	25.455
464.0	25.094
465.0	24.695
466.0	24.320
467.0	23.933
468.0	23.562
469.0	23.211
470.0	22.835
471.0	22.463
472.0	22.061
473.0	21.696
474.0	21.309
475.0	20.926
476.0	20.527
477.0	20.139
478.0	19.746
479.0	19.350
480.0	18.961
481.0	18.577
482.0	18.199
483.0	17.830
484.0	17.464
485.0	17.118
486.0	16.764
487.0	16.410
488.0	16.068
489.0	15.749
490.0	15.438
491.0	15.122
492.0	14.794
493.0	14.462
494.0	14.128
495.0	13.806
496.0	13.509
497.0	13.213
498.0	12.909
499.0	12.608
500.0	12.307
501.0	12.019
502.0	11.722
503.0	11.431
504.0	11.148
505.0	10.883
506.0	10.632
507.0	10.380
508.0	10.127
509.0	9.880
510.0	9.635
511.0	9.402
512.0	9.183
513.0	8.972
514.0	8.769
515.0	8.557
516.0	8.362
517.0	8.169
518.0	7.982
519.0	7.802
520.0	7.622
521.0	7.450
522.0	7.278
523.0	7.110
524.0	6.941
525.0	6.769
526.0	6.607
527.0	6.455
528.0	6.312
529.0	6.160
530.0	6.012
531.0	5.860
532.0	5.722
533.0	5.587
534.0	5.468
535.0	5.343
536.0	5.219
537.0	5.100
538.0	4.983
539.0	4.875
540.0	4.766
541.0	4.666
542.0	4.562
543.0	4.456
544.0	4.357
545.0	4.261
546.0	4.180
547.0	4.094
548.0	4.014
549.0	3.930
550.0	3.851
551.0	3.774
552.0	3.699
553.0	3.625
554.0	3.560
555.0	3.500
556.0	3.440
557.0	3.381
558.0	3.324
559.0	3.269
560.0	3.219
561.0	3.168
562.0	3.120
563.0	3.079
564.0	3.038
565.0	2.999
566.0	2.953
567.0	2.910
568.0	2.869
569.0	2.833
570.0	2.799
571.0	2.763
572.0	2.729
573.0	2.696
574.0	2.660
575.0	2.620
576.0	2.581
577.0	2.546
578.0	2.512
579.0	2.475
580.0	2.441
581.0	2.407
582.0	2.376
583.0	2.346
584.0	2.314
585.0	2.280
586.0	2.249
587.0	2.223
588.0	2.195
589.0	2.162
590.0	2.131
591.0	2.101
592.0	2.077
593.0	2.050
594.0	2.023
595.0	1.995
596.0	1.971
597.0	1.947
598.0	1.924
599.0	1.902
600.0	1.881
601.0	1.862
602.0	1.843
603.0	1.830
604.0	1.821
605.0	1.812
606.0	1.805
607.0	1.796
608.0	1.793
609.0	1.790
610.0	1.789
611.0	1.790
612.0	1.792
613.0	1.791
614.0	1.794
615.0	1.800
616.0	1.815
617.0	1.826
618.0	1.842
619.0	1.852
620.0	1.868
621.0	1.882
622.0	1.908
623.0	1.929
624.0	1.954
625.0	1.971
626.0	1.996
627.0	2.021
628.0	2.049
629.0	2.071
630.0	2.095
631.0	2.124
632.0	2.152
633.0	2.174
634.0	2.189
635.0	2.207
636.0	2.221
637.0	2.233
638.0	2.247
639.0	2.258
640.0	2.270
641.0	2.279
642.0	2.287
643.0	2.285
644.0	2.284
645.0	2.283
646.0	2.281
647.0	2.272
648.0	2.259
649.0	2.244
650.0	2.233
651.0	2.220
652.0	2.208
653.0	2.186
654.0	2.168
655.0	2.149
656.0	2.138
657.0	2.125
658.0	2.116
659.0	2.103
660.0	2.093
661.0	2.081
662.0	2.073
663.0	2.067
664.0	2.068
665.0	2.066
666.0	2.065
667.0	2.069
668.0	2.076
669.0	2.091
670.0	2.111
671.0	2.140
672.0	2.173
673.0	2.204
674.0	2.248
675.0	2.303
676.0	2.367
677.0	2.435
678.0	2.511
679.0	2.589
680.0	2.679
681.0	2.769
682.0	2.885
683.0	3.009
684.0	3.159
685.0	3.313
686.0	3.490
687.0	3.684
688.0	3.911
689.0	4.148
690.0	4.410
691.0	4.700
692.0	5.027
693.0	5.378
694.0	5.774
695.0	6.203
696.0	6.668
697.0	7.140
698.0	7.662
699.0	8.228
700.0	8.832
701.0	9.469
702.0	10.143
703.0	10.879
704.0	11.627
705.0	12.399
706.0	13.190
707.0	14.038
708.0	14.879
709.0	15.779
710.0	16.678
711.0	17.648
712.0	18.571
713.0	19.477
714.0	20.428
715.0	21.382
716.0	22.352
717.0	23.337
718.0	24.294
719.0	25.248
720.0	26.106
721.0	27.022
722.0	27.960
723.0	28.839
724.0	29.707
725.0	30.462
726.0	31.225
727.0	31.863
728.0	32.514
729.0	33.185
730.0	33.847
731.0	34.557
732.0	35.142
733.0	35.756
734.0	36.278
735.0	36.839
736.0	37.336
737.0	37.827
738.0	38.330
739.0	38.840
740.0	39.315
741.0	39.712
742.0	40.088
743.0	40.557
744.0	40.986
745.0	41.447
746.0	41.756
747.0	42.117
748.0	42.524
749.0	42.840
750.0	43.167
751.0	43.378
752.0	43.727
753.0	44.041
754.0	44.323
755.0	44.587
756.0	44.836
757.0	45.123
758.0	45.427
759.0	45.726
760.0	45.986
761.0	46.221
762.0	46.498
763.0	46.825
764.0	47.171
765.0	47.412
766.0	47.623
