[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/04/2023 12:13:00
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	R_robot_16-100-P1_optical_pads.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	7.290
286.0	7.482
287.0	7.769
288.0	8.100
289.0	8.444
290.0	8.812
291.0	9.068
292.0	9.363
293.0	9.637
294.0	9.978
295.0	10.311
296.0	10.609
297.0	10.880
298.0	11.135
299.0	11.443
300.0	11.714
301.0	12.050
302.0	12.359
303.0	12.633
304.0	12.836
305.0	13.015
306.0	13.212
307.0	13.306
308.0	13.449
309.0	13.548
310.0	13.763
311.0	13.913
312.0	14.080
313.0	14.188
314.0	14.195
315.0	14.250
316.0	14.253
317.0	14.286
318.0	14.353
319.0	14.373
320.0	14.411
321.0	14.351
322.0	14.320
323.0	14.269
324.0	14.200
325.0	14.181
326.0	14.177
327.0	14.107
328.0	14.061
329.0	13.974
330.0	13.971
331.0	13.929
332.0	13.875
333.0	13.798
334.0	13.653
335.0	13.534
336.0	13.428
337.0	13.340
338.0	13.271
339.0	13.203
340.0	13.117
341.0	13.009
342.0	12.898
343.0	12.804
344.0	12.692
345.0	12.624
346.0	12.529
347.0	12.416
348.0	12.267
349.0	12.129
350.0	12.046
351.0	11.962
352.0	11.845
353.0	11.729
354.0	11.581
355.0	11.492
356.0	11.411
357.0	11.360
358.0	11.277
359.0	11.196
360.0	11.102
361.0	10.988
362.0	10.860
363.0	10.789
364.0	10.753
365.0	10.694
366.0	10.596
367.0	10.498
368.0	10.447
369.0	10.369
370.0	10.317
371.0	10.230
372.0	10.168
373.0	10.098
374.0	10.059
375.0	10.003
376.0	9.971
377.0	9.916
378.0	9.872
379.0	9.807
380.0	9.771
381.0	9.729
382.0	9.701
383.0	9.682
384.0	9.649
385.0	9.616
386.0	9.560
387.0	9.541
388.0	9.492
389.0	9.457
390.0	9.415
391.0	9.412
392.0	9.386
393.0	9.361
394.0	9.337
395.0	9.318
396.0	9.294
397.0	9.258
398.0	9.221
399.0	9.191
400.0	9.154
401.0	9.132
402.0	9.094
403.0	9.069
404.0	9.035
405.0	9.029
406.0	9.011
407.0	8.991
408.0	8.967
409.0	8.962
410.0	8.975
411.0	8.982
412.0	8.992
413.0	9.006
414.0	9.030
415.0	9.037
416.0	9.054
417.0	9.071
418.0	9.100
419.0	9.105
420.0	9.116
421.0	9.115
422.0	9.114
423.0	9.099
424.0	9.100
425.0	9.084
426.0	9.072
427.0	9.047
428.0	9.025
429.0	8.997
430.0	8.959
431.0	8.932
432.0	8.909
433.0	8.882
434.0	8.858
435.0	8.806
436.0	8.774
437.0	8.750
438.0	8.742
439.0	8.718
440.0	8.679
441.0	8.625
442.0	8.596
443.0	8.565
444.0	8.555
445.0	8.512
446.0	8.486
447.0	8.453
448.0	8.435
449.0	8.404
450.0	8.388
451.0	8.363
452.0	8.337
453.0	8.303
454.0	8.284
455.0	8.276
456.0	8.267
457.0	8.251
458.0	8.226
459.0	8.208
460.0	8.194
461.0	8.186
462.0	8.183
463.0	8.177
464.0	8.182
465.0	8.163
466.0	8.165
467.0	8.145
468.0	8.147
469.0	8.131
470.0	8.137
471.0	8.140
472.0	8.150
473.0	8.153
474.0	8.161
475.0	8.151
476.0	8.146
477.0	8.144
478.0	8.150
479.0	8.153
480.0	8.151
481.0	8.159
482.0	8.157
483.0	8.153
484.0	8.152
485.0	8.155
486.0	8.150
487.0	8.143
488.0	8.137
489.0	8.141
490.0	8.139
491.0	8.142
492.0	8.139
493.0	8.137
494.0	8.140
495.0	8.137
496.0	8.133
497.0	8.114
498.0	8.115
499.0	8.114
500.0	8.121
501.0	8.117
502.0	8.118
503.0	8.106
504.0	8.103
505.0	8.091
506.0	8.093
507.0	8.076
508.0	8.070
509.0	8.059
510.0	8.060
511.0	8.063
512.0	8.067
513.0	8.067
514.0	8.057
515.0	8.039
516.0	8.045
517.0	8.041
518.0	8.048
519.0	8.029
520.0	8.019
521.0	8.022
522.0	8.025
523.0	8.035
524.0	8.024
525.0	8.030
526.0	8.030
527.0	8.032
528.0	8.034
529.0	8.034
530.0	8.031
531.0	8.023
532.0	8.021
533.0	8.022
534.0	8.021
535.0	8.027
536.0	8.029
537.0	8.021
538.0	8.012
539.0	8.002
540.0	7.999
541.0	7.991
542.0	7.998
543.0	7.998
544.0	8.001
545.0	7.995
546.0	7.994
547.0	7.995
548.0	8.003
549.0	8.000
550.0	7.990
551.0	7.983
552.0	7.987
553.0	7.990
554.0	7.992
555.0	7.994
556.0	7.979
557.0	7.962
558.0	7.947
559.0	7.949
560.0	7.947
561.0	7.951
562.0	7.949
563.0	7.956
564.0	7.955
565.0	7.956
566.0	7.936
567.0	7.918
568.0	7.898
569.0	7.884
570.0	7.878
571.0	7.871
572.0	7.875
573.0	7.862
574.0	7.849
575.0	7.824
576.0	7.815
577.0	7.796
578.0	7.785
579.0	7.768
580.0	7.764
581.0	7.758
582.0	7.751
583.0	7.733
584.0	7.723
585.0	7.703
586.0	7.695
587.0	7.681
588.0	7.668
589.0	7.646
590.0	7.627
591.0	7.614
592.0	7.611
593.0	7.594
594.0	7.584
595.0	7.561
596.0	7.549
597.0	7.532
598.0	7.512
599.0	7.490
600.0	7.474
601.0	7.460
602.0	7.442
603.0	7.405
604.0	7.379
605.0	7.365
606.0	7.343
607.0	7.322
608.0	7.301
609.0	7.291
610.0	7.280
611.0	7.244
612.0	7.229
613.0	7.213
614.0	7.208
615.0	7.178
616.0	7.149
617.0	7.130
618.0	7.112
619.0	7.086
620.0	7.055
621.0	7.025
622.0	7.004
623.0	6.982
624.0	6.952
625.0	6.925
626.0	6.899
627.0	6.884
628.0	6.864
629.0	6.841
630.0	6.813
631.0	6.794
632.0	6.774
633.0	6.751
634.0	6.726
635.0	6.701
636.0	6.685
637.0	6.663
638.0	6.638
639.0	6.604
640.0	6.569
641.0	6.546
642.0	6.538
643.0	6.524
644.0	6.497
645.0	6.479
646.0	6.452
647.0	6.438
648.0	6.401
649.0	6.378
650.0	6.340
651.0	6.309
652.0	6.280
653.0	6.268
654.0	6.251
655.0	6.227
656.0	6.192
657.0	6.170
658.0	6.144
659.0	6.121
660.0	6.093
661.0	6.069
662.0	6.056
663.0	6.032
664.0	5.999
665.0	5.961
666.0	5.937
667.0	5.929
668.0	5.920
669.0	5.906
670.0	5.876
671.0	5.848
672.0	5.818
673.0	5.799
674.0	5.760
675.0	5.740
676.0	5.723
677.0	5.725
678.0	5.711
679.0	5.690
680.0	5.661
681.0	5.625
682.0	5.587
683.0	5.563
684.0	5.558
685.0	5.543
686.0	5.522
687.0	5.478
688.0	5.453
689.0	5.431
690.0	5.415
691.0	5.383
692.0	5.378
693.0	5.359
694.0	5.352
695.0	5.304
696.0	5.287
697.0	5.263
698.0	5.263
699.0	5.254
700.0	5.252
701.0	5.227
702.0	5.203
703.0	5.171
704.0	5.144
705.0	5.114
706.0	5.102
707.0	5.077
708.0	5.056
709.0	5.039
710.0	5.027
711.0	5.021
712.0	5.000
713.0	4.986
714.0	4.961
715.0	4.955
716.0	4.940
717.0	4.944
718.0	4.929
719.0	4.924
720.0	4.893
721.0	4.852
722.0	4.830
723.0	4.807
724.0	4.806
725.0	4.782
726.0	4.782
727.0	4.762
728.0	4.765
729.0	4.738
730.0	4.725
731.0	4.682
732.0	4.671
733.0	4.658
734.0	4.649
735.0	4.625
736.0	4.605
737.0	4.583
738.0	4.572
739.0	4.567
740.0	4.558
741.0	4.541
742.0	4.513
743.0	4.507
744.0	4.499
745.0	4.488
746.0	4.457
747.0	4.449
748.0	4.436
749.0	4.444
750.0	4.415
751.0	4.396
752.0	4.377
753.0	4.364
754.0	4.351
755.0	4.330
756.0	4.319
757.0	4.313
758.0	4.323
759.0	4.320
760.0	4.313
761.0	4.299
