[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	05/04/2023 11:42:54
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	1000,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	R_robot_16-100-P1_optical_pads.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	60.364
286.0	60.447
287.0	60.429
288.0	60.137
289.0	59.901
290.0	59.592
291.0	59.609
292.0	59.232
293.0	59.136
294.0	58.666
295.0	58.580
296.0	58.262
297.0	58.147
298.0	57.792
299.0	57.548
300.0	57.133
301.0	56.651
302.0	55.985
303.0	55.397
304.0	55.261
305.0	55.026
306.0	54.545
307.0	53.747
308.0	53.097
309.0	52.486
310.0	51.860
311.0	51.177
312.0	50.675
313.0	50.195
314.0	49.529
315.0	48.862
316.0	48.145
317.0	47.611
318.0	46.991
319.0	46.402
320.0	45.894
321.0	45.447
322.0	44.842
323.0	44.176
324.0	43.527
325.0	43.006
326.0	42.469
327.0	41.856
328.0	41.241
329.0	40.665
330.0	40.164
331.0	39.608
332.0	39.116
333.0	38.571
334.0	38.125
335.0	37.667
336.0	37.272
337.0	36.774
338.0	36.289
339.0	35.880
340.0	35.566
341.0	35.258
342.0	34.902
343.0	34.540
344.0	34.125
345.0	33.778
346.0	33.507
347.0	33.314
348.0	33.115
349.0	32.902
350.0	32.755
351.0	32.595
352.0	32.431
353.0	32.226
354.0	32.120
355.0	32.059
356.0	31.962
357.0	31.875
358.0	31.845
359.0	31.874
360.0	31.859
361.0	31.756
362.0	31.684
363.0	31.666
364.0	31.706
365.0	31.675
366.0	31.651
367.0	31.643
368.0	31.688
369.0	31.680
370.0	31.675
371.0	31.702
372.0	31.779
373.0	31.838
374.0	31.913
375.0	31.938
376.0	32.029
377.0	32.048
378.0	32.117
379.0	32.155
380.0	32.250
381.0	32.342
382.0	32.467
383.0	32.556
384.0	32.652
385.0	32.733
386.0	32.842
387.0	32.989
388.0	33.119
389.0	33.301
390.0	33.420
391.0	33.539
392.0	33.589
393.0	33.679
394.0	33.788
395.0	33.904
396.0	34.011
397.0	34.129
398.0	34.233
399.0	34.312
400.0	34.369
401.0	34.466
402.0	34.580
403.0	34.657
404.0	34.731
405.0	34.754
406.0	34.794
407.0	34.793
408.0	34.805
409.0	34.817
410.0	34.811
411.0	34.785
412.0	34.740
413.0	34.721
414.0	34.728
415.0	34.707
416.0	34.678
417.0	34.633
418.0	34.596
419.0	34.592
420.0	34.564
421.0	34.547
422.0	34.517
423.0	34.510
424.0	34.486
425.0	34.453
426.0	34.391
427.0	34.332
428.0	34.266
429.0	34.229
430.0	34.179
431.0	34.143
432.0	34.102
433.0	34.083
434.0	34.065
435.0	34.077
436.0	34.135
437.0	34.231
438.0	34.354
439.0	34.486
440.0	34.663
441.0	34.892
442.0	35.192
443.0	35.514
444.0	35.816
445.0	36.138
446.0	36.461
447.0	36.822
448.0	37.169
449.0	37.536
450.0	37.873
451.0	38.207
452.0	38.532
453.0	38.871
454.0	39.212
455.0	39.525
456.0	39.834
457.0	40.113
458.0	40.365
459.0	40.638
460.0	40.922
461.0	41.222
462.0	41.503
463.0	41.772
464.0	42.008
465.0	42.223
466.0	42.426
467.0	42.679
468.0	42.922
469.0	43.185
470.0	43.400
471.0	43.625
472.0	43.867
473.0	44.110
474.0	44.381
475.0	44.615
476.0	44.885
477.0	45.135
478.0	45.395
479.0	45.631
480.0	45.918
481.0	46.170
482.0	46.457
483.0	46.712
484.0	46.962
485.0	47.218
486.0	47.430
487.0	47.674
488.0	47.893
489.0	48.178
490.0	48.465
491.0	48.757
492.0	48.994
493.0	49.264
494.0	49.537
495.0	49.823
496.0	50.079
497.0	50.368
498.0	50.667
499.0	50.978
500.0	51.255
501.0	51.560
502.0	51.874
503.0	52.182
504.0	52.486
505.0	52.803
506.0	53.138
507.0	53.467
508.0	53.738
509.0	54.072
510.0	54.394
511.0	54.756
512.0	54.994
513.0	55.298
514.0	55.593
515.0	55.949
516.0	56.238
517.0	56.518
518.0	56.789
519.0	57.098
520.0	57.403
521.0	57.711
522.0	58.003
523.0	58.305
524.0	58.598
525.0	58.876
526.0	59.134
527.0	59.447
528.0	59.701
529.0	59.983
530.0	60.237
531.0	60.541
532.0	60.782
533.0	61.037
534.0	61.239
535.0	61.477
536.0	61.685
537.0	61.927
538.0	62.129
539.0	62.310
540.0	62.482
541.0	62.688
542.0	62.867
543.0	63.071
544.0	63.223
545.0	63.393
546.0	63.502
547.0	63.670
548.0	63.797
549.0	63.915
550.0	64.017
551.0	64.140
552.0	64.293
553.0	64.398
554.0	64.494
555.0	64.590
556.0	64.723
557.0	64.822
558.0	64.912
559.0	64.945
560.0	65.006
561.0	65.049
562.0	65.104
563.0	65.161
564.0	65.184
565.0	65.226
566.0	65.262
567.0	65.291
568.0	65.321
569.0	65.332
570.0	65.368
571.0	65.378
572.0	65.424
573.0	65.427
574.0	65.455
575.0	65.430
576.0	65.422
577.0	65.414
578.0	65.408
579.0	65.431
580.0	65.380
581.0	65.400
582.0	65.371
583.0	65.373
584.0	65.331
585.0	65.321
586.0	65.315
587.0	65.305
588.0	65.266
589.0	65.228
590.0	65.225
591.0	65.255
592.0	65.228
593.0	65.156
594.0	65.071
595.0	65.025
596.0	64.981
597.0	64.949
598.0	64.923
599.0	64.920
600.0	64.890
601.0	64.902
602.0	64.831
603.0	64.804
604.0	64.705
605.0	64.659
606.0	64.565
607.0	64.556
608.0	64.527
609.0	64.484
610.0	64.431
611.0	64.365
612.0	64.313
613.0	64.226
614.0	64.196
615.0	64.146
616.0	64.122
617.0	64.044
618.0	64.011
619.0	63.981
620.0	63.972
621.0	63.946
622.0	63.869
623.0	63.828
624.0	63.771
625.0	63.735
626.0	63.661
627.0	63.599
628.0	63.549
629.0	63.473
630.0	63.402
631.0	63.332
632.0	63.303
633.0	63.283
634.0	63.249
635.0	63.156
636.0	63.093
637.0	63.028
638.0	63.041
639.0	63.004
640.0	62.950
641.0	62.876
642.0	62.862
643.0	62.773
644.0	62.727
645.0	62.590
646.0	62.582
647.0	62.530
648.0	62.508
649.0	62.429
650.0	62.384
651.0	62.330
652.0	62.258
653.0	62.154
654.0	62.126
655.0	62.131
656.0	62.107
657.0	62.003
658.0	61.913
659.0	61.871
660.0	61.859
661.0	61.838
662.0	61.787
663.0	61.721
664.0	61.658
665.0	61.609
666.0	61.531
667.0	61.503
668.0	61.443
669.0	61.415
670.0	61.317
671.0	61.275
672.0	61.271
673.0	61.278
674.0	61.217
675.0	61.154
676.0	61.106
677.0	61.090
678.0	60.998
679.0	60.919
680.0	60.923
681.0	60.927
682.0	60.874
683.0	60.761
684.0	60.732
685.0	60.742
686.0	60.737
687.0	60.697
688.0	60.716
689.0	60.682
690.0	60.664
691.0	60.609
692.0	60.613
693.0	60.636
694.0	60.632
695.0	60.633
696.0	60.569
697.0	60.566
698.0	60.485
699.0	60.484
700.0	60.453
701.0	60.452
702.0	60.450
703.0	60.362
704.0	60.326
705.0	60.283
706.0	60.263
707.0	60.241
708.0	60.168
709.0	60.152
710.0	60.146
711.0	60.145
712.0	60.109
713.0	60.054
714.0	60.027
715.0	59.956
716.0	59.903
717.0	59.921
718.0	59.968
719.0	60.010
720.0	59.965
721.0	59.981
722.0	59.986
723.0	59.901
724.0	59.819
725.0	59.783
726.0	59.785
727.0	59.786
728.0	59.753
729.0	59.792
730.0	59.683
731.0	59.650
732.0	59.581
733.0	59.618
734.0	59.573
735.0	59.549
736.0	59.456
737.0	59.407
738.0	59.364
739.0	59.341
740.0	59.395
741.0	59.323
742.0	59.406
743.0	59.313
744.0	59.321
745.0	59.246
746.0	59.160
747.0	59.062
748.0	59.014
749.0	59.038
750.0	58.986
751.0	58.941
752.0	58.939
753.0	58.936
754.0	58.910
755.0	58.875
756.0	58.944
757.0	58.889
758.0	58.793
759.0	58.613
760.0	58.659
761.0	58.724
