[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/02/2023 18:45:10
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Reflectance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Inverse
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	6.910
286.0	6.909
287.0	6.916
288.0	6.926
289.0	6.932
290.0	6.925
291.0	6.889
292.0	6.925
293.0	6.927
294.0	6.955
295.0	6.944
296.0	6.960
297.0	6.997
298.0	6.973
299.0	6.977
300.0	6.976
301.0	6.994
302.0	6.978
303.0	6.936
304.0	6.887
305.0	6.836
306.0	6.832
307.0	6.826
308.0	6.875
309.0	6.868
310.0	6.866
311.0	6.844
312.0	6.827
313.0	6.843
314.0	6.819
315.0	6.792
316.0	6.738
317.0	6.720
318.0	6.727
319.0	6.758
320.0	6.761
321.0	6.742
322.0	6.686
323.0	6.669
324.0	6.680
325.0	6.700
326.0	6.668
327.0	6.631
328.0	6.624
329.0	6.640
330.0	6.654
331.0	6.665
332.0	6.682
333.0	6.656
334.0	6.629
335.0	6.585
336.0	6.567
337.0	6.519
338.0	6.515
339.0	6.481
340.0	6.470
341.0	6.471
342.0	6.483
343.0	6.477
344.0	6.429
345.0	6.420
346.0	6.422
347.0	6.428
348.0	6.400
349.0	6.371
350.0	6.373
351.0	6.366
352.0	6.369
353.0	6.327
354.0	6.309
355.0	6.288
356.0	6.278
357.0	6.271
358.0	6.249
359.0	6.230
360.0	6.190
361.0	6.178
362.0	6.168
363.0	6.175
364.0	6.152
365.0	6.123
366.0	6.101
367.0	6.091
368.0	6.084
369.0	6.071
370.0	6.044
371.0	6.043
372.0	6.018
373.0	6.029
374.0	6.000
375.0	5.984
376.0	5.955
377.0	5.933
378.0	5.930
379.0	5.903
380.0	5.900
381.0	5.888
382.0	5.895
383.0	5.879
384.0	5.878
385.0	5.877
386.0	5.872
387.0	5.862
388.0	5.839
389.0	5.827
390.0	5.804
391.0	5.800
392.0	5.790
393.0	5.792
394.0	5.794
395.0	5.797
396.0	5.783
397.0	5.773
398.0	5.761
399.0	5.766
400.0	5.768
401.0	5.759
402.0	5.754
403.0	5.741
404.0	5.736
405.0	5.718
406.0	5.705
407.0	5.706
408.0	5.704
409.0	5.709
410.0	5.701
411.0	5.696
412.0	5.677
413.0	5.670
414.0	5.664
415.0	5.656
416.0	5.643
417.0	5.628
418.0	5.624
419.0	5.624
420.0	5.629
421.0	5.640
422.0	5.639
423.0	5.625
424.0	5.618
425.0	5.623
426.0	5.628
427.0	5.612
428.0	5.601
429.0	5.603
430.0	5.610
431.0	5.611
432.0	5.603
433.0	5.615
434.0	5.610
435.0	5.615
436.0	5.604
437.0	5.611
438.0	5.611
439.0	5.612
440.0	5.612
441.0	5.617
442.0	5.631
443.0	5.645
444.0	5.651
445.0	5.647
446.0	5.651
447.0	5.654
448.0	5.659
449.0	5.672
450.0	5.683
451.0	5.696
452.0	5.698
453.0	5.707
454.0	5.719
455.0	5.729
456.0	5.751
457.0	5.767
458.0	5.788
459.0	5.800
460.0	5.821
461.0	5.833
462.0	5.841
463.0	5.855
464.0	5.871
465.0	5.894
466.0	5.913
467.0	5.932
468.0	5.954
469.0	5.969
470.0	5.990
471.0	6.004
472.0	6.034
473.0	6.059
474.0	6.094
475.0	6.126
476.0	6.163
477.0	6.199
478.0	6.219
479.0	6.244
480.0	6.265
481.0	6.296
482.0	6.324
483.0	6.353
484.0	6.386
485.0	6.421
486.0	6.465
487.0	6.504
488.0	6.537
489.0	6.569
490.0	6.595
491.0	6.633
492.0	6.662
493.0	6.705
494.0	6.738
495.0	6.780
496.0	6.810
497.0	6.852
498.0	6.894
499.0	6.947
500.0	6.989
501.0	7.022
502.0	7.058
503.0	7.100
504.0	7.151
505.0	7.206
506.0	7.248
507.0	7.286
508.0	7.335
509.0	7.377
510.0	7.424
511.0	7.457
512.0	7.507
513.0	7.556
514.0	7.600
515.0	7.646
516.0	7.691
517.0	7.745
518.0	7.788
519.0	7.826
520.0	7.881
521.0	7.936
522.0	7.995
523.0	8.029
524.0	8.076
525.0	8.122
526.0	8.177
527.0	8.222
528.0	8.278
529.0	8.330
530.0	8.393
531.0	8.448
532.0	8.493
533.0	8.539
534.0	8.581
535.0	8.649
536.0	8.697
537.0	8.749
538.0	8.793
539.0	8.837
540.0	8.888
541.0	8.932
542.0	8.988
543.0	9.041
544.0	9.090
545.0	9.142
546.0	9.185
547.0	9.233
548.0	9.280
549.0	9.340
550.0	9.390
551.0	9.443
552.0	9.486
553.0	9.543
554.0	9.601
555.0	9.659
556.0	9.717
557.0	9.763
558.0	9.811
559.0	9.850
560.0	9.891
561.0	9.941
562.0	9.987
563.0	10.049
564.0	10.079
565.0	10.126
566.0	10.149
567.0	10.201
568.0	10.239
569.0	10.289
570.0	10.324
571.0	10.357
572.0	10.397
573.0	10.441
574.0	10.485
575.0	10.524
576.0	10.571
577.0	10.622
578.0	10.670
579.0	10.713
580.0	10.750
581.0	10.785
582.0	10.825
583.0	10.860
584.0	10.906
585.0	10.936
586.0	10.974
587.0	11.010
588.0	11.053
589.0	11.105
590.0	11.138
591.0	11.175
592.0	11.207
593.0	11.247
594.0	11.269
595.0	11.296
596.0	11.328
597.0	11.371
598.0	11.417
599.0	11.442
600.0	11.472
601.0	11.490
602.0	11.528
603.0	11.568
604.0	11.594
605.0	11.631
606.0	11.644
607.0	11.680
608.0	11.689
609.0	11.712
610.0	11.735
611.0	11.762
612.0	11.796
613.0	11.825
614.0	11.847
615.0	11.875
616.0	11.881
617.0	11.910
618.0	11.925
619.0	11.951
620.0	11.967
621.0	11.993
622.0	12.016
623.0	12.035
624.0	12.049
625.0	12.064
626.0	12.084
627.0	12.110
628.0	12.144
629.0	12.164
630.0	12.175
631.0	12.171
632.0	12.182
633.0	12.204
634.0	12.226
635.0	12.236
636.0	12.245
637.0	12.258
638.0	12.280
639.0	12.285
640.0	12.306
641.0	12.304
642.0	12.303
643.0	12.292
644.0	12.310
645.0	12.338
646.0	12.360
647.0	12.355
648.0	12.353
649.0	12.344
650.0	12.337
651.0	12.331
652.0	12.343
653.0	12.339
654.0	12.331
655.0	12.303
656.0	12.308
657.0	12.294
658.0	12.288
659.0	12.277
660.0	12.269
661.0	12.249
662.0	12.231
663.0	12.222
664.0	12.219
665.0	12.210
666.0	12.206
667.0	12.200
668.0	12.189
669.0	12.190
670.0	12.193
671.0	12.194
672.0	12.170
673.0	12.164
674.0	12.155
675.0	12.133
676.0	12.119
677.0	12.103
678.0	12.107
679.0	12.081
680.0	12.056
681.0	12.048
682.0	12.051
683.0	12.038
684.0	12.024
685.0	12.006
686.0	11.999
687.0	11.987
688.0	11.974
689.0	11.962
690.0	11.943
691.0	11.928
692.0	11.931
693.0	11.887
694.0	11.855
695.0	11.820
696.0	11.840
697.0	11.858
698.0	11.871
699.0	11.863
700.0	11.853
701.0	11.820
702.0	11.792
703.0	11.757
704.0	11.741
705.0	11.758
706.0	11.793
707.0	11.809
708.0	11.795
709.0	11.759
710.0	11.773
711.0	11.772
712.0	11.762
713.0	11.736
714.0	11.733
715.0	11.734
716.0	11.735
717.0	11.759
718.0	11.771
719.0	11.775
720.0	11.794
721.0	11.797
722.0	11.793
723.0	11.765
724.0	11.768
725.0	11.774
726.0	11.786
727.0	11.797
728.0	11.817
729.0	11.803
730.0	11.800
731.0	11.772
732.0	11.799
733.0	11.781
734.0	11.819
735.0	11.799
736.0	11.811
737.0	11.798
738.0	11.796
739.0	11.798
740.0	11.818
741.0	11.839
742.0	11.857
743.0	11.863
744.0	11.870
745.0	11.902
746.0	11.901
747.0	11.888
748.0	11.875
749.0	11.860
750.0	11.871
751.0	11.866
752.0	11.902
753.0	11.936
754.0	11.924
755.0	11.919
756.0	11.922
757.0	11.980
758.0	11.988
759.0	11.984
760.0	11.970
761.0	12.008
762.0	12.057
763.0	12.098
