[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	23/02/2023 17:58:36
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	285,00 to 1600,00
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	5,0 nm
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	282,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	800,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Fixed
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	Positions.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
285.0	80.018
286.0	80.153
287.0	80.393
288.0	80.447
289.0	80.520
290.0	80.463
291.0	80.489
292.0	80.578
293.0	80.606
294.0	80.507
295.0	80.551
296.0	80.658
297.0	80.896
298.0	81.049
299.0	81.103
300.0	81.213
301.0	81.039
302.0	81.000
303.0	80.687
304.0	80.768
305.0	80.985
306.0	81.298
307.0	81.249
308.0	81.087
309.0	80.921
310.0	80.876
311.0	81.108
312.0	81.257
313.0	81.529
314.0	81.331
315.0	81.364
316.0	81.297
317.0	81.330
318.0	81.210
319.0	81.263
320.0	81.328
321.0	81.378
322.0	81.393
323.0	81.404
324.0	81.422
325.0	81.292
326.0	81.275
327.0	81.271
328.0	81.473
329.0	81.701
330.0	81.813
331.0	81.779
332.0	81.504
333.0	81.461
334.0	81.485
335.0	81.576
336.0	81.607
337.0	81.553
338.0	81.589
339.0	81.561
340.0	81.548
341.0	81.631
342.0	81.740
343.0	81.827
344.0	81.810
345.0	81.808
346.0	81.890
347.0	81.941
348.0	82.043
349.0	82.085
350.0	82.105
351.0	81.957
352.0	81.900
353.0	81.899
354.0	82.053
355.0	82.099
356.0	82.164
357.0	82.137
358.0	82.171
359.0	82.179
360.0	82.214
361.0	82.125
362.0	82.101
363.0	82.041
364.0	82.144
365.0	82.137
366.0	82.195
367.0	82.208
368.0	82.173
369.0	82.111
370.0	82.061
371.0	82.006
372.0	82.007
373.0	81.932
374.0	81.969
375.0	82.021
376.0	82.045
377.0	82.105
378.0	82.037
379.0	81.943
380.0	81.899
381.0	81.683
382.0	81.686
383.0	81.621
384.0	81.701
385.0	81.722
386.0	81.623
387.0	81.619
388.0	81.541
389.0	81.557
390.0	81.513
391.0	81.496
392.0	81.564
393.0	81.561
394.0	81.499
395.0	81.328
396.0	81.227
397.0	81.157
398.0	81.138
399.0	81.028
400.0	81.003
401.0	80.924
402.0	80.913
403.0	80.792
404.0	80.709
405.0	80.617
406.0	80.583
407.0	80.481
408.0	80.362
409.0	80.253
410.0	80.178
411.0	80.157
412.0	80.091
413.0	79.969
414.0	79.872
415.0	79.774
416.0	79.716
417.0	79.594
418.0	79.472
419.0	79.367
420.0	79.278
421.0	79.231
422.0	79.185
423.0	79.086
424.0	78.976
425.0	78.810
426.0	78.724
427.0	78.644
428.0	78.539
429.0	78.401
430.0	78.290
431.0	78.225
432.0	78.117
433.0	77.975
434.0	77.771
435.0	77.612
436.0	77.423
437.0	77.326
438.0	77.216
439.0	77.149
440.0	77.018
441.0	76.902
442.0	76.767
443.0	76.620
444.0	76.463
445.0	76.292
446.0	76.163
447.0	76.008
448.0	75.863
449.0	75.738
450.0	75.588
451.0	75.445
452.0	75.275
453.0	75.121
454.0	74.887
455.0	74.690
456.0	74.531
457.0	74.421
458.0	74.269
459.0	74.098
460.0	73.914
461.0	73.753
462.0	73.589
463.0	73.412
464.0	73.249
465.0	73.066
466.0	72.906
467.0	72.724
468.0	72.584
469.0	72.405
470.0	72.260
471.0	72.072
472.0	71.929
473.0	71.735
474.0	71.566
475.0	71.357
476.0	71.190
477.0	71.003
478.0	70.807
479.0	70.568
480.0	70.341
481.0	70.137
482.0	69.967
483.0	69.807
484.0	69.645
485.0	69.477
486.0	69.247
487.0	69.039
488.0	68.797
489.0	68.619
490.0	68.419
491.0	68.274
492.0	68.118
493.0	67.971
494.0	67.737
495.0	67.500
496.0	67.267
497.0	67.056
498.0	66.877
499.0	66.662
500.0	66.521
501.0	66.309
502.0	66.144
503.0	65.869
504.0	65.678
505.0	65.455
506.0	65.273
507.0	65.024
508.0	64.838
509.0	64.671
510.0	64.527
511.0	64.323
512.0	64.125
513.0	63.892
514.0	63.685
515.0	63.466
516.0	63.312
517.0	63.130
518.0	62.944
519.0	62.737
520.0	62.530
521.0	62.324
522.0	62.162
523.0	62.005
524.0	61.843
525.0	61.625
526.0	61.400
527.0	61.207
528.0	61.032
529.0	60.886
530.0	60.655
531.0	60.460
532.0	60.234
533.0	60.101
534.0	59.922
535.0	59.739
536.0	59.599
537.0	59.444
538.0	59.320
539.0	59.123
540.0	58.950
541.0	58.764
542.0	58.597
543.0	58.437
544.0	58.316
545.0	58.147
546.0	58.023
547.0	57.832
548.0	57.712
549.0	57.534
550.0	57.382
551.0	57.218
552.0	57.096
553.0	56.973
554.0	56.817
555.0	56.666
556.0	56.517
557.0	56.439
558.0	56.300
559.0	56.198
560.0	56.027
561.0	55.911
562.0	55.771
563.0	55.660
564.0	55.513
565.0	55.397
566.0	55.311
567.0	55.221
568.0	55.108
569.0	54.997
570.0	54.898
571.0	54.832
572.0	54.728
573.0	54.654
574.0	54.523
575.0	54.405
576.0	54.296
577.0	54.235
578.0	54.161
579.0	54.088
580.0	53.979
581.0	53.884
582.0	53.810
583.0	53.750
584.0	53.698
585.0	53.605
586.0	53.542
587.0	53.482
588.0	53.430
589.0	53.371
590.0	53.329
591.0	53.292
592.0	53.239
593.0	53.193
594.0	53.138
595.0	53.108
596.0	53.079
597.0	53.061
598.0	53.035
599.0	52.990
600.0	52.939
601.0	52.917
602.0	52.887
603.0	52.883
604.0	52.871
605.0	52.855
606.0	52.829
607.0	52.820
608.0	52.800
609.0	52.785
610.0	52.763
611.0	52.785
612.0	52.789
613.0	52.785
614.0	52.781
615.0	52.804
616.0	52.811
617.0	52.806
618.0	52.813
619.0	52.819
620.0	52.859
621.0	52.848
622.0	52.881
623.0	52.854
624.0	52.852
625.0	52.860
626.0	52.921
627.0	52.979
628.0	53.034
629.0	53.042
630.0	53.065
631.0	53.059
632.0	53.099
633.0	53.169
634.0	53.235
635.0	53.265
636.0	53.301
637.0	53.321
638.0	53.355
639.0	53.385
640.0	53.454
641.0	53.549
642.0	53.629
643.0	53.652
644.0	53.707
645.0	53.748
646.0	53.839
647.0	53.880
648.0	53.954
649.0	54.024
650.0	54.093
651.0	54.153
652.0	54.219
653.0	54.347
654.0	54.445
655.0	54.597
656.0	54.686
657.0	54.791
658.0	54.846
659.0	54.931
660.0	55.028
661.0	55.120
662.0	55.203
663.0	55.291
664.0	55.381
665.0	55.449
666.0	55.523
667.0	55.584
668.0	55.656
669.0	55.744
670.0	55.867
671.0	55.984
672.0	56.104
673.0	56.219
674.0	56.363
675.0	56.434
676.0	56.513
677.0	56.584
678.0	56.683
679.0	56.750
680.0	56.832
681.0	56.956
682.0	57.045
683.0	57.160
684.0	57.176
685.0	57.225
686.0	57.275
687.0	57.385
688.0	57.498
689.0	57.601
690.0	57.662
691.0	57.731
692.0	57.779
693.0	57.802
694.0	57.867
695.0	57.876
696.0	57.956
697.0	57.971
698.0	58.047
699.0	58.140
700.0	58.201
701.0	58.271
702.0	58.278
703.0	58.343
704.0	58.306
705.0	58.382
706.0	58.409
707.0	58.493
708.0	58.499
709.0	58.549
710.0	58.591
711.0	58.659
712.0	58.676
713.0	58.663
714.0	58.669
715.0	58.642
716.0	58.680
717.0	58.631
718.0	58.668
719.0	58.711
720.0	58.716
721.0	58.744
722.0	58.762
723.0	58.815
724.0	58.797
725.0	58.722
726.0	58.753
727.0	58.792
728.0	58.871
729.0	58.901
730.0	58.885
731.0	58.829
732.0	58.754
733.0	58.762
734.0	58.790
735.0	58.840
736.0	58.945
737.0	58.966
738.0	58.924
739.0	58.841
740.0	58.850
741.0	58.920
742.0	58.861
743.0	58.801
744.0	58.800
745.0	58.884
746.0	58.868
747.0	58.838
748.0	58.751
749.0	58.805
750.0	58.730
751.0	58.711
752.0	58.715
753.0	58.725
754.0	58.787
755.0	58.716
756.0	58.781
757.0	58.781
758.0	58.845
759.0	58.848
760.0	58.845
761.0	58.849
762.0	58.791
763.0	58.793
