[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/01/2023 21:19:42
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	(32)
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	T robot_6x6 lesker_non-B-samples_SENO-101.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	28.350
302.0	29.971
304.0	32.406
306.0	34.873
308.0	37.369
310.0	39.839
312.0	42.322
314.0	44.766
316.0	47.181
318.0	49.590
320.0	52.026
322.0	54.452
324.0	56.765
326.0	58.980
328.0	61.270
330.0	63.468
332.0	65.667
334.0	67.633
336.0	69.530
338.0	71.322
340.0	72.971
342.0	74.551
344.0	75.951
346.0	77.238
348.0	78.463
350.0	79.472
352.0	80.529
354.0	81.398
356.0	82.337
358.0	83.079
360.0	83.788
362.0	84.449
364.0	85.082
366.0	85.584
368.0	86.017
370.0	86.372
372.0	86.769
374.0	87.087
376.0	87.418
378.0	87.637
380.0	87.880
382.0	88.103
384.0	88.293
386.0	88.442
388.0	88.573
390.0	88.677
392.0	88.772
394.0	88.837
396.0	88.896
398.0	88.937
400.0	88.931
402.0	89.026
404.0	89.041
406.0	89.102
408.0	89.101
410.0	89.102
412.0	89.096
414.0	89.063
416.0	89.052
418.0	89.018
420.0	89.010
422.0	89.000
424.0	89.033
426.0	88.972
428.0	88.951
430.0	88.868
432.0	88.825
434.0	88.789
436.0	88.731
438.0	88.699
440.0	88.640
442.0	88.619
444.0	88.617
446.0	88.593
448.0	88.548
450.0	88.497
452.0	88.452
454.0	88.439
456.0	88.427
458.0	88.380
460.0	88.362
462.0	88.324
464.0	88.333
466.0	88.292
468.0	88.248
470.0	88.184
472.0	88.124
474.0	88.075
476.0	88.054
478.0	88.008
480.0	88.022
482.0	87.994
484.0	87.990
486.0	87.924
488.0	87.919
490.0	87.900
492.0	87.912
494.0	87.912
496.0	87.896
498.0	87.899
500.0	87.862
502.0	87.881
504.0	87.860
506.0	87.845
508.0	87.805
510.0	87.765
512.0	87.756
514.0	87.745
516.0	87.755
518.0	87.756
520.0	87.735
522.0	87.741
524.0	87.726
526.0	87.749
528.0	87.738
530.0	87.735
532.0	87.709
534.0	87.716
536.0	87.717
538.0	87.744
540.0	87.712
542.0	87.697
544.0	87.688
546.0	87.679
548.0	87.696
550.0	87.698
552.0	87.697
554.0	87.716
556.0	87.717
558.0	87.773
560.0	87.768
562.0	87.793
564.0	87.774
566.0	87.768
568.0	87.766
570.0	87.779
572.0	87.762
574.0	87.755
576.0	87.752
578.0	87.789
580.0	87.792
582.0	87.798
584.0	87.830
586.0	87.852
588.0	87.885
590.0	87.871
592.0	87.886
594.0	87.866
596.0	87.879
598.0	87.923
600.0	87.955
602.0	87.950
604.0	87.940
606.0	87.937
608.0	87.961
610.0	87.975
612.0	87.999
614.0	87.997
616.0	87.988
618.0	88.035
620.0	88.107
622.0	88.144
624.0	88.155
626.0	88.156
628.0	88.175
630.0	88.153
632.0	88.126
634.0	88.127
636.0	88.171
638.0	88.183
640.0	88.212
642.0	88.233
644.0	88.256
646.0	88.215
648.0	88.229
650.0	88.268
652.0	88.326
654.0	88.312
656.0	88.335
658.0	88.346
660.0	88.349
662.0	88.353
664.0	88.385
666.0	88.395
668.0	88.423
670.0	88.397
672.0	88.450
674.0	88.500
676.0	88.534
678.0	88.561
680.0	88.535
682.0	88.574
684.0	88.657
686.0	88.722
688.0	88.720
690.0	88.674
692.0	88.678
694.0	88.723
696.0	88.777
698.0	88.806
700.0	88.814
702.0	88.766
704.0	88.757
706.0	88.797
708.0	88.845
710.0	88.840
712.0	88.802
714.0	88.811
716.0	88.853
718.0	88.904
720.0	88.926
722.0	88.986
724.0	89.019
726.0	89.104
728.0	89.051
730.0	89.058
732.0	89.011
734.0	89.057
736.0	88.982
738.0	89.007
740.0	89.035
742.0	89.130
744.0	89.166
746.0	89.202
748.0	89.297
750.0	89.261
752.0	89.251
754.0	89.145
756.0	89.232
758.0	89.214
760.0	89.253
762.0	89.245
764.0	89.318
766.0	89.346
768.0	89.349
770.0	89.389
772.0	89.463
774.0	89.532
776.0	89.494
778.0	89.462
780.0	89.432
782.0	89.450
784.0	89.454
786.0	89.441
788.0	89.450
790.0	89.448
792.0	89.368
794.0	89.318
796.0	89.346
798.0	89.410
800.0	89.424
802.0	89.509
804.0	89.590
806.0	89.630
808.0	89.529
810.0	89.590
812.0	89.722
814.0	89.909
816.0	89.886
818.0	89.809
820.0	89.735
822.0	89.743
824.0	89.777
826.0	89.741
828.0	89.696
830.0	89.629
832.0	89.671
834.0	89.656
836.0	89.649
838.0	89.649
840.0	89.647
842.0	89.658
844.0	89.663
846.0	89.658
848.0	89.667
850.0	89.669
852.0	89.680
854.0	89.690
856.0	89.701
858.0	89.718
860.0	89.732
862.0	89.762
864.0	89.785
866.0	89.795
868.0	89.834
870.0	89.854
872.0	89.868
874.0	89.849
876.0	89.836
878.0	89.856
880.0	89.893
882.0	89.901
884.0	89.900
886.0	89.914
888.0	89.914
890.0	89.898
892.0	89.942
894.0	89.980
896.0	89.988
898.0	89.970
900.0	89.987
902.0	90.013
904.0	89.997
906.0	90.011
908.0	90.043
910.0	90.055
912.0	90.061
914.0	90.066
916.0	90.069
918.0	90.070
920.0	90.079
922.0	90.087
924.0	90.091
926.0	90.094
928.0	90.103
930.0	90.110
932.0	90.112
934.0	90.117
936.0	90.122
938.0	90.120
940.0	90.124
942.0	90.131
944.0	90.136
946.0	90.133
948.0	90.132
950.0	90.138
952.0	90.139
954.0	90.146
956.0	90.150
958.0	90.148
960.0	90.147
962.0	90.150
964.0	90.153
966.0	90.156
968.0	90.157
970.0	90.155
972.0	90.158
974.0	90.166
976.0	90.171
978.0	90.174
980.0	90.175
982.0	90.179
984.0	90.179
986.0	90.184
988.0	90.193
990.0	90.191
992.0	90.188
994.0	90.189
996.0	90.188
998.0	90.191
1000.0	90.191
1002.0	90.192
1004.0	90.187
1006.0	90.184
1008.0	90.187
1010.0	90.191
1012.0	90.194
1014.0	90.196
1016.0	90.193
1018.0	90.193
1020.0	90.196
1022.0	90.203
1024.0	90.204
1026.0	90.199
1028.0	90.196
1030.0	90.191
1032.0	90.190
1034.0	90.191
1036.0	90.192
1038.0	90.188
1040.0	90.181
1042.0	90.177
1044.0	90.178
1046.0	90.171
1048.0	90.172
1050.0	90.168
1052.0	90.165
1054.0	90.163
1056.0	90.159
1058.0	90.155
1060.0	90.154
1062.0	90.153
1064.0	90.154
1066.0	90.149
1068.0	90.147
1070.0	90.143
1072.0	90.139
1074.0	90.139
1076.0	90.139
1078.0	90.135
1080.0	90.127
1082.0	90.125
1084.0	90.122
1086.0	90.120
1088.0	90.115
1090.0	90.112
1092.0	90.108
1094.0	90.100
1096.0	90.095
1098.0	90.092
1100.0	90.088
1102.0	90.084
1104.0	90.077
1106.0	90.071
1108.0	90.065
1110.0	90.059
1112.0	90.050
1114.0	90.044
1116.0	90.038
1118.0	90.030
1120.0	90.019
1122.0	90.014
1124.0	90.009
1126.0	90.006
1128.0	89.998
1130.0	89.999
1132.0	89.993
1134.0	89.987
1136.0	89.981
1138.0	89.981
1140.0	89.974
1142.0	89.968
1144.0	89.959
1146.0	89.957
1148.0	89.951
1150.0	89.950
1152.0	89.946
1154.0	89.941
1156.0	89.931
1158.0	89.926
1160.0	89.920
1162.0	89.914
1164.0	89.908
1166.0	89.898
1168.0	89.886
1170.0	89.877
1172.0	89.870
1174.0	89.864
1176.0	89.856
1178.0	89.850
1180.0	89.843
1182.0	89.832
1184.0	89.825
1186.0	89.819
1188.0	89.814
1190.0	89.805
1192.0	89.800
1194.0	89.794
1196.0	89.788
1198.0	89.781
1200.0	89.776
1202.0	89.769
1204.0	89.765
1206.0	89.753
1208.0	89.745
1210.0	89.739
1212.0	89.726
1214.0	89.716
1216.0	89.706
1218.0	89.694
1220.0	89.685
1222.0	89.674
1224.0	89.666
