[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	16/01/2023 21:12:38
Comments:	

Instrument Information
Instrument Name:	SolidSpec3700
Instrument Type:	SolidSpec-3700 Series
Model (S/N):	SolidSpec3700 ( A11085100264CZ )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	300,00 to 1400,00
Scan Speed:	Medium
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Auto

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	SolidSpec-3700 Series
Measuring Mode:	Transmittance
Slit Width:	(32)
Time Constant:	1,0 sec.
Source Lamp:	Auto
Light Source Change Wavelength:	295,00 nm
Detector Unit:	Integral Sphere
Detector Change Wavelength:	900,00 nm  1650,00 nm
Grating Change Wavelength:	830,00 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal
Beam Mode:	Double
Stair Correction:	Disable

[Attachment Properties]
Attachment:	X-Y Stage
Sequence File:	T robot_6x6 lesker_non-B-samples_SENO-101.xys

[Operation]
Threshold:	0,0010000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
300.0	78.748
302.0	79.750
304.0	81.077
306.0	82.079
308.0	82.946
310.0	83.490
312.0	83.996
314.0	84.365
316.0	84.739
318.0	85.071
320.0	85.329
322.0	85.619
324.0	85.873
326.0	85.988
328.0	86.080
330.0	86.120
332.0	86.239
334.0	86.321
336.0	86.423
338.0	86.453
340.0	86.442
342.0	86.397
344.0	86.362
346.0	86.376
348.0	86.368
350.0	86.338
352.0	86.387
354.0	86.382
356.0	86.462
358.0	86.467
360.0	86.467
362.0	86.548
364.0	86.564
366.0	86.666
368.0	86.605
370.0	86.578
372.0	86.623
374.0	86.621
376.0	86.724
378.0	86.637
380.0	86.609
382.0	86.589
384.0	86.580
386.0	86.624
388.0	86.597
390.0	86.593
392.0	86.581
394.0	86.465
396.0	86.387
398.0	86.282
400.0	86.224
402.0	86.180
404.0	86.061
406.0	86.014
408.0	85.930
410.0	85.857
412.0	85.734
414.0	85.570
416.0	85.410
418.0	85.257
420.0	85.120
422.0	84.967
424.0	84.784
426.0	84.573
428.0	84.383
430.0	84.185
432.0	83.991
434.0	83.788
436.0	83.599
438.0	83.423
440.0	83.275
442.0	83.108
444.0	82.941
446.0	82.801
448.0	82.649
450.0	82.537
452.0	82.382
454.0	82.298
456.0	82.203
458.0	82.145
460.0	82.062
462.0	82.025
464.0	81.973
466.0	81.940
468.0	81.925
470.0	81.923
472.0	81.935
474.0	81.919
476.0	81.942
478.0	81.953
480.0	82.061
482.0	82.143
484.0	82.239
486.0	82.272
488.0	82.357
490.0	82.481
492.0	82.590
494.0	82.714
496.0	82.820
498.0	82.968
500.0	83.087
502.0	83.247
504.0	83.377
506.0	83.523
508.0	83.674
510.0	83.827
512.0	84.016
514.0	84.167
516.0	84.344
518.0	84.526
520.0	84.697
522.0	84.911
524.0	85.085
526.0	85.283
528.0	85.459
530.0	85.637
532.0	85.823
534.0	85.994
536.0	86.171
538.0	86.327
540.0	86.472
542.0	86.574
544.0	86.672
546.0	86.797
548.0	86.913
550.0	87.066
552.0	87.161
554.0	87.293
556.0	87.364
558.0	87.448
560.0	87.527
562.0	87.604
564.0	87.664
566.0	87.666
568.0	87.680
570.0	87.693
572.0	87.755
574.0	87.779
576.0	87.784
578.0	87.782
580.0	87.820
582.0	87.844
584.0	87.875
586.0	87.884
588.0	87.914
590.0	87.876
592.0	87.847
594.0	87.810
596.0	87.790
598.0	87.785
600.0	87.784
602.0	87.808
604.0	87.823
606.0	87.831
608.0	87.819
610.0	87.777
612.0	87.755
614.0	87.755
616.0	87.745
618.0	87.728
620.0	87.708
622.0	87.713
624.0	87.694
626.0	87.684
628.0	87.662
630.0	87.605
632.0	87.511
634.0	87.463
636.0	87.457
638.0	87.462
640.0	87.428
642.0	87.401
644.0	87.394
646.0	87.323
648.0	87.310
650.0	87.254
652.0	87.265
654.0	87.183
656.0	87.172
658.0	87.139
660.0	87.132
662.0	87.088
664.0	87.054
666.0	86.974
668.0	86.947
670.0	86.873
672.0	86.891
674.0	86.855
676.0	86.856
678.0	86.827
680.0	86.761
682.0	86.722
684.0	86.765
686.0	86.767
688.0	86.733
690.0	86.614
692.0	86.538
694.0	86.472
696.0	86.473
698.0	86.457
700.0	86.455
702.0	86.391
704.0	86.366
706.0	86.385
708.0	86.338
710.0	86.253
712.0	86.135
714.0	86.053
716.0	86.075
718.0	86.050
720.0	86.064
722.0	86.058
724.0	86.002
726.0	85.967
728.0	85.865
730.0	85.861
732.0	85.806
734.0	85.734
736.0	85.584
738.0	85.538
740.0	85.565
742.0	85.627
744.0	85.630
746.0	85.616
748.0	85.597
750.0	85.454
752.0	85.382
754.0	85.237
756.0	85.284
758.0	85.157
760.0	85.133
762.0	85.100
764.0	85.119
766.0	85.150
768.0	85.018
770.0	85.037
772.0	84.976
774.0	85.001
776.0	84.925
778.0	84.932
780.0	84.866
782.0	84.773
784.0	84.720
786.0	84.695
788.0	84.712
790.0	84.650
792.0	84.583
794.0	84.440
796.0	84.403
798.0	84.406
800.0	84.437
802.0	84.357
804.0	84.346
806.0	84.310
808.0	84.280
810.0	84.236
812.0	84.183
814.0	84.258
816.0	84.188
818.0	84.195
820.0	84.207
822.0	84.300
824.0	84.338
826.0	84.206
828.0	84.126
830.0	84.087
832.0	84.145
834.0	84.106
836.0	84.087
838.0	84.086
840.0	84.068
842.0	84.051
844.0	84.026
846.0	83.996
848.0	83.971
850.0	83.950
852.0	83.945
854.0	83.922
856.0	83.901
858.0	83.871
860.0	83.849
862.0	83.838
864.0	83.813
866.0	83.783
868.0	83.780
870.0	83.750
872.0	83.728
874.0	83.681
876.0	83.666
878.0	83.673
880.0	83.661
882.0	83.636
884.0	83.609
886.0	83.608
888.0	83.639
890.0	83.604
892.0	83.598
894.0	83.588
896.0	83.552
898.0	83.532
900.0	83.532
902.0	83.534
904.0	83.494
906.0	83.435
908.0	83.446
910.0	83.456
912.0	83.450
914.0	83.440
916.0	83.434
918.0	83.428
920.0	83.427
922.0	83.418
924.0	83.412
926.0	83.408
928.0	83.401
930.0	83.401
932.0	83.394
934.0	83.392
936.0	83.387
938.0	83.378
940.0	83.376
942.0	83.367
944.0	83.359
946.0	83.352
948.0	83.340
950.0	83.339
952.0	83.333
954.0	83.332
956.0	83.327
958.0	83.319
960.0	83.321
962.0	83.318
964.0	83.312
966.0	83.307
968.0	83.304
970.0	83.293
972.0	83.291
974.0	83.290
976.0	83.287
978.0	83.279
980.0	83.275
982.0	83.272
984.0	83.270
986.0	83.266
988.0	83.267
990.0	83.258
992.0	83.251
994.0	83.244
996.0	83.241
998.0	83.236
1000.0	83.232
1002.0	83.225
1004.0	83.213
1006.0	83.205
1008.0	83.203
1010.0	83.199
1012.0	83.198
1014.0	83.191
1016.0	83.187
1018.0	83.182
1020.0	83.178
1022.0	83.175
1024.0	83.173
1026.0	83.163
1028.0	83.154
1030.0	83.146
1032.0	83.143
1034.0	83.135
1036.0	83.125
1038.0	83.117
1040.0	83.110
1042.0	83.103
1044.0	83.096
1046.0	83.089
1048.0	83.082
1050.0	83.067
1052.0	83.056
1054.0	83.055
1056.0	83.048
1058.0	83.036
1060.0	83.026
1062.0	83.019
1064.0	83.012
1066.0	83.004
1068.0	82.999
1070.0	82.995
1072.0	82.980
1074.0	82.971
1076.0	82.967
1078.0	82.963
1080.0	82.951
1082.0	82.942
1084.0	82.932
1086.0	82.922
1088.0	82.912
1090.0	82.908
1092.0	82.900
1094.0	82.887
1096.0	82.874
1098.0	82.866
1100.0	82.860
1102.0	82.851
1104.0	82.841
1106.0	82.829
1108.0	82.815
1110.0	82.805
1112.0	82.797
1114.0	82.786
1116.0	82.774
1118.0	82.759
1120.0	82.746
1122.0	82.738
1124.0	82.729
1126.0	82.720
1128.0	82.708
1130.0	82.697
1132.0	82.684
1134.0	82.671
1136.0	82.660
1138.0	82.654
1140.0	82.639
1142.0	82.625
1144.0	82.613
1146.0	82.600
1148.0	82.587
1150.0	82.579
1152.0	82.570
1154.0	82.554
1156.0	82.536
1158.0	82.524
1160.0	82.511
1162.0	82.494
1164.0	82.481
1166.0	82.464
1168.0	82.445
1170.0	82.429
1172.0	82.418
1174.0	82.405
1176.0	82.388
1178.0	82.373
1180.0	82.361
1182.0	82.341
1184.0	82.326
1186.0	82.311
1188.0	82.294
1190.0	82.269
1192.0	82.252
1194.0	82.237
1196.0	82.216
1198.0	82.194
1200.0	82.179
1202.0	82.160
1204.0	82.139
1206.0	82.118
1208.0	82.103
1210.0	82.085
1212.0	82.055
1214.0	82.033
1216.0	82.014
1218.0	81.988
1220.0	81.968
1222.0	81.952
1224.0	81.931
