Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

5.27816987e+01	2022-11-15T10:39:31.175867	8.47127700e-05	2.58160500e-04	3.28139936e-01	-1.99907400e-01	-2.54269500e-04	7.86202828e+02	-8.99923200e-01	-6.58138700e-08	1.36737621e+07
5.33129365e+01	2022-11-15T10:39:31.706901	6.79747800e-05	2.54106400e-04	2.67505187e-01	-1.99889300e-01	-2.53922900e-04	7.87204699e+02	-8.49893200e-01	-1.84536300e-08	4.60556107e+07
5.42033167e+01	2022-11-15T10:39:32.596957	9.30792300e-05	2.52890800e-04	3.68060958e-01	-1.99939500e-01	-2.52212200e-04	7.92743174e+02	-7.99929400e-01	7.52256400e-09	-1.06337334e+08
5.50627425e+01	2022-11-15T10:39:33.457011	1.18181000e-04	2.49377000e-04	4.73904971e-01	-1.99892300e-01	-2.49243200e-04	8.01997005e+02	-7.49931800e-01	1.81274100e-08	-4.13700468e+07
5.59220044e+01	2022-11-15T10:39:34.316064	5.96083700e-05	2.47046600e-04	2.41283912e-01	-1.99924100e-01	-2.47240600e-04	8.08621642e+02	-6.99910900e-01	2.33716200e-08	-2.99470426e+07
5.67814916e+01	2022-11-15T10:39:35.175119	1.09814700e-04	2.46524300e-04	4.45451828e-01	-1.99896000e-01	-2.47498800e-04	8.07664522e+02	-6.49922500e-01	3.00376400e-08	-2.16369362e+07
5.76410330e+01	2022-11-15T10:39:36.035173	8.47104100e-05	2.42591400e-04	3.49189666e-01	-1.99938200e-01	-2.44307900e-04	8.18386143e+02	-5.99918300e-01	4.51754600e-08	-1.32797386e+07
5.83233503e+01	2022-11-15T10:39:36.717216	6.79747800e-05	2.41389100e-04	2.81598382e-01	-1.99942500e-01	-2.40795500e-04	8.30341514e+02	-5.49875900e-01	6.27046900e-08	-8.76929461e+06
5.89860357e+01	2022-11-15T10:39:37.380257	8.47096200e-05	2.39769700e-04	3.53295767e-01	-1.99910100e-01	-2.39711500e-04	8.33961241e+02	-4.99936700e-01	6.67153100e-08	-7.49358281e+06
5.96563913e+01	2022-11-15T10:39:38.050299	5.12384800e-05	2.35013900e-04	2.18023189e-01	-1.99919800e-01	-2.35160300e-04	8.50142647e+02	-4.49915900e-01	6.70322100e-08	-6.71193595e+06
6.03282917e+01	2022-11-15T10:39:38.722341	5.12424200e-05	2.30386500e-04	2.22419369e-01	-1.99931200e-01	-2.30573300e-04	8.67104734e+02	-3.99871500e-01	5.85243900e-08	-6.83256160e+06
6.10013817e+01	2022-11-15T10:39:39.395384	1.34918900e-04	2.24241100e-04	6.01668918e-01	-1.99915800e-01	-2.23929300e-04	8.92763028e+02	-3.49914600e-01	5.61777200e-08	-6.22870775e+06
6.16722790e+01	2022-11-15T10:39:40.066425	9.30809300e-05	2.17261500e-04	4.28428092e-01	-1.99906100e-01	-2.17115100e-04	9.20737894e+02	-2.99877100e-01	6.15920400e-08	-4.86876389e+06
6.23444269e+01	2022-11-15T10:39:40.738468	6.79747800e-05	2.08568600e-04	3.25910899e-01	-1.99917100e-01	-2.07431500e-04	9.63774065e+02	-2.49941700e-01	5.09153800e-08	-4.90896267e+06
6.30159652e+01	2022-11-15T10:39:41.409578	5.96096200e-05	1.96953500e-04	3.02658343e-01	-1.99914400e-01	-1.97226600e-04	1.01362798e+03	-1.99885700e-01	6.06393100e-08	-3.29630565e+06
6.36879055e+01	2022-11-15T10:39:42.081620	9.30792300e-05	1.85630600e-04	5.01421802e-01	-1.99957600e-01	-1.84576900e-04	1.08332950e+03	-1.49928100e-01	6.66393900e-08	-2.24984202e+06
6.43754206e+01	2022-11-15T10:39:42.769663	8.47080500e-05	1.70116800e-04	4.97940533e-01	-1.99939500e-01	-1.68837200e-04	1.18421473e+03	-9.99224000e-02	9.81087400e-08	-1.01848622e+06
6.50471275e+01	2022-11-15T10:39:43.440705	1.09812800e-04	1.55034400e-04	7.08312478e-01	-1.99925500e-01	-1.54499300e-04	1.29402204e+03	-4.99682000e-02	1.36077400e-07	-3.67204253e+05
6.57188935e+01	2022-11-15T10:39:44.112749	6.79747800e-05	1.37060200e-04	4.95948350e-01	-1.99901700e-01	-1.37155700e-04	1.45748008e+03	7.86860700e-05	4.07302700e-07	1.93188187e+02
