Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

5.74811973e+01	2022-11-15T10:45:24.944649	7.63454700e-05	4.72685000e-06	1.61514476e+01	2.00029600e-01	2.46860000e-07	8.10295714e+05	9.00217300e-05	-4.67636300e-06	-1.92503726e+01
5.81503828e+01	2022-11-15T10:45:25.614690	5.96102300e-05	-1.52914100e-05	-3.89828211e+00	2.00106200e-01	9.06297400e-08	2.20795293e+06	5.00973000e-02	1.48923600e-05	3.36395978e+03
5.86815339e+01	2022-11-15T10:45:26.145724	5.96090000e-05	-1.50447700e-05	-3.96210776e+00	2.00082400e-01	1.62872000e-07	1.22846407e+06	5.00979800e-02	1.48875300e-05	3.36509683e+03
5.88216842e+01	2022-11-15T10:45:26.285733	7.63454700e-05	4.46033700e-06	1.71165251e+01	2.00047600e-01	2.58245600e-07	7.74640884e+05	8.16542300e-05	-4.61956400e-06	-1.76757439e+01
5.93688100e+01	2022-11-15T10:45:26.832767	7.63447300e-05	1.73896800e-05	4.39023202e+00	2.00041900e-01	3.23057800e-07	6.19213961e+05	-4.99337500e-02	-1.76763100e-05	2.82489671e+03
5.99177097e+01	2022-11-15T10:45:27.381802	1.01445600e-04	2.54677900e-05	3.98329027e+00	1.99980700e-01	3.22368300e-07	6.20348527e+05	-9.99658900e-02	-2.57885600e-05	3.87636572e+03
6.04627442e+01	2022-11-15T10:45:27.926837	7.63440100e-05	3.02283100e-05	2.52557983e+00	2.00034900e-01	3.34355900e-07	5.98269389e+05	-1.49957200e-01	-3.04095400e-05	4.93125513e+03
6.10106885e+01	2022-11-15T10:45:28.474870	7.63447300e-05	3.26434400e-05	2.33874647e+00	2.00040600e-01	3.61521200e-07	5.53330206e+05	-1.99945200e-01	-3.25491000e-05	6.14287953e+03
6.15565879e+01	2022-11-15T10:45:29.020905	8.47104100e-05	3.33110600e-05	2.54301154e+00	2.00027900e-01	3.86111800e-07	5.18056946e+05	-2.49947900e-01	-3.35389500e-05	7.45246646e+03
6.21042008e+01	2022-11-15T10:45:29.567939	5.96071300e-05	3.35064500e-05	1.77897479e+00	2.00049000e-01	4.15837100e-07	4.81075402e+05	-2.99974200e-01	-3.39031400e-05	8.84797691e+03
6.26501374e+01	2022-11-15T10:45:30.113973	6.79754600e-05	3.39566500e-05	2.00183057e+00	2.00060000e-01	4.53914600e-07	4.40743699e+05	-3.49946800e-01	-3.40820900e-05	1.02677623e+04
6.31972454e+01	2022-11-15T10:45:30.661007	7.63454700e-05	3.41282100e-05	2.23701946e+00	2.00147700e-01	4.73026500e-07	4.23121538e+05	-3.99967200e-01	-3.42489900e-05	1.16782188e+04
6.37469114e+01	2022-11-15T10:45:31.211042	7.63447300e-05	3.40523500e-05	2.24198124e+00	2.00074100e-01	4.96363800e-07	4.03079556e+05	-4.49936200e-01	-3.41415300e-05	1.31785600e+04
6.42928846e+01	2022-11-15T10:45:31.757077	1.09811800e-04	3.37503900e-05	3.25364537e+00	2.00026900e-01	4.79557600e-07	4.17107142e+05	-4.99968500e-01	-3.38238600e-05	1.47815329e+04
6.49623953e+01	2022-11-15T10:45:32.426118	9.30783900e-05	3.35526800e-05	2.77409703e+00	2.00085100e-01	4.94073300e-07	4.04970477e+05	-5.50088300e-01	-3.37208000e-05	1.63130264e+04
6.54818015e+01	2022-11-15T10:45:32.946152	1.18179000e-04	3.33578000e-05	3.54276961e+00	2.00057300e-01	4.86559100e-07	4.11167523e+05	-5.99939800e-01	-3.34975200e-05	1.79099766e+04
6.59764197e+01	2022-11-15T10:45:33.440182	8.47119800e-05	3.29975900e-05	2.56721718e+00	2.00065700e-01	5.07795300e-07	3.93988877e+05	-5.99939200e-01	-3.33960000e-05	1.79644029e+04
6.61050214e+01	2022-11-15T10:45:33.569190	5.12418500e-05	3.27803300e-05	1.56318896e+00	2.00064400e-01	4.52408100e-07	4.42221083e+05	-5.49979600e-01	-3.32099200e-05	1.65607023e+04
6.66192696e+01	2022-11-15T10:45:34.083223	1.01445600e-04	3.23993000e-05	3.13110468e+00	2.00050300e-01	4.28819500e-07	4.66513999e+05	-4.99971900e-01	-3.27810000e-05	1.52518807e+04
6.73072468e+01	2022-11-15T10:45:34.771265	6.79747800e-05	3.19262100e-05	2.12912150e+00	2.00110200e-01	4.22332600e-07	4.73821344e+05	-4.49919500e-01	-3.27004700e-05	1.37588084e+04
