Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.75134226e+01	2022-11-15T10:55:42.728542	8.47096200e-05	3.79599400e-05	2.23155305e+00	-1.99908100e-01	4.30878700e-08	-4.63954473e+06	6.49236300e-05	-3.66238500e-05	-1.77271450e+00
1.83880830e+01	2022-11-15T10:55:43.602630	4.28732000e-05	-1.02364900e-04	-4.18827157e-01	-2.00023600e-01	-3.46915400e-08	5.76577460e+06	5.00293800e-02	1.03550900e-04	4.83138051e+02
1.90580737e+01	2022-11-15T10:55:44.272673	8.47119800e-05	-1.03470400e-04	-8.18707379e-01	-1.99933200e-01	5.11031900e-09	-3.91234285e+07	5.00892800e-02	1.03578200e-04	4.83589018e+02
1.92008195e+01	2022-11-15T10:55:44.415682	3.45066800e-05	3.69308900e-05	9.34358203e-01	-1.99950000e-01	1.47626700e-08	-1.35442979e+07	6.49260200e-05	-3.66617200e-05	-1.77094855e+00
1.98880697e+01	2022-11-15T10:55:45.102725	8.47104100e-05	1.73196900e-04	4.89098881e-01	-1.99843900e-01	4.82388200e-08	-4.14280242e+06	-4.99585100e-02	-1.72895200e-04	2.88952556e+02
2.05758111e+01	2022-11-15T10:55:45.790768	7.63418000e-05	3.05287500e-04	2.50065266e-01	-1.99997500e-01	-1.71767500e-09	1.16435007e+08	-9.99170500e-02	-3.04521700e-04	3.28111429e+02
2.11227498e+01	2022-11-15T10:55:46.337803	8.47088300e-05	4.32605400e-04	1.95810847e-01	-1.99958300e-01	3.19795000e-08	-6.25270251e+06	-1.49933100e-01	-4.30085300e-04	3.48612473e+02
2.15300247e+01	2022-11-15T10:55:46.744828	8.47119800e-05	5.54068800e-04	1.52890724e-01	-1.99899800e-01	4.40779500e-08	-4.53514285e+06	-1.99878000e-01	-5.51804300e-04	3.62226246e+02
2.20755493e+01	2022-11-15T10:55:47.290862	6.79761400e-05	6.72377800e-04	1.01098133e-01	-1.99892800e-01	6.42272600e-08	-3.11227351e+06	-2.49939500e-01	-6.65329900e-04	3.75662510e+02
2.28726681e+01	2022-11-15T10:55:48.087913	7.63425300e-05	7.82725500e-04	9.75342313e-02	-1.99901100e-01	6.92317700e-08	-2.88741859e+06	-2.99963700e-01	-7.76159400e-04	3.86471774e+02
2.34851998e+01	2022-11-15T10:55:48.699951	6.79747800e-05	8.86422900e-04	7.66843681e-02	-1.99944300e-01	1.77049900e-07	-1.12931044e+06	-3.49925300e-01	-8.92038800e-04	3.92275874e+02
2.38881694e+01	2022-11-15T10:55:49.102976	7.63432700e-05	1.00284200e-03	7.61269173e-02	-1.99931600e-01	1.47398000e-07	-1.35640646e+06	-3.99916700e-01	-1.00363000e-03	3.98470253e+02
2.42942363e+01	2022-11-15T10:55:49.509001	8.47127700e-05	1.09851700e-03	7.71155749e-02	-1.99997500e-01	1.31145800e-07	-1.52500118e+06	-4.49950600e-01	-1.09523600e-03	4.10825247e+02
2.47010083e+01	2022-11-15T10:55:49.916027	6.79754600e-05	1.17558800e-03	5.78225195e-02	-1.99902500e-01	1.05126900e-07	-1.90153519e+06	-4.99963500e-01	-1.17124400e-03	4.26865367e+02
2.51067089e+01	2022-11-15T10:55:50.322052	9.30767000e-05	1.24155700e-03	7.49677220e-02	-1.99920500e-01	1.12362900e-07	-1.77923941e+06	-5.49970200e-01	-1.23379100e-03	4.45756372e+02
2.55129024e+01	2022-11-15T10:55:50.728078	7.63447300e-05	1.28493000e-03	5.94154779e-02	-1.99901100e-01	1.28155700e-07	-1.55982996e+06	-5.99922800e-01	-1.27710700e-03	4.69751399e+02
2.59019159e+01	2022-11-15T10:55:51.117102	6.79747800e-05	1.27984000e-03	5.31119359e-02	-1.99931600e-01	1.45087900e-07	-1.37800327e+06	-5.99952500e-01	-1.28069800e-03	4.68457435e+02
2.60602938e+01	2022-11-15T10:55:51.275112	9.30800700e-05	1.22559100e-03	7.59470900e-02	-1.99803400e-01	7.11493800e-08	-2.80822405e+06	-5.49981400e-01	-1.23266400e-03	4.46173004e+02
2.64664169e+01	2022-11-15T10:55:51.681138	1.01446500e-04	1.17043300e-03	8.66743333e-02	-1.99867600e-01	4.37487000e-08	-4.56853804e+06	-4.99973500e-01	-1.17643200e-03	4.24991415e+02
