Time elapsed	Time stamp	drain_trans Voltage	drain_trans Current	drain_trans Resistance	Loop1 Index	gate_trans Voltage	gate_trans Current	gate_trans Resistance
s		V	A	V/A		V	A	V/A

1.14797240e+02	2023-05-22T18:32:56.467020	-1.00000000e-01	-1.59670000e-10	6.26291727e+08	1	5.00000000e-01	2.66300000e-09	1.87758167e+08
1.15455305e+02	2023-05-22T18:32:57.125571	-1.00000000e-01	-7.62900000e-11	1.31078778e+09	1	4.50000000e-01	1.24080000e-09	3.62669246e+08
1.16420193e+02	2023-05-22T18:32:58.089910	-1.00000000e-01	-8.03400000e-11	1.24470998e+09	1	4.00000000e-01	6.58460000e-10	6.07478055e+08
1.17384972e+02	2023-05-22T18:32:59.054343	-1.00000000e-01	-6.99600000e-11	1.42938822e+09	1	3.50000000e-01	3.23960000e-10	1.08038029e+09
1.18351884e+02	2023-05-22T18:33:00.021803	-1.00000000e-01	1.21100000e-10	-8.25763832e+08	1	3.00000000e-01	1.72820000e-10	1.73591020e+09
1.19321350e+02	2023-05-22T18:33:00.990967	-1.00000000e-01	1.36320000e-09	-7.33568075e+07	1	2.50000000e-01	-5.34780000e-10	-4.67481955e+08
1.19980353e+02	2023-05-22T18:33:01.649917	-1.00000000e-01	1.00520000e-09	-9.94826900e+07	1	2.00000000e-01	-1.33370000e-09	-1.49958761e+08
1.20570144e+02	2023-05-22T18:33:02.239529	-1.00000000e-01	9.40200000e-10	-1.06360349e+08	1	1.50000000e-01	-1.43920000e-09	-1.04224569e+08
1.20840112e+02	2023-05-22T18:33:02.509817	-1.00000000e-01	5.06380000e-10	-1.97480153e+08	1	1.00000000e-01	-9.31300000e-10	-1.07376785e+08
1.21550755e+02	2023-05-22T18:33:03.220618	-1.00000000e-01	1.21030000e-09	-8.26241428e+07	1	5.00000000e-02	-2.23490000e-09	-2.23723657e+07
1.22081169e+02	2023-05-22T18:33:03.750925	-1.00000000e-01	5.81060000e-10	-1.72099267e+08	1	0.00000000e+00	-1.57770000e-09	-0.00000000e+00
1.22771288e+02	2023-05-22T18:33:04.441566	-1.00000000e-01	1.47320000e-09	-6.78794461e+07	1	-5.00000000e-02	-1.36190000e-09	3.67134151e+07
1.23324124e+02	2023-05-22T18:33:04.994312	-1.00000000e-01	1.36330000e-09	-7.33514267e+07	1	-1.00000000e-01	-2.98410000e-09	3.35109413e+07
1.23607184e+02	2023-05-22T18:33:05.276601	-1.00000000e-01	1.20170000e-09	-8.32154448e+07	1	-1.50000000e-01	-3.53260000e-09	4.24616430e+07
1.23871104e+02	2023-05-22T18:33:05.540520	-1.00000000e-01	1.97780000e-09	-5.05612296e+07	1	-2.00000000e-01	-4.15190000e-09	4.81707170e+07
1.24145174e+02	2023-05-22T18:33:05.815262	-1.00000000e-01	2.39790000e-09	-4.17031569e+07	1	-2.50000000e-01	-4.29380000e-09	5.82234850e+07
1.24438895e+02	2023-05-22T18:33:06.109011	-1.00000000e-01	1.87840000e-09	-5.32367973e+07	1	-3.00000000e-01	-4.73190000e-09	6.33994801e+07
