Time elapsed	Time stamp	drain_trans Voltage	drain_trans Current	drain_trans Resistance	Loop1 Index	gate_trans Voltage	gate_trans Current	gate_trans Resistance
s		V	A	V/A		V	A	V/A

4.08971562e-01	2023-05-23T14:15:43.038668	-3.00000000e-01	-3.18920000e-09	9.40674777e+07	1	1.00000000e+00	1.00017000e-02	9.99830029e+01
7.26441660e-01	2023-05-23T14:15:43.358978	-3.00000000e-01	-1.64420000e-09	1.82459555e+08	1	9.75000000e-01	1.00019000e-02	9.74814785e+01
8.28993371e-01	2023-05-23T14:15:43.462242	-3.00000000e-01	-2.76960000e-09	1.08318891e+08	1	9.50000000e-01	1.00020000e-02	9.49810038e+01
9.34886618e-01	2023-05-23T14:15:43.567528	-3.00000000e-01	-1.26920000e-09	2.36369367e+08	1	9.25000000e-01	1.00018000e-02	9.24833530e+01
2.08032240e+00	2023-05-23T14:15:44.707522	-3.00000000e-01	-2.45730000e-09	1.22085215e+08	1	9.00000000e-01	1.00017000e-02	8.99847026e+01
2.16496027e+00	2023-05-23T14:15:44.797522	-3.00000000e-01	-9.16800000e-10	3.27225131e+08	1	8.75000000e-01	1.00018000e-02	8.74842528e+01
2.25468451e+00	2023-05-23T14:15:44.887557	-3.00000000e-01	3.76610000e-09	-7.96580016e+07	1	8.50000000e-01	1.00017000e-02	8.49855525e+01
2.33928218e+00	2023-05-23T14:15:44.972150	-3.00000000e-01	-1.27690000e-09	2.34944005e+08	1	8.25000000e-01	1.00017000e-02	8.24859774e+01
2.42666591e+00	2023-05-23T14:15:45.059347	-3.00000000e-01	-1.70140000e-09	1.76325379e+08	1	8.00000000e-01	1.00017000e-02	7.99864023e+01
2.54273063e+00	2023-05-23T14:15:45.175780	-3.00000000e-01	1.79830000e-09	-1.66824223e+08	1	7.75000000e-01	1.00017000e-02	7.74868272e+01
2.65943741e+00	2023-05-23T14:15:45.292038	-3.00000000e-01	1.64040000e-09	-1.82882224e+08	1	7.50000000e-01	1.00017000e-02	7.49872522e+01
2.75077805e+00	2023-05-23T14:15:45.384285	-3.00000000e-01	-4.49570000e-10	6.67304313e+08	1	7.25000000e-01	1.00018000e-02	7.24869523e+01
3.20508086e+00	2023-05-23T14:15:45.838469	-3.00000000e-01	2.70380000e-09	-1.10954952e+08	1	7.00000000e-01	1.00018000e-02	6.99874023e+01
3.75632471e+00	2023-05-23T14:15:46.388880	-3.00000000e-01	-1.17340000e-09	2.55667292e+08	1	6.75000000e-01	1.00017000e-02	6.74885270e+01
3.88066841e+00	2023-05-23T14:15:46.513223	-3.00000000e-01	1.40710000e-10	-2.13204463e+09	1	6.50000000e-01	1.00017000e-02	6.49889519e+01
4.93316108e+00	2023-05-23T14:15:47.565903	-3.00000000e-01	4.54000000e-11	-6.60792952e+09	1	6.25000000e-01	1.00017000e-02	6.24893768e+01
5.29856919e+00	2023-05-23T14:15:47.931448	-3.00000000e-01	3.88700000e-10	-7.71803447e+08	1	6.00000000e-01	1.00018000e-02	5.99892019e+01
