Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

1.19126476e+02	2023-06-01T17:02:12.383342	-5.00000000e-02	-1.64480000e-10	3.03988327e+08	1	1.00000000e+00	4.45740000e-09	2.24346031e+08
1.19866426e+02	2023-06-01T17:02:13.123474	-5.00000000e-02	-2.07640000e-09	2.40801387e+07	1	9.50000000e-01	-7.23770000e-09	-1.31257167e+08
1.20462350e+02	2023-06-01T17:02:13.719959	-5.00000000e-02	-2.06780000e-10	2.41802882e+08	1	9.00000000e-01	6.48770000e-10	1.38724047e+09
1.21206321e+02	2023-06-01T17:02:14.463932	-5.00000000e-02	-1.44330000e-09	3.46428324e+07	1	8.50000000e-01	9.57100000e-09	8.88099467e+07
1.21822202e+02	2023-06-01T17:02:15.079077	-5.00000000e-02	2.53900000e-10	-1.96927924e+08	1	8.00000000e-01	-2.06700000e-10	-3.87034349e+09
1.22564473e+02	2023-06-01T17:02:15.822209	-5.00000000e-02	4.41550000e-10	-1.13237459e+08	1	7.50000000e-01	9.44900000e-09	7.93734787e+07
1.23591393e+02	2023-06-01T17:02:16.848971	-5.00000000e-02	1.69250000e-09	-2.95420975e+07	1	7.00000000e-01	9.54500000e-09	7.33368256e+07
1.24216547e+02	2023-06-01T17:02:17.473743	-5.00000000e-02	3.47000000e-09	-1.44092219e+07	1	6.50000000e-01	-3.05450000e-09	-2.12800786e+08
1.24546334e+02	2023-06-01T17:02:17.803300	-5.00000000e-02	1.44810000e-09	-3.45280022e+07	1	6.00000000e-01	-3.37870000e-09	-1.77583094e+08
1.24878380e+02	2023-06-01T17:02:18.135544	-5.00000000e-02	1.14870000e-09	-4.35274658e+07	1	5.50000000e-01	-2.81690000e-09	-1.95250098e+08
1.25870300e+02	2023-06-01T17:02:19.127594	-5.00000000e-02	4.10000000e-09	-1.21951220e+07	1	5.00000000e-01	-1.77290000e-09	-2.82023803e+08
1.26213195e+02	2023-06-01T17:02:19.471035	-5.00000000e-02	6.39760000e-10	-7.81543079e+07	1	4.50000000e-01	-2.41010000e-09	-1.86714244e+08
1.27607718e+02	2023-06-01T17:02:20.865382	-5.00000000e-02	2.10610000e-09	-2.37405631e+07	1	4.00000000e-01	-1.29860000e-08	-3.08024026e+07
1.28218541e+02	2023-06-01T17:02:21.475862	-5.00000000e-02	1.30010000e-09	-3.84585801e+07	1	3.50000000e-01	-2.48350000e-09	-1.40930139e+08
1.28561776e+02	2023-06-01T17:02:21.819621	-5.00000000e-02	1.46800000e-09	-3.40599455e+07	1	3.00000000e-01	-4.96590000e-09	-6.04120099e+07
1.28890114e+02	2023-06-01T17:02:22.147910	-5.00000000e-02	4.08730000e-09	-1.22330145e+07	1	2.50000000e-01	-4.67340000e-09	-5.34942440e+07
1.29230326e+02	2023-06-01T17:02:22.488166	-5.00000000e-02	5.09160000e-09	-9.82009584e+06	1	2.00000000e-01	-1.19460000e-08	-1.67420057e+07
