Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.15415732e-01	2023-06-01T17:26:39.584327	-1.00000000e-02	-1.56620000e-06	6.38488060e+03	1	5.00000000e-01	2.44550000e-07	2.04457166e+06
9.79028897e-01	2023-06-01T17:26:39.954221	-1.00000000e-02	-1.14550000e-07	8.72981231e+04	1	4.50000000e-01	2.63470000e-08	1.70797434e+07
1.30900387e+00	2023-06-01T17:26:40.284191	-1.00000000e-02	-4.67890000e-09	2.13725448e+06	1	4.00000000e-01	1.73200000e-08	2.30946882e+07
1.58642534e+00	2023-06-01T17:26:40.554358	-1.00000000e-02	-2.57490000e-09	3.88364597e+06	1	3.50000000e-01	4.01650000e-09	8.71405453e+07
1.88325852e+00	2023-06-01T17:26:40.858496	-1.00000000e-02	-6.85530000e-10	1.45872537e+07	1	3.00000000e-01	3.08790000e-09	9.71534052e+07
2.50319857e+00	2023-06-01T17:26:41.478447	-1.00000000e-02	3.22360000e-09	-3.10212185e+06	1	2.50000000e-01	1.03820000e-08	2.40801387e+07
3.37342979e+00	2023-06-01T17:26:42.349003	-1.00000000e-02	1.29800000e-09	-7.70416025e+06	1	2.00000000e-01	-2.57100000e-09	-7.77907429e+07
3.67054688e+00	2023-06-01T17:26:42.646423	-1.00000000e-02	2.79900000e-09	-3.57270454e+06	1	1.50000000e-01	-3.48700000e-09	-4.30169200e+07
4.00053210e+00	2023-06-01T17:26:42.976546	-1.00000000e-02	1.22080000e-09	-8.19134993e+06	1	1.00000000e-01	-3.99610000e-09	-2.50243988e+07
4.29842006e+00	2023-06-01T17:26:43.273794	-1.00000000e-02	3.12780000e-09	-3.19713537e+06	1	5.00000000e-02	-9.42900000e-09	-5.30278927e+06
4.90272726e+00	2023-06-01T17:26:43.878630	-1.00000000e-02	3.46630000e-09	-2.88492052e+06	1	0.00000000e+00	-5.67150000e-09	-0.00000000e+00
5.25111703e+00	2023-06-01T17:26:44.226852	-1.00000000e-02	2.97260000e-09	-3.36405840e+06	1	-5.00000000e-02	-7.72470000e-09	6.47274328e+06
5.57817753e+00	2023-06-01T17:26:44.554161	-1.00000000e-02	1.39520000e-09	-7.16743119e+06	1	-1.00000000e-01	-1.20800000e-08	8.27814570e+06
5.92232319e+00	2023-06-01T17:26:44.897918	-1.00000000e-02	9.97200000e-10	-1.00280786e+07	1	-1.50000000e-01	-6.49050000e-09	2.31107003e+07
6.25521098e+00	2023-06-01T17:26:45.230800	-1.00000000e-02	-1.89200000e-09	5.28541226e+06	1	-2.00000000e-01	-5.80400000e-09	3.44589938e+07
6.57901323e+00	2023-06-01T17:26:45.554689	-1.00000000e-02	-8.20720000e-09	1.21844234e+06	1	-2.50000000e-01	-7.83890000e-09	3.18922298e+07
6.91687621e+00	2023-06-01T17:26:45.892909	-1.00000000e-02	-2.08290000e-08	4.80099861e+05	1	-3.00000000e-01	-1.84940000e-08	1.62214772e+07
