Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

2.59977540e+02	2023-06-01T16:22:28.561506	-4.00000000e-02	-5.01490000e-08	7.97623083e+05	1	1.00000000e+00	1.87450000e-09	5.33475593e+08
2.60258610e+02	2023-06-01T16:22:28.842739	-4.00000000e-02	-5.01920000e-08	7.96939751e+05	1	9.75000000e-01	2.18940000e-10	4.45327487e+09
2.60853296e+02	2023-06-01T16:22:29.438089	-4.00000000e-02	-4.65160000e-08	8.59919168e+05	1	9.50000000e-01	1.68880000e-09	5.62529607e+08
2.61162739e+02	2023-06-01T16:22:29.747614	-4.00000000e-02	-4.37210000e-08	9.14892157e+05	1	9.25000000e-01	-1.12220000e-09	-8.24273748e+08
2.61481592e+02	2023-06-01T16:22:30.066114	-4.00000000e-02	-4.40150000e-08	9.08781097e+05	1	9.00000000e-01	3.93090000e-10	2.28955201e+09
2.62194066e+02	2023-06-01T16:22:30.778566	-4.00000000e-02	-4.16450000e-08	9.60499460e+05	1	8.75000000e-01	-1.54500000e-09	-5.66343042e+08
2.62516625e+02	2023-06-01T16:22:31.101176	-4.00000000e-02	-4.00060000e-08	9.99850022e+05	1	8.50000000e-01	3.23740000e-09	2.62556372e+08
2.62825594e+02	2023-06-01T16:22:31.410310	-4.00000000e-02	-3.75120000e-08	1.06632544e+06	1	8.25000000e-01	4.20600000e-11	1.96148359e+10
2.63418687e+02	2023-06-01T16:22:32.003423	-4.00000000e-02	-3.59380000e-08	1.11302799e+06	1	8.00000000e-01	4.00550000e-10	1.99725378e+09
2.64137360e+02	2023-06-01T16:22:32.721495	-4.00000000e-02	-3.19030000e-08	1.25380058e+06	1	7.75000000e-01	-2.54070000e-09	-3.05034046e+08
2.64462255e+02	2023-06-01T16:22:33.046363	-4.00000000e-02	-3.26540000e-08	1.22496478e+06	1	7.50000000e-01	1.90210000e-09	3.94301036e+08
2.64766824e+02	2023-06-01T16:22:33.351046	-4.00000000e-02	-3.26600000e-08	1.22473974e+06	1	7.25000000e-01	5.19700000e-11	1.39503560e+10
2.65492835e+02	2023-06-01T16:22:34.077665	-4.00000000e-02	-2.98010000e-08	1.34223684e+06	1	7.00000000e-01	-7.87800000e-11	-8.88550394e+09
2.66209478e+02	2023-06-01T16:22:34.793551	-4.00000000e-02	-2.60270000e-08	1.53686556e+06	1	6.75000000e-01	2.35810000e-09	2.86247403e+08
2.66529681e+02	2023-06-01T16:22:35.114620	-4.00000000e-02	-2.71630000e-08	1.47259139e+06	1	6.50000000e-01	-2.02170000e-10	-3.21511599e+09
2.67249415e+02	2023-06-01T16:22:35.833737	-4.00000000e-02	-2.36300000e-08	1.69276344e+06	1	6.25000000e-01	3.08080000e-09	2.02869385e+08
2.67561627e+02	2023-06-01T16:22:36.145979	-4.00000000e-02	-2.47860000e-08	1.61381425e+06	1	6.00000000e-01	-2.25870000e-09	-2.65639527e+08
