Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

1.09674907e+02	2023-06-02T11:32:28.185131	-1.00000000e-02	-2.56860000e-09	3.89317138e+06	1	7.00000000e-01	4.37330000e-09	1.60062196e+08
1.10025030e+02	2023-06-02T11:32:28.534430	-1.00000000e-02	-3.16520000e-10	3.15935802e+07	1	6.50000000e-01	2.63360000e-09	2.46810450e+08
1.10720087e+02	2023-06-02T11:32:29.230029	-1.00000000e-02	-1.38550000e-09	7.21761097e+06	1	6.00000000e-01	-6.40940000e-09	-9.36125066e+07
1.11344122e+02	2023-06-02T11:32:29.853771	-1.00000000e-02	9.27300000e-10	-1.07839965e+07	1	5.50000000e-01	9.73500000e-10	5.64971751e+08
1.11681852e+02	2023-06-02T11:32:30.191900	-1.00000000e-02	2.40910000e-09	-4.15092773e+06	1	5.00000000e-01	-1.36700000e-09	-3.65764448e+08
1.12016217e+02	2023-06-02T11:32:30.526523	-1.00000000e-02	8.43580000e-10	-1.18542403e+07	1	4.50000000e-01	-9.81100000e-09	-4.58668841e+07
1.12769898e+02	2023-06-02T11:32:31.280101	-1.00000000e-02	2.71270000e-09	-3.68636414e+06	1	4.00000000e-01	-1.46210000e-09	-2.73579099e+08
1.13725977e+02	2023-06-02T11:32:32.236104	-1.00000000e-02	2.77700000e-09	-3.60100828e+06	1	3.50000000e-01	-1.88070000e-09	-1.86100920e+08
1.14117512e+02	2023-06-02T11:32:32.627574	-1.00000000e-02	4.71730000e-10	-2.11985670e+07	1	3.00000000e-01	-8.56620000e-10	-3.50213630e+08
1.15517514e+02	2023-06-02T11:32:34.027654	-1.00000000e-02	1.21520000e-09	-8.22909809e+06	1	2.50000000e-01	-1.10190000e-08	-2.26880842e+07
1.16135219e+02	2023-06-02T11:32:34.645178	-1.00000000e-02	9.66730000e-10	-1.03441499e+07	1	2.00000000e-01	-3.94510000e-09	-5.06957999e+07
1.16760884e+02	2023-06-02T11:32:35.270684	-1.00000000e-02	1.43520000e-09	-6.96767001e+06	1	1.50000000e-01	-4.10330000e-09	-3.65559428e+07
1.17375038e+02	2023-06-02T11:32:35.884686	-1.00000000e-02	5.68510000e-10	-1.75898401e+07	1	1.00000000e-01	-1.06040000e-08	-9.43040362e+06
1.18006302e+02	2023-06-02T11:32:36.516599	-1.00000000e-02	1.20380000e-09	-8.30702775e+06	1	5.00000000e-02	-5.59780000e-09	-8.93208046e+06
1.18629192e+02	2023-06-02T11:32:37.138637	-1.00000000e-02	4.44390000e-09	-2.25027566e+06	1	0.00000000e+00	-1.17090000e-08	-0.00000000e+00
1.18928083e+02	2023-06-02T11:32:37.437860	-1.00000000e-02	-9.17390000e-09	1.09004894e+06	1	-5.00000000e-02	-2.70920000e-09	1.84556327e+07
1.19806086e+02	2023-06-02T11:32:38.315470	-1.00000000e-02	-3.42670000e-08	2.91825955e+05	1	-1.00000000e-01	-1.52550000e-08	6.55522779e+06
