Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.10212763e-01	2023-06-05T13:12:19.109019	-1.00000000e-02	-1.16940000e-08	8.55139388e+05	1	1.00000000e+00	1.20940000e-08	8.26856292e+07
1.01935180e+00	2023-06-05T13:12:19.518003	-1.00000000e-02	-2.88510000e-09	3.46608436e+06	1	9.75000000e-01	6.19160000e-09	1.57471413e+08
1.32334454e+00	2023-06-05T13:12:19.821809	-1.00000000e-02	-1.02110000e-09	9.79336010e+06	1	9.50000000e-01	3.20460000e-09	2.96448855e+08
1.62312805e+00	2023-06-05T13:12:20.121614	-1.00000000e-02	-9.16800000e-10	1.09075044e+07	1	9.25000000e-01	1.48020000e-09	6.24915552e+08
2.98358071e+00	2023-06-05T13:12:21.482803	-1.00000000e-02	-4.27940000e-10	2.33677618e+07	1	9.00000000e-01	5.27430000e-10	1.70638758e+09
3.67573074e+00	2023-06-05T13:12:22.174014	-1.00000000e-02	-2.30750000e-10	4.33369447e+07	1	8.75000000e-01	-1.80100000e-09	-4.85841199e+08
3.97259773e+00	2023-06-05T13:12:22.471362	-1.00000000e-02	1.80310000e-09	-5.54600410e+06	1	8.50000000e-01	-1.69410000e-09	-5.01741338e+08
4.37325554e+00	2023-06-05T13:12:22.871886	-1.00000000e-02	7.31840000e-10	-1.36641889e+07	1	8.25000000e-01	-1.95390000e-09	-4.22232458e+08
5.01266093e+00	2023-06-05T13:12:23.511867	-1.00000000e-02	1.29300000e-09	-7.73395205e+06	1	8.00000000e-01	-3.87550000e-10	-2.06424977e+09
6.25921652e+00	2023-06-05T13:12:24.758036	-1.00000000e-02	4.94880000e-10	-2.02069188e+07	1	7.75000000e-01	-1.59200000e-09	-4.86809045e+08
7.07346095e+00	2023-06-05T13:12:25.572462	-1.00000000e-02	1.57310000e-09	-6.35687496e+06	1	7.50000000e-01	-1.71850000e-09	-4.36427117e+08
7.36333964e+00	2023-06-05T13:12:25.862465	-1.00000000e-02	2.03470000e-09	-4.91472944e+06	1	7.25000000e-01	-2.91040000e-09	-2.49106652e+08
7.65895781e+00	2023-06-05T13:12:26.157567	-1.00000000e-02	2.27690000e-09	-4.39193640e+06	1	7.00000000e-01	-2.67630000e-09	-2.61555132e+08
7.95023670e+00	2023-06-05T13:12:26.449462	-1.00000000e-02	1.44880000e-09	-6.90226394e+06	1	6.75000000e-01	-2.38710000e-09	-2.82769888e+08
8.65020581e+00	2023-06-05T13:12:27.148510	-1.00000000e-02	2.51270000e-09	-3.97978270e+06	1	6.50000000e-01	-2.28030000e-09	-2.85050213e+08
8.99805867e+00	2023-06-05T13:12:27.496493	-1.00000000e-02	1.50600000e-10	-6.64010624e+07	1	6.25000000e-01	-9.01700000e-10	-6.93135189e+08
1.02483693e+01	2023-06-05T13:12:28.747485	-1.00000000e-02	1.09230000e-09	-9.15499405e+06	1	6.00000000e-01	-2.06580000e-09	-2.90444380e+08
