Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

2.02553832e+02	2023-06-05T12:32:47.402477	-5.00000000e-02	-5.23040000e-09	9.55949832e+06	1	1.00000000e+00	6.65910000e-09	1.50170443e+08
2.02868048e+02	2023-06-05T12:32:47.716832	-5.00000000e-02	-3.09520000e-09	1.61540450e+07	1	9.75000000e-01	2.42330000e-09	4.02343911e+08
2.03850738e+02	2023-06-05T12:32:48.699131	-5.00000000e-02	-1.82840000e-09	2.73463137e+07	1	9.50000000e-01	2.90900000e-09	3.26572705e+08
2.04177809e+02	2023-06-05T12:32:49.026260	-5.00000000e-02	-9.86070000e-10	5.07063393e+07	1	9.25000000e-01	6.05540000e-09	1.52756218e+08
2.05665649e+02	2023-06-05T12:32:50.514445	-5.00000000e-02	1.02010000e-09	-4.90148025e+07	1	9.00000000e-01	7.61180000e-10	1.18237473e+09
2.06369358e+02	2023-06-05T12:32:51.218033	-5.00000000e-02	-5.08830000e-10	9.82646463e+07	1	8.75000000e-01	-4.03630000e-10	-2.16782697e+09
2.07064887e+02	2023-06-05T12:32:51.913539	-5.00000000e-02	-4.33900000e-11	1.15233925e+09	1	8.50000000e-01	9.40800000e-10	9.03486395e+08
2.07966097e+02	2023-06-05T12:32:52.814375	-5.00000000e-02	7.04170000e-10	-7.10055810e+07	1	8.25000000e-01	6.88000000e-11	1.19912791e+10
2.09201534e+02	2023-06-05T12:32:54.049719	-5.00000000e-02	-1.30440000e-10	3.83318001e+08	1	8.00000000e-01	-1.70100000e-09	-4.70311581e+08
2.10037518e+02	2023-06-05T12:32:54.886409	-5.00000000e-02	2.99360000e-10	-1.67022982e+08	1	7.75000000e-01	-6.57500000e-10	-1.17870722e+09
2.10927302e+02	2023-06-05T12:32:55.775599	-5.00000000e-02	-1.11540000e-09	4.48269679e+07	1	7.50000000e-01	-1.36850000e-09	-5.48045305e+08
2.12205696e+02	2023-06-05T12:32:57.054308	-5.00000000e-02	1.12800000e-09	-4.43262411e+07	1	7.25000000e-01	-9.55500000e-10	-7.58765044e+08
2.13152783e+02	2023-06-05T12:32:58.001175	-5.00000000e-02	5.95300000e-10	-8.39912649e+07	1	7.00000000e-01	-7.09270000e-09	-9.86930224e+07
2.13445054e+02	2023-06-05T12:32:58.293856	-5.00000000e-02	4.14340000e-08	-1.20673843e+06	1	6.75000000e-01	-2.09990000e-09	-3.21443878e+08
2.13749807e+02	2023-06-05T12:32:58.598720	-5.00000000e-02	9.58000000e-10	-5.21920668e+07	1	6.50000000e-01	-3.36450000e-09	-1.93193639e+08
2.14343040e+02	2023-06-05T12:32:59.191425	-5.00000000e-02	2.87280000e-09	-1.74046227e+07	1	6.25000000e-01	-4.27310000e-09	-1.46263837e+08
2.14674484e+02	2023-06-05T12:32:59.523286	-5.00000000e-02	2.66910000e-09	-1.87329062e+07	1	6.00000000e-01	-4.83130000e-09	-1.24190177e+08
