Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.05131163e-01	2023-06-13T14:35:53.960024	-1.00000000e-01	-5.29040000e-08	1.89021624e+06	1	1.00000000e+00	6.62690000e-08	1.50900119e+07
1.01932720e+00	2023-06-13T14:35:54.373711	-1.00000000e-01	-1.81150000e-08	5.52028705e+06	1	9.75000000e-01	3.55460000e-08	2.74292466e+07
1.31562857e+00	2023-06-13T14:35:54.670074	-1.00000000e-01	-1.32240000e-08	7.56200847e+06	1	9.50000000e-01	1.50460000e-08	6.31397049e+07
1.60269383e+00	2023-06-13T14:35:54.957112	-1.00000000e-01	-9.14860000e-09	1.09306342e+07	1	9.25000000e-01	2.47690000e-08	3.73450684e+07
1.92162373e+00	2023-06-13T14:35:55.276352	-1.00000000e-01	-6.74910000e-09	1.48167904e+07	1	9.00000000e-01	8.15220000e-09	1.10399647e+08
2.21668777e+00	2023-06-13T14:35:55.563181	-1.00000000e-01	-3.30350000e-09	3.02709248e+07	1	8.75000000e-01	5.36850000e-09	1.62987799e+08
2.49770133e+00	2023-06-13T14:35:55.852467	-1.00000000e-01	-2.69520000e-09	3.71029979e+07	1	8.50000000e-01	9.43360000e-09	9.01034600e+07
3.25127528e+00	2023-06-13T14:35:56.604907	-1.00000000e-01	-1.49490000e-09	6.68941066e+07	1	8.25000000e-01	3.87190000e-09	2.13073685e+08
3.54123860e+00	2023-06-13T14:35:56.895065	-1.00000000e-01	-1.51490000e-09	6.60109578e+07	1	8.00000000e-01	5.66830000e-09	1.41135790e+08
3.83979925e+00	2023-06-13T14:35:57.185316	-1.00000000e-01	-1.79640000e-09	5.56668893e+07	1	7.75000000e-01	4.03190000e-09	1.92217069e+08
5.32153544e+00	2023-06-13T14:35:58.676089	-1.00000000e-01	-1.10330000e-09	9.06371794e+07	1	7.50000000e-01	2.33050000e-09	3.21819352e+08
6.79257255e+00	2023-06-13T14:36:00.147731	-1.00000000e-01	-2.03930000e-09	4.90364341e+07	1	7.25000000e-01	-1.63400000e-09	-4.43696450e+08
7.08020519e+00	2023-06-13T14:36:00.434619	-1.00000000e-01	1.55410000e-10	-6.43459237e+08	1	7.00000000e-01	6.30790000e-10	1.10971956e+09
7.77829356e+00	2023-06-13T14:36:01.132869	-1.00000000e-01	-2.84000000e-12	3.52112676e+10	1	6.75000000e-01	3.22490000e-09	2.09308816e+08
8.08060766e+00	2023-06-13T14:36:01.435341	-1.00000000e-01	-2.84000000e-12	3.52112676e+10	1	6.50000000e-01	3.90500000e-11	1.66453265e+10
8.78148495e+00	2023-06-13T14:36:02.136237	-1.00000000e-01	-4.41220000e-10	2.26644304e+08	1	6.25000000e-01	-2.99090000e-09	-2.08967201e+08
9.08172766e+00	2023-06-13T14:36:02.436639	-1.00000000e-01	-3.52780000e-10	2.83462781e+08	1	6.00000000e-01	-7.10410000e-10	-8.44582706e+08
