Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.07470198e-01	2023-06-14T17:10:01.136076	-1.00000000e-01	-1.72240000e-08	5.80585230e+06	1	1.00000000e+00	2.92330000e-08	3.42079157e+07
1.00768287e+00	2023-06-14T17:10:01.536092	-1.00000000e-01	-8.11950000e-09	1.23160293e+07	1	9.75000000e-01	1.66750000e-08	5.84707646e+07
1.30475541e+00	2023-06-14T17:10:01.832985	-1.00000000e-01	-5.35360000e-09	1.86790197e+07	1	9.50000000e-01	7.92120000e-09	1.19931324e+08
1.58999122e+00	2023-06-14T17:10:02.118144	-1.00000000e-01	-3.47960000e-09	2.87389355e+07	1	9.25000000e-01	1.13210000e-08	8.17065630e+07
1.87366354e+00	2023-06-14T17:10:02.401694	-1.00000000e-01	-1.82270000e-09	5.48636638e+07	1	9.00000000e-01	1.23180000e-08	7.30638091e+07
2.15476806e+00	2023-06-14T17:10:02.683235	-1.00000000e-01	1.34590000e-09	-7.42997251e+07	1	8.75000000e-01	2.29890000e-09	3.80616817e+08
2.64012375e+00	2023-06-14T17:10:03.168798	-1.00000000e-01	1.72240000e-09	-5.80585230e+07	1	8.50000000e-01	1.87150000e-09	4.54181138e+08
2.93944367e+00	2023-06-14T17:10:03.467657	-1.00000000e-01	-2.45000000e-11	4.08163265e+09	1	8.25000000e-01	3.91500000e-09	2.10727969e+08
3.22719148e+00	2023-06-14T17:10:03.755159	-1.00000000e-01	-2.45000000e-10	4.08163265e+08	1	8.00000000e-01	9.25060000e-10	8.64808769e+08
3.92997659e+00	2023-06-14T17:10:04.458400	-1.00000000e-01	-1.24510000e-10	8.03148341e+08	1	7.75000000e-01	2.62260000e-09	2.95508274e+08
4.22321937e+00	2023-06-14T17:10:04.751911	-1.00000000e-01	-1.55960000e-10	6.41190049e+08	1	7.50000000e-01	3.20160000e-09	2.34257871e+08
4.99176246e+00	2023-06-14T17:10:05.520211	-1.00000000e-01	3.15090000e-10	-3.17369640e+08	1	7.25000000e-01	3.11390000e-10	2.32827002e+09
5.69803557e+00	2023-06-14T17:10:06.226305	-1.00000000e-01	-1.84140000e-10	5.43065059e+08	1	7.00000000e-01	2.68530000e-09	2.60678509e+08
5.98451281e+00	2023-06-14T17:10:06.513095	-1.00000000e-01	1.73760000e-10	-5.75506446e+08	1	6.75000000e-01	-2.38430000e-09	-2.83101959e+08
6.76140339e+00	2023-06-14T17:10:07.290061	-1.00000000e-01	1.80140000e-10	-5.55123793e+08	1	6.50000000e-01	-2.80560000e-09	-2.31679498e+08
7.15907289e+00	2023-06-14T17:10:07.687238	-1.00000000e-01	5.26530000e-10	-1.89922701e+08	1	6.25000000e-01	1.52630000e-09	4.09486995e+08
7.53719284e+00	2023-06-14T17:10:08.066020	-1.00000000e-01	5.04650000e-10	-1.98157139e+08	1	6.00000000e-01	-3.54810000e-09	-1.69104591e+08
