Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.10369891e-01	2023-06-14T15:08:27.976935	-1.00000000e-01	-3.72920000e-08	2.68154028e+06	1	1.00000000e+00	5.29740000e-08	1.88771850e+07
1.02924719e+00	2023-06-14T15:08:28.396127	-1.00000000e-01	-1.81660000e-08	5.50478917e+06	1	9.75000000e-01	4.33900000e-08	2.24706153e+07
1.32944055e+00	2023-06-14T15:08:28.696007	-1.00000000e-01	-1.16890000e-08	8.55505176e+06	1	9.50000000e-01	2.40310000e-08	3.95322708e+07
1.62011759e+00	2023-06-14T15:08:28.986755	-1.00000000e-01	-7.22030000e-09	1.38498400e+07	1	9.25000000e-01	2.15060000e-08	4.30112527e+07
1.90230027e+00	2023-06-14T15:08:29.269002	-1.00000000e-01	-4.95240000e-09	2.01922300e+07	1	9.00000000e-01	1.95000000e-08	4.61538462e+07
2.19047803e+00	2023-06-14T15:08:29.556793	-1.00000000e-01	-3.73990000e-09	2.67386829e+07	1	8.75000000e-01	1.70410000e-08	5.13467520e+07
2.47486337e+00	2023-06-14T15:08:29.841220	-1.00000000e-01	-2.83820000e-09	3.52335988e+07	1	8.50000000e-01	4.02330000e-09	2.11269356e+08
2.77250206e+00	2023-06-14T15:08:30.138650	-1.00000000e-01	-1.29620000e-09	7.71485882e+07	1	8.25000000e-01	4.44020000e-09	1.85802441e+08
3.06153767e+00	2023-06-14T15:08:30.427580	-1.00000000e-01	-9.38670000e-10	1.06533713e+08	1	8.00000000e-01	1.10410000e-08	7.24572050e+07
3.34556281e+00	2023-06-14T15:08:30.711694	-1.00000000e-01	-6.66940000e-10	1.49938525e+08	1	7.75000000e-01	4.05170000e-09	1.91277735e+08
3.67970366e+00	2023-06-14T15:08:31.046265	-1.00000000e-01	-4.01810000e-10	2.48873846e+08	1	7.50000000e-01	9.40800000e-10	7.97193878e+08
5.02889806e+00	2023-06-14T15:08:32.394979	-1.00000000e-01	-1.16480000e-09	8.58516484e+07	1	7.25000000e-01	-1.24910000e-09	-5.80417901e+08
5.32714680e+00	2023-06-14T15:08:32.693246	-1.00000000e-01	2.65640000e-09	-3.76449330e+07	1	7.00000000e-01	7.16410000e-10	9.77094122e+08
6.04577110e+00	2023-06-14T15:08:33.412162	-1.00000000e-01	4.79110000e-10	-2.08720336e+08	1	6.75000000e-01	-2.35310000e-09	-2.86855637e+08
6.34714927e+00	2023-06-14T15:08:33.714022	-1.00000000e-01	5.15150000e-10	-1.94118218e+08	1	6.50000000e-01	7.17550000e-10	9.05860219e+08
7.07799757e+00	2023-06-14T15:08:34.444765	-1.00000000e-01	-1.19100000e-10	8.39630563e+08	1	6.25000000e-01	2.71850000e-09	2.29906198e+08
7.37073902e+00	2023-06-14T15:08:34.736936	-1.00000000e-01	5.27790000e-10	-1.89469297e+08	1	6.00000000e-01	2.07420000e-09	2.89268152e+08
