Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.17035112e-01	2023-06-15T11:29:25.667143	-1.00000000e-01	1.00560000e-09	-9.94431185e+07	1	1.00000000e+00	9.27400000e-08	1.07828337e+07
1.00272329e+00	2023-06-15T11:29:26.055476	-1.00000000e-01	-2.76040000e-08	3.62266338e+06	1	9.75000000e-01	4.57650000e-08	2.13044903e+07
1.29488963e+00	2023-06-15T11:29:26.344259	-1.00000000e-01	-1.28610000e-08	7.77544514e+06	1	9.50000000e-01	2.92020000e-08	3.25320184e+07
1.58591915e+00	2023-06-15T11:29:26.632948	-1.00000000e-01	-1.29530000e-08	7.72021925e+06	1	9.25000000e-01	3.17480000e-08	2.91356936e+07
1.87654170e+00	2023-06-15T11:29:26.921819	-1.00000000e-01	-7.81290000e-09	1.27993447e+07	1	9.00000000e-01	1.56850000e-08	5.73796621e+07
2.17760775e+00	2023-06-15T11:29:27.220503	-1.00000000e-01	-1.85840000e-09	5.38097288e+07	1	8.75000000e-01	4.70980000e-09	1.85782836e+08
2.46907296e+00	2023-06-15T11:29:27.509234	-1.00000000e-01	-1.50330000e-09	6.65203220e+07	1	8.50000000e-01	4.24360000e-09	2.00301631e+08
2.75620053e+00	2023-06-15T11:29:27.797984	-1.00000000e-01	-3.04340000e-09	3.28579878e+07	1	8.25000000e-01	3.10740000e-09	2.65495269e+08
3.05705571e+00	2023-06-15T11:29:28.096666	-1.00000000e-01	-2.43390000e-09	4.10863224e+07	1	8.00000000e-01	2.05800000e-08	3.88726919e+07
3.77748631e+00	2023-06-15T11:29:28.813543	-1.00000000e-01	-3.20450000e-09	3.12061164e+07	1	7.75000000e-01	1.84790000e-08	4.19394989e+07
4.64999149e+00	2023-06-15T11:29:29.679758	-1.00000000e-01	-2.58740000e-09	3.86488367e+07	1	7.50000000e-01	1.49700000e-09	5.01002004e+08
4.94892297e+00	2023-06-15T11:29:29.978439	-1.00000000e-01	-6.73660000e-10	1.48442835e+08	1	7.25000000e-01	1.31420000e-08	5.51666413e+07
5.40071918e+00	2023-06-15T11:29:30.426607	-1.00000000e-01	-7.73110000e-10	1.29347700e+08	1	7.00000000e-01	-2.84210000e-09	-2.46296752e+08
5.76922004e+00	2023-06-15T11:29:30.794998	-1.00000000e-01	-7.76720000e-10	1.28746524e+08	1	6.75000000e-01	-1.32430000e-09	-5.09703239e+08
6.16065633e+00	2023-06-15T11:29:31.183299	-1.00000000e-01	-1.77660000e-10	5.62872903e+08	1	6.50000000e-01	-1.51030000e-09	-4.30378071e+08
6.50913745e+00	2023-06-15T11:29:31.531641	-1.00000000e-01	-3.95190000e-10	2.53042840e+08	1	6.25000000e-01	-2.53850000e-09	-2.46208391e+08
6.89063075e+00	2023-06-15T11:29:31.910104	-1.00000000e-01	3.03800000e-11	-3.29163924e+09	1	6.00000000e-01	4.14780000e-09	1.44654998e+08
