Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.10390974e-01	2023-06-20T15:06:41.210968	-1.00000000e-01	-1.06180000e-09	9.41796949e+07	1	1.00000000e+00	5.75700000e-08	1.73701581e+07
1.16348431e+00	2023-06-20T15:06:41.770852	-1.00000000e-01	-1.01210000e-08	9.88044660e+06	1	9.75000000e-01	2.26960000e-08	4.29591117e+07
1.49176738e+00	2023-06-20T15:06:42.091807	-1.00000000e-01	-6.10450000e-09	1.63813580e+07	1	9.50000000e-01	7.86650000e-09	1.20765270e+08
1.78492800e+00	2023-06-20T15:06:42.392241	-1.00000000e-01	-3.43810000e-09	2.90858323e+07	1	9.25000000e-01	1.07140000e-08	8.63356356e+07
2.53150769e+00	2023-06-20T15:06:43.138986	-1.00000000e-01	-3.04300000e-09	3.28623069e+07	1	9.00000000e-01	1.27680000e-09	7.04887218e+08
2.82523036e+00	2023-06-20T15:06:43.432192	-1.00000000e-01	-7.65250000e-10	1.30676250e+08	1	8.75000000e-01	2.74050000e-09	3.19284802e+08
3.78504821e+00	2023-06-20T15:06:44.392199	-1.00000000e-01	-1.45910000e-09	6.85353985e+07	1	8.50000000e-01	2.96130000e-09	2.87036099e+08
4.08359836e+00	2023-06-20T15:06:44.682308	-1.00000000e-01	-5.08220000e-10	1.96765180e+08	1	8.25000000e-01	2.34090000e-09	3.52428553e+08
4.54806933e+00	2023-06-20T15:06:45.155491	-1.00000000e-01	-1.55200000e-10	6.44329897e+08	1	8.00000000e-01	-1.08270000e-09	-7.38893507e+08
4.89352862e+00	2023-06-20T15:06:45.495607	-1.00000000e-01	-2.60230000e-10	3.84275449e+08	1	7.75000000e-01	2.35060000e-09	3.29703055e+08
5.29830072e+00	2023-06-20T15:06:45.905662	-1.00000000e-01	1.80670000e-10	-5.53495323e+08	1	7.50000000e-01	5.41260000e-10	1.38565569e+09
5.98818133e+00	2023-06-20T15:06:46.595667	-1.00000000e-01	-3.77910000e-10	2.64613268e+08	1	7.25000000e-01	1.26280000e-09	5.74121001e+08
6.27721026e+00	2023-06-20T15:06:46.876045	-1.00000000e-01	-9.71000000e-10	1.02986612e+08	1	7.00000000e-01	1.64710000e-09	4.24989375e+08
6.63823015e+00	2023-06-20T15:06:47.245938	-1.00000000e-01	6.87830000e-09	-1.45384761e+07	1	6.75000000e-01	1.90760000e-10	3.53847767e+09
7.35824328e+00	2023-06-20T15:06:47.965944	-1.00000000e-01	9.86530000e-10	-1.01365392e+08	1	6.50000000e-01	-2.35120000e-10	-2.76454576e+09
8.05704451e+00	2023-06-20T15:06:48.656246	-1.00000000e-01	5.88660000e-10	-1.69877349e+08	1	6.25000000e-01	-2.03010000e-09	-3.07866608e+08
8.35682831e+00	2023-06-20T15:06:48.956252	-1.00000000e-01	4.76410000e-10	-2.09903235e+08	1	6.00000000e-01	-4.59990000e-10	-1.30437618e+09
