Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.23551638e-01	2023-06-21T14:31:00.157766	-1.00000000e-01	-4.63500000e-09	2.15749730e+07	1	1.00000000e+00	4.40020000e-09	2.27262397e+08
1.42850467e+00	2023-06-21T14:31:00.957891	-1.00000000e-01	-3.29580000e-09	3.03416469e+07	1	9.75000000e-01	9.54090000e-10	1.02191617e+09
2.67158333e+00	2023-06-21T14:31:02.207823	-1.00000000e-01	9.79600000e-10	-1.02082483e+08	1	9.50000000e-01	3.30200000e-10	2.87704422e+09
3.24018880e+00	2023-06-21T14:31:02.768430	-1.00000000e-01	-2.17520000e-10	4.59727841e+08	1	9.25000000e-01	1.52510000e-10	6.06517605e+09
3.95268298e+00	2023-06-21T14:31:03.488494	-1.00000000e-01	-3.41480000e-10	2.92842919e+08	1	9.00000000e-01	-2.95980000e-09	-3.04074600e+08
4.24267455e+00	2023-06-21T14:31:03.778498	-1.00000000e-01	1.96310000e-10	-5.09398400e+08	1	8.75000000e-01	-2.91580000e-09	-3.00089169e+08
4.54215783e+00	2023-06-21T14:31:04.078497	-1.00000000e-01	-6.71860000e-10	1.48840532e+08	1	8.50000000e-01	-1.46930000e-09	-5.78506772e+08
4.86788199e+00	2023-06-21T14:31:04.398655	-1.00000000e-01	4.94650000e-10	-2.02163146e+08	1	8.25000000e-01	-3.19950000e-09	-2.57852789e+08
5.70344637e+00	2023-06-21T14:31:05.239088	-1.00000000e-01	1.67100000e-11	-5.98444045e+09	1	8.00000000e-01	-3.15120000e-10	-2.53871541e+09
6.39362870e+00	2023-06-21T14:31:05.929294	-1.00000000e-01	-1.51290000e-10	6.60982220e+08	1	7.75000000e-01	-2.61320000e-09	-2.96571254e+08
6.70336144e+00	2023-06-21T14:31:06.239286	-1.00000000e-01	-2.89820000e-10	3.45041750e+08	1	7.50000000e-01	9.31000000e-09	8.05585392e+07
7.00353765e+00	2023-06-21T14:31:06.539295	-1.00000000e-01	2.72140000e-10	-3.67457926e+08	1	7.25000000e-01	-1.17300000e-09	-6.18073316e+08
7.30393416e+00	2023-06-21T14:31:06.839291	-1.00000000e-01	-3.55410000e-10	2.81365184e+08	1	7.00000000e-01	3.16800000e-09	2.20959596e+08
7.60373744e+00	2023-06-21T14:31:07.139303	-1.00000000e-01	2.89550000e-10	-3.45363495e+08	1	6.75000000e-01	-1.38270000e-09	-4.88175309e+08
7.91267551e+00	2023-06-21T14:31:07.449306	-1.00000000e-01	-2.71440000e-10	3.68405541e+08	1	6.50000000e-01	-1.26740000e-09	-5.12860975e+08
8.21270156e+00	2023-06-21T14:31:07.749305	-1.00000000e-01	3.03100000e-11	-3.29924117e+09	1	6.25000000e-01	-1.55970000e-10	-4.00718087e+09
8.92356456e+00	2023-06-21T14:31:08.459365	-1.00000000e-01	8.51000000e-12	-1.17508813e+10	1	6.00000000e-01	-2.57060000e-09	-2.33408543e+08
