Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.07397406e-01	2023-06-29T17:00:41.550140	-1.00000000e-01	-9.48100000e-09	1.05474106e+07	1	1.00000000e+00	1.63040000e-08	6.13346418e+07
1.07424729e+00	2023-06-29T17:00:42.020200	-1.00000000e-01	-9.08900000e-10	1.10023105e+08	1	9.75000000e-01	-9.41500000e-10	-1.03558152e+09
2.28091165e+00	2023-06-29T17:00:43.231720	-1.00000000e-01	1.17230000e-09	-8.53023970e+07	1	9.50000000e-01	1.10770000e-09	8.57632933e+08
2.57450637e+00	2023-06-29T17:00:43.525656	-1.00000000e-01	-8.19910000e-10	1.21964606e+08	1	9.25000000e-01	2.83500000e-09	3.26278660e+08
2.87013554e+00	2023-06-29T17:00:43.821629	-1.00000000e-01	8.46000000e-11	-1.18203310e+09	1	9.00000000e-01	-2.05380000e-09	-4.38212095e+08
3.15988903e+00	2023-06-29T17:00:44.104176	-1.00000000e-01	-2.08780000e-10	4.78973082e+08	1	8.75000000e-01	-1.82950000e-09	-4.78272752e+08
3.44465750e+00	2023-06-29T17:00:44.396073	-1.00000000e-01	5.42900000e-11	-1.84195985e+09	1	8.50000000e-01	3.79920000e-09	2.23731312e+08
3.75071867e+00	2023-06-29T17:00:44.700722	-1.00000000e-01	-2.60100000e-10	3.84467512e+08	1	8.25000000e-01	-1.26220000e-09	-6.53620662e+08
4.11038017e+00	2023-06-29T17:00:45.060726	-1.00000000e-01	8.26000000e-12	-1.21065375e+10	1	8.00000000e-01	7.42480000e-10	1.07747010e+09
4.80802157e+00	2023-06-29T17:00:45.758813	-1.00000000e-01	-1.56290000e-10	6.39836202e+08	1	7.75000000e-01	2.61050000e-09	2.96877993e+08
5.10913176e+00	2023-06-29T17:00:46.060848	-1.00000000e-01	4.16790000e-10	-2.39928981e+08	1	7.50000000e-01	-2.19720000e-09	-3.41343528e+08
5.38952034e+00	2023-06-29T17:00:46.341284	-1.00000000e-01	1.99310000e-10	-5.01730972e+08	1	7.25000000e-01	-2.47460000e-09	-2.92976643e+08
5.69108920e+00	2023-06-29T17:00:46.642654	-1.00000000e-01	-1.26120000e-10	7.92895655e+08	1	7.00000000e-01	3.58220000e-09	1.95410642e+08
5.99168493e+00	2023-06-29T17:00:46.943300	-1.00000000e-01	2.08590000e-10	-4.79409368e+08	1	6.75000000e-01	-1.08480000e-09	-6.22234513e+08
6.33942563e+00	2023-06-29T17:00:47.291125	-1.00000000e-01	-1.18250000e-10	8.45665962e+08	1	6.50000000e-01	-1.94840000e-09	-3.33607062e+08
6.70548959e+00	2023-06-29T17:00:47.656433	-1.00000000e-01	1.17930000e-10	-8.47960655e+08	1	6.25000000e-01	1.80510000e-09	3.46241205e+08
7.08192031e+00	2023-06-29T17:00:48.033560	-1.00000000e-01	4.19800000e-11	-2.38208671e+09	1	6.00000000e-01	-2.44520000e-09	-2.45378701e+08
